[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[NO] 45/1000 | SMED-YOLO: A Multi-Module Enhanced Algorithm for Infrared Ship Detection in Complex Maritime Environments
[NO] 46/1000 | CMRAF: Cross-Modal Refinement and Adaptive Fusion Network for Joint Registration and Fusion of Multi-Modal Medical Images
[NO] 47/1000 | $\mathsf {DARTIC}$: Decentralized Anonymous Reputation at Scale for Trustworthy Crowdsourcing
[NO] 48/1000 | HVI-CIDNet+: Beyond Extreme Darkness for Low-Light Image Enhancement
[NO] 49/1000 | TaxEL: Taxonomy-Enhanced Entity Representation Learning for Biomedical Entity Linking
[NO] 50/1000 | Space-Vector Modulation Scheme for Three-Level Switched-Capacitor Boost Inverter with Constant Common-Mode Voltage
[NO] 51/1000 | A Novel Deep Reinforcement Learning Approach for UAV Path Planning and Obstacle Avoidance for IoT Data Collection in Complex Urban Environment
[NO] 52/1000 | Development of a Digital Twin for Construction 3D Printer with Machine Learning Defect Detection Algorithm
[NO] 53/1000 | Interleaved CRC-Polar Codes with Error Correction-Detection Decoding for Short-Packet URLLC
[NO] 54/1000 | Efficient Lattice-Based Multi-Designated Verifiers Traceable Ring Signature for Conditional Privacy-Preserving Blockchain-Based Anonymous Reporting
[NO] 55/1000 | A Brain-inspired Event-triggered Consensus Control Framework Based on Spiking Neural Network for MASs
[NO] 56/1000 | Energy Consumption of Dataframe Libraries for End-to-End Deep Learning Pipelines - A Comparative Analysis
[YES] 57/1000 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[NO] 58/1000 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[NO] 59/1000 | Towards Improving CS Students' Generative AI Literacy
[NO] 60/1000 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[NO] 61/1000 | Exploring Workforce-Informed Competency Pathways in Computing Education
[NO] 62/1000 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[NO] 63/1000 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[NO] 64/1000 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[NO] 65/1000 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[NO] 66/1000 | Prognostic-Informed Opportunistic Grouping Maintenance Optimization for Multi-Component Systems
[NO] 67/1000 | Qualitative&amp;Quantitative Meta Graph Transformer for Marine Diesel Engine Health Monitoring
[NO] 68/1000 | A Real-Time 3D Avatar System for Immersive Virtual Try-On on Public Displays
[NO] 69/1000 | An Ensemble-Based Approach for Malware Detection Using Encoded Features
[NO] 70/1000 | Smart IoT-Based Framework for Wall Crack and Leak Detection Using Cloud-Integrated Lightweight CNN
[NO] 71/1000 | Heterogeneous Resource Allocation for Deadline-aware Dependent Serverless Applications
[NO] 72/1000 | SSA-KGQA: A Knowledge Graph Question Answering Method Based on Scheduled Sampling and Adversarial Training
[NO] 73/1000 | AI-Driven Resilient Cybersecurity Framework for Large-Scale Distributed Systems
[NO] 74/1000 | Beyond Sparsity: A Signal Purification and Enrichment Framework for Graph Contrastive Learning in Long-Tail Recommendation
[NO] 75/1000 | An AI-Driven Study of Same-Event News Coverage Using Sentence Embeddings and Cosine Similarity
[NO] 76/1000 | An Adaptive Weight Optimization Algorithm for Market-Based Data Pricing
[NO] 77/1000 | Zero-Shot Pseudocolor X-ray Domain Translation for Cross-Device Industrial Collaboration
[NO] 78/1000 | Analyzing MEV Feasibility and Arbitrage Strategies on Algorand: An Empirical Study
[NO] 79/1000 | LLM-Augmented Multimodal Recommendation with Dynamic Feature Weighting and Multi-Scale Graph Convolution
[NO] 80/1000 | Unsupervised attenuation of aliased ground roll in undersampled 3D land seismic data
[NO] 81/1000 | Context-aware Frequency Fusion Attention Network for Sequential Recommendation
[YES] 82/1000 | A Human-Machine Collaborative Code Translator from ARM NEON to RISC-V Vector
[NO] 83/1000 | Dual-Cluster-based Trust Aggregation for Poisoning-Resilient Federated Learning
[NO] 84/1000 | A Hybrid Approach Using Statistics and Unsupervised Learning to Investigate the Impact of Ionospheric Storm Disturbances on Pre-earthquake Total Electron Content Anomalies
[NO] 85/1000 | Refining Estimates of Vegetation Water Storage From SMAP L-Band VOD Using GEDI Canopy Height Observations
[NO] 86/1000 | LLM-ISR:Intent-Driven Sequential Recommendation with Large Language Models
[NO] 87/1000 | No-reference video quality assessment with guidance of keyframe extraction
[NO] 88/1000 | Integrating Domain Knowledge into Image Generation Models for Textile Design
[NO] 89/1000 | VGAE4PG: A semantically preserved unsupervised provenance graph reduction framework
[NO] 90/1000 | A Regularization-Based Strategy for Balancing Cross-Template Temporal Relation Extraction
[NO] 91/1000 | AI Lesson Plan Generator via Modular Feature Extraction and Synergistic Knowledge Retrieval Technology for Higher Education
[NO] 92/1000 | MT-CSD: Multi-Trajectory Consensus Self-Distillation for Robust Web Agents Learning
[NO] 93/1000 | An Analysis of Cultural Tourism Applications in Smart Cities
[NO] 94/1000 | GFASRec: Dynamically Capturing User Preferences via Gaussian Embedding and Frequency-Adaptive Filtering
[NO] 95/1000 | Ensemble Graph Neural Spatial Clustering: A Robust Framework for Spatial Domain Discovery in Spatial Transcriptomics
[NO] 96/1000 | Wine Quality Estimation System using Deep Neural Network with Reduced Measurable Features
[NO] 97/1000 | Mitigating Prefetcher-Caused Pollution using Informed Caching Policies for Prefetched Blocks
[NO] 98/1000 | Infrared - Microwave Synergy to Support Characterisation of Polar Lows
[NO] 99/1000 | Radio Frequency Interference Resilient Passive Microwave Sensor
[NO] 100/1000 | Improved NSGA-III Based on Chaotic Mapping for Multi-Objective Flexible Job Shop Scheduling
[NO] 101/1000 | Cloud Data Lake Architecture for Real-Time 5G KPI Telemetry and Predictive Analytics
[NO] 102/1000 | Multi-Modal Complementary Web API Recommendation with Attentive Context Modeling
[NO] 103/1000 | A Ground-Truth-Free Denoising Framework for Real-Time Raman-based Distributed Temperature Sensing in Sapphire Fiber
[NO] 104/1000 | Beyond Energy Consumption: Accurate Emission Factors for Production Sites
[NO] 105/1000 | IEEE Industrial Electronics Society Publication Information
[NO] 106/1000 | A Unified Trust-Driven Adaptive Control Framework for Connected and Automated Vehicle Platoons under Hybrid Cyberattacks
[NO] 107/1000 | 4SQR-CodeScanner: A Zero-Overhead Deep Learning Decoder for Resource-Constrained IoT Edge Devices
[NO] 108/1000 | LSanS: A Pairing-Free Sanitizable Signature Scheme for Accountable VANET Certificate Derivation
[NO] 109/1000 | Constructing Radio Map via Spatio-Temporal Learning of Crowdsourced Trajectory Data
[NO] 110/1000 | Med-SORA: Symptom to Organ Reasoning in Abdomen CT Images
[NO] 111/1000 | FGCSA-Net: A Novel Framework for Medical Report Generation Via Fine-Grained Feature Preservation and Semantic Alignment
[NO] 112/1000 | Multi-Key Components Power Losses Collaborative Optimization of MMCs Based on Multi-Degree of Freedom Control
[NO] 113/1000 | Digital Twins for Visual Inspection of Large Structures: A Systematic Review
[NO] 114/1000 | Design and Analysis of SAWbot: A Robot Generating Continuous Wave
[NO] 115/1000 | The Process of Collaboratively Creating a Global Computing Education Terminology Resource with GenAI-in-the-Loop
[NO] 116/1000 | Using the Potential of GenAI Tools for Accessibility
[NO] 117/1000 | Caliber: AI-Assisted Infrastructure for Mastery-Based Computer Science Education at Scale
[NO] 118/1000 | MiLLy: Embedding Pedagogical Agents inside Assignments
[NO] 119/1000 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[NO] 120/1000 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[NO] 121/1000 | Making Sustainability Visible in Agile Practices: A Vision for Team-Level Design Decision-Making
[NO] 122/1000 | AI-Assisted Stack Break-in for Accelerated Manufacturing of Hydrogen Fuel Cells
[NO] 123/1000 | Meet the Shannon Awardee at ISIT2025: An Interview with Peter W. Shor
[NO] 124/1000 | Securing low-cost flexible devices using the TinyJAMBU cipher for authenticated encryption
[NO] 125/1000 | SpectrumAI: A Methodology for Large-Scale Image-Based RF Spectrum Datasets for AI Applications
[NO] 126/1000 | Data and Physics Co-Driven Prediction Method for Acoustic Field Uncertainty
[NO] 127/1000 | A Federated Learning Method Driven by Multi-level Alignment and Adaptive Aggregation
[NO] 128/1000 | A Novel LLM-based Interpretable Intrusion Detection Framework for the Internet of Things (IoT)
[NO] 129/1000 | Task Allocation for Scalable Edge Computing with Divisible Group Role Assignment
[NO] 130/1000 | MFSA-Net: Multi-Frequency and Spatial Aggregation Network for Remote Sensing Image Semantic Segmentation
[NO] 131/1000 | YOLO-GBPA: Enhanced YOLO11 with Gated Bilinear Pyramid Aggregation for Dust Detection
[NO] 132/1000 | TPER: Traceable Privacy-Enhanced Event Reporting System with Truth Discovery in IoV
[NO] 133/1000 | Multi-Objective Battery Energy Storage Strategy for Wind Curtailment Mitigation and Revenue Stacking
[NO] 134/1000 | MovieTeller: Tool-augmented Movie Synopsis with ID Consistent Progressive Abstraction
[NO] 135/1000 | A Multi-Task Model for Harness Violation Detection in Aerial Work
[NO] 136/1000 | Spatio-Temporal Hybrid Deep Reinforcement Learning for Dependent Task Offloading Optimization in Mobile Edge Computing
[NO] 137/1000 | Balancing Effectiveness and Structural Complexities in Scheduling Heuristics via Multi/Many-objective Multiform Genetic Programming
[NO] 138/1000 | A Physics-Informed Dual-Stem Neural Network With Data Generation Engine for Label-Scarce and Sparse-Data Inverse Problems
[NO] 139/1000 | Alpha-Gradient Guided Anisotropic Refinement for RGB-D Depth Maps
[NO] 140/1000 | A Robust Visual Perception Method Based on the IF-GR Framework for Substation Inspection Robots
[NO] 141/1000 | Topology Sensing in Flying Ad Hoc Networks via Robust Multi-Sensor Data Fusion
[NO] 142/1000 | A Framework Guiding Digital Maturity and Interoperability Journey Towards Smart Manufacturing
[NO] 143/1000 | ContourFD-Net: A Finite-Difference-Driven Contour Attention Network for Efficient Medical Image Segmentation on Edge Devices
[NO] 144/1000 | Game-Theoretic and Inverse Reinforcement Learning-Based Control for Vehicle Formation Under DoS Attacks
[NO] 145/1000 | A Security Analysis of an Outsourcing Scheme for Generalized Eigenvalue Decomposition
[NO] 146/1000 | FAST-Sync: Fast Group Synchronization for any Matrix Lie Group
[NO] 147/1000 | Improving Temperature and Emissivity Separation Algorithm for Thermal Infrared Hyperspectral Remote Sensing: Considering Ozone Emission Effects
[NO] 148/1000 | MLC: A Hierarchical Correlation-Based Application Traffic Identification Method
[NO] 149/1000 | A Theoretical Feedback Mechanism with Reward Shaping for Reinforcement Learning-based Production Scheduling
[NO] 150/1000 | A Blockchain-Based Scheme for Sensitive Data Sharing with Automated Access Control and Multi-Dimensional Ciphertext Search
[YES] 151/1000 | SchemaAware-Cache: A Context- and Schema-Aware Semantic Caching Framework for Efficient Text-to-SQL Systems
[NO] 152/1000 | Distributed Finite-time Game-based Adaptive Secure Optimal Secondary Control for AC Microgrid under Malicious Network
[NO] 153/1000 | Predictive Control of a Medical Plasma Jet for CO Production and Temperature Tracking
[NO] 154/1000 | Non-Line-of-Sight Liquid Fingerprinting: A Scalable Deep Learning Framework for RFID Sensing
[NO] 155/1000 | MAPT: A Dynamic Recommendation Framework Based on Multi-Agent Collaboration and Prompt Self-tuning
[NO] 156/1000 | EEG Signal Processing for Anxiety Detection Using Selective Spectral Coding
[NO] 157/1000 | Tool Context Adaptation for Agentic Retrieval-Augmented Generation
[NO] 158/1000 | TEAMMix: Taxonomy Enrichment Augmentation and Minority-augmented Mixing Strategy for LLM-enhanced Weak-Supervised Hierarchical Text Classification
[NO] 159/1000 | Aquavac: AI-Driven Autonomous Waste Collection for Enhanced Water Sustainability
[NO] 160/1000 | IoT Framework for Realtime Return Loss Data Monitoring of Copper Tape Patch Antenna Using Cloud and Android Device
[NO] 161/1000 | Hybrid Genetic Algorithm and XGBoost Framework for Price Optimization with Cross-price Elasticity
[NO] 162/1000 | Real-Time Tomato Leaf Disease Detection Using CNN and Web-Based Deployment
[NO] 163/1000 | Design and Verification of Microwave Hyperspectral Atmospheric Sounder on the China's New Generation Meteorological Satellite
[NO] 164/1000 | Heirarchical Multiview Dense Ensemble Model for Parkinson’s disease prediction on T2-weighted MRI
[NO] 165/1000 | Meta-Learning-Driven Adaptive Neural Architectures for Real-Time Decision Intelligence
[NO] 166/1000 | Research on a Representation Method for TCM Pharmaceutical Service Resources based on Heterogeneous Graph Networks
[NO] 167/1000 | Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks
[NO] 168/1000 | Einstein Chess Game Algorithm Based on Adaptive Convolution-Channel Interaction Attention and Relation-Aware Dynamic Mixture Attention
[NO] 169/1000 | Hyperspectral Image Classification Using Partcile Swarm Optimization and Deep Convolution Neural Network
[NO] 170/1000 | Hybrid Deep Feature Fusion and Meta-Ensemble Learning for DGA Domain Detection
[NO] 171/1000 | Transfer Learning - Based Automated Identification of Retinal Diseases from Fundus Images
[NO] 172/1000 | Design of a UAV-Based Visual Monitoring System for Port Air Pollution
[NO] 173/1000 | Virtual Screening And Molecular Dynamics Analysis Of Natural Inhibitors For Liver Cirrhosis With Emerging AI Applications
[NO] 174/1000 | A Causality-Aware Vision–Language System for Detection of Non-Verbal Harassment in Public Transport
[NO] 175/1000 | Comprehensive Analysis of Path Planning Algorithms for Autonomous Navigation of Humanoid Robots
[NO] 176/1000 | Secure Edge Computing Frameworks for IoT Environments
[NO] 177/1000 | Real-Time Attendance Tracking Using Ai And Yolo
[NO] 178/1000 | Lightweight Instance Segmentation for Stacked Goods Inventory
[NO] 179/1000 | A Comparative Analysis of Social Media Review Behavior in Japan and Vietnam Focusing on UI/UX and Security Issues
[NO] 180/1000 | Redundancy-Aware Federated Unlearning with Reverse and Selective Distillation
[NO] 181/1000 | Estrogen Endocrine Disruptors-Driven Cervical Cancer Subtypes: Unraveling Heterogeneity Through Multi-Omics Integration of Estrogen and Immune Profiles
[NO] 182/1000 | AI-Driven Integration of Imaging, Genetic, and Epigenetic Signals for Alzheimer’s Disease Diagnosis
[NO] 183/1000 | Diagram-Based Learning in Computing Education with Multimodal Language Models
[NO] 184/1000 | Re-Engaging Near-Completion Informatics Students
[NO] 185/1000 | Why Near-Completion Informatics Students Do not Graduate: A Mixed-Methods Study
[YES] 186/1000 | A Framework for Integrating Generative AI in CS Courses
[NO] 187/1000 | Oral Examinations in CS - A Systematic Literature Map
[NO] 188/1000 | 3DGS in Web Gaming: The Shadow of the Czar
[NO] 189/1000 | The Impact of External Libraries on Software Energy Efficiency and Sustainability
[NO] 190/1000 | An Empirical Study of Energy Efficiency Monitoring for Container-Based Data Exchange Systems
[YES] 191/1000 | Towards Energy-Aware LLM Inference for Text2SQL workflows through Context-Driven Model Routing
[NO] 192/1000 | Adaptive MTI–Enhanced Range–Phase NHA for Robust FMCW Radar Micro–Displacement Sensing in Dynamic Environments
[NO] 193/1000 | Revisiting Adversarial Robustness in Large-Scale 3D Vision-Language Models
[NO] 194/1000 | Blockchain-Assisted Privacy-Preserving and Robust Federated Learning in Edge Computing
[NO] 195/1000 | Graph-Enhanced Critic Learning for Cooperative Spectrum Access in Multi-UAV Cognitive Radio Networks
[NO] 196/1000 | FedGMI: Generative Model-Driven Federated Learning for Probabilistic Mixture Inference
[NO] 197/1000 | Battery Management for Lifelong Operation of Warehouse Robots under Dynamic Demand
[NO] 198/1000 | Distributed Nash Equilibrium Seeking for Constrained Zero-sum Games with Time-varying Unbalanced Graphs
[NO] 199/1000 | Single-Round Privacy-Preserving Emergency Alert Protocol for High-Speed V2X Communications
[NO] 200/1000 | Cooperative Covert Communication and Task Offloading for AI-Empowered Multi-UAV Networks
[NO] 201/1000 | M2-SAM2: Rethinking SAM2 with Mamba-MoE for Referring Video Object Segmentation
[NO] 202/1000 | Multiscale and Multiphysics Numerical Analysis of Enteric Nervous Signal Sensing in Wireless Capsule Endoscopy Applications
[NO] 203/1000 | Exact Cost-Increment Formula for Optimal Control of Semilinear Evolution Equations
[NO] 204/1000 | Flexible X-Band Sensing Phased Array With Integrated Strain Sensors for Curvature-Compensated Beam Steering
[NO] 205/1000 | Federated Unlearning via Sparsity-Aware Gradient Ascent
[NO] 206/1000 | Spatio-Temporal Aware Resource Allocation for V2X Communications via Multi-Agent Deep Reinforcement Learning
[NO] 207/1000 | Method for Constructing a Data-driven State Diagnosis Model for New Energy Power Generation Equipment
[NO] 208/1000 | Table of Contents
[NO] 209/1000 | ICP-Net: Exploiting Iterative Consistency of Pseudo-Labels for Cross-Domain Object Detection in Remote Sensing
[NO] 210/1000 | Photonics-assisted mmWave Communication System Based on Constant Envelope OTFS
[NO] 211/1000 | High-capacity reversible data hiding in shared images using difference preservation
[NO] 212/1000 | Confirmation Bias in Large Language Models: Risks for Clinical Decision Support Systems
[NO] 213/1000 | Federated Learning with Enhanced Feature Diffusion
[NO] 214/1000 | Nanoscale-Featured Integrated Photonic Devices in Harsh Radiation Environments
[NO] 215/1000 | Model Pirating and Backdoor Injection Attacks in Data-Free Setting
[NO] 216/1000 | Enhancing Medical Visual Question Answering with Keyword-Region Mapping and Feature-Fusion Consistency Analysis
[NO] 217/1000 | Sequence Recommendation Based on Graph Convolutional Information Fusion and Feature Enhancement
[NO] 218/1000 | MSF-JDE: Identity-Aware Joint Detection and Embedding for Real-Time Multi-Object Tracking
[NO] 219/1000 | ELM-Enhanced PSO Algorithm for Global Optimization
[NO] 220/1000 | Safe: a Semantic-Aware Flexible Evaluation Framework for Large Language Models-Based Sentiment Analysis
[NO] 221/1000 | Gesture-Controlled Hospital Bed Using IoT for Patient-Centric Care
[NO] 222/1000 | Architectural Design and Key Technologies of Cross-Domain Heterogeneous Computing Power Resource Interconnection Platform
[NO] 223/1000 | Back Cover
[NO] 224/1000 | Eye-Tracking-Based Modeling of Emotional and Engagement States in Human–Computer Interaction
[NO] 225/1000 | Scene Graph Generation Based on Language Model Assistance
[NO] 226/1000 | Race Condition Attack on E2 Subscription in O-RAN Near-RT RIC
[NO] 227/1000 | Closing the Affective Loop in Human-Robot Conversation with Multimodal Affect-Aware Dialogue System and Adaptive Speech Expressiveness
[NO] 228/1000 | Bootstrapped Unseen Prototypes for Few-Shot Inspired Generative Zero-Shot Learning
[NO] 229/1000 | Focus Preservation Index: A Perceptually Aligned Metric for Multi-Focus Image Fusion Evaluation
[NO] 230/1000 | Deep Learning-Based Abnormal Signal Detection and Dynamic Control of Frequency Selective Surfaces
[NO] 231/1000 | MotionSentinel: ICU Patient Action Recognition Based on an Improved SlowFast Network
[NO] 232/1000 | Comparative Analysis of Machine Learning Algorithms for Spine Condition Classification: A Multi-Strategy Evaluation Framework
[NO] 233/1000 | Uncertainty-guided and Progressive Learning for Semi-supervised Histopathological Image Segmentation
[NO] 234/1000 | LKED: Prompt-Tuning Large Language Models for Knowledge Graph Error Detection and Correction
[NO] 235/1000 | Multi-Modal Diffusion Network for Medical Image Classification via Imaging and Clinical Data Fusion
[NO] 236/1000 | MedRex-CMG: Medical Retrieval-Enhanced Cross-Modal Generative VQA with CNN Local Features
[NO] 237/1000 | A Hybrid Mamba-Transformer Multi-Scale Method for Occupancy Prediction in Electric Vehicle Charging Stations
[NO] 238/1000 | A Hybrid AI and Blockchain-Enabled Zero-Trust Security Framework for Cloud, Edge, and IoT Systems
[NO] 239/1000 | Efficient Indexing CP-ABE Mobile Healthcare Data Sharing Scheme with Policy Hiding
[NO] 240/1000 | Adaptive Hybrid Machine Learning Model for Real-Time Intrusion and Anomaly Detection in Vanet Environments
[NO] 241/1000 | Design and Performance Analysis of a 4-Element 28 GHz MIMO Antenna for 5G mmWave Applications
[NO] 242/1000 | AI-Assisted Dynamic Treatment Recommendation System for Chronic Conditions
[NO] 243/1000 | LLM-Enhanced Probabilistic Forecasting of Multivariate Time Series Using Parallel Spatio-Temporal Encoding
[NO] 244/1000 | A Two-Stage Collaborative Approach in Lung CT Image Analysis for Clinical Decision Support
[NO] 245/1000 | Cross-Domain Trajectory Design and Resource Management for UAV-assisted MEC by Federated Multi-Agent Deep Reinforcement Learning
[NO] 246/1000 | GEFS:APT Tactic/Technique Recognition via Generative and Evolutionary Few-Shot Learning
[NO] 247/1000 | A Game Theory Dynamic Incentive Optimization Model for Decentralized Federated Learning
[NO] 248/1000 | TAHOA-HGNN: Temporal-Aware High-Order Attention Hypergraph Neural Network for APT Detection
[NO] 249/1000 | HERA: Fusing Deliberative Reasoning and Adaptive Hypernetworks for Knowledge-Enhanced Multimodal Sentiment Analysis
[NO] 250/1000 | EviRFDBind: A Framework for Trustworthy Binding Site Prediction by Decoupling Features and Evidential Uncertainty
[NO] 251/1000 | Permission-Based Risk-Aware Multigroup Multirole Assignment
[YES] 252/1000 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[NO] 253/1000 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[YES] 254/1000 | How Robustly Do LLMs Understand Execution Semantics?
[NO] 255/1000 | AI-Generated Traces for Novice Programmers: Learning Effects and Learner Differences in a Multi-Institutional Study
[NO] 256/1000 | Q-Aware: A Lightweight Crosscutting Track for Preparing Quantum-Aware Software Developers
[NO] 257/1000 | Effects of Mastery-Inspired Checkpoint Quizzes in a Large Introductory CS Course: A Mixed Methods Study
[NO] 258/1000 | Assessing Best Practices Adherence in Software Engineering Education Through Data-Driven Compliance Analytics
[NO] 259/1000 | Investigating Alignment Between Computing Students' Self-Reported and Verbalized Self-Regulated Learning Behaviors
[NO] 260/1000 | LLM-led Socratic Dialogues on Ethics in Computing
[NO] 261/1000 | Smells Like Memory: Reconstructing Virtual Autobiographical Spaces Through Scent in VR
[NO] 262/1000 | Spatial-Spectral Flow Guidance and Dynamic Reconstruction for Few-Shot Open-Set Hyperspectral Recognition
[NO] 263/1000 | Toward Generalizable AI-Generated Image Detection with a New Realistic Dataset: Performance Evaluation and Improvement
[NO] 264/1000 | BRepCGC: Reconstruct CAD feature from Boundary-Representations
[NO] 265/1000 | SavorLink: Designing a Collaborative and Multimodal Dietary Management System for Rural Elderly
[NO] 266/1000 | PGMAF: Prototype-Guided Modal Adaptive Fusion for Multimodal Sentiment Analysis
[NO] 267/1000 | A Proactive Fault-Recovery Framework for Multi-Robot Task Allocation Using Successor Pre-Assignment
[NO] 268/1000 | HALI: A Hotspot-Aware Learned Index
[NO] 269/1000 | Knowing from Routers: An Indoor Layout Estimation Method based on the RSSI Signal
[NO] 270/1000 | Scene Text Recognition with Graph Adaptive Attention
[NO] 271/1000 | CurveHunter: A Multi-Agent Vision-Language System for Automated Adsorption Isotherm Curve Extraction
[NO] 272/1000 | Collaborative Multi-Task Scheduling of Agricultural Machinery Using Deep Reinforcement Learning
[NO] 273/1000 | CSCWD 2026 Cover Page
[NO] 274/1000 | CPFI: Training on TLS 1.2, Detecting over TLS 1.3 for Malicious Traffic Identification
[NO] 275/1000 | LLMaaD: LLM-Based Multi-Agent Framework for Interpretable Log Anomaly Detection
[NO] 276/1000 | SteerThink: Activation-Level Overthinking Attacks on Large Reasoning Models
[NO] 277/1000 | ProtoFormer: A Transformer with Global Prototype Interaction for Multivariate Time Series Forecasting
[YES] 278/1000 | FusionSeed: Seed Generation for Protocol Fuzzing via Knowledge Fusion and PCSG-Guided LLM
[NO] 279/1000 | Mitigating Gender Bias in Depression Detection via Counterfactual Inference
[NO] 280/1000 | Reliable and Privacy-Preserving Distributed Learning for IIoT: A Cross-Layer Approach
[NO] 281/1000 | A Dual-Top-Electrode ScAlN-Based Piezoelectric Micromachined Ultrasound Transducer with Series-Connected Electrode Topology for Enhanced Receiving Sensitivity
[NO] 282/1000 | RF-Fencing: A Novel RIS-Based Service for Signal Suppression via Codebook Multiplexing
[NO] 283/1000 | Exploring Bus Stop Mobility Pattern with Temporal Variation: A Multi-Period Prediction Framework
[YES] 284/1000 | IntrinTrans: LLM-based Intrinsic Code Translator for RISC-V Vector
[NO] 285/1000 | Making the Best of Both Worlds: Universal Perturbations for Live Black-Box Evasion against NIDS in Encrypted Traffic
[NO] 286/1000 | A Federated Learning Model for Heterogeneous Data Based on Client Clustering and Model Fusion
[NO] 287/1000 | An Algorithm Model based on Physics-Informed Neural Network for Solving Burgers Equation
[NO] 288/1000 | Detecting Sybil Attacks in Cross-Chain Transactions: A Multi-Stage Framework
[NO] 289/1000 | Co-Design of Matching and Incentive Mechanisms for V2V Charging: A Dynamic Reward Framework
[NO] 290/1000 | EPIL-Attention: An Edge-Position-Illumination-Layout Guided Attention Mechanism for Fault Detection in Spinning Equipment Operation
[NO] 291/1000 | When the Manual Lies: A Realistic Benchmark to Evaluate MCP Poisoning Attacks for LLM Agents
[NO] 292/1000 | Zero Knowledge Proofs of Inference for Neural Networks with Enhanced Privacy Protection
[YES] 293/1000 | ChipHier: A Partitioning and Optimization Framework for Large-Scale Chip Design
[NO] 294/1000 | Incremental Learning for XGBoost via Knowledge Consolidation
[NO] 295/1000 | Multi-Agent Reinforcement Learning for Resource Allocation in Aerial Edge Computing
[NO] 296/1000 | Sparse Model Compression: Deep Learning for Dimensionality Reduction in Multidimensional Databases
[NO] 297/1000 | Scalable Proactive Cyber Threat Forecasting Architecture Using Self-Supervised Learning and Reinforcement-Driven Decision Policies
[NO] 298/1000 | Mitigating Hallucination on Hallucination in RAG via Ensemble Voting
[NO] 299/1000 | AI-Driven Precision Farming for Cardamom Cultivation in Idukki District, Kerala
[NO] 300/1000 | Sim-to-Real Transfer Learning for Humanoid Robot Control: A Mini-Review
[NO] 301/1000 | 6LLM: Large Language Model–Enabled Scalable and Seedless IPv6 Prefix Target Generation
[NO] 302/1000 | Smart Seismic Alert System: An AI-Based Approach for Early Earthquake Detection
[NO] 303/1000 | Committees
[NO] 304/1000 | TGRA-Net: Text-Guided and Role-Aware Network for Multi-Image Social Event Detection
[NO] 305/1000 | Optimal Strategy Revision in Population Games: A Mean Field Game Theory Perspective
[NO] 306/1000 | PAMPS: Path-Aware Adaptive Multi-Subflow Parallel Scheduling for LLM Training Workloads
[NO] 307/1000 | Graph Neural Network Architectures for Complex Pattern Modelling
[NO] 308/1000 | Spur Gear Fault Diagnosis Using Deep Learning with Wavelet Feature Attention and Spike Encoding
[NO] 309/1000 | Genetic Programming-Based Evolutionary Strategy Generation for Complex Optimization
[NO] 310/1000 | Tri-Sequence-Based Ant Colony Optimization for Facility Location Allocation in Emergency Medical Service Systems with Unmanned Aerial Vehicles
[NO] 311/1000 | Integration of Emotion-Aware Multilingual NLP and Persuasive Dialogue Modeling for Context-Aware AI Voice Agents
[NO] 312/1000 | Robust MRI Brain Tumor Classification Using Resnet-Based Transfer Learning
[NO] 313/1000 | DAFformer:A Dual Adaptive Fusion Transformer with Multi-Scale Time-Channel Integration for Multivariate Time Series Forecasting
[NO] 314/1000 | LCDSR-3D : LoRA-tuned Conditional Diffusion Model for 3D Appearance Super-Resolution
[NO] 315/1000 | A Comparative Analysis of Parameter Impact on PSO, GA, and ACS for Multimodal Function Optimization
[NO] 316/1000 | Blockchain-Enabled Trust Fabric for Secure Multi-Cloud Interoperability
[NO] 317/1000 | Design, Fabrication and Testing of 28 GHz Uniform Linear Array and Coprime Array
[YES] 318/1000 | A 1.6 GHz Silicon-Validated Learning-Based AXI4 Interconnect with Hardware-Embedded RL Arbitration for QoS-Critical Heterogeneous Systems
[NO] 319/1000 | PNI-ACO: Pheromone-Aware Neural Improvement for Ant Colony Optimization on the Traveling Salesman Problem
[NO] 320/1000 | Smart Autofocusing in In-Line Holography applying a Deep Regression Model
[NO] 321/1000 | Dual-Stream Transformer with Psychoacoustic Synergy for Dynamic Music Emotion Recognition
