[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[NO] 20/1755 | Market tallies: minimal information for efficient trade
[NO] 21/1755 | Maximal subextension of $m$-subharmonic functions
[NO] 22/1755 | Conspiracy Theory Rabbit Holes Emerge via Interacting Contagions
[NO] 23/1755 | One Model, Many Graphs: Learning over Attributed Graphs across Heterogeneous Modalities with Vision-Language Models
[NO] 24/1755 | Invariants of the extended twisted $h$-Yangian
[NO] 25/1755 | Fast reconstruction of tensor tomographic X-ray scattering data for real-time applications
[NO] 26/1755 | Dynamical formation of long-period exoplanets systems in evolving binary stars
[NO] 27/1755 | CR-Refiner: An Object-Centric Optimal Transport Reranker for Edit-Conditioned 3D Scene Retrieval
[NO] 28/1755 | Modes in Transitional Millisecond Pulsars: Evidence of Pulsar Wind-Induced Disk Heating from GRMHD and Radiative Transfer
[NO] 29/1755 | GATE-3D: Geometry-Aware Test-time Adaptive Reranking for Open-Set 3D Shape Retrieval
[NO] 30/1755 | Translation as Augmentation: Effect of Translated Data on Assessment of Difficulty
[NO] 31/1755 | FlexiAvatar: Unified 3D Gaussian Human Avatars Under Arbitrary Body Visibility
[NO] 32/1755 | Doping tunable charge density waves in misfit layer compounds
[NO] 33/1755 | Structured Spectral Compression based Low-Bitrate Secure Speech Communications for Internet of Things assisted Non-Terrestrial Networks
[NO] 34/1755 | DAIS: Dependency-Aware Intermediate QA Supervision for Complex Reasoning
[NO] 35/1755 | The Influence Function of Transport-based Quantiles
[NO] 36/1755 | On the Effectiveness of Pretraining for Graph Combinatorial Optimization
[NO] 37/1755 | Delineate Anything v2: A Global Foundation Model for Field Delineation
[NO] 38/1755 | Metric completion of the Bender--Brody--Müller Hamiltonian: dilation spectrum and missing eigenstates
[NO] 39/1755 | The Research and Development of New Electronics Systems and Testing on the JNE-1ton Prototype Detector
[NO] 40/1755 | Quality Action Assurance: Multimodal Verification of Examiner Claims in VR OSCEs
[YES] 41/1755 | Vector-Bench: Can Models Surgically Edit SVG Code?
[NO] 42/1755 | A Bayesian Approach to Causal Cure Models
[NO] 43/1755 | Benchmarking Human and Automatic Speech Recognition of Diverse Speech: Initial Results
[NO] 44/1755 | Contrastive On-Policy Distillation
[NO] 45/1755 | CoGoal3D: Collaborative 3D Object Detection with 3D-Aware Fusion and Refinement
[NO] 46/1755 | Analysis Preservation and Reproducibility in Collider Physics: An ADL/CutLang Implementation of ATLAS Open Data Analyses
[NO] 47/1755 | 3d SUSY enhancement with non-trivial Coulomb branch via 4d $\mathcal{N}=2$ SCFT
[NO] 48/1755 | A Coordination Theory of NHS Whistleblowing Failure
[NO] 49/1755 | Resolving the $T_{cc}^+$ with $π$ Exchange from Lattice QCD
[NO] 50/1755 | Spectral and Geometric Stability for the Reciprocal Sum of Neumann Eigenvalues
[NO] 51/1755 | MedDDC-Eval: Diagnosis-Decoupled Evaluation of Multi-Turn Medical Consultation Agents
[NO] 52/1755 | DobicVLM: Aligning Chest X-Ray Report Generation with Clinically-Grounded Programmatic Rewards via Group Relative Policy Optimization
[NO] 53/1755 | Mi-Memory: A Lifecycle Memory Framework for Personal AI
[NO] 54/1755 | Influence of local and global solar magnetic fields on medium-term forecasting of the number and parameters of coronal mass ejections
[NO] 55/1755 | All-angles bisection of polygon area
[NO] 56/1755 | Variational meta-learning inference for low dimensional neural system identification
[NO] 57/1755 | Build-Authorized Evidence for Opaque Calls: A Fail-Closed Rewrite-Authority Boundary
[NO] 58/1755 | Border Bases and Border Basis Schemes
[NO] 59/1755 | Bose-Einstein Condensates in Time Dependent Traps
[NO] 60/1755 | The Twist Decomposition of Serial Robots Under Lower-Mobility Tasks
[NO] 61/1755 | NGPS: GPS-Denied Aerial Geo-Localization and 2.5D Reconstruction via Deep Satellite Image Matching and Multi-Rate Sensor Fusion
[NO] 62/1755 | Phase equilibria in MnSb2Te4-GeSb2Te4 system and magnetic properties of Mn1-xGexSb2Te4 solid solutions
[NO] 63/1755 | Learning Explicit Physical Parameter Control and Benchmarking for Video Generation
[NO] 64/1755 | Circuit Claims Depend on What Is Extracted and How It Is Compared
[NO] 65/1755 | On the Complexity of Graph Edit Distance in Restricted Graph Classes
[NO] 66/1755 | Stretched exponential asymptotics for bases of triangular bootstrap percolation
[NO] 67/1755 | Switchable selective backscatter modulation via the Kerker effect
[NO] 68/1755 | On Diophantine $m$-tuples related to primitive elements of finite fields
[NO] 69/1755 | Flexible Intelligent Metasurface-Aided ISAC: User Fairness Optimization and Performance Evaluation
[NO] 70/1755 | A sublinear bound for the regularity of subspace arrangements
[NO] 71/1755 | Deterministic cascade coarsening in a Bistable Gene Toggle model
[NO] 72/1755 | Data-aided Channel Estimation and Sensing With Sparse Bayesian Learning for AFDM-ISAC System
[NO] 73/1755 | Electrically-pumped near-infrared VCSEL epitaxially-grown on Si
[NO] 74/1755 | On Generalized (Conformal) Killing Tensors
[NO] 75/1755 | Learning sufficient low-dimensional structures through conditional optimal transport
[NO] 76/1755 | Regime-Aware Physics-Guided Early Warning of Lithium-Ion Battery Thermal Runaway Using Thermo-Mechanical Signals
[NO] 77/1755 | Muon pair production in electron-positron collisions close to threshold in the presence of a strong laser field
[NO] 78/1755 | Pose-Parameterized Motion Planning and CBF-QP Self-Collision Filtering for a Long-Reach Drilling Boom
[NO] 79/1755 | The isomorphism problem for random generalized Baumslag-Solitar groups with many edges
[NO] 80/1755 | Defrosting the Born-Infeld dyonic frozen star with tachyon matter: spectrum of oscillations
[NO] 81/1755 | Torsionful Killing-Yano Forms under T-Duality: Transformation Conditions and Emergent Isometries
[NO] 82/1755 | Automated higher-order predictions for ultra-peripheral collisions with full impact-parameter dependence
[NO] 83/1755 | On the Computational Complexity of Local and Global Covering Numbers
[NO] 84/1755 | Evaluating medical AI under missing information: same-provider judges and human raters change apparent safety
[NO] 85/1755 | Wave chirality reversal without passing achirality
[YES] 86/1755 | VirtualSet: Typed Ontology Worlds as an LLM Generation Target for Grounded Queries and Guarded Decisions
[NO] 87/1755 | Cloud failure and cyber insurance: calibration of stress scenarios and diversification
[NO] 88/1755 | A method for energy and radius reconstruction with simulated charge information in a ton-scale liquid scintillator detector like Taishan Antineutrino Observatory
[NO] 89/1755 | Beyond Transformers: Linear Attention Policy for Open-Vocabulary Object Goal Navigation
[NO] 90/1755 | Moving Alphabet: A Controlled Study of Training Data for Text-to-Video Generation
[NO] 91/1755 | Conductivity of the Landau levels of two-dimensional Dirac cones and gapped nodal-rings in the quantum limit under impurity-potentials
[NO] 92/1755 | Cross-Modal UAV Object Tracking: State-Aware Representation Learning and A Unified Benchmark
[NO] 93/1755 | Bounding Boxes to Improve Small Language Model Performance on Vision-Based Grading Tasks
[NO] 94/1755 | Weakly Supervised Pathology-Informed Representation Learning for PET-Based Content Retrieval of Intra-Tumour Heterogeneity
[NO] 95/1755 | Semi-Analytical Model for the Evolution of Stellar Binaries in the Empty Loss Cone of Massive Black Holes
[NO] 96/1755 | Polynomiality of Stretched Schubert Structure Constants and Key Coefficients
[NO] 97/1755 | Regularity and depth of binomial ideals arising from combinatorics
[NO] 98/1755 | How defensive driving enhances driving safety: A driving simulator study on drivers' defensive driving behaviors
[NO] 99/1755 | MVP-Tac: A Miniaturized Dual-Modal Vision and Photoelastic Tactile Sensor for Robot-Assisted Minimally Invasive Surgery
[NO] 100/1755 | The Price of Hidden Curvature: An $\widetildeΩ (d^{5/4} \sqrt{T})$ Lower Bound for Bandit Convex Optimization
[NO] 101/1755 | Time-Domain Axion Searches with Magnetic White Dwarfs
[NO] 102/1755 | A Reexamination of Noise-Driven Robustness Evolution in Gene Regulatory Networks
[NO] 103/1755 | Semantic-Aware Data-Aided Channel Estimation with Large Language Models for MIMO Systems
[NO] 104/1755 | End-to-end Conditional Diffusion for Realistic and Controllable Visual Traffic Scenario Generation
[NO] 105/1755 | Dead Reckoning: Counting Your Customers Who Never Say Goodbye
[NO] 106/1755 | A common finite-density charge-symmetry-breaking response in mirror displacement energies and charge radii
[NO] 107/1755 | On a certain arithmetic function defined via Bernoulli numbers
[NO] 108/1755 | A Self-Evolving Default Action for Cooperative Tasks with Continuous Action Space
[NO] 109/1755 | The XMM-Newton Line Emission Analysis Program (X-LEAP) III: Earth's Magnetospheric X-ray Emission Revealed by 22-Year XMM-Newton Observations
[NO] 110/1755 | Quantum sensing of low-frequency electric signal enabled by modulated auxiliary field in Rydberg atoms
[NO] 111/1755 | LFV decays in a 3-3-1 model with singlet leptoquarks
[NO] 112/1755 | Estimating stellar metallicities from Gaia DR3 XP data using LAMOST DR10
[NO] 113/1755 | What the Waveform Knows: Transparent-first Speech and Audio Intelligence with Caption Studio
[NO] 114/1755 | Geometry-Induced Hodge Stars on Rips and Dowker--Rips Complexes
[NO] 115/1755 | Semantic Primes as Explanans for Emotion in Large Language Models
[NO] 116/1755 | Quadrature magnetoresistance scaling reflects linear field dependence rather than strange metallicity
[NO] 117/1755 | Joint Synchronization and Sensing in Networked ISAC via Structured Canonical Polyadic Decomposition
[NO] 118/1755 | Free energy landscape of Dense Associative Memory
[NO] 119/1755 | Error Bound and Stability Analysis for a Randomized Singly Diagonally Implicit Runge-Kutta Method
[NO] 120/1755 | Rank-Based Estimation of U-Shaped Biomarker Risk Curves and Critical Points for Time-to-Event Outcomes
[NO] 121/1755 | Weighted Inverse Lax-Wendroff Boundary Treatment of Discontinuous Galerkin Methods for Conservation Laws
[NO] 122/1755 | RoboInter1.5: A Holistic Intermediate Representation Suite for Embodied World Modeling and Robotic Manipulation
[NO] 123/1755 | Stochastic template banks for GW searches using low-discrepancy sequences
[NO] 124/1755 | Text Template Tokens Are Implicit Semantic Registers in Diffusion Transformers
[NO] 125/1755 | Quantum-Enhanced Multi-Objective Optimization
[NO] 126/1755 | Provable diffusion-based posterior sampling for linear inverse problems via DDIM
[NO] 127/1755 | Appearance Pointers -- Multimodal Region Control of Diffusion Transformers
[NO] 128/1755 | Improved Strongly Polynomial Work-Span Tradeoffs for Directed Single Source Shortest Paths
[NO] 129/1755 | ExpertVerse: A General-Purpose Benchmark for Expert-Level Reasoning in Knowledge-Intensive Visual Synthesis
[NO] 130/1755 | On the $\mathcal{A}$-transcendence of a Champernowne-type constant
[NO] 131/1755 | Efficient strain-space hyperreduction in large-deformation solid mechanics
[NO] 132/1755 | SoK: Adversarial Robustness of the Variational Quantum Eigensolver via Red-Teaming
[NO] 133/1755 | Staypoint Detection from Noisy Trajectory Data [Experiment Paper]
[NO] 134/1755 | Complete Hierarchy of Nonrelativistic Odd-Parity Spin Splitting in Collinear Magnets
[NO] 135/1755 | LLM Detection as an Intervention: Downstream Impact under Strategic User Behavior
[NO] 136/1755 | The complete massless singlet spectrum in the free-field construction of heterotic strings on Calabi--Yau orbifolds
[NO] 137/1755 | A general estimation framework for continuous-variable systems
[NO] 138/1755 | Steady States of a Single Trapped-Ion Spin Coupled to an Engineered Non-Markovian Bath
[NO] 139/1755 | Stochastic Multi-Objective Kinodynamic Planning Against Adversaries
[NO] 140/1755 | Calibration of the AdvancedVirgo+ Gravitational Wave Detector and Reconstruction of the Detector Strain h(t) during the Observing Run O4
[NO] 141/1755 | Toward Auditable Fraud Detection: Combining Graph Features, Model Explanations, and Agentic Case Investigation
[NO] 142/1755 | A Local Macroscopic Conservative Low-Rank Discontinuous Galerkin Method for the Vlasov-Poisson Equation with Dougherty-Fokker-Planck Collisions
[NO] 143/1755 | A Flexible Sparsity-Aware FPGA Accelerator with Column-Wise Compression for Efficient CNN Inference
[YES] 144/1755 | PTSan: A Practical Memory Safety Sanitizer for C/C++ with Pointer-Object Authority
[NO] 145/1755 | Determinantal Point Process Approximation under Positive and Negative Dependence
[NO] 146/1755 | AutoIndex: Learning Representation Programs for Retrieval
[NO] 147/1755 | GARTFIMA Models: A Class of Observation-Driven Models with Tempered Fractional Dynamics
[NO] 148/1755 | Magnetic exchange interactions in the molecular orbital spin system NaV2O5 from a distributed moment point of view
[NO] 149/1755 | Biological Amnesia in ICU Time-Series Prediction: A Drift-Adaptive Two-Stream Architecture with Temporal Retrieval
[NO] 150/1755 | Gaussian Boson Sampling for Asset Clustering in Statistical Arbitrage Portfolios
[NO] 151/1755 | Sarus: Privacy-Preserving Multi-Vendor Perception Fusion via Homomorphic Encryption
[NO] 152/1755 | Deep learning-based prediction of time-resolved adhesive forces in viscoelastic Hertzian contacts
[NO] 153/1755 | Integrable multi-species SSEP with reactive particle species
[NO] 154/1755 | Lower Bounds on Spectral Gaps of Parent Hamiltonians via Tensor Networks
[NO] 155/1755 | FinanceComplexQA: Benchmarking Agentic Reasoning on Industrial-grade Financial Documents
[NO] 156/1755 | Stacky Framework for the Classification of Singular Fibers in Fibered Surfaces
[NO] 157/1755 | Integral representation of the neutrino mass-squared differences
[NO] 158/1755 | Agents in the Wild: Where Research Meets Deployment
[NO] 159/1755 | Refined parameters, formation, and dynamical stability of the wild exoplanet system K2-312=HD 80653
[NO] 160/1755 | ResearchArena: Evaluating Sabotage and Monitoring in Automated AI R&D
[NO] 161/1755 | Dark matter searches with a 13 meV threshold superconducting sensor array
[NO] 162/1755 | Eccentricity-Constrained CNN Training Reveals Adaptive Information Coding Around the Visual Field
[NO] 163/1755 | ERank in Latent Space as an Image-Complexity and Richness Measure
[NO] 164/1755 | Distributed Delay-Based BIST for Mixed-Signal Circuits in Flexible Electronics
[NO] 165/1755 | Riemannian Deep Learning:Modules, Networks, and Geometries
[NO] 166/1755 | Real-time optimal control with shallow recurrent decoder networks
[NO] 167/1755 | Optomechanical transfer factors for scattered light noise estimations in the beamtubes of ground-based gravitational wave detectors
[NO] 168/1755 | Gravitational wave echoes as probes of the maximum mass of strange stars in quadratic curvature-matter coupled gravity
[NO] 169/1755 | Graph-Based Agentic AI with LangGraph: Workflow Pathways for Long-Running Stateful Business Processes
[NO] 170/1755 | Metamodel-based methodology for uncertainty propagation and global sensitivity analysis of tailings dam-breach flows
[NO] 171/1755 | Compactification of the fifth Painlevé foliation
[NO] 172/1755 | A complete solution to the Boots-Royle/Cao-Vince conjecture
[NO] 173/1755 | PathAgentBench: Benchmarking Evidence-Seeking Vision-Language Models on Whole-Slide Pathology Image
[NO] 174/1755 | Basic properties of kappa classes
[NO] 175/1755 | Variational Bayesian Sparse Negative Binomial Regression
[NO] 176/1755 | Indexing Range Maximum-Sum Segment Queries with Offsets
[NO] 177/1755 | Raman-Assisted Multiband Nonlinear Frequency-Conversion Network in a High-Q LTOI Microdisk
[NO] 178/1755 | Binary quadratic forms and elliptic curves with analytic rank one
[NO] 179/1755 | Find Before You Fine-Tune: A Diagnostic Study of Small LLMs for Cybersecurity QA
[NO] 180/1755 | Basic Zero Divisor Mathematics (I)
[NO] 181/1755 | An Efficient Fault-Tolerance Scheme for CKKS Computation on CPUs
[NO] 182/1755 | Summary of DCASE 2026 Task 5: Audio-Dependent Question Answering
[NO] 183/1755 | $\tilde{O}$ptimal Algorithm for 2-Approximate All Pair Shortest Paths -- almost
[NO] 184/1755 | A Reversible Continuous-Variable Photonic Memory Architecture Based on Displacement-Evolved Coherent-State Dynamics
[NO] 185/1755 | Universal scaling between magnetar field and initial spin period for short gamma ray bursts
[NO] 186/1755 | Admissible bases and generic lattice ideals
[NO] 187/1755 | The Price of Quietness: How a Pandemic Affects City Dwellers' Response to Road Traffic Noise
[NO] 188/1755 | PeakFlow: Peak-Guided Coarse-to-Refined Modeling for EEG-Based Dynamic Affective Trajectory Prediction
[NO] 189/1755 | Level structures and cyclic power operations on the homology of $\mathbb{E}_\infty$ spaces
[NO] 190/1755 | Strong Colouring of the Qualitative Independence Hypergraph $3\text{-}QI(11,2)$
[NO] 191/1755 | Fusion Embedding: A Unified Embedding Space for Text, Image, Video, and Audio
[NO] 192/1755 | Morphology-spin connection in the SAMI Galaxy Survey
[NO] 193/1755 | Current-Sheet Formation in Electron Magnetohydrodynamics with Split Fractional Dissipation
[YES] 194/1755 | Spaghetti Architect: A Contamination-Resistant, By-Construction-Labelled, Multi-Language Code Dataset Generator
[NO] 195/1755 | Deep Learning Estimation of Sex, Age, Height, and Weight from CT-derived Digitally Reconstructed Radiographs
[NO] 196/1755 | Some New Sufficient Conditions for a Graph to be $l$-Deficient
[NO] 197/1755 | Hospitals/Residents with Inseparable Couples: Finding a Coalition-Stable Assignment Is NP-Hard
[NO] 198/1755 | Searching for Plans You Can Actually Build: A Realizability-Aware Full-Space Optimizer for MoE Training and Serving
[NO] 199/1755 | BlurDriving: Investigating How Personalized Blur Techniques Impact Drivers' Performance in Virtual Reality
[NO] 200/1755 | Periodic Orbits and Gravitational Wave Signatures around the Bonanno--Reuter Regular Black Hole
[NO] 201/1755 | PLAID-PRF: Pseudo-Relevance Feedback with Centroid-like Tokens in PLAID
[NO] 202/1755 | CPInj: Uncovering Prompt Injection Risks in Textual Collaborative Prompt Optimization
[NO] 203/1755 | LatentMT: Machine Translation with Latent Reasoning
[NO] 204/1755 | Spontaneous optical emission of a randomly oriented chiral quantum source
[NO] 205/1755 | End-to-End Markov State Sequence Learning for Auditory Attention Decoding
[NO] 206/1755 | Intelligent Multi-UAV Navigation in ITNTNs: A Hierarchical LLM Approach
[NO] 207/1755 | Homological rigidity and Schur rigidity of Schubert varieties in rational homogeneous spaces
[NO] 208/1755 | Stereochemical Vacuum Gap Explains Out-of-Plane Thermal Insulation in MXenes
[NO] 209/1755 | A note on analytic continuation to Minkowski space relevant for $^3P_0$ decay-model phenomenology
[NO] 210/1755 | Negative-parity high-spin structure of 105Pd
[NO] 211/1755 | OntoBook: Ontology-Grounded Synthetic Textbooks for Medical Encoder Pretraining
[NO] 212/1755 | Towards a reproducible cross-venue method for quantifying crowd noise in stadiums
[NO] 213/1755 | Reasoning Error from Known Fact: Step-Level Self-Consistency Group Relative Policy Optimization for LLM
[NO] 214/1755 | Breaking Feedback-Blindness: Utility-Augmented Transformer for Sequential Decision Making
[NO] 215/1755 | SynGallery: A Synthetic Gallery of Real Paintings for Instance-Level Artwork Recognition
[NO] 216/1755 | On degenerate geometric rank
[NO] 217/1755 | Thinking Fast, Thinking Slow: Adaptive Multimodal Transformer-based Sensor Fusion for Depth Estimation on Ultra-low-power MCUs
[NO] 218/1755 | Metric entropy of the space of holomorphic functions
[NO] 219/1755 | NaviAIS: A Scenario-Level Vessel Trajectory Prediction Dataset withVectorized Lane Priors and the NaviLane Forecasting Framework
[NO] 220/1755 | Prime and N-Prime graphs of solvable uniformly semi-rational groups
[NO] 221/1755 | The Complexity of Domatic Criticality
[NO] 222/1755 | Physics-Informed Super-Resolution of Atmospheric Data
[NO] 223/1755 | Absence of hidden analytic conserved quantities in harmonically confined rods
[NO] 224/1755 | Enhanced NQS via Annealed Gradient Descent
[NO] 225/1755 | Quantum Dynamics of $H_2^+$ in Orthogonal Two-Color Fields
[NO] 226/1755 | A generic construction of free algebras in varieties of Hilbert algebras and Brouwerian semilattices
[NO] 227/1755 | ABOPD: Antibody CDR Design via On-Policy Distillation
[NO] 228/1755 | CASE: Causal Alignment and Structural Enforcement for Improving Chain-of-Thought Faithfulness
[NO] 229/1755 | In-Context Learning for Wound Classification with Small Multimodal Language Models
[NO] 230/1755 | Mixing-Law Uncertainty in Multivariate Normal Mean-Variance Mixtures: Semi-parametric Estimation and Robust Cumulative-Prospect Decisions
[NO] 231/1755 | Tidal Deformability of Neutron Stars in Bumblebee Gravity: Probing Lorentz Symmetry Breaking with Gravitational Waves
[NO] 232/1755 | KIC 6464285: A Solar-type Eclipsing Binary in a Hierarchical Triple System with Quasi-periodic Out-of-eclipse Modulations
[NO] 233/1755 | QScheduler: Adaptive Gradient Sampling for Zeroth-Order On-Device Training on INT8 NPUs
[NO] 234/1755 | Domain Walls From Confining Bubbles: $SU(N_{c})$ Yang Mills at Finite $θ$
[NO] 235/1755 | Quantum Sensing Beyond Exceptional Points via Hidden symmetry-protected vacuum-noise fixed point
[NO] 236/1755 | SkillSight: Seeing Through Shared Descriptions for Accurate Skill Retrieval
[NO] 237/1755 | Sharp weighted Carleman and Huber isoperimetric inequalities on the unit ball in higher dimensions
[NO] 238/1755 | Directional Derivatives and Error Bounds of Merit Functions in Vector Optimization
[NO] 239/1755 | Tau functions and correlation functions of the bosonic universal character hierarchy
[NO] 240/1755 | CGMap: A Geospatially Aware Deep Learning Framework for Crop Gap Mapping Using UAV
[NO] 241/1755 | The spaces of Kähler and holomorphically tamed symplectic forms on closed 4-manifolds
[NO] 242/1755 | PertReason: A Knowledge-Grounded Benchmark and Framework for Cell-State-Conditioned Mechanistic Reasoning of Perturbation Effects
[NO] 243/1755 | Formulation-Level Auto-Tuning for QUBO-Based Machine Learning: A Case Study Across Multiple Quantum-Inspired Annealers
[YES] 244/1755 | High-Level Synthesis of Efficient Pipelines with Visibility Control
[NO] 245/1755 | Koopman DCM: Unstable Eigenfunctions as Data-driven Representations for Legged Balancing
[NO] 246/1755 | A Second-Moment Theory for Floating-Point Reduction Trees
[YES] 247/1755 | TrapHunter: Exposing Covert Pathways in Trap Token Contracts
[NO] 248/1755 | Contraction-Gauge Preconditioning for Quantized Matrix Multiplication
[NO] 249/1755 | Good access to the crack and integrability of the full gradient for Griffith almost-minimizers in the plane
[NO] 250/1755 | Quarkyonic Stars with Strangeness
[NO] 251/1755 | Manifest charge-transfer physics in T$^\prime$-La$_2$NiO$_4$
[NO] 252/1755 | Do LLMs Ask the Right Questions? Evaluating GPT-Generated Surveys as Instruments for Measuring Social Attitudes
[NO] 253/1755 | Assessment in Team Problem-Solving Exercises in Computing Education
[NO] 254/1755 | Homogeneous hypergraph regularity lemmas via $k$-strong honest definitions
[NO] 255/1755 | Cognitive Dual-Process Planning for Autonomous Driving with Structured Scene Knowledge and Verifiable Reasoning-Action Consistency
[NO] 256/1755 | The Dimension Conjecture for 2-Nondegenerate Hypersurfaces
[NO] 257/1755 | Exploring Self-Organization of Charged Dust Dimers in Plasma
[NO] 258/1755 | Automated Extraction of Techno-Economic Data from 76,000 Energy System Studies
[NO] 259/1755 | Identifying and Determining Atmospheric Parameters of BHB Stars Based on LAMOST DR11
[NO] 260/1755 | On the autotopism groups and the equivalence of finite cyclic semifields
[NO] 261/1755 | On the Slice Rank of Tensors in P-Echelon Form
[NO] 262/1755 | Quantum Circuits for Quantum Spatial Search on $d$-Dimensional Lattices
[NO] 263/1755 | Incomplete Observations Boost Evolutionary Performance in Ocean Modeling
[NO] 264/1755 | Optical Spectroscopy and Temporal Evolution of the Nova V1405 Cas
[NO] 265/1755 | Quantum limits to chiroptical molecular discrimination
[NO] 266/1755 | Parameterized Complexity of Odd Domination and its Generalization
[NO] 267/1755 | Thermal and electrical conductivity of a refractory high-entropy alloy after high-pressure torsion: Electron versus phonon contributions
[NO] 268/1755 | Latent Riemannian Flow Matching for Geometry-Grounded 3D Foundation Models
[NO] 269/1755 | Identifiability, Convergence and Nonparametric Estimation of Bivariate Archimax Copulas
[NO] 270/1755 | Herbrand Game Complexity
[NO] 271/1755 | From Operations to Elderly Care Outcomes: A Thematic Review of Industrial Engineering and Decision-Support Approaches
[NO] 272/1755 | Decentralized Linearized Consensus ADMM with Efficient Quantized Communication
[NO] 273/1755 | Classification of spherical metrics on tori with four singularities, I: half periods
[NO] 274/1755 | Two Time Scales of Online Discussion: Mixture Distributions of Thread Durations Across Four Reddit Communities
[NO] 275/1755 | Adopting Reinforcement Learning with Verifiable Rewards for Molecular Generation
[NO] 276/1755 | Gaze-DETR: Top-Down Guidance Through Priority Maps for Infrared Weak-Small UAV Detection with DETR
[NO] 277/1755 | IMMoE: Incomplete Multi-View Anomaly Detection via Mixture of View Experts Fusion
[NO] 278/1755 | Activity and Competing Length Scales in an Anomalous Core-Softened Fluid
[NO] 279/1755 | Subject-Conditioned Glucose Forecasting in Type-1 Diabetes
[NO] 280/1755 | The Tractability Landscape of Sampling with Inexact Scores
[NO] 281/1755 | Consistent Multi-Wavelength Spectral Modeling of Cool White Dwarfs with Carbon-Polluted Atmospheres
[NO] 282/1755 | Bayesian Sequential Quantum Amplitude Estimation for Rare-Event Structural Failure Probability
[NO] 283/1755 | Preferential and differential diffusion in RANS simulation of lean hydrogen flames with tabulated chemistry
[NO] 284/1755 | Sixteen-State Energy Mapping for First-Principles Four-Spin Ring Exchange: Validation on $La_2CuO_4$ and $SrFeO_2$
[NO] 285/1755 | Disentangling Curriculum Learning in NLP: Towards a Unifying Taxonomy
[NO] 286/1755 | AutoJourn: Multi-Perspective Summarisation, Bias Detection and Bias Neutralisation for LLM-Generated News in Automated Journalism
[NO] 287/1755 | Ambient Pressure-Driven Actuators and Shape-Morphing Metamaterials
[NO] 288/1755 | Functional inequalities for starlike and convex functions associated with $g$-derivative operator
[NO] 289/1755 | Skillware: A Software Ontology and Engineering Lifecycle for Persistent Behavioral Artifacts
[NO] 290/1755 | Convex Optimization-Based Procedures for Non-Convex Quadratic Problems
[NO] 291/1755 | RAMP: Recognition parametrisation by Amortised Message Passing
[NO] 292/1755 | SkyEV: RGB-Event UAV detection and tracking dataset and baseline
[NO] 293/1755 | Production of lepton-flavor-violating scalars through resonant positive-muon annihilation on atomic electrons
[NO] 294/1755 | Howson property and finitely generated intersection problem for monogenic inverse semigroups
[NO] 295/1755 | Towards chemistries in dynamical systems
[YES] 296/1755 | AgentDebugX: An Open-Source Toolkit for Failure Observability, Attribution, and Recovery in LLM Agents
[NO] 297/1755 | Understanding ADHD Productivity in Construction Work: Toward AI-enabled VR Interventions
[NO] 298/1755 | Long rigid fibres in a turbulent channel flow: comparison between experiments and simulations
[NO] 299/1755 | Spatially resolved in-situ characterisation of competing martensitic transformation pathways during nanoscratch in 316H Stainless Steel
[NO] 300/1755 | MeetingToM: Evaluating Multimodal LLMs on Theory-of-Mind Reasoning in Multi-Party Meetings
[NO] 301/1755 | A spacetime positive mass theorem with corners via mollification
[NO] 302/1755 | Bound Entanglement Is Insufficient for an Exponential Quantum Learning Advantage
[NO] 303/1755 | Simultaneous calibration of rotation and phase errors in a single experiment
[NO] 304/1755 | Evolutionary Entropy Shapes Lifespan of the Greenland Shar
[NO] 305/1755 | Impact of Z-boson transverse-momentum resummation on PDF determination
[NO] 306/1755 | Reasoning Before Translation: Enhancing Legal Machine Translation with Structured Reasoning
[NO] 307/1755 | Quantum Synchronization
[NO] 308/1755 | Secure OFDM-IM ISAC With Artificial-Noise-Aided Index Deception
[NO] 309/1755 | Minkowski dimension and content of complex continued fractions
[NO] 310/1755 | Informative Distance-Based Priors for Correlation Matrices Centred on a Target Reference
[NO] 311/1755 | Holographic Soliton Crystals for Dense Nuclear Matter and Neutron Stars
[NO] 312/1755 | Diffeological non-Abelian Hodge theory: relative harmonic metrics and deformation theory
[NO] 313/1755 | Astrophysics on GPUs: introducing AGILE 1.0
[NO] 314/1755 | An $e$-positive classification for complete multipartite graphs
[NO] 315/1755 | S3: Stable Subgoal Selection by Constraining Uncertainty of Coarse Dynamics in Hierarchical Reinforcement Learning
[NO] 316/1755 | AdaFlash: Adaptive Speculative Decoding via On-Policy Distilled Diffusion Drafters
[NO] 317/1755 | Denoising Subordinated Probabilistic Models: Diffusion with a Tempered-Stable Volatility Clock, and What the Noise Mechanism Actually Controls
[NO] 318/1755 | Keeping the Cache Warm Pays: Keepalive Economics for Agentic Workloads
[NO] 319/1755 | Computing on the Fly: Navigating a Vision for the Future of Drone Computing
[NO] 320/1755 | Some cautionary tales about Bayesian predictive inference
[NO] 321/1755 | Spectral Biclustering-Driven Scalability for Post-Hoc Explainability in Recommender Systems
[NO] 322/1755 | Numerical methods for Langevin-type SPDE: an implicit Milstein approach and multilevel Monte Carlo techniques
