[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[ACM] 2026-4-1 | Vizing’s Theorem in Near-Linear Time
[ACM] 2026-4-1 | FlashServe: Cost-Efficient Serverless Inference Scheduling for Large Language Models via Tiered Memory Management and Predictive Autoscaling
[ACM] 2026-4-1 | Automated Text Classification in Electronic Health Record Narratives Using Machine Learning and Domain-Specific Transformers
[ACM] 2026-4-1 | Adaptive Differential Privacy Mechanism for Federated Document Classification: A Gradient-Clipping Optimization Approach
[IEEE] 2026-4-1 | RadioDiff-Inverse: Diffusion Enhanced Bayesian Inverse Estimation for ISAC Radio Map Construction
[IEEE] 2026-3-31 | Modeling Driver Lateral Control Behavior for Human–Machine Shared Takeover During Emergency Collision Avoidance Under Dynamic Traffic Environment
[IEEE] 2026-4-1 | A Systematic Review of Takeover System Design in Highly Automated Driving
[IEEE] 2026-4-1 | An Embedded Tinyml Framework for Real-Time Anomaly Detection in Bluetooth Low Energy Wearable Devices
[IEEE] 2026-4-1 | An IoT-Enabled Refined Learning Framework for Sustainable Precision Fertilizer Management in Indian Agriculture
[IEEE] 2026-4-1 | Comparative Analysis of Machine Learning Techniques for Android Malware Detection
[IEEE] 2026-4-1 | Machine Learning and Deep Learning in Neuroimaging: Review of Brain Connectivity Analysis for Diagnosis and Prognosis
[IEEE] 2026-4-1 | Machine Learning and Deep Learning for Brain Tumor Detection
[IEEE] 2026-4-1 | SLFGR StegoGAN: Self-Adaptive Local Fusion and Global Recovery StegoGAN for Few-shot Coverless Image Steganography
[IEEE] 2026-4-1 | S3-FIFO Cache for LSM-based Key-value Stores
[IEEE] 2026-4-1 | Shadow Economy Detector Via Urban Activity Ml Analysis
[IEEE] 2026-4-1 | Sensory Integrate-and-Fire Neuron Model with Volatile Memristor Emulator
[IEEE] 2026-4-1 | Contents
[IEEE] 2026-4-1 | Environmental Deviation Detection Using Intelligent Agents
[IEEE] 2026-4-1 | Slot Loaded Modified Circular Patch Antenna with High Gain for Modern Wireless Applications
[IEEE] 2026-4-1 | Smart Accident Prediction in Fireworks Industry Using AI
[IEEE] 2026-4-1 | Smart IoT-Driven Precision Agriculture: Advanced Feature Engineering and Ensemble Machine Learning for Intelligent Crop Classification
[IEEE] 2026-4-1 | Security Cooperative Path-Tracking for Connected Vehicle Swarm Resilient to Dual-Channel Deception Attacks
[IEEE] 2026-4-1 | SARCapsNet: A Capsule Network for High-Accuracy SAR Automatic Target Recognition Under Limited Training Sample Conditions
[IEEE] 2026-4-1 | High-Sensitivity MMF-TCF-MMF Sensor Based on the Synergistic Effect of Au Film and AgNPs
[IEEE] 2026-4-1 | On the Performance of Dual-Antenna Repeater Assisted Bi-Static MIMO ISAC
[IEEE] 2026-4-1 | IEEE Foundation
[IEEE] 2026-3-31 | A First Principles Review of a Novel De Facto Preventive Cybersecurity Strategy
[IEEE] 2026-4-1 | High-Fidelity and Lip-Synced Talking Face Synthesis via Landmark-Based Diffusion Model_supp1-3676251.mp4
[IEEE] 2026-4-1 | Toward Unified Standards for Open RTL-to-GDSII Design Flows: Insights From the Open RTL-to-GDSII Flow Standards Workshop (ORFSW 2025) [Standards Corner]
[IEEE] 2026-4-1 | Research, Analysis and Optimization of Welding Eddy Current Loss for AFPM Propulsion Machine with Yokeless and Segmented Armature
[IEEE] 2026-4-1 | A CNN Framework with Grad-CAM Visualizations for Explainable Lung Cancer Diagnosis
[IEEE] 2026-4-1 | A Comprehensive Review of AI and Machine Learning–Based Diet Chart Recommendation Systems
[IEEE] 2026-4-1 | Quantification and Correction of SMAP Soil Moisture Retrieval Biases Induced by Subpixel Moisture and Texture Heterogeneity over China
[IEEE] 2026-4-1 | Model-Free Predictive Current Control With Robust Reference for Grid-Connected Voltage Source Inverter With
                    <i>LCL</i>
                    Filter
[IEEE] 2026-4-1 | Glacier Snowline Altitude Estimation Integrating a Stacking Machine Learning Model and U-Net: a Case Study in the Antarctic Peninsula
[IEEE] 2026-3-31 | Adaptive Parameter Tuning for Fused Localization Model Using Multi-agent Reinforcement Learning
[IEEE] 2026-4-1 | Motion Hierarchical Gaussian for Dynamic Control in VR_supp1-3679101.pdf
[ACM] 2026-3-31 | Technical Report Column
[IEEE] 2026-3-31 | 2025 1st International Conference on Advancement in Futuristic Technologies (ICAFT)
[IEEE] 2026-3-31 | Author Index
[IEEE] 2026-3-31 | Author Index
[IEEE] 2026-3-31 | Sponsors
[IEEE] 2026-3-31 | Title Page
[IEEE] 2026-3-31 | Light-ResKAN: A Parameter-Sharing Lightweight KAN With Gram Polynomials for Efficient SAR Image Recognition
[IEEE] 2026-3-31 | Table of Contents
[IEEE] 2026-3-31 | Generative Surface: GenAI-Assisted Semantic Scaffolding for 3D Conceptual Design in Mixed Reality
[IEEE] 2026-3-31 | Power Oscillation Suppression of Self-Synchronizing Voltage Source Inverter Based on Reactive Power Control Loop Shaping Method
[IEEE] 2026-3-31 | Saliency-Guided Foveated Video Encoding for Low-Latency and Immersive Cloud VR
[IEEE] 2026-3-31 | Front Cover
[IEEE] 2026-3-31 | TransformKV: Optimizing Multi-Turn Conversational Services in LLMs via KV cache Transformation
[IEEE] 2026-3-31 | IEEE IT Professionals Call for Articles
[ACM] 2026-3-31 | The last, the least, and the urgent: Fluid modeling and performance equivalence for scheduling policies in partial service queues with abandonment
[ACM] 2026-3-31 | A Variational Framework for the RLGL Algorithm
[IEEE] 2026-3-31 | Half Title Page
[IEEE] 2026-3-31 | CNML 2026 Content Announcement Page
[IEEE] 2026-3-31 | Table of Contents
[IEEE] 2026-3-31 | ICAFT 2025 Commentary
[IEEE] 2026-3-31 | Table of Contents
[IEEE] 2026-3-31 | Interaction-Driven Edge Crisping for Underwater Salient Object Detection
[IEEE] 2026-3-31 | Bendable and Conformable 3D-Printed Dielectric Resonator Antenna Enabled by Structural Segmentation
[IEEE] 2026-3-31 | Leaderless Consensus Fuzzy Control For Uncertain Euler-Lagrange MASs With Digraphs
[IEEE] 2026-3-31 | Contrastive Multimodal Graph Vision Transformers for Context-Aware Visual Representation and Relational Reasoning
[IEEE] 2026-3-31 | EEG Signal Analysis Using Machine Learning and Deep Learning for Brain-Controlled Smart Environments
[IEEE] 2026-3-31 | Research on Algorithm Optimization of Intelligent Editing System for Improving Editing Efficiency
[IEEE] 2026-3-31 | Automated Detection of Web Application Vulnerabilities
[IEEE] 2026-3-31 | A
                    <sup>2</sup>
                    K Net: A Lightweight Knowledge Distillation Framework for Efficient Image Enhancement
[IEEE] 2026-3-31 | Anomaly Detection in Network Management Based on Artificial Intelligence: Algorithms and Applications
[IEEE] 2026-3-31 | Sliding Mode Variable Structure Control of Permanent Magnet Synchronous Motor Speed Control System
[IEEE] 2026-3-31 | Leader-Following Consensus of Multi-Agent Systems under Markovian Switching: An Event-Triggered Observer Approach
[IEEE] 2026-3-31 | RISC-V Area-Optimized ASIC Design with a Multi-Height 7nm FinFET Standard Cell Library
[IEEE] 2026-3-31 | A Visual and Comprehensive Dataset of Indian Currencies: Denominations Ranging from One to Five Hundred Rupees
[IEEE] 2026-3-31 | Design and Evaluation of a Trace-Driven Cache Simulator Supporting Set-Associative and V-Way Cache Architectures
[IEEE] 2026-3-31 | Seatify: A Real-Time Restaurant/Cafe Occupancy Monitoring System Using CCTV Feed
[IEEE] 2026-3-31 | NeuroMedia-Sense: A CNN-Transformer Fusion Model for Evaluating Responsible Suicide Reporting and Its Influence on Public Perception
[IEEE] 2026-3-31 | Application of Information and Communication Technologies in Public Management
[IEEE] 2026-3-31 | DCFM: A Dynamic Cross-Modal Fusion Mechanism Based on Adaptive Semantic Gating for Visual Question Answering
[IEEE] 2026-3-31 | A Framework for Detecting Plant Diseases and Nutritional Defects Based on Deep Learning
[IEEE] 2026-3-31 | Integrating Machine Learning, Artificial Intelligence, Deep Learning, and IoT in Remote Patient Monitoring
[IEEE] 2026-3-31 | Research on Dynamic Allocation Information System of Basic Education Resources
[IEEE] 2026-3-31 | Deep Reinforcement Learning for Adaptive Cruise Control in Connected Autonomous Vehicles
[IEEE] 2026-3-31 | A Tradeoff-Based Sizing Methodology for Low-Power ULV RF LNTAs Using LUT Approach
共写入 1933 条记录，保存到 papers/paper2026-03-31.json。
论文获取成功，文件路径: papers/paper2026-03-31.json
正在筛选、翻译并发送邮件...
[NO] 1/1933 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[NO] 2/1933 | Communication Outage-Resistant UUV State Estimation: A Variational History Distillation Approach
[NO] 3/1933 | Transmittance-Guided Structure-Texture Decomposition for Nighttime Image Dehazing
[NO] 4/1933 | Hierarchical Battery-Aware Game Algorithm for ISL Power Allocation in LEO Mega-Constellations
[NO] 5/1933 | Distribution function-based modelling of discrete kinematic datasets, in application to the Milky Way nuclear star cluster
[NO] 6/1933 | Model Predictive Path Integral PID Control for Learning-Based Path Following
[NO] 7/1933 | Why not to use Cosine Similarity between Label Representations
[NO] 8/1933 | Thermal Conductivity and Temperature-Induced Band Gap Renormalization in Crystalline and Amorphous Ga$_2$O$_3$
[NO] 9/1933 | Fundamental problems in Statistical Physics XIV: Lecture on Correlation and response functions in statistical physics
[NO] 10/1933 | An Isotropic Approach to Efficient Uncertainty Quantification with Gradient Norms
[NO] 11/1933 | Magnetic transport and chaotic orbits of charged particles
[NO] 12/1933 | Notes on angles and solid angles, in relation with Euler's memoir De mensura angulorum solidorum
[NO] 13/1933 | A compact support property for infinite-dimensional SDEs with Hölder continuous coefficients
[NO] 14/1933 | Reaction-Diffusion System Approximation to the Fast Diffusion Equation
[NO] 15/1933 | Nuclear shapes of Nb isotopes
[NO] 16/1933 | Loop-Checking and Counter-Model Extraction for Intuitionistic Tense Logics via Nested Sequents
[NO] 17/1933 | Multimodal Models Meet Presentation Attack Detection on ID Documents
[NO] 18/1933 | Uniqueness of the infinite cluster for monotone percolation models without insertion tolerance
[NO] 19/1933 | Native-Domain Cross-Attention for Camera-LiDAR Extrinsic Calibration Under Large Initial Perturbations
[NO] 20/1933 | Exact Separation of Words via Trace Geometry
[NO] 21/1933 | Hallucination-aware intermediate representation edit in large vision-language models
[NO] 22/1933 | Rich-U-Net: A medical image segmentation model for fusing spatial depth features and capturing minute structural details
[NO] 23/1933 | Pathogen diversity emerging from coevolutionary dynamics in interconnected systems
[NO] 24/1933 | Search for Light Scalars in the TRSM at the LHC
[NO] 25/1933 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[NO] 26/1933 | Deep Learning-Assisted Improved Differential Fault Attacks on Lightweight Stream Ciphers
[NO] 27/1933 | Parameterized Algorithms for Computing MAD Trees
[NO] 28/1933 | Finite-time analysis of Multi-timescale Stochastic Optimization Algorithms
[NO] 29/1933 | Altermagnetic-doping interplay as a route to enhanced d-wave pairing in the Hubbard model
[NO] 30/1933 | Assessing Multimodal Chronic Wound Embeddings with Expert Triplet Agreement
[YES] 31/1933 | AP-DRL: A Synergistic Algorithm-Hardware Framework for Automatic Task Partitioning of Deep Reinforcement Learning on Versal ACAP
[NO] 32/1933 | CIPHER: Counterfeit Image Pattern High-level Examination via Representation
[NO] 33/1933 | Recirculating frequency-shifting loop for flexible optical chirp generation and FMCW LiDAR
[NO] 34/1933 | Cylindrical contact homology for weakly convex contact forms in dimension three
[NO] 35/1933 | Developing a Guideline for the Labovian-Structural Analysis of Oral Narratives in Japanese
[NO] 36/1933 | L-ReLF: A Framework for Lexical Dataset Creation
[NO] 37/1933 | Open Machine Translation for Esperanto
[NO] 38/1933 | Parafermionic Truncated Wigner Approximation
[NO] 39/1933 | Layer-selective hydrogenation and proton transport in twisted bilayer graphene
[NO] 40/1933 | An innovative alternative to traditional funding streams for extragalactic astronomy
[NO] 41/1933 | CADEL: A Corpus of Administrative Web Documents for Japanese Entity Linking
[NO] 42/1933 | Real-Time Band-Grouped Vocal Denoising Using Sigmoid-Driven Ideal Ratio Masking
[NO] 43/1933 | VACP: Visual Analytics Context Protocol
[NO] 44/1933 | Extracting Energy from Magnetized Rotating Black Holes in Horndeski Gravity via the Magnetic Penrose Process
[NO] 45/1933 | A Preliminary Theory of Infantile Dynamics
[NO] 46/1933 | Light-Sculpted Azopolymer Colloids: From Patchy Spheres to Porcupine and Pineapple Morphologies
[NO] 47/1933 | Spectroscopic study of the broad component of [O III]λ5007 profile in type 1 AGNs
[NO] 48/1933 | An answer regarding automorphisms of finite abelian groups
[NO] 49/1933 | Differentiable Normative Guidance for Nash Bargaining Solution Recovery
[NO] 50/1933 | Big2Small: A Unifying Neural Network Framework for Model Compression
[YES] 51/1933 | Training-Free Dynamic Upcycling of Expert Language Models
[NO] 52/1933 | Option Pricing on Automated Market Maker Tokens
[NO] 53/1933 | Generalizing Output-Feedback Covariance Steering to Incorporate Non-Orthogonal Estimation Errors
[NO] 54/1933 | A criterion for an effective discretization of a continuous Schrödinger spectrum using a pseudostate basis
[NO] 55/1933 | HyperKKL: Learning KKL Observers for Non-Autonomous Nonlinear Systems via Hypernetwork-Based Input Conditioning
[NO] 56/1933 | Editing on the Generative Manifold: A Theoretical and Empirical Study of General Diffusion-Based Image Editing Trade-offs
[NO] 57/1933 | Unbounded Density Ratio Estimation and Its Application to Covariate Shift Adaptation
[NO] 58/1933 | A new gradient-free active subspace estimation method with application to rare event probability estimation
[NO] 59/1933 | Beyond Legacy OFDM: A Mobility-Adaptive Multi-Gear Framework for 6G
[NO] 60/1933 | Adaptive Multilevel Methods for the Maxwell Eigenvalue Problem
[NO] 61/1933 | The discrete quantum group $su_q(2)$ and its dual
[NO] 62/1933 | FED-Bench: A Cross-Granular Benchmark for Disentangled Evaluation of Facial Expression Editing
[NO] 63/1933 | A First Step Towards Even More Sparse Encodings of Probability Distributions
[NO] 64/1933 | KEditVis: A Visual Analytics System for Knowledge Editing of Large Language Models
[NO] 65/1933 | Thermal static Potential at Finite Density in (2+1)-flavor QCD
[NO] 66/1933 | An objective-function-free algorithm for nonconvex stochastic optimization with deterministic equality and inequality constraints
[NO] 67/1933 | Another simple proof of the 1-dimensional flat chain conjecture
[NO] 68/1933 | Clinical DVH metrics as a loss function for 3D dose prediction in head and neck radiotherapy
[NO] 69/1933 | Instabilities in flow through and around a circular array of cylinders
[NO] 70/1933 | CoRe-DA: Contrastive Regression for Unsupervised Domain Adaptation in Surgical Skill Assessment
[NO] 71/1933 | STRADAViT: Towards a Foundational Model for Radio Astronomy through Self-Supervised Transfer
[NO] 72/1933 | Finite Blocklength Covert Communication over Quasi-Static Multiple-Antenna Fading Channels
[NO] 73/1933 | Optimizing Donor Outreach for Blood Collection Sessions: A Scalable Decision Support Framework
[NO] 74/1933 | MacTok: Robust Continuous Tokenization for Image Generation
[NO] 75/1933 | Unify-Agent: A Unified Multimodal Agent for World-Grounded Image Synthesis
[NO] 76/1933 | ARCOL: Aspect Ratio Constrained Orthogonal Layout
[NO] 77/1933 | Learning Diagnostic Reasoning for Decision Support in Toxicology
[NO] 78/1933 | Permutation modules for Ramsey structures
[NO] 79/1933 | On the application of the SCD semismooth* Newton method to solving Stokes problem with stick-slip boundary conditions
[NO] 80/1933 | Kondo scaling of $4f$-electron states and the Kondo singlet breakdown in heavy fermions
[NO] 81/1933 | Quantitative Uniqueness of Kantorovich Potentials
[NO] 82/1933 | Adaptive Mitigation of Insider Threats via Off-Policy Learning
[NO] 83/1933 | A Strong Linear Programming Relaxation for Weighted Tree Augmentation
[NO] 84/1933 | Imprint of the adjoint meson spectrum in the decay patterns of hidden-bottom tetraquarks
[NO] 85/1933 | Emotion Diffusion Classifier with Adaptive Margin Discrepancy Training for Facial Expression Recognition
[NO] 86/1933 | Adiabatic Ramsey Interferometry for Measuring Weak Nonlinearities with Super-Heisenberg Precision
[NO] 87/1933 | Accessibility Percolation with Rough Mount Fuji labels
[NO] 88/1933 | A note on right-angled Artin subgroups of one-relator groups
[NO] 89/1933 | Multitype PCR branching processes
[NO] 90/1933 | Topological sum rule for geometric phases of quantum gates
[NO] 91/1933 | From Orientations to $\ell$-adic Period Vectors
[NO] 92/1933 | Exponential Periods for Integrals in Physics
[YES] 93/1933 | Self-Improving Code Generation via Semantic Entropy and Behavioral Consensus
[NO] 94/1933 | Entanglement between an NV Center and Chiral Photons in a Topological SWCNT Plasmonic Microtoroid
[NO] 95/1933 | Social Amplification Dominates Collective Hazard Response
[NO] 96/1933 | Comment on "Lattice QCD constraints on the critical point from an improved precision equation of state"
[NO] 97/1933 | ConInfer: Context-Aware Inference for Training-Free Open-Vocabulary Remote Sensing Segmentation
[NO] 98/1933 | Bilevel MPC for Linear Systems: A Tractable Reduction and Continuous Connection to Hierarchical MPC
[NO] 99/1933 | Aligning Multimodal Sequential Recommendations via Robust Direct Preference Optimization with Sparse MoE
[NO] 100/1933 | SuperGrasp: Single-View Object Grasping via Superquadric Similarity Matching, Evaluation, and Refinement
[NO] 101/1933 | The Actinide-Boost Star LAMOST J122216.85-063345.2: A Detailed R-process Abundance Study with Gemini-S/GHOST
[NO] 102/1933 | Ripples of Stellar Enrichment (RoSE) -- simulating element production and mixing in the Milky Way star-by-star
[NO] 103/1933 | Spatiotemporal imaging of gate-controlled multipath dynamics of fractional quantum Hall edge excitations
[YES] 104/1933 | Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents
[NO] 105/1933 | Long-Reach Robotic Manipulation for Assembly and Outfitting of Lunar Structures
[NO] 106/1933 | Sustainable AI Assistance Through Digital Sobriety
[NO] 107/1933 | SyriSign: A Parallel Corpus for Arabic Text to Syrian Arabic Sign Language Translation
[NO] 108/1933 | LightHarmony3D: Harmonizing Illumination and Shadows for Object Insertion in 3D Gaussian Splatting
[NO] 109/1933 | TORCH: Characterizing Invalid Route Filtering via Tunnelled Observation
[NO] 110/1933 | Optimal stability threshold in lower regularity spaces for the Vlasov-Poisson-Fokker-Planck equations
[NO] 111/1933 | Quantum anomalous Hall effect in monolayer transition-metal trihalides
[NO] 112/1933 | The Lee--Yang Edge Exponent via Logarithmic Averaging
[NO] 113/1933 | IMPACT: Influence Modeling for Open-Set Time Series Anomaly Detection
[NO] 114/1933 | Dummy-Aware Weighted Attack (DAWA): Breaking the Safe Sink in Dummy Class Defenses
[NO] 115/1933 | High-efficiency and noise-immune quantum battery
[NO] 116/1933 | Quasiperiodicity-Engineered Re-entrant Localization-Delocalization aspects in a Diamond Lattice
[NO] 117/1933 | Interplay of Electric Dipole Spin Resonance and Multilevel Landau-Zener Interference in p-Type Silicon Quantum Dots
[NO] 118/1933 | Local smooth rigidity of Anosov diffeomorphisms in $\mathbb{T}^{3}$
[NO] 119/1933 | The axion-photon coupling from lattice Quantum Chromodynamics
[NO] 120/1933 | Robust Flat Magnetoresistivity in D0$_3$-Fe$_3$Ga Driven by Chiral Anomaly
[NO] 121/1933 | When Bayes goes bad: Weakly-regularized covariate adjustment leads to a biased estimate of prevalence
[NO] 122/1933 | Time-resolved role of coherence and delocalization in photosynthetic energy transfer from an extended exciton model
[NO] 123/1933 | Primal-dual dynamics featuring Hessian-driven damping and variable mass for convex optimization problems
[NO] 124/1933 | Concept Training for Human-Aligned Language Models
[NO] 125/1933 | Sampling-Horizon Neural Operator Predictors for Nonlinear Control under Delayed Inputs
[NO] 126/1933 | 1.5 Million Messages Per Second on 3 Machines: Benchmarking and Latency Optimization of Apache Pulsar at Enterprise Scale
[NO] 127/1933 | Enhanced Channel Estimation for Flexible Intelligent Metasurface-Aided Communication Systems
[YES] 128/1933 | APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay
[YES] 129/1933 | WybeCoder: Verified Imperative Code Generation
[NO] 130/1933 | IQRA 2026: Interspeech Challenge on Automatic Assessment Pronunciation for Modern Standard Arabic (MSA)
[NO] 131/1933 | Salted Fisher Information for Hybrid Systems
[NO] 132/1933 | Reward-Based Online LLM Routing via NeuralUCB
[NO] 133/1933 | EnsembleSHAP: Faithful and Certifiably Robust Attribution for Random Subspace Method
[NO] 134/1933 | ContextClaim: A Context-Driven Paradigm for Verifiable Claim Detection
[NO] 135/1933 | Role of the equivalence principle in gauge and axial symmetries of Yukawa coupling, and the strong CP problem
[NO] 136/1933 | Approximation algorithms for satisfiable and nearly satisfiable ordering CSPs
[NO] 137/1933 | Refined Detection for Gumbel Watermarking
[NO] 138/1933 | Noise Inference by Recycling Test Rounds in Verification Protocols
[NO] 139/1933 | Asymptotic stability of heteroclinic cycles of type Y
[NO] 140/1933 | Conditional Polarization Guidance for Camouflaged Object Detection
[NO] 141/1933 | Tracking Equivalent Mechanistic Interpretations Across Neural Networks
[YES] 142/1933 | Phyelds: A Pythonic Framework for Aggregate Computing
[NO] 143/1933 | What does the Universe sound like?
[NO] 144/1933 | Bridging Stochastic Control and Deep Hedging: Structural Priors for No-Transaction Band Networks
[NO] 145/1933 | Extending MONA in Camera Dropbox: Reproduction, Learned Approval, and Design Implications for Reward-Hacking Mitigation
[NO] 146/1933 | A counterexample to a conjecture of Sárközy on sums and products modulo a prime
[NO] 147/1933 | Simplex Layers and Phase Boundaries in the Partition Graph
[NO] 148/1933 | Pattern Expansion of Spin Glasses
[NO] 149/1933 | Quantifying Cross-Modal Interactions in Multimodal Glioma Survival Prediction via InterSHAP: Evidence for Additive Signal Integration
[NO] 150/1933 | Various conjectural series identities
[NO] 151/1933 | Hilbert's Sixth Problem and Soft Logic
[NO] 152/1933 | SurgTEMP: Temporal-Aware Surgical Video Question Answering with Text-guided Visual Memory for Laparoscopic Cholecystectomy
[NO] 153/1933 | NeuroBRIDGE: Behavior-Conditioned Koopman Dynamics with Riemannian Alignment for Early Substance Use Initiation Prediction from Longitudinal Functional Connectome
[YES] 154/1933 | Think Anywhere in Code Generation
[NO] 155/1933 | TD$Δ$SCF: Time-Dependent Density Functional Theory with a Non-Aufbau Reference for near-degenerate states
[NO] 156/1933 | Implementing Basic Arithmetic in $\mathbb{F}_p$ via $\mathbb{F}_2$, and Its Application for Computing the Hamming Distance of Linear Codes
[NO] 157/1933 | Molecular beam epitaxy of wafer-scale O-band InAs/InGaAs quantum dots on GaAs for quantum photonics
[NO] 158/1933 | End-to-End Image Compression with Segmentation Guided Dual Coding for Wind Turbines
[NO] 159/1933 | Abstraction in Style
[NO] 160/1933 | C-TRAIL: A Commonsense World Framework for Trajectory Planning in Autonomous Driving
[NO] 161/1933 | Less Is More? Selective Visual Attention to High-Importance Regions for Multimodal Radiology Summarization
[NO] 162/1933 | Penalized GMM Framework for Inference on Functionals of Nonparametric Instrumental Variable Estimators
[NO] 163/1933 | The Method of Potentials for the Airy Equation of Fractional Order
[NO] 164/1933 | Csiszár indices and interpolating copulas
[NO] 165/1933 | The Instrumented Baffle at the Input Mode Cleaner of Advanced Virgo Plus: Four years of Successful Operation as a Monitor of Stray Light
[NO] 166/1933 | HLC: A High-Quality Lightweight Mezzanine Codec Featuring High-Throughput Palette
[NO] 167/1933 | Bayesian methods for the identification of model parameters for water transport in porous media
[NO] 168/1933 | Operational Criterion for Imaginary-Time Reconstruction in Time-Resolved Electronic Circular Dichroism
[NO] 169/1933 | Counterfactual Analysis of Brain Network Dynamics
[NO] 170/1933 | Seeding grain nucleation and dust growth: Ionisation, epoxidation and charge disproportionation effects
[NO] 171/1933 | Bridging Quantum and Semiclassical Volume: A Numerical Study of Coherent State Matrix Elements in Loop Quantum Gravity
[NO] 172/1933 | Beyond Expectation Values: Generalized Semiclassical Expansions for Matrix Elements of Gauge Coherent States
[NO] 173/1933 | Curvature-Guided LoRA: Steering in the pretrained NTK subspace
[NO] 174/1933 | Short-lived memory in multidimensional spectra encodes full signal evolution
[NO] 175/1933 | Partial regularity for minimizing constraint maps for the Alt-Phillips energy
[NO] 176/1933 | Early intrafamily collisions in newly formed asteroid families
[NO] 177/1933 | Optimal Control of a Mesoscopic Information Engine
[NO] 178/1933 | SceneTeract: Agentic Functional Affordances and VLM Grounding in 3D Scenes
[NO] 179/1933 | The WEAVE acquisition and guiding software: pattern recognition-based acquisition and multi-fibre guiding
[NO] 180/1933 | Rethinking AI Literacy Education in Higher Education: Bridging Risk Perception and Responsible Adoption
[NO] 181/1933 | SCORE: Statistical Certification of Regions of Attraction via Extreme Value Theory
[NO] 182/1933 | Learning the Exact Flux: Neural Riemann Solvers with Hard Constraints
[NO] 183/1933 | Physiological and Semantic Patterns in Medical Teams Using an Intelligent Tutoring System
[NO] 184/1933 | JEPA-MSAC: A Joint-Embedding Predictive Architecture for Multimodal Sensing-Assisted Communications
[NO] 185/1933 | An inverted infall profile for the collapse of the massive star-forming IRDC SDC335.579-0.292
[NO] 186/1933 | Do covariates explain why these groups differ? The choice of reference group can reverse conclusions in the Oaxaca-Blinder decomposition
[YES] 187/1933 | Detecting speculative leaks with compositional semantics
[NO] 188/1933 | Tree models for covariate-dependent method agreement with repeated measurements in clinical research
[NO] 189/1933 | Derivative relations for determinants, Pfaffians and characteristic polynomials in random matrix theory
[NO] 190/1933 | Optimizing the description of the Delta region in the Ghent Hybrid model for single-pion production
[NO] 191/1933 | Constraining Lyman-Werner Feedback from Velocity Acoustic Oscillations in the Cosmic Dawn 21 cm Signal
[NO] 192/1933 | High-Order Perfect Absorption in the Absence of Exceptional Point
[NO] 193/1933 | Entanglement in prepare-and-measure scenarios without receiver inputs
[NO] 194/1933 | Double-weak-link interferometer of hard-core bosons in one dimension
[NO] 195/1933 | Efficient Amortized Bayesian Inference for Markov Random Fields via Gradient-Informed Grid Selection
[NO] 196/1933 | Convergence analysis for a finite-volume scheme for the Euler- and Navier-Stokes-Korteweg system via energy-variational solutions
[NO] 197/1933 | The hadronic contribution to the running of the electroweak gauge couplings
[NO] 198/1933 | Baby Scale: Investigating Models Trained on Individual Children's Language Input
[NO] 199/1933 | Tucker Attention: A generalization of approximate attention mechanisms
[NO] 200/1933 | Operator systems and positive extensions over discrete groups
[NO] 201/1933 | Synthesis imaging with a lunar orbit array: II. Impacts of instrument-induced phase errors
[NO] 202/1933 | Rewrite the News: Tracing Editorial Reuse Across News Agencies
[NO] 203/1933 | Anomaly detection in Fink. I. Discovery, follow-up, and classification of unusual sources
[NO] 204/1933 | Sub-Riemannian structures and non-transitive Cartan geometries via Lie groupoids
[NO] 205/1933 | Kernel-SDF: An Open-Source Library for Real-Time Signed Distance Function Estimation using Kernel Regression
[NO] 206/1933 | Holographic Weyl Anomaly and Kounterterms in AdS gravity
[NO] 207/1933 | Graph Iterative Filtering methods for the analysis of nonstationary signals on graphs
[NO] 208/1933 | An Empirical Comparison of Security and Privacy Characteristics of Android Messaging Apps
[NO] 209/1933 | Seymour-tight orientations
[NO] 210/1933 | Reciprocity of Skew Hall-Littlewood-Schubert Series
[NO] 211/1933 | Thermalization in high-dimensional systems: the (weak) role of chaos
[NO] 212/1933 | Atomically Reconfigurable Single-Molecule Optoelectronics
[NO] 213/1933 | IMPASTO: Integrating Model-Based Planning with Learned Dynamics Models for Robotic Oil Painting Reproduction
[NO] 214/1933 | The Manipulate-and-Observe Attack on Quantum Key Distribution
[NO] 215/1933 | Quantization with Unified Adaptive Distillation to enable multi-LoRA based one-for-all Generative Vision Models on edge
[NO] 216/1933 | Determining the NJL Coupling and AMM in Magnetized QCD Matter via Machine Learning
[YES] 217/1933 | Benchmarking PhD-Level Coding in 3D Geometric Computer Vision
[NO] 218/1933 | Nodal degeneration of chiral algebras
[NO] 219/1933 | Geometric Properties of Level Sets for Domains under Geometric Normal Property
[NO] 220/1933 | Hybrid Framework for Robotic Manipulation: Integrating Reinforcement Learning and Large Language Models
[NO] 221/1933 | Scalable AI-assisted Workflow Management for Detector Design Optimization Using Distributed Computing
