[2026-07-03 23:04:10] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[NO] 249/1969 | BOUNDARY_SYNC: Measuring Communication-Induced Representational Coupling in Multi-Agent LLM Systems
[NO] 250/1969 | Enhancing Acoustic-to-Articulatory Inversion with Multi-Target Pretraining for Low-Resource Settings
[YES] 251/1969 | Hawk: Harnessing Hardware-Aware Knowledge for High-Performance NPU Kernel Generation
[NO] 252/1969 | Study of ZZ and ZH production in the bb$ττ$ final state and search for high-mass spin-0 and spin-1 resonances in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 253/1969 | Robust Stabilization of Linear Markov-Jumping Hyperbolic PDEs with Boundary Input Delay
[NO] 254/1969 | Testing Gravity with Binary Pulsars in the SKA Era
[YES] 255/1969 | Prompt Coverage Adequacy
[NO] 256/1969 | Undamped Modes in an N-Qubit Heisenberg Chain with Collective Dissipation
[YES] 257/1969 | Mitigating Package Hallucinations in Large Language Models via Model Editing
[NO] 258/1969 | Embracing Intra-Class Heterogeneity for Semi-Supervised Medical Image Segmentation: From Diversity to Precision
[NO] 259/1969 | On the total character of a finite group
[NO] 260/1969 | Towards Load-Aware Prefill Deflection for Disaggregated LLM Serving
[NO] 261/1969 | Probing hot QCD medium with heavy quarkonium in small and large collision systems
[NO] 262/1969 | Evaluating Vision-Language Models as a Zero-Shot Learning Alternative to You Only Look Once and Optical Character Recognition for Nigerian License Plate Recognition
[NO] 263/1969 | Hidden Forgetting in Continual Multimodal Learning: When Accuracy Survives but Grounding Fails
[NO] 264/1969 | Mid-infrared pure-state quantum light source based on lithium niobate waveguides
[NO] 265/1969 | Comb smoothing and local triviality of homogeneous spaces over a relative curve
[NO] 266/1969 | Research Progress on Solar Small-Scale Dynamo
[NO] 267/1969 | EduArt: An educational-level benchmark for evaluating art history knowledge in large language models
[NO] 268/1969 | Every cusp singularity link admits infinitely many strong symplectic fillings
[NO] 269/1969 | Episodic-to-Semantic Consolidation Without Identity Drift
[NO] 270/1969 | Understanding Geometric Representations in Self-Supervised Vision Transformers via Subspace Intervention
[NO] 271/1969 | Do Newer Lightweight CNNs Perform Better Under Resource Constraints? A Controlled Multigenerational Study of Architecture, Initialization, Training Budget, and Efficiency
[NO] 272/1969 | Plausibility: Exact inference in R
[NO] 273/1969 | Current status of the High-Resolution Multi-Object Spectrograph (MOS-HR) for the Wide-field Spectroscopic Telescope
[NO] 274/1969 | NeoMap: Training-free Novel-View Synthesis from Single Images and Videos
[NO] 275/1969 | Inverse Suitability: Identifying Condition Difficulty and Rider Skill from Behavioural Outcomes via Continuous-Item Response Theory
[NO] 276/1969 | NAVER LABS Europe Submission to the Instruction-following 2026 Short Track
[NO] 277/1969 | The Eichler--Selberg trace formula for Hilbert cusp forms, the class numbers of quartic CM fields, and their distributions
[YES] 278/1969 | Underspecification does not imply Incoherence: The Risks of Semantic Collapse in Coding Models
[NO] 279/1969 | A topological approach to an elliptic problem
[NO] 280/1969 | Curvature-driven wall accumulation in chiral active particles
[NO] 281/1969 | Conditional Co-Ablation: Recovering Self-Repair Backups in Transformer Circuits
[NO] 282/1969 | PhysMani: Physics-principled 3D World Model for Dynamic Object Manipulation
[YES] 283/1969 | Beyond Textual Repository Exploration: Dual-Modal Structural Reasoning for Agentic Issue Resolution
[NO] 284/1969 | Sparse-Aware Vector Quantization for Bandwidth-Efficient Collaborative 3D Semantic Occupancy Prediction
[NO] 285/1969 | TUDUM: A Turkish-Thinking Reasoning Pipeline for Qwen3.5-27B
[NO] 286/1969 | $J$ and $H$ band sky brightness measurements from polar day to polar night at Dome A, Antarctica
[NO] 287/1969 | Low-Latency Task-Oriented Image Transmission with Opportunistic Spectrum Access
[NO] 288/1969 | Dynamics of Self-Interacting Dark Sectors
[NO] 289/1969 | SFKD: Spatial--Frequency Joint-Aware Heterogeneous Knowledge Distillation via Multi-Level Wavelet Spectral Interaction
[NO] 290/1969 | Rethinking Post-Hoc Calibration in Semantic Segmentation
[NO] 291/1969 | Late-Time Fractional-Order Identification in Caputo Diffusion Equation
[NO] 292/1969 | Rank-Then-Act: Reward-Free Control from Frame-Order Progress
[NO] 293/1969 | Topologically free minimal actions without dynamical comparison
[NO] 294/1969 | Interaction-rotation driven localization-delocalization of eigenstate in Fock space: An exact diagonalization study on trapped Bose gas
[NO] 295/1969 | Diversity-aware View Partitioning for Scalable VGGT
[NO] 296/1969 | Growth rates, stable subgroups, and regular languages
[YES] 297/1969 | An Exploratory Study on LLM-Generated Code and Comments in Code Repositories
[NO] 298/1969 | DL-SLAM: Enabling High-Fidelity Gaussian Splatting SLAM in Dynamic Environments based on Dual-Level Probability
[NO] 299/1969 | Constructible Words Characterize Rational Languages of Words Indexed by Scattered Linear Orderings
[NO] 300/1969 | TESS's First Bound Microlensing Planet: A Binary Microlensing Event Revealing a Planetary Companion toward the Galactic Plane
[NO] 301/1969 | Coalesced Matrix-Free Finite Elements in Cell-Wise Storage
[NO] 302/1969 | Bimodules in differential polynomial rings
[NO] 303/1969 | A Maximum-Entropy Method for Zero-Skewness Valence GPDs Constrained by Nucleon Electromagnetic Form Factors
[NO] 304/1969 | Real-Time Visual Intelligence on Low-Cost UAVs: A Modular Approach for Tracking, Scanning, and Navigation
[NO] 305/1969 | DisciplineGen-1M: A Large-Scale Dataset for Multidisciplinary Visual Generation and Editing
[NO] 306/1969 | Invariance Entropy in the Dust
[NO] 307/1969 | A Comprehensive Analysis of $B_s \to D_s^{**}\ellν_\ell$ Decays Within and Beyond the Standard Model
[NO] 308/1969 | A Minkowski Theory for the Exterior Capacitary Volumes and A Resolution of the Pólya-Szegö Conjecture
[NO] 309/1969 | Disorder-induced superconductivity in graphene
[NO] 310/1969 | BamiBERT: A New BERT-based Language Model for Vietnamese
[NO] 311/1969 | Cross Domain Few-Shot Class-Incremental Audio Classification Via Adversarial Contrastive Learning
[NO] 312/1969 | ArcAD: Anomaly-Rectified Calibration for Cold-Start Supervised Anomaly Detection
[NO] 313/1969 | Partition Rank and Algebraic Circuit Lower Bounds
[NO] 314/1969 | Purified OPSD: On-Policy Self-Distillation Without Losing How to Think
[NO] 315/1969 | Unlocking Speech-Text Compositional Powers: Instruction-Following Speech Language Models without Instruction Tuning
[NO] 316/1969 | Storm Track Self-Reinforcement Through Cloud Radiative Effects
[NO] 317/1969 | An Additive MLP-GNN Framework for Characterizing Chemical and Structural Contributions to Aqueous Solubility
[NO] 318/1969 | Criticality-Based Guard Rail Validation for AI Agent Decisions in Autonomous Telecom Networks
[NO] 319/1969 | The Binary Crisis Clock: Controlled by Sparse Ternary Interventions
[NO] 320/1969 | Gamma-ray production cross sections in proton interactions with natMg, natSi and 56Fe targets: measurement over the energy range of $E_p = 66$-125 MeV, data analysis, results and discussion. Astrophysical implications
[NO] 321/1969 | Online Resource Allocation with Continuous Random Consumption: Regret under Degeneracy
[NO] 322/1969 | Theory of collective learning in populations of adaptive agents
[NO] 323/1969 | Thermodynamics of Quantum Reservoir Computing
[NO] 324/1969 | Path-Measure Dynamics of Attention-Driven World Models: A Nonlocal Onsager--Machlup Approach
[NO] 325/1969 | Extending the computational reach of Quantum Annealing using Reverse Annealing
[NO] 326/1969 | Pore-scale distribution and transport of active particles in a two-dimensional lattice
[NO] 327/1969 | Universal minimal flows of the homeomorphism groups of pseudo-solenoids are non-metrizable
[NO] 328/1969 | ART for Diffusion Sampling: Continuous-Time Control and Actor-Critic Learning
[NO] 329/1969 | Quaternion Nondecimated Wavelet Descriptors for Multiclass Breast Histology Classification
[NO] 330/1969 | Three-Dimensional Spatial Correlation Modeling for Cylindrical mMIMO Arrays in HAPS
[NO] 331/1969 | Black Boxes in Black Hole Imaging
[NO] 332/1969 | Development of a cosmic ray detector using CMOS sensors embedded in smartphones and Raspberry Pi devices
[NO] 333/1969 | Structured Gaussian Processes for Uncertainty-Aware Classification of High-Dimensional, Small-Sampled Omics Data
[NO] 334/1969 | Separating Geodesic Structure and Product Structure
[NO] 335/1969 | LongEgoRefer: A Benchmark for Long-Form Egocentric Video Referring Expression Comprehension
[NO] 336/1969 | The Wigner function for Integer quantum Hall effect
[NO] 337/1969 | An Optimisation Framework for the Well-Conditioned Training of Physics-Informed Neural Networks
[NO] 338/1969 | Denser $\neq$ Better: Limits of On-Policy Self-Distillation for Continual Post-Training
[NO] 339/1969 | Fluctuations of the Sherrington--Kirkpatrick free energy at critical temperature
[NO] 340/1969 | Made to Feel: How Designers Bring Emotions into Affective Visualization
[NO] 341/1969 | Alignment Is All You Need For X-to-4D Generation
[NO] 342/1969 | A Probabilistic Sign Rule for Quotients of Positive Series and Integral Transforms
[NO] 343/1969 | What LLM Agents Say When No One Is Watching: Social Structure and Latent Objective Emergence in Multi-Agent Debates
[NO] 344/1969 | The structure of FAC posets and the Aharoni--Korman conjecture
[NO] 345/1969 | Controllable Sim Agents with Behavior Latents
[NO] 346/1969 | Cut-off Jastrow Factors and Spectral Barron Regularity of Coulombic Electronic Wave Functions
[NO] 347/1969 | Probabilistic Memory for Trustworthy Edge Intelligence
[NO] 348/1969 | OrbitQuant: Data-Agnostic Quantization for Image and Video Diffusion Transformers
[NO] 349/1969 | Boundary observables in string field theory
[NO] 350/1969 | On invariant subalgebras of noncommutative Poisson boundaries for higher rank lattices
[NO] 351/1969 | EvoPolicyGym: Evaluating Autonomous Policy Evolution in Interactive Environments
[NO] 352/1969 | WorldSample: Closed-loop Real-robot RL with World Modelling
[NO] 353/1969 | Bottlenecks in Hamiltonian-Adaptive Resolution Simulation Method for Modeling Interfaces
[NO] 354/1969 | Chebyshev Approximations of Feynman Integrals for Collider Physics
[NO] 355/1969 | Black Hole Persistence in Scalar Tensor Theories
[NO] 356/1969 | Measurement of solar $pp$ neutrino flux with the new PandaX-4T data
[NO] 357/1969 | Intrinsic Brown--York Type Mass at Infinity in Four Dimensions
[NO] 358/1969 | An Inner-Scaled Linear Contribution to Wall-Pressure Variance at High Reynolds Number
[NO] 359/1969 | The Gauss periods and cyclotomic matrices involving Gauss sums over cyclic groups
[NO] 360/1969 | WattGPU: Predicting Inference Power and Latency on Unseen GPUs and LLMs
[YES] 361/1969 | DecompRL: Solving Harder Problems by Learning Modular Code Generation
[YES] 362/1969 | Steerability via constraints: a substrate for scalable oversight of coding agents
[NO] 363/1969 | Generative Autonomous Grid Control: Integrating Decision Transformers with a Two-Stage Safety Stack
[NO] 364/1969 | Sobolev stability of the $L^2$-projection on hybrid meshes
[NO] 365/1969 | Data Comics for Education: Evaluating Effectiveness, Benefits, and the Ethics of AI-Assisted Creation
[NO] 366/1969 | Mesoscopic Linear Statistics for Two Ensembles of Quantum Graphs
[NO] 367/1969 | Assessing Ultra-Cool Dwarf Contamination in Photometrically Selected High-Redshift Galaxy Samples
[NO] 368/1969 | A PDE-Based Framework for Generative Modeling Beyond Classical Score-Based Diffusion
[NO] 369/1969 | Eliminating positive-measure level sets by small Lipschitz perturbations
[NO] 370/1969 | Analyses on Christoph Clavius' Reports of Total Solar Eclipses in 1560 and 1567: Key References for the Centennial Variations of the Earth's Rotation Speed and the Solar Radius
[NO] 371/1969 | Evidence for Deconfined Magnetic Order in the Kitaev-$J_3$ Model
[NO] 372/1969 | Dispersive-optical-model analysis of the asymmetry dependence of neutron skins
[NO] 373/1969 | Symmetries of Pauli Noise from Lindbladian Dynamics
[NO] 374/1969 | Directed univalence for simplicial objects in an $\infty$-topos
[NO] 375/1969 | Fast and Accurate Anomaly Detection in Time Series
[NO] 376/1969 | Constructing depth one laminations transverse to pseudo-Anosov flows
[NO] 377/1969 | Discovery of sulfur oxides in the ejecta of a B[e] supergiant
[NO] 378/1969 | G-RRM: Guiding Symbolic Solvers with Recurrent Reasoning Models
[YES] 379/1969 | Guiding Human Validation of LLM-Generated Code via Verifiable Literate Programming
[NO] 380/1969 | Scalable and Distributed Silhouette Approximation
[NO] 381/1969 | Sandpile Models on complex networks
[NO] 382/1969 | Challenges and Recommendations for LLMs-as-a-Judge in Multilingual Settings and Low-Resource Languages
[NO] 383/1969 | Existence of weak solutions of the surface Beris-Edwards model
[NO] 384/1969 | Positive Cones of Parabolic Grassmann Bundle over a curve
[NO] 385/1969 | HaloGuard 1.0: An Open Weights Constitutional Classifier for Multilingual AI Safety
[NO] 386/1969 | Anisotropic tunneling through magnetic barriers in 8-Pmmn borophene
[NO] 387/1969 | Anisotropic nanoscale coherent polariton transport in CrSBr
[NO] 388/1969 | Algebraic Model Counting for Global Analysis of Optimal Decision Trees
[NO] 389/1969 | Towards graviton lasing from squeezed ultra-cold systems
[NO] 390/1969 | LMPAN: A Lightweight Multi-Path Alignment Network for Joint Full-Duplex Acoustic Echo Cancellation and Noise Suppression
[NO] 391/1969 | NGTS-39 b: A 58 d transiting warm Jupiter in an eccentric orbit
[NO] 392/1969 | File-Level Copying Is an Implicit Dependency in Open Source
[NO] 393/1969 | SPLIT: Cross-Lingual Empathy and Cultural Grounding in English and Ukrainian LLM Responses
[NO] 394/1969 | PWM-ArtGen: Part World Model for Articulated Object Generation
[NO] 395/1969 | Four-channel prototype using coherent combining of ultrashort laser pulses for dipole configuration approximation
[NO] 396/1969 | Spatio-Temporal and Clinical Conditioning for Fine-Grained Radiology Report Retrieval
[NO] 397/1969 | A depth resolved investigation of hydrogen uptake in carbon based nanostructures by soft-to-hard photoemission spectroscopy
[NO] 398/1969 | Mirror Illusion Art
[NO] 399/1969 | Resolution of the Detection Threshold Conjecture for Random Geometric Graphs in the $d>n$ Regime
[NO] 400/1969 | Integrated Wake-Up Radio and MIMO Solution for Cellular IoT Networks
[NO] 401/1969 | A Stereo Visual SLAM System Using Object-Level Motion Estimation and Geometric Filtering Based on Cross Disparity
[NO] 402/1969 | Born Discrete, Made Smooth: Variational Formulation of Shallow Neural Networks
[NO] 403/1969 | HVAF Spraying of NiTi Coatings: Microstructure, Phase Transformation and Shape Memory Behavior
[NO] 404/1969 | Meshfree versus grid-based Schrödinger solvers for modeling the interactions between free-electron wave packets and light
[NO] 405/1969 | Traceable Fault Diagnosis for Battery Energy Storage Systems via Retrieval-Augmented Multi-Agent O&M Assistant
[NO] 406/1969 | Hacking measurement-device-independent quantum key distribution
[NO] 407/1969 | Energy transfer, Intermittency and Mixing in Shear-Driven Stratified Turbulence
[NO] 408/1969 | Multimodal Knowledge Edit-Scoped Generalization for Online Recursive MLLM Editing
[NO] 409/1969 | A Multi-Branch Hierarchy-Aware Framework for Heterogeneous Audio Classification
[NO] 410/1969 | Assessing VLM Reliability for Medical Image Quality Evaluation Under Corruption and Bias
[NO] 411/1969 | Object Aligner: A Configurable JSON Schema Similarity Score for Graphs, Applied to LLM Prompt Optimization
[NO] 412/1969 | Genuine and strongly genuine polynomials: With an application to the persistence of Galois groups under specialization
[NO] 413/1969 | The ring wants to be broken
[NO] 414/1969 | Probabilistic Low-Voltage Peak Load Forecasting with Time Series Foundation Models Evaluated on Application-Oriented Metrics
[NO] 415/1969 | Towards a Phonology-Informed Evaluation of Multilingual TTS
[NO] 416/1969 | Beyond Supervised Clarification: Input Rewriting with LLMs for Dialogue Discourse Parsing
[NO] 417/1969 | On a Smoothed Walfisz Divisor Problem
[NO] 418/1969 | Filter-induced linear topologies on residuated lattices: Hausdorffness, profiniteness, and finiteness conditions
[NO] 419/1969 | Robust for the Wrong Reasons: The Representational Geometry of LLM Robustness to Science Skepticism
[NO] 420/1969 | Fermiology and spin polarization of topological surface states in PtBi$_2$
[NO] 421/1969 | Second-order fluctuations for a phase transition in random partitions
[NO] 422/1969 | CausalSteward: An Agentic Divide-Conquer-Combine Copilot for Causal Discovery
[NO] 423/1969 | Low-regularity finite element elasticity complexes with hybridizable stresses on tetrahedral Alfeld splits
[NO] 424/1969 | Transferring supremum-norm rates and weak convergence of covariance kernel estimators to functional principal components
[NO] 425/1969 | Tuning quantum magic of pure quantum chaotic states with a gravity dual
[NO] 426/1969 | Real-weighted Diameter and Eccentricity of Minor-free and Bounded VC-dimension Graphs in Truly Subquadratic Time
[YES] 427/1969 | ContextSniper: AntTrail's Token-Efficient Code Memory for Repository-Level Program Repair
[NO] 428/1969 | Markovian Arrival Process Parameter Estimation of Quasi-birth-death Queueing Systems with Utilization Data
[NO] 429/1969 | Beyond Laplace: Closed-form wrapped Gaussian posterior approximations on statistical manifolds
[NO] 430/1969 | Measuring Opportunity Cost with Stock Lifetime Value
[YES] 431/1969 | Rethinking Complexity Metrics for LLM-Integrated Applications: Beyond Source Code
[NO] 432/1969 | SABER: A Semantic-Aligned Brain Network Analysis Framework via Multi-scale Hypergraphs
[NO] 433/1969 | FoundDP: Revisiting Weak Disparity Observability in Dual-Pixel Depth Estimation
[NO] 434/1969 | The slope of the friction law of hertzian-asperity--based metainterfaces has a finite positive lower bound
[NO] 435/1969 | Understanding Build Reproducibility in the F-Droid Ecosystem
[NO] 436/1969 | Rotating Black Holes and the Kerr/CFT Correspondence in Einstein-Bumblebee Gravity
[NO] 437/1969 | CSI Simulation: Why Additive Noise Fails and How to Fix It
[NO] 438/1969 | Learning the Supports for Categorical Critic in Reinforcement Learning
[NO] 439/1969 | Exponential growth rates of even Coxeter groups
[NO] 440/1969 | Petersen graph and monodromy of the 27 lines on the Clebsch surface
[NO] 441/1969 | Coupling some conditioned L{é}vy trees with the Kesten tree
[NO] 442/1969 | On super Delta-points and the convex-DLD2P in absolute sums
[NO] 443/1969 | Phenomenology of genuine twist-three distributions from a global QCD analysis
[NO] 444/1969 | Semi-uniform stability estimates for impedance passive systems with saturated feedback *
[YES] 445/1969 | Regression Accumulation in Multi-Turn LLM Programming Conversations
[NO] 446/1969 | Geometric Foundation Model Distillation for Efficient Lunar 3D Reconstruction
[NO] 447/1969 | CLAP: Closed-Loop Training, Evaluation, and Release Control for Domain Agent Post-training
[NO] 448/1969 | Mixture-of-Parallelisms: Towards Memory-Efficient Training Stack for Mixture-of-Experts Models
[NO] 449/1969 | A Unified CutFEM Formulation for Finite-Strain Elasticity: Energy Minimisation and Corner Singularities
[NO] 450/1969 | A Stable Boundary Element Method for Reliable Long-Time Industrial Sound Emission
[NO] 451/1969 | On the Role of Directionality in Structural Generalization
[NO] 452/1969 | Beyond the Giampietro--Darmon Conjecture
[NO] 453/1969 | MATCH: Multiplier-Assisted Tests for Conditional Hypotheses in Non-Euclidean Data
[NO] 454/1969 | FlowCIR: Semantic Transport via Flow Matching for Zero-Shot Composed Image Retrieval
[NO] 455/1969 | Bridgeland-Enriques general K3 surfaces
[NO] 456/1969 | Bockstein braiding statistics
[NO] 457/1969 | Washed Out by the Crowd? Accountability under Sequential Review
[NO] 458/1969 | AnyGroundBench: A Specialized-Domain Benchmark for Video Grounding in Vision-Language Models
[NO] 459/1969 | Josephson and Spin Currents in Coupled Polariton Condensates
[NO] 460/1969 | Functions in $L_1(μ,Y)$ with optimal tensor representations
[NO] 461/1969 | SN 2020bij and a Possible Slow-Rise High-Velocity Subclass of Type IIP Supernovae
[NO] 462/1969 | From microscopic fluctuations to susceptibility spectra: single-molecule relaxation in glassy media
[NO] 463/1969 | Foliations by constant spacetime mean curvature surfaces for asymptotically hyperboloidal initial data sets
[NO] 464/1969 | Reference-Governed Distributed Safe Gradient Flow for Safe Optimal Output Agreement of Multi-Agent Systems
[YES] 465/1969 | UA-ChatDev: Uncertainty-Aware Multi-Agent Collaboration for Reliable Software Development
[NO] 466/1969 | RadiomicNet: A Hybrid Radiomics-Guided Lightweight Architecture for Interpretable Medical Image Segmentation
[NO] 467/1969 | A highly efficient iterative approach for inverse acoustic obstacle scattering problems in three dimensions
[NO] 468/1969 | Unconditional Optimal Error Estimates and Energy Stability for a Linearly Implicit Mass-Lumped Projection Finite Element Method for the Harmonic Map Flow
[NO] 469/1969 | Choreographing the Way of Water: A Computational Framework for Aquatic Robotic Art
[NO] 470/1969 | The total mass of Brownian loop measure of Riemann surfaces for large genus
[NO] 471/1969 | Efficient PEFT Methods with Adaptive Checkpointing for Vision Models and VLMs on Resource Constrained Consumer-GPUs
[NO] 472/1969 | Patient-Specific Articulated Digital Twins from a Single Full-Body CT Scan
[NO] 473/1969 | Liouville-type theorems and existence of solutions for quasilinear elliptic problems
[NO] 474/1969 | Spherically Symmetric Fluid Simulations of Black Hole Accretion in Self-Interacting Dark Matter Halos
[NO] 475/1969 | Tight Lower Bounds for the Multi-Secretary Problem via Bellman Certificates
[NO] 476/1969 | Taxing Artificial Intelligence
[NO] 477/1969 | Predicting Early Stages Of Alzheimer's Disease And Identifying Key Biomarkers Using Deep Artificial Neural Network And Ensemble Of Machine Learning Methodologies
[NO] 478/1969 | A$^{2}$utoLPBench: An Auto-Generated, Agent-Friendly LP Benchmark via Inverse-KKT Construction
[NO] 479/1969 | Reachability-Based Safe-Start Regions for Approach to a Tumbling Target with Rotating LOS Constraints
[NO] 480/1969 | On the rigidity of generalized $m$-quasi-Einstein manifolds of Yamabe-type
[NO] 481/1969 | An Efficient vLLM-Based Inference Pipeline for Unified Audio Understanding and Generation
[NO] 482/1969 | ContextNest: Verifiable Context Governance for Autonomous AI Agent
[NO] 483/1969 | Sequential Structure-Sensitive Residual Diagnostics for PDE Inverse Problems
[NO] 484/1969 | WBMM: Windowed Batch Matrix Multiplication for Efficient Large Receptive Field Convolution
[NO] 485/1969 | Multimodal Fusion for Fine-Grained Classification of Breast Fibroadenoma and Phyllodes Tumors
[NO] 486/1969 | SUNTA: Hierarchical Video Prediction with Surprise-based Chunking
[NO] 487/1969 | Enabling Real-Time AI in O-RAN: Deploying andMeasuring AI Inside a Near-RT RIC xApp
[NO] 488/1969 | A second-order diffusive-interface immersed boundary method for incompressible flow with phase change and moving interfaces
[NO] 489/1969 | The Narayana transformation
[NO] 490/1969 | Scaling Trends for Lie Detector Oversight in Preference Learning
[YES] 491/1969 | Evolutionary Feature Engineering for Structured Data
[NO] 492/1969 | Improved polynomial estimate for the Lebesgue constants of Leja sequences on finite unions of intervals
[NO] 493/1969 | Lynx: Progressive Speculative Quantization for accelerating KV Transfer in Long-Context Inference
[NO] 494/1969 | Gender Differences in Research Topic and Method Selection in Library and Information Science: Perspectives from Three Top Journals
[NO] 495/1969 | Gaming Consensus: Coordinated Manipulation in Crowdsourced Fact-Checking
[NO] 496/1969 | Gravitational Waves from Primordial Black Holes: Connecting Low-Frequency Scalar-Induced Signatures to High-Frequency Binary Mergers
[NO] 497/1969 | Finite-time stability of two-soliton solutions of the Hartree equation with elliptic trajectories
[NO] 498/1969 | Approximate Attention Weighting for Sustainable FPGA-Based Vision Transformer Inference
[NO] 499/1969 | Structure-Aware Compilation for Scalable Neutral-Atom Quantum Computing
[NO] 500/1969 | Euler characters for general linear Lie superalgebra
[NO] 501/1969 | Density functional study of native point defects in CaO
[NO] 502/1969 | Scene-Conditioned PINN-GNN for Multipath RF Maps: Cross-Scene Generation and In-Scene Completion
[NO] 503/1969 | Faster Parameterized Broadcasting
[NO] 504/1969 | ProSAC-CT: Progressive Spectral-Anatomical Co-Guided Multi-Stage Diffusion Model for Low-Dose CT Denoising
[NO] 505/1969 | Efficient Temporal Point Processes via Monotone Alternating Splines
[NO] 506/1969 | RTE-FM-Dehazer: Radiative Transfer Equation Inspired Flow Matching for Real-World Image Dehazing
[NO] 507/1969 | Adapting CCDF Plots for Visualizing Ordinal Regression Results
[NO] 508/1969 | Quasiparticle structure and $α$-decay scheme of nuclei along alpha-decay chain of $^{288}$Mc
[YES] 509/1969 | Knowledge Over Parameters: Evolving Smart Contract Vulnerability Detection
[NO] 510/1969 | Rethinking Speech-LLM Integration for ASR: Effective Joint Speech-Text Training by Interleaving
[NO] 511/1969 | Quantum-Inspired Vision: Leveraging Wave-Particle Duality for Low-Illumination Enhancement
[NO] 512/1969 | Resilient Liquid Democracy: Mitigating Voting Power Imbalances via Secure Delegation Networks
[NO] 513/1969 | When Algebraic Symmetry Breaking Meets Solvers: An Experimental Study
[NO] 514/1969 | Predicting Novel Stable Materials for Experimental Synthesis
[NO] 515/1969 | Portfolio Optimization under Fast and Slow Latent Mean-Reverting and Momentum Drift
[NO] 516/1969 | Pmeta-TLA: Backdoor Attacks for Speech Classification Models via Meta-Learning with Timbre Leakage Attack
[NO] 517/1969 | Dynamic Modeling and Parameter Estimation for Origami Structure Reconfiguration Process
[NO] 518/1969 | The Sun's chemical peculiarity: disentangling Galactic chemical evolution and planetary engulfment in solar twins
[NO] 519/1969 | Gravitational Waves from Multiple First-Order Phase Transitions in a Scenario with Early Matter Domination
[NO] 520/1969 | Many-body benchmarking of DFT local-registry energetics in bilayer InSe
[NO] 521/1969 | ICDepth: Taming Video Diffusion Models for Video Depth Estimation via In-Context Conditioning
[NO] 522/1969 | UT-AISTimprt submission for ICME 2026 Grand Challenge on Academic Text-to-Music Generation
[YES] 523/1969 | VeriChat: An Agentic Conversational AI Assistant for Hardware Security Verification
[NO] 524/1969 | Periodic Radio Technosignature Search toward 3I/ATLAS with FAST
[NO] 525/1969 | CALM: Interpretable Cross-Modal Alignment for Biomarker Discovery from Unpaired Data
[NO] 526/1969 | Preparing a Thermofield Double State with Feedback Quantum Algorithms
[NO] 527/1969 | Boosting Ultrasound Image Classification via Attribute-Guided Dual-Branch Framework
[NO] 528/1969 | Numerical Investigation of Efficient Electron Acceleration at an Unsteady Solar Flare Loop-Top
[NO] 529/1969 | Multi-Resolution Flow Matching: Training-Free Diffusion Acceleration via Staged Sampling
[NO] 530/1969 | Chiral interaction enhanced magnon bundle emission
[NO] 531/1969 | 3DLS: A 3D Logic-Stacked Architecture for Disaggregated LLM Serving
[NO] 532/1969 | A Unified Framework for Hybrid Grid-Forming and Grid-Following Inverter Control
[NO] 533/1969 | Scaling with Confidence: Calibrating Confidence of LLMs for Adaptive Test Time Scaling
[YES] 534/1969 | SINA: A Fully Automated Circuit Schematic Image to Netlist Generator Using Artificial Intelligence
[NO] 535/1969 | A degenerate Whittaker criterion for $\mathrm GL_{2n}$
[NO] 536/1969 | Calibration of DOI-Capable PET Detector Panels Using Uncollimated Front-Face Irradiation
[NO] 537/1969 | On the Critical One Components Regularity for the $3-D$ Navier-Stokes System in $L^p_T(\dot{B}^{\frac 1 2+\frac 2 p}_{2,\infty})$ spaces
[NO] 538/1969 | Testing Unate Distributions
[NO] 539/1969 | From SRA to Self-Flow: Data Augmentation or Self-Supervision?
[NO] 540/1969 | On the emergence of quantum many-body chaos for tunably-broken integrability
[NO] 541/1969 | Seek to Segment: Active Perception for Panoramic Referring Segmentation
[NO] 542/1969 | Stability of global self-similar solutions to the cubic wave equation and the wave maps equation
[NO] 543/1969 | Visually Grounded Self-Reflection for Vision-Language Models via Reinforcement Learning
[NO] 544/1969 | The Debris Disk Host $β$ Piscis Austrinus is a Rapidly Rotating Star Seen Nearly Pole-On
[NO] 545/1969 | Combating Textual Noise and Redundancy: Entropy-Aware Dense Visual Token Pruning
[NO] 546/1969 | Regularity of a Geodesic equation in the space of mixed Volume Forms on Hermitian Manifolds
[NO] 547/1969 | QuadRocket: An Aerial Robotic Testbed for Adaptive Thrust-Vector Control of Rocket-Like Vehicles
[NO] 548/1969 | Human Capital, Not Model Benchmarks, Predicts Hybrid Intelligence in Forecasting
[NO] 549/1969 | A Quantum-Walk Representation of Color-Ordered MHV Scattering Amplitudes
[NO] 550/1969 | The $D_{s1}(2460)$ and other open-charm $1^+$ states in relativistic chiral effective field theory
[NO] 551/1969 | Anomalous thermopower from the drag of overdamped collective modes
[NO] 552/1969 | Understanding the Robustness of Distributed Self-Supervised Learning Frameworks Against Non-IID Data
[NO] 553/1969 | HTTP REST API Structure Learning
[NO] 554/1969 | MARVEL: Margin-Aware Robust von Mises-Fischer Expert Learning for Long-Tailed Out-of-Distribution Detection
