[2026-02-24 09:38:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[NO] 38/1000 | Hierarchical X-Ray Recognition for Obsolete Semiconductor Chips Combining Rule-Driven and Deep Learning Approaches
[NO] 39/1000 | SlimComm: Doppler-Guided Sparse Queries for Bandwidth-Efficient Cooperative 3-D Perception
[NO] 40/1000 | Application of Semantic Segmentation on SEM Images of Rubber Composites and Verification of Correlation with Material Properties
[NO] 41/1000 | Predictive Modelling of Art Patient Status Using Machine Learning: A Comparative Study of Classification Algorithms
[NO] 42/1000 | Warehouse Spatial Question Answering with LLM Agent 1st Place Solution of the 9th AI City Challenge Track 3
[NO] 43/1000 | Research on Non-Cascaded Constrained Model Predictive Control for Direct-Drive Permanent Magnet Synchronous Wind Generators
[NO] 44/1000 | PreciVision: An integrated platform for multiple diseases detection Using CNN model
[NO] 45/1000 | Metaheuristic-Enhanced Deep Learning Models for Network Anomaly Detection: Evaluation and Future Outlook
[NO] 46/1000 | Machines that can Imagine: The Instruments and Methods Used in Generative AI Art
[NO] 47/1000 | Efficient Real-World Deblurring Using Single Images: AIM 2025 Challenge Report
[NO] 48/1000 | Smart Routing for Multimodal Video Retrieval: When to Search What
[NO] 49/1000 | Temporal Multimodal Memory Banks for Agentic Reasoning
[NO] 50/1000 | Hybrid Intelligence Endpoint Defense (HIED): A Data-Fusion Approach for Proactive Malware Detection
[NO] 51/1000 | Equilibrium Manifold Tracking Control of Four-Link Active Ankle Assist Mechanism for Human Motion Stability
[NO] 52/1000 | Unsupervised Learning Approach for Polycystic Ovary Syndrome Diagnosis Through CNN Feature Extraction and Clustering Algorithms
[NO] 53/1000 | FusionEnsembleNet: An Attention-Based Ensemble of Spatiotemporal Networks for Multimodal Sign Language Recognition
[NO] 54/1000 | Analysis of Boost Converter Control Performance Considering Output Capacitor Design
[NO] 55/1000 | Detection and Classification of Edible Mushrooms Using Deep Learning Model YOLOv12s for Market Authentication
[NO] 56/1000 | Modular Combination Strategies for Chiral Origami Mechanisms Based on Screw Theory
[NO] 57/1000 | Modeling of Multiple Grid-Forming Devices and Analysis of Oscillation Mechanisms
[NO] 58/1000 | Machine Learning-Based Leak Detection in Urban Water Distribution Networks
[NO] 59/1000 | The Impact of Artificial Intelligence on Cancer Biomarker Detection and Analysis
[NO] 60/1000 | LEVI-SAM: Tightly-Coupled LiDAR-Visual-Inertial Odometry with Event Cameras
[NO] 61/1000 | Signal Integrity Analysis of Interconnection Structures Using Conformal Finite-Difference Time-Domain Method
[NO] 62/1000 | Artificial Intelligence in the Diagnosis and Understanding of Primary Dysmenorrhea and Endometriosis: Emerging Insights and Clinical Implications
[NO] 63/1000 | Feature-Enhanced Relation Extraction with Large Language Models
[NO] 64/1000 | DC-Link Discharge Resistance Design for Three-Phase Voltage-Source Converter Considering System Stability
[NO] 65/1000 | BLIP-3: A Family of Open Large Multimodal Models
[NO] 66/1000 | Hybrid Robotic Hand for Fabric Manipulation with a Single-Finger
[NO] 67/1000 | Research on Short-Term Load Forecasting Methods for Integrated Mine Energy Systems Considering Source-Load Uncertainty
[NO] 68/1000 | Operationalising Political Style: A Diagnostic Model for Governmental Speeches During the Pandemic
[YES] 69/1000 | Tawa: Automatic Warp Specialization for Modern GPUs with Asynchronous References
[NO] 70/1000 | Binary Diffing via Library Signatures
[YES] 71/1000 | Integrating AI into DevSecOps Pipelines for Secure Cloud Microservices Management
[NO] 72/1000 | CoralVOS: Dataset and Benchmark for Dense Coral Video Segmentation
[NO] 73/1000 | Research on Cooperative Control Algorithm for S-Curve Trajectory Tracking and Dynamic Obstacle Avoidance of Autonomous Vehicles Based on MPC
[NO] 74/1000 | CrossGAP: Unified Face Anti-Spoofing via Cross-Modal Global-Aware Prompting
[NO] 75/1000 | Multimodal Representation Alignment for Image Generation: Text-Image Interleaved Control is Easier than You Think
[NO] 76/1000 | Forgetting-Free Incremental Panoptic Lifting by Maximum-Visibility Viewpoint Selection
[NO] 77/1000 | Impact of Black-Box Adversarial Attacks on Deep Neural Networks for Skin Imaging
[NO] 78/1000 | Research and Implementation of Humanoid Robot Footstepping Method Based on Deep Reinforcement Learning and Recurrent Neural Networks
[NO] 79/1000 | An Intelligent Bid Evaluation System for the Energy Industry Based on Large Language Models
[NO] 80/1000 | CAFE: Unifying Representation and Generation with Contrastive-Autoregressive Finetuning
[NO] 81/1000 | ProtoMedX: Towards Explainable Multi-Modal Prototype Learning for Bone Health Classification
[NO] 82/1000 | Research on Power Frequency Waveform Classification for Transmission Lines Based on a Cascaded XGBoost Model
[NO] 83/1000 | Lightweight Spatio-Temporal Attention Network with Graph Embedding and Rotational Position Encoding for Traffic Forecasting
[NO] 84/1000 | Heterogeneous Exoskeleton Teleoperation for Humanoid Upper-bodies: Elbow-Constrained Retargeting with ZNN
[NO] 85/1000 | A Wideband Decoupling Method for Patch Antennas in MIMO Systems
[NO] 86/1000 | Knowledge-Enhanced Bayesian Text Modeling and Analysis via Document Embedding and Clustering
[NO] 87/1000 | Multi-Scale Attention Residual Network for Flexible Sensor-Based Human Activity Recognition
[NO] 88/1000 | Sweating the Stress: GSR Insights into Cognitive Load and Distraction
[NO] 89/1000 | A Frequency Selective Rasorber Based on an Integrated Absorptive Structure
[NO] 90/1000 | An Innovative Approach to Cardiac Care: Using Artificial Intelligence to Predict and Prevent Sudden Cardiac Arrest
[NO] 91/1000 | BioCrest - A Flexible Adaptive Robotic Hand Based on Idle-Stroke Mechanism*
[NO] 92/1000 | Investigation of Dielectric Characteristics of Non-Uniform Moisture in Epoxy-Impregnated Paper Based on Frequency Domain Dielectric Spectroscopy
[NO] 93/1000 | Explainable AI for Early Detection and Treatment of Blood Cancer: Enhancing Transparency and Trust in Oncology
[NO] 94/1000 | Research on Multi-Modal Data Fusion Technology for Detection and Assessment of Transmission Line Defects
[NO] 95/1000 | Artificial Intelligence for Predicting Oocyte Maturity and Quality in Assisted
[NO] 96/1000 | Noise and SNR Characteristics Analysis of an Arctic HF Wideband Channel
[NO] 97/1000 | Customer Loyalty in the Age of Personalization: A Predictive Analytics Approach for Service-Based Business Models
[NO] 98/1000 | Research on UAV Trajectory Prediction Method Based on Bi-LSTM with Self-Attention Mechanism
[NO] 99/1000 | A Method for Power System Condition Recognition and Fault Diagnosis Based on Warped Clustering Strategy
[NO] 100/1000 | Prediction of Battery Thermal Runaway Gas Products Based on FT-Transformer Neural Network
[NO] 101/1000 | Machine Learning-Based Fault Prediction in Large- Scale Distributed Systems
[NO] 102/1000 | Towards Reporting Bias in Visual-Language Datasets: Bi-Modal Data Augmentation by Decoupling Object-Attribute Association
[NO] 103/1000 | An Information-Theoretic Approach to Diversity Evaluation of Prompt-Based Generative Models
[NO] 104/1000 | Probabilistic Dynamic Quantization for Memory Constrained Devices
[NO] 105/1000 | C2D-ISR: Optimizing Attention-Based Image Super-Resolution from Continuous to Discrete Scales
[NO] 106/1000 | MIRAGE: Unsupervised Single Image to Novel View Generation with Cross Attention Guidance
[NO] 107/1000 | Low-Rank Prompt Adaptation for Open-Vocabulary Object Detection
[NO] 108/1000 | VidMP3: Video Editing by Representing Motion with Pose and Position Priors
[NO] 109/1000 | AdCorDA: Classifier Refinement via Adversarial Correction and Domain Adaptation
[NO] 110/1000 | Not Only Grey Matter: OmniBrain for Robust Multimodal Classification of Alzheimer's Disease
[NO] 111/1000 | Multi-Objective Optimization for Deep Neural Network Calibration
[NO] 112/1000 | A Survey on Reading Order, Table of Contents, and Structure Extraction in Document Analysis
[NO] 113/1000 | Document Haystack: A Long Context Multimodal Image/Document Understanding Vision LLM Benchmark
[NO] 114/1000 | A GenAI-Powered Cybersecurity Mesh for Real-Time Risk Detection in Digital Payments
[NO] 115/1000 | An Integrated Model CINO-CNN-BiLSTM+Pooler for Tibetan Text Sentiment Classification
[NO] 116/1000 | Region-Aware Pose Modeling and Permutation Decoding for Signer-Independent Sign Language Recognition
[NO] 117/1000 | A B-Spline Interpolator for Dual-Robot Mirror Milling of Thin-Walled Parts with Optimized Trajectories
[NO] 118/1000 | General Game Playing
[NO] 119/1000 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'Dangers of List Processing in Querying Property Graphs'
[NO] 120/1000 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'Tribase: A Vector Data Query Engine for Reliable and Lossless Pruning Compression using Triangle Inequalities'
[NO] 121/1000 | CEPET 2025 Copyright Page
[NO] 122/1000 | A Novel AI-Enhanced Textile-Embedded Wearable Biosensor for Non-Invasive Vocal-Fold Monitoring
[NO] 123/1000 | Modeling the Impact of Urban Street Geometry on Automotive Radar-Communication Co-Existence
[NO] 124/1000 | High-Performance 1200-V p-GaN Gate HEMT on Standard 650-V GaN-on-Si Epi-Wafer
[NO] 125/1000 | Preface
[NO] 126/1000 | ConvertNet: Training-time Model Scaling for In-vehicle Continuous Learning
[NO] 127/1000 | Service Function Chain Anomaly Detection Method for Cyber Threat Detection in Aviation Information System
[NO] 128/1000 | A Prototype Aware Sparse Residual MLP for Robust Hand Gesture Recognition From Multichannel EMG
[NO] 129/1000 | Front Cover
[NO] 130/1000 | Gain Modulation using Shunting Inhibition in a Biased Subthreshold CMOS Dendrite
[NO] 131/1000 | Robot Metacognition: Decision Making with Confidence for Tool Invention
[NO] 132/1000 | Physics-Aware Initialization Refinement in Code-Aided EM for Blind Channel Estimation
[NO] 133/1000 | Cost-Effective Sub-THz Signal Generation and Transmission Using a Directly Modulated Laser
[NO] 134/1000 | A Modeling Attack Resistant PUF-enabled Robust Authentication and Key Agreement Scheme for Industrial Wireless Sensor Networks
[NO] 135/1000 | CECT-Mamba: A Hierarchical Contrast-Enhanced-Aware Model for Pancreatic Tumor Subtyping from Multi-Phase CECT
[NO] 136/1000 | On the Generalization of Optical Flow: Quantifying Robustness to Dataset Shifts
[NO] 137/1000 | MRDNet: A Manifold-Aware Rotated Detector Network for Remote Sensing Images
[NO] 138/1000 | UKMADNet: Unified KAN-Based Multi-Scale Attention Network with Deformable Downsampling for Jaw Cyst Segmentation
[NO] 139/1000 | Med-VLM: Enhancing Medical Image Segmentation Accuracy Through Vision-Language Model
[YES] 140/1000 | AI in Cybersecurity: Fighting Hackers With Smarter Technologies
[NO] 141/1000 | Dental Disease Detection Using EfficientNet
[NO] 142/1000 | LLMs as NAO Robot 3D Motion Planners
[NO] 143/1000 | SOC Estimation Based on OCV-Ah with Differential Amplifier Circuit
[YES] 144/1000 | An Explainable Machine Learning Framework for Predicting Software Defects in Large-Scale Software Systems
[NO] 145/1000 | Topology-Preserving Image Segmentation with Spatial-Aware Persistent Feature Matching
[NO] 146/1000 | DroneRise: A Multi-Temporal UAV Dataset and Benchmark for River Water-Level Rise Detection
[NO] 147/1000 | A Fault Diagnosis Method for Planetary Gearboxes Based on Current Signal and Symplectic Geometry Modal Decomposition
[NO] 148/1000 | SupConWI-RL: Wafer Inspection with Reinforcement Learning Enhanced by Supervised Contrastive Learning
[NO] 149/1000 | Research on the Risk Model of Cost Deviation in the Budget Estimation of Power Transmission and Transformation Projects Based on Bayesian Network
[NO] 150/1000 | A Multi-Functional Radar Task Scheduling Algorithm Based on Task Augmentation and Graph Neural Networks
[NO] 151/1000 | Research on Optimization of Enterprise Electricity Consumption Strategy and Cost Control Based on Electricity Price Signal
[NO] 152/1000 | Adaptive Face Anti-Spoofing Through Enhanced Data Manipulation and Feature Contrast Techniques
[NO] 153/1000 | ORXE: Orchestrating Experts for Dynamically Configurable Efficiency
[NO] 154/1000 | AI-Powered Interoperable Blockchain Framework Using Deep Learning and Lightweight Consensus for Enhanced Security and Scalability
[NO] 155/1000 | Quantum Fourier Transform Inspired Filtering for Enhanced Edge Preservation in SAR Imagery for Ship Detection
[NO] 156/1000 | Lasso Gripper: A String Shooting-Retracting Mechanism for Shape-Adaptive Grasping
[YES] 157/1000 | Proton: Towards Multi-level, Adaptive Profiling for Triton
[NO] 158/1000 | Fusion Supervised and Self-Supervised Learning for Intelligent Case Classification in Telecom CRMs
[NO] 159/1000 | Microscopic Modeling and Analysis of Bipolar Corona Discharge from a Floating Conductor
[NO] 160/1000 | Cooperative Monitoring of Unknown Moving Object Using Multi-FW-UAV System Fencing
[NO] 161/1000 | Research on Energy-Aware Ring Topology Routing Protocol: Location Privacy Protection and Network Lifetime Optimization for WSN Base Stations
[NO] 162/1000 | Efficient Detection of Diabetic Retinopathy through Deep Learning Using MobileNetV2
[NO] 163/1000 | Research on Anomaly Detection and Processing Method for Daily Maximum Load of Distribution Transformers Based on STL-S-H-ESD
[NO] 164/1000 | TAV-Nav: A Tool-Augmented VLM Navigator for Safe and Efficient Lunar Rover Path Planning
[NO] 165/1000 | Crop Disease Diagnosis Model using Hybrid Model
[NO] 166/1000 | Seamless Perception-Prediction Switching: A Zero-Shot Approach to Robotic Following Under Occlusion
[NO] 167/1000 | Detection of Emerging Respiratory Infections Using Chest Radiography
[NO] 168/1000 | Optimization Design of Magnetic Wheels to Enhance Adhesion Performance for Climbing Robots
[NO] 169/1000 | BiodiverseNet: Multitask Learning on Fused Multispectral and Radar Data for Scalable Ecosystem Monitoring
[NO] 170/1000 | Advance in Technology and Artificial Intelligence for Managing Snoring and Obstructive Sleep Apnoea
[NO] 171/1000 | FSD-DETR: A Lightweight and Accurate Synergistic Network for SAR Ship Detection
[NO] 172/1000 | Probabilistic Algorithmic Framework to Decrease Risk of Costs and Improve Supply Chain Dependability under Uncertain Condition
[NO] 173/1000 | Development of a Pipe-diameter Adaptive Wheeled Climbing Robot
[NO] 174/1000 | YogaVR: An AI and IoT-Based Posture Correction Approach for Yoga in Virtual Reality
[NO] 175/1000 | AI Enabled Secure Examination Environment with Real Time Surveillance and Automation
[NO] 176/1000 | Information Entropy-Based Global-Local Path Planning of Robotic Active Sensing for Multivariate Environmental 3D Spatial Estimation
[NO] 177/1000 | Distributed Model Predictive Control of Grid-forming Power Converter for Wind Turbine System
[NO] 178/1000 | A Review on Sentiment Analysis Approaches: Using Ensemble Deep Learning for Multimodal Data
[NO] 179/1000 | From Design to Impact: A UX-Driven Approach to Gamified Online Education
[NO] 180/1000 | Wearable Sensors and AI for Personalized Football Training and Injury Prevention
[NO] 181/1000 | Noise is an Efficient Learner for Zero-Shot Vision-Language Models
[NO] 182/1000 | HiSS: Human-Inspired Semantic Segmentation for Vehicle Interior Scene Understanding
[NO] 183/1000 | Safety Without Semantic Disruptions: Editing-free Safe Image Generation via Context-preserving Dual Latent Reconstruction
[NO] 184/1000 | Explainable AI-Generated Image Forensics: A Low-Resolution Perspective with Novel Artifact Taxonomy
[NO] 185/1000 | M3DocVQA: Multi-Modal Multi-Page Multi-Document Understanding
[NO] 186/1000 | MG-Gen: Single Image to Motion Graphics Generation
[NO] 187/1000 | A Malicious Traffic Detection Method based on Adaptive Ensemble
[NO] 188/1000 | Dual-Band Fixed-Beam Leaky-Wave Antenna for Point-to-Point Communication Applications
[NO] 189/1000 | DRISHTI: GAN-CNN Based SAR Colorization with K-Means Land Cover Analysis
[NO] 190/1000 | Configuring the optimal service of an intermodal bulk cargo transport service on the Danube corridor
[NO] 191/1000 | Fault Detection in Automotive Engines Through ConvNeXt-LSTM and Attention Mechanisms in IoV Systems
[NO] 192/1000 | A Spatio-Temporal Semantic Algorithm for Video Anomaly Detection from Monitoring Perspectives
[NO] 193/1000 | Low-Loss Transmission Structures for 650 GHz Vacuum Electron Devices
[NO] 194/1000 | Dino2-DR: A Trustworthy and Explainable Vision Transformer for Cross-Domain Diabetic Retinopathy Grading
[NO] 195/1000 | A Miniaturized and High-Isolation Dual-Band Wilkinson Power Divider Based on TSV
[NO] 196/1000 | Local Implicit Variational Autoencoder for Arbitrary-Scale Super-Resolution
[NO] 197/1000 | A Metaheuristic Approach to Fake News Detection using Tuned Grey Wolf Optimized SVM
[NO] 198/1000 | AI-Enhanced Hierarchical Framework for Global Disaster Risk Assessment with Spatiotemporal Prediction and Priority-Based Intervention
[NO] 199/1000 | Design of Compact OAM Reflectarray Based on Dispersion-Aligned 4-bit Pixel Meta-Atoms
[NO] 200/1000 | Paired-Sampling Contrastive Framework for Joint Physical-Digital Face Attack Detection
[NO] 201/1000 | GenEscape: Hierarchical Multi-Agent Generation of Escape Room Puzzles
[NO] 202/1000 | A Robot Visual Localization Architecture Using Hybrid Map with Explicit-Implicit Combination
[NO] 203/1000 | KWE-ASG: Key Waypoint Extraction and Action Sequence Generation-based Imitation Learning for Dual-arm-hand Manipulation
[NO] 204/1000 | Metal Ridge Loaded Semi-Cylindrical Cavity with Test Position-Insensitive Property
[NO] 205/1000 | Flexible Broadband Symmetrically Folded Dipole Antenna for Head Imaging Systems
[NO] 206/1000 | AI Based Non-Fatal Dermatological Disease Identification Using Raspberry Pi
[NO] 207/1000 | Uncertainty-Aware Likelihood Ratio Estimation for Pixel-Wise Out-of-Distribution Detection
[NO] 208/1000 | DiViD: Disentangled Video Diffusion for Static-Dynamic Factorization
[NO] 209/1000 | Human Vision Constrained Super-Resolution
[NO] 210/1000 | Embedded Parking Space Detection Based on Image Processing and SVM
[NO] 211/1000 | Whole-Body Control with Terrain Estimation of A 6-DoF Wheeled Bipedal Robot
[NO] 212/1000 | Construction of an IT Operation and Maintenance Data-Driven Decision Support System for Power Grid Based on Multi-Dimensional Monitoring
[NO] 213/1000 | Advanced Machine Learning and AI-Driven Security Frameworks for Intrusion Detection in Wireless Sensor Networks
[NO] 214/1000 | Analyzing University Students’ Perceptions of ChatGPT: A Case Study at Ajman University, UAE
[NO] 215/1000 | Fusing Convolution and Vision Transformer Encoders for Object Height Estimation from Monocular Satellite and Aerial Images
[NO] 216/1000 | Reconstruction of robot teleoperation force information in simulated time-delay network based on LSTM-Transformer
[NO] 217/1000 | Power-Weighted Pretraining-Based Feature Extraction for Model Adaptation of RF Power Amplifiers
[NO] 218/1000 | Building A Model Combining State Policy, Artificial Intelligence (AI), And Folk Knowledge In Responding To Climate Change (CC) In Vietnam: Potentials And Challenges
[NO] 219/1000 | SELDOM: Scene Editing via Latent Diffusion with Object-Centric Modifications
[NO] 220/1000 | Automated Anemia Classification with MobileNetV2 and LIME for Enhanced Medical Image Analysis
[NO] 221/1000 | LIARS: Low-Information Area Recognition for Steganography
[NO] 222/1000 | Autonomous Trespassing Detection of a Surveillance Robot
[NO] 223/1000 | A Real-Time Object Detection Model for Indoor Mobile Robots Based on YOLOv8-LCFD
[NO] 224/1000 | Performance Evaluation of Classical Machine Learning Models for Crime Prediction
[NO] 225/1000 | An End-Edge-Cloud Collaborative Scheduling Method Based on Deep Reinforcement Learning and Attention Mechanism Integration
[NO] 226/1000 | CytoDiff: AI-Driven Cytomorphology Image Synthesis for Medical Diagnostics
[NO] 227/1000 | DeepNetDetect: A Deep Learning-Based Approach for Early Anomaly Detection in Network Traffic
[NO] 228/1000 | HOSt3R: Keypoint-Free Hand-Object 3D Reconstruction from RGB Images
[NO] 229/1000 | A Lightweight Deep Learning Based Classification Models for Non-Human Identity Threat Detection
[NO] 230/1000 | Measurement Verification of the Equivalent Method for Shielding Effectiveness Based on Cylindrical Shields
[NO] 231/1000 | Ship Classification of Underwater Acoustic Target Using a CNN-Transformer Approach
[NO] 232/1000 | Valeo Near–Field: A Novel Dataset for Pedestrian Intent Detection
[NO] 233/1000 | UltraNBA Neural Bundle Adjustment for Pose Refinement in 3D Freehand Ultrasound
[NO] 234/1000 | TabNet-IDS: A TabNet-Driven Tabular Deep Learning Framework for Intrusion Detection Systems
[NO] 235/1000 | Research on Special Tests of VSC-HVDC Converter Valve
[NO] 236/1000 | Real-Time Embedded Vision System for Plastic Bag Detection on Raspberry Pi 5
[NO] 237/1000 | Enhanced Fisheye Object Detection via YOLO Ensemble Learning and Weighted Box Fusion
[NO] 238/1000 | A Cascaded Metasurface Antenna Topology for Measurement-Efficient Phaseless Computational Microwave Imaging via Diversity Multiplication
[NO] 239/1000 | Multi-Agent Reinforcement Learning-Based Configuration of Mobile Network Antenna Parameters
[NO] 240/1000 | AI-Native Latency Optimization for 6G Industrial IoT: An Interpretable Machine Learning Approach to Robot Control Network Slicing
[NO] 241/1000 | EDC-YOLO: A Maritime Ship Detection Method with Adaptive Gating and Content-Guided Fusion
[NO] 242/1000 | Total-Editing: Head Avatar with Editable Appearance, Motion, and Lighting
[NO] 243/1000 | Multi-Scale Hybrid CNN-Transformer for Smoke Detection in Satellite Images
[NO] 244/1000 | The Role of Social Network Sites in Raising Awareness of Sustainability Among Communities
[NO] 245/1000 | Potential Uses and Limitations of AI in Cancer and Infectious Disease Assessment Diagnostics: A Quick Reference
[NO] 246/1000 | Distributed incremental saturation kernel-based correntropy filter subject to unknown non-Gaussian noise and measurement bias
[NO] 247/1000 | Dual-view correlation entropy filter for enhanced mechanical prognosis under non-Gaussian interference
[NO] 248/1000 | Digital twins in forest management using scalable Deep Learning Pipeline
[NO] 249/1000 | Improving Surface Property Retrievals in Boreal Seasonal Snowpacks through Multiscale Modeling of Subgrid Reflectance
[NO] 250/1000 | Robust Hierarchical Traveling-Wave Partial Discharge Localization for Efficient Insulation Defect Detection of Medium-Voltage Overhead Lines
[NO] 251/1000 | Real-Time ABR Signal Classification Using Machine Learning Techniques: A LabVIEW-Based Implementation
[NO] 252/1000 | Development and Comparison of Bare Soil Moisture Retrieval Methods for Compact Polarimetric Data
[NO] 253/1000 | Sensor Networked Resilient Distributed State Estimation With Cyber Attacks: Theory and Application
[NO] 254/1000 | On the Ergodic Rate of Reconfigurable Optical Wireless Communication Systems
[NO] 255/1000 | Multi-View MIMO Radar Forward-Looking Imaging under Impulsive Noise via Low-Rank and Adaptive Pattern-Coupled Variational Bayesian Learning
[NO] 256/1000 | Fairness Optimization in Beyond Diagonal STAR-RIS-aided NOMA-Enhanced NF-ISAC
[NO] 257/1000 | Table of Contents
[NO] 258/1000 | GMNV: Dynamic Quantile-Augmented K-Means Clustering with Variance-Based Feature Selection
[NO] 259/1000 | SimGroup-FS: Multi-Way Redundancy Modeling for Interpretable Feature Selection in Supervised Learning
[NO] 260/1000 | Self-Adjusting Feed-Forward Ripple Cancellation in a Hybrid GaN/Si Interleaved Inverter
[NO] 261/1000 | Enhanced Offline Identification for Induction Motors at Standstill: Overcoming Nonlinearity and Enabling Multi-Mode Cooperation
[NO] 262/1000 | A Compact PCB-based Strong-Coupling Resonator for Oscillation Suppression of SiC MOSFETs
[NO] 263/1000 | Integrating Microcontrollers and Data Analysis in Mechanics Education: A STEM Approach to Free Fall
[NO] 264/1000 | AI-OCPP Framework for Smart and Safe EV Charging: Real-World Performance Evaluation
[NO] 265/1000 | Efficient Message Authentication Scheme for IoT Networks Using Precoded-Tag Embedding
[NO] 266/1000 | Fast and Accurate Angle Estimation for MIMO Radar with a Virtual Non-Rectangular Array
[NO] 267/1000 | Large-scale fabrication of fully printed, photoactivated Au decorated Tin Oxide based room-temperature NO
                    <sub>2</sub>
                    sensors with ultra-high response on paper substrates
[YES] 268/1000 | Semi-Supervised and Transfer Learning-Based Smart Contract Vulnerability Detection
[NO] 269/1000 | UniFLE: Uniform Fusion of Multiple LoRA Experts for Backdoor Defense in Large Language Models
[NO] 270/1000 | A multi-class training dataset and hybrid neural network for simultaneous karst and channel detection
[NO] 271/1000 | DuoCounter: An approach for counting fish using tracking
[NO] 272/1000 | ST-DAGCN: Spatial-Temporal Directed Acyclic Graph Convolutional Networks for End-to-End Joint Effective Connectivity Learning and Resting-State fMRI Classification
[NO] 273/1000 | Front Cover
[NO] 274/1000 | Table of Contents
[NO] 275/1000 | Absorption enhancement mechanism of multi-frequency resonant terahertz metamaterial absorber and detection of forchlorfenuron
[NO] 276/1000 | Title Page
[NO] 277/1000 | SNAMS 2025 Commentary
[NO] 278/1000 | Landtagswahlen in Saxony and Thuringia: Empirical Framework for Measuring Populism in Electoral Manifestos
[NO] 279/1000 | Preface
[NO] 280/1000 | Table of Contents
[NO] 281/1000 | Partial Discharge Localization Based on Direct Data-Reusing TDE Algorithm With Generalized Cauchy Loss
[NO] 282/1000 | Program at a Glance
[NO] 283/1000 | Conference Proceedings
[NO] 284/1000 | Title Page
[NO] 285/1000 | Bridging the Gap: Leveraging Retrieval-Augmented Generation to Better Understand Public Concerns about Vaccines
[NO] 286/1000 | An Auto-Ethnographical Analysis of Translational Digital Health Research
[NO] 287/1000 | R
                    <sup>2</sup>
                    MOAG: Robust Roadside Monocular 3D Object Detection with Adaptive Token and Ground Embedding
[NO] 288/1000 | Retrieval-Augmented Generation for Multi-Hop Question Answering based on Structured Planning
[NO] 289/1000 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'SBSC: A fast Self-tuned Bipartite proximity graph-based Spectral Clustering'
[NO] 290/1000 | Magnol.AI Copilot: Multimodal LLMs for Natural, Accessible Data Interaction
[NO] 291/1000 | Advancing Lung Disease Diagnosis in 3D CT Scans
[NO] 292/1000 | Classifications between Different Stages of Alzheimer's Disease using Xtreme Gradient Boosting
[NO] 293/1000 | A Study on Resistive Force and Torque Feedback from Muscles and Tissue in Spine Surgical Robots for Improved Precision and Control
[NO] 294/1000 | Research on Switching Loss Optimization of SiC Inverters with Improved Model Predictive Control
[NO] 295/1000 | Enhancing Breast Cancer Diagnosis Using Lightweight Deep Learning Models
[NO] 296/1000 | Development of a Hybrid prediction model for Drowsiness Monitoring
[NO] 297/1000 | DyTact: Capturing Dynamic Contacts in Hand-Object Manipulation
[NO] 298/1000 | Event-Triggered Formation Cooperative Control of Mobile Robots
[NO] 299/1000 | An Improved CNN-LSTM-Based Method for Impedance Modulation Signal Prediction in Electronic Skin
[NO] 300/1000 | High-Accuracy Path Servo Solution using Real-time Feedback Control
[NO] 301/1000 | An Adaptive MPC for Full-Actuated-Propulsion UUV to Against Flow Disturbances
[NO] 302/1000 | Modeling and Optimization of the Signal Chain in A Benchtop MPI System
[NO] 303/1000 | Incorporation of Third Harmonic Injection in Sinusoidal PWM for Enhanced Inverter Performance
[NO] 304/1000 | A Machine Learning Framework for Early Detection of Sleep Apnea and Insomnia
[NO] 305/1000 | Flexible Strain Sensor Based on CVD Graphene and its Sensing Mechanism
[NO] 306/1000 | Interpretable Decision-Making for End-to-End Autonomous Driving
[NO] 307/1000 | Self-Supervised Representation Learning with Diffusion-Based Refinement for Image Rectification
[NO] 308/1000 | Pose Estimation for Connector Insertion in Robotic Peg-in-Hole Assembly
[NO] 309/1000 | EMI Response of Microcontroller I/O Ports Under Different Input Modes
[NO] 310/1000 | HotspotNet: A Hybrid CNN-LSTM Model for Accurate Crime Hotspot Prediction
[NO] 311/1000 | Temperature Prediction Using Bidirectional LSTM With Attention Mechanism
[NO] 312/1000 | Single-Channel Digital Monopulse Tracking with Frequency Diversity Single-Sideband Time-Modulated Arrays
[NO] 313/1000 | Generating Emotional Motion for Humanoid Robots Based on PAD-Labeled Data and Variational Autoencoder
[NO] 314/1000 | Temporal and Rotational Calibration for Event-Centric Multi-Sensor Systems
[NO] 315/1000 | Individual Load Monitoring using Smart Energy Meter: An IoT-based Approach
[NO] 316/1000 | AM-FMT: Assisting Metric Fast Marching Tree for Motion Planning in Complex Environments
[NO] 317/1000 | A Lightweight Ensemble Learning with Uncertainty Quantification for Robust OCT Retinal Disease Prediction
[NO] 318/1000 | Tuning-Free Multi-Event Long Video Generation via Synchronized Coupled Sampling
[NO] 319/1000 | Towards Large Scale Geostatistical Methane Monitoring with Part-Based Object Detection
