[2026-08-20 22:26:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | The Equality Cases of the Weak Simplex Conjecture
[NO] 172/1794 | Symmetries of QCD and their relevance for low-energy nuclear physics
[NO] 173/1794 | TractorBeam: Personalized AI Sensemaking Support via Collaborative Machine Annotation
[NO] 174/1794 | Spectral dynamics for the Basilica group
[NO] 175/1794 | X-LMC: Cross-View Spatiotemporal Collateral Circulation Scoring from DSA
[NO] 176/1794 | RushHour: A Dynamically Reconfigurable Lattice-Surgery Architecture
[NO] 177/1794 | Conformity Traps and the Formation of Independent Judgment
[NO] 178/1794 | On-chip Bragg peak extraction from MHz frame rate X-ray detectors using a cellular automaton architecture
[NO] 179/1794 | Differentiable approximation of continuous locally definable maps that preserves the image
[NO] 180/1794 | Complexity-sensitive additive energy and off-diagonal Young inequalities on bounded-degree algebraic varieties
[NO] 181/1794 | Constraining Cosmic-Ray Acceleration and Escape in Middle-Aged Supernova Remnants with GeV-TeV Gamma-Ray Observations
[NO] 182/1794 | Mixed Membership Model of Low-rank Matrices with Multimodal Extension
[NO] 183/1794 | Flat and Topological Floquet Minibands from Patterned Light in Untwisted Bilayer Graphene
[NO] 184/1794 | A Structured Framework for Calibrating Stochastic Car-Following Models: Data Adequacy, Parameter Sensitivity, and Objective Selection
[NO] 185/1794 | Characterization of Supporting Functionals at Points of the Unit Sphere of Orlicz-Lorentz Spaces
[NO] 186/1794 | Training Chemical Plausibility-Aware Large Language Models for Single-Step Retrosynthesis
[NO] 187/1794 | Graphical Design of Interpretable Architectures
[NO] 188/1794 | Products of trees and ${\rm PGL}_2$-torsors over the punctured affine line
[NO] 189/1794 | Transportable Causal Effect Estimation across Networks under Interference
[NO] 190/1794 | Gaudin models for some classical multivariate distributions
[NO] 191/1794 | Stefan Bergman (1895-1977). Notes on His Bio- and Bibliography
[NO] 192/1794 | Detecting Magnetic Phase Transitions in Ion-Irradiated CrSBr Through Resonant Raman Scattering
[NO] 193/1794 | Image Generation Techniques for Urban Planning
[NO] 194/1794 | A FEM-Based Surrogate Modelling and Optimization Framework for Physics-Constrained Electromagnetic Coil Design
[NO] 195/1794 | Orientation-dependent drag, lift, and torque correlations for regular Platonic polyhedral particles
[YES] 196/1794 | CauSec: Unboxing the Causal Drivers of Static Vulnerability Analysis Performance
[NO] 197/1794 | A Weyl-type law for surface-localized eigenfunctions of the Maxwell transmission problem
[NO] 198/1794 | Deciding Relabeling Observation Consistency in Multi-Agent Discrete-Event Systems
[NO] 199/1794 | Simulation of advective accretion flows around black holes under various outer boundary conditions
[NO] 200/1794 | Undecidability of Confluence for Binary Length-Reducing Cycle Rewriting
[YES] 201/1794 | OdinEval: A Reproducible Benchmark for LLM-Based Program Repair in the Odin Programming Language
[NO] 202/1794 | FD-CanKD: Frequency-Decoupled Cross-Attention Distillation as a Refinement Prior for Compact Object Detectors
[NO] 203/1794 | Beyond Distortion Robustness: Rethinking Severe Cropping as Erasure-Resilient Message Embedding
[NO] 204/1794 | SemanticSlider3D: Training-Free Continuous Semantic Editing for 3D Objects
[NO] 205/1794 | Convergent series of coherent states
[NO] 206/1794 | Exact Robust Instability Analysis for Networked Dynamical Systems with Biological Application
[NO] 207/1794 | Real-Time Control-Constrained DDP for Underactuated Balancing of Legged Robots
[NO] 208/1794 | MARCUS: Missing-Aware Region Representation with Contextual Urban Signals for Rent Prediction
[NO] 209/1794 | Any $k$-graph with zero $\ell$-degree Turán density is layered
[NO] 210/1794 | Reaction Cross Sections and $α$-Cluster Geometry in $^{12}$C and Be Isotopes
[NO] 211/1794 | A simple geometric proof of Kepler's first Law
[NO] 212/1794 | Sixteen generators of the automorphism group of the Fermat quartic surface
[NO] 213/1794 | Toward Controllability-Aware Performance Measures: A Case Study on Controllable Highway Congestion
[NO] 214/1794 | Science Done on a Machine by a Machine: AI Agents in Computational Chemistry
[NO] 215/1794 | Physics-Unrolled Neural Operator for Wireless Field Modeling
[NO] 216/1794 | An Efficient Second-Order-in-Time Penalty-Projection Ensemble Eddy Viscosity Method for Parameterized Navier-Stokes Flows
[YES] 217/1794 | Coverage-Driven RTL Assertion Generation with Formal Exploration and Neuro-Symbolic Refinement
[NO] 218/1794 | Building real-time digital twin instances with Function+Data Flow: user evaluation and extension for iterative pipelines
[NO] 219/1794 | A Locally Deployable Tool-Grounded LLM Multi-agent Framework for Automating Methane Emission Analysis and Reporting
[NO] 220/1794 | ERASE: EaRly bAckpropagation SchEdule for Faster Training of Modern Recommendation Systems
[NO] 221/1794 | Covariant Energy Momentum Tensor in General Relativity by Generalized Canonical Method
[NO] 222/1794 | Backward Layout Search for Sequence-Constrained Robotic Assembly
[NO] 223/1794 | Data-Driven Output Feedback based Analysis and Control for Unknown Discrete-Time Linear System
[NO] 224/1794 | Decomposability and Norm Convergence Property of Operators in Type $\mathrm{I}_k$ von Neumann Algebras
[NO] 225/1794 | Optical poling of a quantum ferroelectric metal across the order-disorder phase transition
[NO] 226/1794 | FM-Bench: A Benchmark for Long-Horizon Management with Competing Agents
[NO] 227/1794 | CoMVS-GS: Collaborative Multi-View Stereo and 3D Gaussian Splatting for Surface Reconstruction
[NO] 228/1794 | Role-Conditioned Sub-Token Routing for Efficient Vision-Language-Action Policies
[NO] 229/1794 | Improving Natural-Language Combinatorial-Optimization Accuracy in Resource-Constrained Language Models via Formal Abstractions
[NO] 230/1794 | Witt groups of smooth real curves and surfaces
[NO] 231/1794 | A Positive Proportion of the Reduced D'Arcais Polynomials is not Hurwitz
[NO] 232/1794 | EVADE: Evidence-Verified Agentic Diagnosis with Escape
[NO] 233/1794 | $Ab$ $initio$ calculation of hyperfine-structure properties to extract nuclear magnetic octupole moments of $^{69}$Ga and $^{71}$Ga
[NO] 234/1794 | Some uniform error analysis for gKdV equations in dispersionless limit regime before dispersive shock
[NO] 235/1794 | A Quantum-Gravity-Motivated GUP Effective Metric
[NO] 236/1794 | Power-kernel fractional Sturm--Liouville operators: a graph realization and boundary-independent singular-value asymptotics
[NO] 237/1794 | Could John Ellard Gore have pre-empted the Hertzsprung-Russell diagram?
[NO] 238/1794 | A Framework for Enterprise Network Dimensioning
[NO] 239/1794 | Scaling-law-informed neural point processes for earthquake sequence forecasting
[NO] 240/1794 | Modelling electroweak interactions at lepton colliders - from the Z pole to the highest energies
[NO] 241/1794 | Mitigating Regional Traffic Congestion via School Start Time Scheduling: A Bilevel Alternating Optimization Approach
[NO] 242/1794 | When to Sell an Asset? - A Distribution Builder Approach
[NO] 243/1794 | Electron Correlation Enables Phase-Coherent One-Attosecond Pulse Trains
[NO] 244/1794 | To Go Far, Go Together: Diverse Preferences Induce a Curriculum for Reward Optimization
[NO] 245/1794 | SED-FOD: Scattering-Aware Expert Decomposition for Few-Shot Cross-Sensor SAR Object Detection
[YES] 246/1794 | Metrics That Write Themselves: Evolving an Evaluator from Its Own Blind Spots
[NO] 247/1794 | A Multi-Agent Platform for Automated Enterprise Analytics and Insight Generation
[NO] 248/1794 | Comparing GNSS Derived Sea Ice Drift in the Arctic and Antarctic using Rotary Spectra and Principal Component Analysis
[NO] 249/1794 | FedLNS: Leverage LayerNorm Signature Modeling to Mitigate Adversarial Manipulation in Federated LLMs
[NO] 250/1794 | Reduction Operations and Structural Characterizations of $S^1$-Flows in Graphs
[NO] 251/1794 | Model Literacy: An Extra Summative Evaluation Factor for Visual Analytics
[NO] 252/1794 | Linear and nonlinear optical responses in the chiral multifold semimetal BeAu: A quantum-geometric perspective
[NO] 253/1794 | Comparative study of nonperturbative electron-positron pair production by intense laser fields colliding with either bremsstrahlung $γ$-rays or relativistic ions
[NO] 254/1794 | Adaptive Nonlinear Control with Online Identification and Receding-Horizon Optimization
[NO] 255/1794 | The Impact of CutMix on Reliability and Robustness in Semantic Segmentation
[NO] 256/1794 | Conformal mapping of circular triangles & classical function theory
[NO] 257/1794 | Nonlinear collective dynamics and microwave comb generation in a diamond maser
[NO] 258/1794 | Aslema at NADI 2026: Augmentation through Fewshot for SLU
[NO] 259/1794 | Regularity Preservation for Jump-Type Stochastic Transport Equations with Singular Drift
[NO] 260/1794 | Teeth2Point: A Two-Stage Dental CBCT ROI-to-Point Segmentation Framework
[NO] 261/1794 | X2Streaming-TTS: Causal Token-Level Text-to-Speech from Streaming Text with Speech-State Inheritance
[NO] 262/1794 | Quantum-Logic Tsetlin Machines: Interpretable Quantum Machine Learning with Commuting Projector Clauses
[NO] 263/1794 | Clinically Structured Surrogate Rewards for Post-SFT Medical Image Captioning
[NO] 264/1794 | PCQA-R1: Advancing Generalized 3D Point Cloud Quality Assessment with Reinforcement Learning
[NO] 265/1794 | UBio-MolFM: Enabling Biomolecular Dynamics at DFT Accuracy and $10^5$ Atoms with One Untuned Potential
[NO] 266/1794 | Hector Galaxy Survey: Falling in Between - Infalling Galaxies in the Midst of the Abell 3667 Merger
[NO] 267/1794 | An Empirical Effective-Temperature Calibrations for Galactic B/A Supergiants
[NO] 268/1794 | SPARC: Slice-to-volume Pipeline for Automated Reconstruction of gated 3D+time fetal Cardiac MRI
[NO] 269/1794 | Probing Sub-GeV Dark Matter with the Migdal Effect at JUNO
[NO] 270/1794 | Finality Before Disclosure for Ledger Authenticators in the Quantum Random Oracle Model
[NO] 271/1794 | SPADE: Self-Play in Adaptive Synthetic Executable Environments
[NO] 272/1794 | SiNMULI: Novel Signed Network Approach for Malicious URL Identification
[NO] 273/1794 | Chiral bosonic mean-field Ansatz and spin dynamics in spin-1 Kitaev magnets
[NO] 274/1794 | Lévy Attention: Single-Pass Predictive Uncertainty for Continuous-Time Attention
[NO] 275/1794 | ChildSafeAds Shared Task 2026: Commercial Content in Child-Facing YouTube Videos
[NO] 276/1794 | Second-Level Concavity of the Riemann $Ξ$ Kernel
[NO] 277/1794 | An Exact-Moment Local Legendre Frame Method with Block Convolution for Caputo Fractional Differentiation
[NO] 278/1794 | FedGuard-DC: Privacy-Preserving Federated Load Forecasting and Cyber-Attack Detection for Data-Center Loads in Transmission Systems
[NO] 279/1794 | Transparent Subalgebras and Local Module Categories
[NO] 280/1794 | Sweep-based, implicit solutions of the multidimensional BGK equation on unstructured grids
[NO] 281/1794 | Simple Low-Overhead Communication-Efficient String Reconciliation and Edit Distance
[NO] 282/1794 | Grouping the Stochastic Machine: Precision, Not Capability, as the Frontier Metric for AI Systems
[NO] 283/1794 | Autonomous Cyber Defense in Connected Vehicles: A Multi-Agent Approach to V2X Security
[NO] 284/1794 | PGFS++: Molecular Property Improvement under Synthesis and Diversity Constraints
[NO] 285/1794 | JANUS: A Multi-modal Foundation Neural Sampler for Disordered Materials
[NO] 286/1794 | Distributed Target Tracking using Radar Networks
[NO] 287/1794 | Interior skin focusing and directional mirror transfer in a graded non-Hermitian Krawtchouk network
[NO] 288/1794 | Inferring the Dark from the Observable: Estimating Halo Masses Using Galaxy Properties
[NO] 289/1794 | Transitions and Critical Divergences in Periodically Hopping Modulated Su-Schrieffer-Heeger Chains
[NO] 290/1794 | Probabilistic Representation and Convergence of Gromov-Wasserstein Gradient Flows
[NO] 291/1794 | On the uniform bound of solutions to a thermo-diffusive system
[NO] 292/1794 | Preference Reasoning under Indeterminacy in Large Language Models
[NO] 293/1794 | Cellular Maximal-Density Factoring and a Repair of the Streamlined Three-Dimensional Kakeya Reduction
[NO] 294/1794 | Diffusion Models for High-Dimensional Clustered Data: Intrinsic-Dimension Adaptivity via Bayesian Classification
[NO] 295/1794 | Fuzzy Accuracy Compensates for Label Subjectivity in Classification of Skin Tone Using Wearable Photoplethysmography Signals
[NO] 296/1794 | Cell-Probe Lower Bounds and Complexity-Preserving Reductions for Suffix Array Queries
[NO] 297/1794 | The critical probability for percolation on finite graphs
[NO] 298/1794 | A shifted energy barrier approach for phase-field modeling of tensile-dominated brittle fracture
[NO] 299/1794 | Characterisation of Commercially Available NUV-MT Silicon Photomultipliers
[NO] 300/1794 | Connectivity--Interference Competition in Coherent Transport on Percolated Hierarchical Small-World Networks
[NO] 301/1794 | Computing All Optimal Partial $p$-Wasserstein Matchings on the Line
[NO] 302/1794 | An ultracompact dilution refrigerator for fast quantum device characterization
[NO] 303/1794 | Polytopes of Effective Boundary Expressions of Divisors on $\overline{M}_{0,n}$
[NO] 304/1794 | Trade-offs in Data Color Palette Design Tools
[NO] 305/1794 | The Total and Polarized Radio Emission from the Innermost Jets of a High-Redshift Quasar and a Candidate at Parsec-Scale Resolution
[NO] 306/1794 | Equations of Tree Tensor Network Varieties
[NO] 307/1794 | Bernstein-Vazirani Networks: Quantum Machine Learning by Interference
[NO] 308/1794 | A miniature evaporator for in-operando deposition of isolated atoms in a low-temperature scanning tunneling microscope
[NO] 309/1794 | ReWEIGH the Evidence: Calibrating Token-Level Ordinal Visual Evidence to Mitigate Hallucinations in Large Vision-Language Models
[NO] 310/1794 | Quadratic Cremona transformations of $\mathbb{P}^4$
[NO] 311/1794 | Integer Linear Programming Decoder for Abelian and Non-Abelian Topological Codes
[NO] 312/1794 | Emergent BEC mechanism in flat-band superconductors
[NO] 313/1794 | Comparison inequalities for Dirichlet-to-Neumann maps
[NO] 314/1794 | Improving LLM-Based SSH Honeypots Through Prompting and Fine-Tuning
[NO] 315/1794 | A Tutorial on Weight Structure of Polar Codes
[NO] 316/1794 | Enhancing EBSD throughput of battery electrode materials using super-resolution generative adversarial networks
[NO] 317/1794 | Sensitivity of the ECMWF seasonal forecast model to CO2 and anthropogenic aerosol forcings: Experimental design and impact on climate trends
[NO] 318/1794 | Converting Expert Deliberation into Financial Signals Through A Context-Aware NLP Pipeline
[NO] 319/1794 | Electromagnetic and Acoustic Fano Interference in Surface Acoustic Wave Resonators
[NO] 320/1794 | GEAR: Generative Expansion and Real Anchoring for Two-Stage Distillation of Tabular Foundation Models
[NO] 321/1794 | Robust Joint Planning of EV and eBus Charging Infrastructure with PV Self-Consumption under Demand Uncertainty
[YES] 322/1794 | Beyond Placement and Articulation: Usage-Driven Code Scenes for Embodied Interaction
[NO] 323/1794 | Quantum Mixedness Testing with Pauli Measurements
[NO] 324/1794 | Inter-turbine spacing and flow unsteadiness effects on wake-induced blade dynamics
[NO] 325/1794 | Automatically distinguishing Rubin transients from AGN using variability metrics
[NO] 326/1794 | A strengthening of the MCFL-ness of $O_2$
[NO] 327/1794 | Revisiting Quark-Lepton Complementarity in the Precision Neutrino Era
[NO] 328/1794 | Many Optimizers But Only One Training Path: Repeated Resampling for Adaptive Optimizer Selection
[NO] 329/1794 | Forgetting, plasticity, and co-observation: a third facet of continual learning
[NO] 330/1794 | A revised framework for the assessment of psychological safety in autonomous vehicles
[NO] 331/1794 | Finite-coefficient K-theory of henselian valued fields and Gersten injectivity
[NO] 332/1794 | GraphK: Variable-Size Graph Generation with Efficient Edge Construction
[NO] 333/1794 | MIFR: A Modality-Invariant and Fair Representation Framework for Skin Disease Classification
[NO] 334/1794 | An Integer Programming Approach to Compute Lower Bounds for Ramsey Numbers Using Circulant Graphs
[NO] 335/1794 | Readable, Faithful, Used: Three Dissociable Properties of Demographic Identity in a Language Model
[NO] 336/1794 | Gradient Mirage: Trainable yet Label-Unidentifiable Gradients in Large Language Model Split Learning
[NO] 337/1794 | GateDiffInt: Gate-Mediated Controllable Diffusion and Multi-Intent LLM Distillation for User Behavior Modeling
[NO] 338/1794 | Effective curvature coupling of link-based causal set propagators in $1+1$ dimensions
[NO] 339/1794 | Enabling Reuse for Data-Sharing Pipelines in Federated Environments
[NO] 340/1794 | Characteristic adjacency matrix associated with a hypergraph
[NO] 341/1794 | FAST-HEP: Compiling Declarative Analysis Workflows for High-Energy Physics and Beyond
[NO] 342/1794 | Coalitional Manipulation of Set-Valued Median Voting
[NO] 343/1794 | Genuine Tripartite Entanglement Selects Gauge-Invariant Theories
[NO] 344/1794 | Revisiting the topological properties of XMg2Bi2 (X = Ca, Sr, Ba, Yb and Eu)
[NO] 345/1794 | Visual-Aware Representation of Web Pages for Machine Learning Applications
[NO] 346/1794 | MemFuse: Multi-Source Memory Fusion from Fragmented Observations
[NO] 347/1794 | Transforming Heart Disease Prediction with Advanced Machine Learning Techniques
[NO] 348/1794 | An Empirical Benchmark of Deep Time-Series Models for Smart Meter Energy Forecasting
[NO] 349/1794 | DynCur-Geo: Dynamic Curiosity Reward Shaping for Multimodal Active Geo-Localization
[NO] 350/1794 | Experimental zero-added-loss multiplexing Bell-pair source for long-haul quantum networks
[NO] 351/1794 | Candidate-Fate Accounting for Transparent Sensor Diagnostic Pipeline Search
[NO] 352/1794 | Constructing Good Abelian Codes via Shift Bounds and Genetic Algorithms
[NO] 353/1794 | Computational Measurement of Team-Process Phase Dynamics in Collaborative Virtual Reality
[NO] 354/1794 | Broadband Chiral Primordial Gravitational Waves from Constant-roll Inflation in Parity-violating Symmetric Teleparallel Gravity
[NO] 355/1794 | Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation
[NO] 356/1794 | ProxyGuard: Direct Reliability Inference for Randomized Data Release Mechanisms with Shared Targets
[NO] 357/1794 | IriSig-Spoof: A Real-World Benchmark for Time-Robust Satellite RF Fingerprinting and Spoofing Detection
[NO] 358/1794 | Change Point--Aware Evaluation and Re-Calibration of PPG-Based Blood Pressure Estimation
[NO] 359/1794 | Exact Matching-Polynomial Solution of the Periodic Baxter-Fendley $Z_N$ Clock Chain
[NO] 360/1794 | When Safety Overrides Vision: Exploring Dynamics between Vision Influence and Safety Alignment in Vision-Language Models
[NO] 361/1794 | Payload Swing Estimation and Damping Without Payload Parameters for Multirotor UAVs
[NO] 362/1794 | Evaluation of Image Matching Methods for Visual Odometry on UAVs
[NO] 363/1794 | LabDex: A Hierarchical Benchmark for Dexterous Manipulation in Laboratories
[NO] 364/1794 | Scalable Geospatial Machine Learning for Power-Line Asset Risk: Integrating Remote Sensing for Lightning and Vegetation Risk Modelling
[NO] 365/1794 | Denoising-Aware Inversion: Revealing Privacy Risks in Noise-Protected Text Embeddings
[NO] 366/1794 | VA-Judger: Reward Modeling from Human Preference Feedback for Joint Video-Audio Generation
[NO] 367/1794 | OneModel: A Unified Foundation for Platform-Scale Multi-Scenario Ranking
[NO] 368/1794 | Multitask Bayesian Neural Networks for Multiparameter Protein Engineering
[NO] 369/1794 | Inverse Feshbach's problem: Solvability and solutions
[NO] 370/1794 | Approximating Minimum Dominating Set with Few Awake Rounds
[NO] 371/1794 | A Mini-Batch Counterexample to Last-Iterate Convergence in Definable Optimization
[NO] 372/1794 | Robust Risk Under Evolving Uncertainty: A Wasserstein Counterpart of the Entropic Value-at-Risk
[NO] 373/1794 | On the Density of Polynomial Mappings Satisfying the Jacobian Conjecture
[NO] 374/1794 | Generalized Audio-Driven Synthesis of Precise Drummer Motion
[NO] 375/1794 | Ab initio-based Deep-Learning Prediction of Carrier Mobility in Strongly Anharmonic Materials
[NO] 376/1794 | Eureka: Task-Conditioned Meta-Agent Orchestration for Scientific Discovery
[NO] 377/1794 | Local Hardy Spaces Associated with Operators and Ball Quasi-Banach Function Spaces on Doubling Metric Measure Spaces and Their Applications
[NO] 378/1794 | Institutional Books - Enriched Text: A customizable multilingual open-source pipeline for denoising, deduplicating, and annotating OCR text at scale
[NO] 379/1794 | The Bogdanov--Takens normal-form coefficients in $\mathbb{R}^n$ as directional derivatives of the characteristic invariants
[NO] 380/1794 | Physical Optics Analysis of Polarization Effects in SO LAT Reflectors
[NO] 381/1794 | Duru-Kleinert Path Integral in Unimodular Quantum Cosmology
[NO] 382/1794 | Modeling of an ODE-constrained optimization problem describing tumor dynamics, and numerical approximation via sequential physics-informed neural networks
[NO] 383/1794 | Don't Drop the Singletons: Efficient Inference for Pairwise Experiments with Independent Attrition
[NO] 384/1794 | Institutional Newspapers Pipeline: Deriving billions of high quality tokens from historical newspapers
[NO] 385/1794 | Exact random covers of metric trees: balanced rounding, duality, and sharp thresholds
[NO] 386/1794 | Perturbative Hairy Black Branes in the $G_{2}$-Invariant Sector of Dyonic ISO(7) Gauged Supergravity
[NO] 387/1794 | APICURON: a reactive infrastructure for credit attribution across distributed research data ecosystems
[NO] 388/1794 | From Erdos Problem 1154 to a Zero One Law for Turing Ideals
[NO] 389/1794 | rEDMRec: Distilling Large Language Model Reasoning into an Editable Experience Memory for Recommendation
[NO] 390/1794 | Asgard/NOTT: Status of laboratory nulling performance
[NO] 391/1794 | Three-body forces in the quark model
[NO] 392/1794 | High-power TCV scenario for conventional and alternative divertor studies
[NO] 393/1794 | Breaking the weakest link to evade vision language models
[NO] 394/1794 | Test-Time Scaling in the Wild: Why Exploitation, Not Exploration, Is the Bottleneck
[NO] 395/1794 | SMTrap: Cost-Effective DoS Attacks Against Large Reasoning Models via SMT Conflict Guidance
[NO] 396/1794 | First demonstration of a multimode-to-multimode photonic lantern for astronomy
[NO] 397/1794 | Towards Lawful ISAC in Cellular Networks
[NO] 398/1794 | Molecular Insights into Gas Nanofilms Confined Between Bulk Liquid Phases
[NO] 399/1794 | Assessing Quality of Experience in Natural Language Generation of German Text
[NO] 400/1794 | Adaptive resolution frames: A multilevel framework in Hilbert spaces
[NO] 401/1794 | Component-wise hyperreduction for nonlinear solid mechanics problems
[NO] 402/1794 | Ultra-wideband MRE of the human liver and spleen for viscoelastic model identification in hepatic inflammation
[NO] 403/1794 | Synthesis and stability of high-$T_c$ LaH$_{10\pmδ}$ films at high pressures
[NO] 404/1794 | Think-to-Personalize: Unifying Reasoning and Retrieval for User-Centric Personalized Dense Retrieval
[NO] 405/1794 | MissDiag: Diagnostic Evaluation of Incomplete-Knowledge Robustness in KGQA and KG-RAG
[NO] 406/1794 | Finite-Index Lifting of Strong Topological Rokhlin Property and Descriptive Complexity
[NO] 407/1794 | Propagation of Laguerre-Gaussian and Bessel-Gaussian scalar beams in an effective anisotropic background
[NO] 408/1794 | An almost Kähler Cheeger--Gromoll splitting theorem with applications
[NO] 409/1794 | A model for the enhanced production rate of early-type hypervelocity stars in the Galactic halo
[NO] 410/1794 | OmniAlign: A Unified Multilingual Aligner for Word and Sentence Alignment
[NO] 411/1794 | Unified Strong-Field Dynamics Simulations from Atoms to Heterostructures
[NO] 412/1794 | New Nonexistence Results for Circulant Weighing Matrices
[NO] 413/1794 | Comparison of several model averaging methods in nuclear charge radius predictions
[NO] 414/1794 | Stellar Abundances as Probes of Rocky Exoplanet Interiors: The Mantle Composition and Mineralogy of GJ 486b
[NO] 415/1794 | HarvestPoint-ACT: Explicit Target Selection and Harvest-Point Conditioning for Robotic Fruit Harvesting under Occlusion
[NO] 416/1794 | Optimization of the Railcar Assignment Problem Using Zone-based Double Deep Reinforcement Learning
[NO] 417/1794 | A seamless dose-optimization design for monotherapy and combination therapy
[NO] 418/1794 | Boundaries of logarithmic Voronoi cells can be transcendental
[NO] 419/1794 | Multiqubit orthogonal product bases
[NO] 420/1794 | Entropic Rigidity in Quantum Memories: How Geometry and Algebra Control the Onset of Degeneracy Corrections
[NO] 421/1794 | Mechanistic Interpretability of Structure-Aware Numerical Reasoning in LLaMA 3.1 8B
[NO] 422/1794 | Solidification-cell confinement of domain-wall pinning in additively manufactured ferromagnets
[NO] 423/1794 | $Γ$-Convergence of Weak-Type Nonlocal Functionals on Bounded Domains
[NO] 424/1794 | Impacts of Nuclear War on Human Health from Changed Surface Ultraviolet Radiation
[NO] 425/1794 | Linear stability of traveling Maxwellians for Landau equation with very soft potentials
[NO] 426/1794 | Algorithms for adaptive and heteroskedastic linear regression at the computational threshold
[NO] 427/1794 | Regularity and non-degeneracy of $Φ^*[I]$ implies regularity of the fixed boundary $\partialΩ$
[NO] 428/1794 | Characterization of Weak EKR Groups and Intersection Densities with Prescribed Point Stabilizers
[YES] 429/1794 | AppEval: A Unified Benchmark for LLM-Based Mobile Application Repair in ArkTS, Swift, and Kotlin
[NO] 430/1794 | Score-based Fading-Aware Decision Fusion
[NO] 431/1794 | From Storage to Access: Verifiable Activation of Parametric Knowledge in LLMs via Explicit Priming and Implicit Reasoning
[NO] 432/1794 | NanoSleep: A Parameter-Efficient Hybrid Temporal Convolutional Network for Single-Channel Sleep Stage Classification
[NO] 433/1794 | Néel-order-dependent transverse transport in noncoplanar antiferromagnet $\text{MnTe}_{2}$
[NO] 434/1794 | Randomly Permuted Orthogonal Products and Fast Dimension Reduction
[NO] 435/1794 | Floquet engineering of topological bands in semiconductor van der Waals heterobilayers
[NO] 436/1794 | CentaurBench: Benchmarking LLM Capabilities on Augmenting vs. Automating Real-World Work Tasks
[NO] 437/1794 | Minimizing the number of edges in $\mathcal{C}_{[4,6]}$-saturated graphs
[NO] 438/1794 | FinRCA-Bench: Benchmarking Evidence Retrieval and Reasoning for Financial AI Systems
[NO] 439/1794 | StateTrace: An Object-Centric Framework for Hidden-State Spatiotemporal Reasoning in Long Videos
[NO] 440/1794 | Pairwise Ranking Outperforms Single-Action RL for Offline Explanation Selection: A Practical Lesson
[NO] 441/1794 | Topology is not silent in the transport noise of multiband bosons
[NO] 442/1794 | GCNO: Gramian Chebyshev Neural Operator for Physics-Based Compression of Wireless Channels
[NO] 443/1794 | Matrix Algebra for Persistence Modules Yields a Proof of the Isometry Theorem
[NO] 444/1794 | Exact SAT Solving for the Two-Dimensional Bandwidth Minimization Problem
[NO] 445/1794 | Axion-like particle at the 10 GeV scale: Higgs decays to wide jets and photons
[NO] 446/1794 | DyG$^2$T: Modeling Object Dynamics with 3D Gaussian Temporal-Spatial Particle Graph Transformer
[NO] 447/1794 | Optimal Deterministic Fully Sparse Matrix Multiplication
[NO] 448/1794 | Power Estimation and Optimal Work-Charging Scheduling of Construction Electric Vehicles via Mobile Charging Stations
[NO] 449/1794 | From the Square-Energy Conjecture to Signed Graphs: Sharp Bounds for Positive Square Energy
[NO] 450/1794 | An improved volume bound under Ricci and scalar curvature lower bounds
[NO] 451/1794 | The Structured Totient Preimage Problem: Reconstruction, Collisions, and Cryptographic Implications
[NO] 452/1794 | Unconventional bond- and current-density waves on hexagonal lattices
[NO] 453/1794 | The regular pentagon is canonically Ramsey
[NO] 454/1794 | Upper and Lower Bounds on the Space Complexity of Multi-word Single-Writer Registers
[NO] 455/1794 | Maximal Enhancements in Eight-Dimensional Non-Supersymmetric Heterotic Strings
[NO] 456/1794 | LearnAI: Just-in-Time AI Co-Creation Across Disciplines at a University
[NO] 457/1794 | Norm bounds on Fourier series with polynomial spectra and constrained coefficients
[NO] 458/1794 | No Persistent Helium Absorption in LHS 1140 b: Four JWST/NIRISS SOSS Transits and Multi-epoch Stellar He I Variability
[NO] 459/1794 | Pretraining Reusable Inference Across Views with Synthetic Task Priors
[NO] 460/1794 | On the Hessian Conjecture in Lorentzian Signature: Constant Pivots and Hesse Systems
[NO] 461/1794 | Rigid motion invariant valuations on polytopes
[NO] 462/1794 | Wet Removal and Cloud Enhancement: The Microphysics of Cloud-Haze Interactions on Sub-Neptunes
[NO] 463/1794 | Large Field-Free Superconducting Diode Effect with Nonmonotonic Polarity Reversals in NbSe$_2$/CrBr$_3$ Heterostructures
[NO] 464/1794 | Universal thermal breakdown of polaron coherence in one, two, and three dimensions
[NO] 465/1794 | All-Genus Large-Degree Asymptotics for Gromov--Witten Invariants of the Projective Plane
[NO] 466/1794 | CDGP: Contrastive Dual Gaussian Processes for Weakly Supervised Anomaly Segmentation
[NO] 467/1794 | Efficient calculation of real-space lattice propagators in the presence of a Fermi sea
[NO] 468/1794 | DevGRU: Depth-guided Visual Navigation using a Collision-aware Recurrent Model
[NO] 469/1794 | Hecke-type action on higher order Herglotz-Zagier function
[NO] 470/1794 | A Theory of Post-hoc Debate Judgement
[NO] 471/1794 | Actions on CAT(-1) spaces with critical exponent less than 1
[NO] 472/1794 | Hydrodynamic Brachistochrone: Conflicting Paths of Time and Energy Minima within Viscous Media
[NO] 473/1794 | Robustness of spin state superpositions for noisy quantum metrology
