[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[NO] 215/1751 | Time preference effects in forecasting
[NO] 216/1751 | Evidence for sequential $Υ$(nS) suppression in light ion collisions
[NO] 217/1751 | Filling 1-cycles, 2-cycle complexity, and torsion growth
[NO] 218/1751 | Independent Sets in Multiset Profile Graphs via Weighted Local Covers
[NO] 219/1751 | DAGR: State-Conditioned Goal Representations via Difference-Aware Goal Cross-Attention
[NO] 220/1751 | N-O Cool-chic: reconcile fast encoding with lightweight decoding for neural image compression
[NO] 221/1751 | How Agents Ask for Permission: User Permissions for AI Agents, from Interfaces to Enforcement
[NO] 222/1751 | Illumination bodies for ball-convex bodies
[NO] 223/1751 | From Metric to Mechanism: Designing Wireless Resilience through Finite Blocklength Dynamics
[NO] 224/1751 | The Test Oracle Problem in Synthetic LLM-as-Judge Corpora: Disappearance, Distortion and a Validation Protocol
[NO] 225/1751 | DNA: Dual-stage Native Attribution for Generated Image Source Tracing
[NO] 226/1751 | Stoner transitions beyond mean-field in two-dimensional electronic systems: a diagrammatic Monte Carlo study
[NO] 227/1751 | Explaining Reinforcement Learning Agents via Inductive Logic Programming
[NO] 228/1751 | Consensus as Privileged Context for Label-Free Self-Distillation
[NO] 229/1751 | Ambient Hardy--Littlewood Maximal Functions on Weighted Musielak--Orlicz Spaces over Domains
[NO] 230/1751 | Measuring What the Crawler Sees: Discovery Curves, Core Persistence, and Shell Dynamics in Longitudinal Web Crawls
[NO] 231/1751 | The Value of Perfect Endpoint Forecasts for Offshore-Wind Thermal Firming
[NO] 232/1751 | Unifying Decision-Making and Trajectory-Planning in Unsignalized Intersections Using Time-Varying Potential Fields
[NO] 233/1751 | Combined KM3NeT/ARCA and ANTARES search for compact neutrino sources
[NO] 234/1751 | Extending Liquid Rank Toward Multi-Source Reputation Aggregation
[NO] 235/1751 | Generalization of Ramanujan's Continued Fractions for Even Order
[NO] 236/1751 | Right-Handed Neutrino Production by an Axion-like Inflaton: Implications for Leptogenesis
[NO] 237/1751 | Memory as a Controlled Process: Learned Adaptive Memory Management for LLM Agents
[NO] 238/1751 | On the Performance of Pinching-Antenna Systems (PASS) Under Dynamic Channels with Blockages
[NO] 239/1751 | Structured Reinforcement Learning for Bayesian Persuasion : Application to Intelligent Interactive Driving
[NO] 240/1751 | Tensor Network decoding under inter-qubit correlated errors
[NO] 241/1751 | GHR-VLM: Making Zero-Shot Transit Video Analytics Realizable with Grounded Hybrid Reasoning
[NO] 242/1751 | Nexus: Native Mesh Generation with Diffusion
[NO] 243/1751 | AI advice suppresses people's willingness to say "I don't know", even when the advice is wrong and accuracy is incentivized
[NO] 244/1751 | Negative shocks versus static patch holography
[NO] 245/1751 | Groups with Finitely Many Shortlex Cones
[NO] 246/1751 | Exploiting Graph Structure for Near-Optimal Broadcasting
[NO] 247/1751 | Supersaturation for Hypergraph-Weighted Independent Sets
[NO] 248/1751 | Driven Odd Elasticity in Passive Mechanical Metamaterials
[NO] 249/1751 | Causal Discovery of Radiation Response Mechanisms in Human Cells
[NO] 250/1751 | Screening Is Effective for Visual Recognition
[NO] 251/1751 | On the Feyzbakhsh-Thomas programme for Fano $3$-folds
[NO] 252/1751 | Revealed Attentional Interference
[NO] 253/1751 | Measuring Sentiment News with Transformer-Based Language Models
[YES] 254/1751 | ProfMalPlus: Agent-Coordinated Detection of Malicious NPM Packages via Static-Dynamic Analysis Synergy
[NO] 255/1751 | $V/H$+Jet Production with the Cambridge/Aachen Algorithm
[NO] 256/1751 | Combinations and chromatography of paths of Kleinian groups
[NO] 257/1751 | Beyond the $d^{2.5}$-mixing bound for Dikin walks on polytopes
[NO] 258/1751 | Quantum observables for probabilistic classical particles
[NO] 259/1751 | NNStar: An end-to-end AI agent for nuclear matter and neutron star physics
[NO] 260/1751 | Plausible Deniability Guarantees for Whistleblowers
[NO] 261/1751 | Invariance Preserving Conjugations on the Hardy Space
[NO] 262/1751 | What are symmetric monoidal categories?
[YES] 263/1751 | How to Guide LLM Generation: Dual-Surrogate Guided Search for Automated Heuristic Design
[NO] 264/1751 | Stochastic Yield Catastrophe in Delay-Facilitated Self-Assembly
[NO] 265/1751 | Unleashing Multimodal Large Language Models for Training-free HOI Detection in the Wild
[NO] 266/1751 | Temperature-driven sodium-ion dynamical-to-static crossover in the zig-zag ordered phase of Na$_{0.5}$CoO$_2$
[NO] 267/1751 | From Classification to Consistent Templates: Multiple Permuted-Label Classifier Encoding for Biometric Template Protection
[NO] 268/1751 | Messy Research, Certification and the Monetization of Science
[NO] 269/1751 | Maximum non reciprocity in metasurfaces of gyrotropic rods
[NO] 270/1751 | From Continuous Deployment to Queryable Dataset: Terabyte-Scale AIS-Aligned Passive Acoustic Labelling
[NO] 271/1751 | Reveal, Correct, Then Pay: Encrypted Mempools and Perpetual Funding Security
[NO] 272/1751 | The exact minimum total degree threshold for the square of a Hamilton cycle in digraphs
[YES] 273/1751 | PROBE: Benchmarking Code Generation in Large Language Models
[NO] 274/1751 | Strong Refutation of Ordering, Phylogenetic, and Ordinary CSPs, and New Satisfiability and Refutation Thresholds for Triplet and Quartet Reconstruction
[NO] 275/1751 | Measurement of $Ξ^-/\barΞ^{+}$ production in jets from $Z$ boson decays with the DELPHI open data
[NO] 276/1751 | VideoRAE: Taming Video Foundation Models for Generative Modeling via Representation Autoencoders
[NO] 277/1751 | A modular state-space model of human perception, cognition, and decision dynamics
[NO] 278/1751 | From Pixels to States: Rethinking Interactive World Models as Game Engines
[NO] 279/1751 | Strongly complete sets and a conjecture of Erdős
[NO] 280/1751 | The complex stellar system M 22: confirming abundance variations with high precision differential measurements
[NO] 281/1751 | Gelation of functional peptides by trivalent cations at the air-water interface
[NO] 282/1751 | Dynamics of a microroller under confinement
[NO] 283/1751 | Hindcast: Replaying Prediction Markets to Evaluate LLM Forecasters
[NO] 284/1751 | The dynamical environment of the high-mass star-forming region G28.288$-$0.364
[NO] 285/1751 | Auctions with Contract Design
[NO] 286/1751 | Meeting Uncertain Threats with Feedback
[NO] 287/1751 | Margulis Measures on Expanding Foliations: Construction and Rigidity
[NO] 288/1751 | From Language to Navigation Goals: A Vision-Language Approach for Semantic Navigation of Mobile Robots Using RGB-D Perception
[NO] 289/1751 | Backpropagation for Effectful Languages I: Finite Probability and Discrete Output Algebraic Effects
[NO] 290/1751 | Space-Time Lensing by Accelerated Interfaces in Dispersive Media
[NO] 291/1751 | A Reservoir Computing Approach to Quantum Gate Synthesis
[NO] 292/1751 | Antipodal paths in covers of spheres
[NO] 293/1751 | Inferentialist Game Semantics (Extended Abstract)
[NO] 294/1751 | Early Adoption of Agentic Coding Tools by GitHub Projects
[NO] 295/1751 | Resurgent Lambert series from Feynman and beyond
[NO] 296/1751 | Gaussian solutions to the Yang--Baxter equation and their twists
[NO] 297/1751 | Auditing Protocol-Level Shortcuts in Large Audio Language Model Judges for Speech Evaluation
[NO] 298/1751 | Continuous limit of the square well problem in quantum mechanics
[NO] 299/1751 | Investigating anomalous microwave emission near G107.2+5.20 in Ku-band with the Green Bank Telescope
[NO] 300/1751 | Experimental Characterization and Prediction of Radial and Thickness Mode Power Transfer Capability in Through-Metal Acoustic Power Transfer
[NO] 301/1751 | CAS I: A Geometric Coding Theorem
[NO] 302/1751 | Robust Betatron-Tune Measurement from Schottky Spectra: Complementary Classical and Deep-Learning Paradigms
[NO] 303/1751 | Dynamical Vehicle Orienteering Problem for Multi-Rotor Unmanned Aerial Vehicles
[NO] 304/1751 | Local Uniform Finite Cyclicity of the $H_{14}^{3}$ Semihyperbolic Hemicycle
[NO] 305/1751 | Regularity as seen by Alice and Bob
[NO] 306/1751 | jQMC: A JAX-based ab initio quantum Monte Carlo package designed for GPU-accelerated computing
[NO] 307/1751 | Momentum Distribution and Contact Parameters of a mass-imbalanced three-body system across the Efimov-Unatomic transition
[NO] 308/1751 | ZipLine: Visual Analysis of Multivariate Graphs with Predicate Logic
[NO] 309/1751 | Girsanov Reweighting for Uncertainty Propagation in Rare-Event Kinetics
[NO] 310/1751 | High-Energy Neutrinos from Black Hole Evaporation in Neutron Stars
[NO] 311/1751 | Algebraic Representability as the Limiting Regime of Grokking: An Exactly Solvable Model with Holomorphic Activations
[NO] 312/1751 | On the current status of tidal tails of Galactic open clusters
[NO] 313/1751 | Polarized observables in $τ\to VV ν_τ$ decays
[NO] 314/1751 | A sharp relative comparison inequality for conformal fillings of Poincaré--Einstein manifolds
[NO] 315/1751 | Anatomically Faithful but Temporally Blind: Auditing Attribution for Left-Ventricular Ejection-Fraction Estimation from Echocardiography
[NO] 316/1751 | Rate coefficients for dielectronic recombination of N-like Ne
[NO] 317/1751 | Decomposable Type Highlighting for Bidirectional Type and Cast System
[NO] 318/1751 | Towards quantum machine learning for assessing the resilience of post-quantum cryptography
[NO] 319/1751 | CAVA: Canonical Action Verification and Attestation for Runtime Governance of Agentic AI Systems
[NO] 320/1751 | Polynomial iISS for a class of Timoshenko equations with external disturbances and infinite history memory
[NO] 321/1751 | Groc-PO: Grounded Context Preference Optimization for Truthful Multimodal LLMs
[NO] 322/1751 | Lifting-Free Quadratic Sum-Of-Squares Programming
[YES] 323/1751 | CSCO: A Backside-PDN-Aware Clock-Signal Co-Optimization Framework for Improved PPA
[NO] 324/1751 | Quantitative Fourier Restriction Estimates for Weyl Operators: Fourier-Support Dependence and Lower Bounds
[NO] 325/1751 | Drawing with water waves
[NO] 326/1751 | The exact $L_1$-norm supremum of Walsh--Kaczmarz--Fejér kernels
[NO] 327/1751 | Simultaneous Laminations
[NO] 328/1751 | Deriving the $\text{AdS}_3\times\text{S}^3\times \text{T}^4$ Quantum Spectral Curve I: Y-system and discontinuity relations
[NO] 329/1751 | Equilibrium Information Aggregation under Machine Learning
[NO] 330/1751 | Learning Speaker Identity Beyond Language and Modality Constraints: Insights from the POLY-SIM 2026 Challenge
[NO] 331/1751 | Direct observation of photon-induced vortices in superconducting films
[NO] 332/1751 | The mean value of the digits of $1/p$
[NO] 333/1751 | Definitional Inversion, Without Normalisation
[NO] 334/1751 | The problem of finding the global minimum of a polynomial on a coordinate parallelepiped
[NO] 335/1751 | Role of small-radius and high-electronegativity A-Site dopants in enhancing proton transport and stability of perovskite electrolytes
[NO] 336/1751 | Maximally Robust Satisficing Bayesian Optimization
[NO] 337/1751 | From Surface Forecasting to Observability Forecasting: A Latent World Model for Cloud-Aware EO Monitoring
[NO] 338/1751 | Beyond Color Geometry: Evaluating Human-Like Color Representations in Vision Models
[NO] 339/1751 | Evaluating Encoding Strategies for Closed-Loop Classification in Biological Neural Networks
[NO] 340/1751 | OvisOCR2 Technical Report
[NO] 341/1751 | Transverse order and longitudinal fluctuations in a near-Ising spin supersolid
[NO] 342/1751 | Kink collisions in a two-dimensional gravity model
[NO] 343/1751 | FastCentNN: Accelerating Centroid Neural Network with Entropy Proxy
[NO] 344/1751 | An Empirical Study on Stage-Information Interfaces for VLA Fine-Tuning
[NO] 345/1751 | MARS: Multi-stage Accelerated Read Stack for Large-buffer Buffered Reads
[NO] 346/1751 | Video to All-in-focus Image Reconstruction Algorithm for Automated Microscopic Urinalysis
[NO] 347/1751 | On phase-field regularization in dynamic fracture with brittle and cohesive formulations
[NO] 348/1751 | Neutron-source fidelity for laser-driven D--D lithium-blanket tritium-breeding tests
[NO] 349/1751 | Agile perceptive multi-skill locomotion for quadrupedal robots in the wild
[NO] 350/1751 | Approximation of solutions of parameter-dependent problems by residual neural networks
[NO] 351/1751 | Graded Entity-Familiarity Readouts in Language Models: Polish Adaptation, Cross-Language Robustness, and Refusal Steering
[NO] 352/1751 | Design and Implementation of a Microservice-Architecture Master Control System for AIMS
[NO] 353/1751 | Multivariate Cryptography-Based Anonymous Certificate Scheme
[NO] 354/1751 | Deep Interaction: An Efficient Human-AI Interaction Method for Large Reasoning Models
[NO] 355/1751 | Can an Old Dog Be Taught New Tricks? Taking LLMs Beyond Sentence Level Translation
[NO] 356/1751 | Local and global average degree in bipartite graphs
[YES] 357/1751 | SPECS: Speciated Evolutionary Circuit Synthesis
[NO] 358/1751 | Exact Decomposition of Adversarial Dual-Objective Value Functions, with Applications to Optimal Drug Dosing
[NO] 359/1751 | Semialgebraic Dimension and Truncated Toeplitz Models for Complex Symmetric Matrices
[NO] 360/1751 | Transforming Rank: How Architecture Navigates the Spectral Pathologies of Depth
[NO] 361/1751 | Integrability in the sense of Hasse-Schmidt and $p^e$-basis
[NO] 362/1751 | Edge-decomposition into Two Triangular Forests is NP-complete
[NO] 363/1751 | The Origin of Multi-TeV Gamma-rays in LHAASO J0341+5258 via Cosmic Ray Illumination of Molecular Clouds
[NO] 364/1751 | Constraint-Aware Counterfactual Editing for Aspect-Based Sentiment Analysis
[NO] 365/1751 | Even central galaxies feel their environment: cosmic siphoning of cool gas accretion
[NO] 366/1751 | Tighter Bounds for the Random-Offerer Mechanism in Bilateral Trade
[NO] 367/1751 | Temporal Fourier Optics Reveals Hidden Hybridized Light-Matter States
[NO] 368/1751 | ZPAN: An Organic Nonlinear Optical Crystal for High Intensity THz Generation
[NO] 369/1751 | Log-Sobolev inequalities for boundary-driven anharmonic chains
[NO] 370/1751 | The Post Correspondence Problem for free groups is undecidable
[NO] 371/1751 | Polariton Topological Insulators with Disclinations
[NO] 372/1751 | A Self-Evolving Agent for Longitudinal Personal Health Management
[NO] 373/1751 | Lecture Notes: The two-dimensional electron Wigner crystal -- What's old and what's new?
[NO] 374/1751 | ExpressionCueLens: A Cross-Cultural Analysis of Human-AI Companion Conversations on Social Media
[NO] 375/1751 | Angular momentum splitter effect of $d$-wave axial phonons in orbital altermagnets
[NO] 376/1751 | DeepStress: Stress-Testing Deep Search Agents
[NO] 377/1751 | $L^{1}$-Integrability of $L^{2}$-Harmonic Forms and the Hopf Conjecture
[NO] 378/1751 | The 2nd International StepUP Competition for Biometric Footstep Recognition: From Steps to Strides
[NO] 379/1751 | Genre Bias or Aesthetic Perception? Identifying and Mitigating Shortcut Learning in Music Evaluation
[NO] 380/1751 | High-Order Question Generation in a Multilingual Educational Context
[NO] 381/1751 | Jack of All Scales: A Versatile FPGA Tensor Block for MXFP Precisions
[NO] 382/1751 | One thousand and one higher-order geometric flows of networks
[NO] 383/1751 | Fine-Grained Vision-Language Pretraining with Organ-Conditioned Pattern Tokens for CT Understanding
[NO] 384/1751 | Heat Kernel and Closed Geodesic Asymptotics for Nilpotent Coverings
[NO] 385/1751 | VSC-HVDC setpoint adjustment for maximum grid utilisation under voltage constraints
[NO] 386/1751 | Experience Memory Graph: One-Shot Error Correction for Agents
[NO] 387/1751 | Global factors for local shocks in a data-scarce environment: with an application to regional fiscal multipliers in Italy
[NO] 388/1751 | Phonon down-conversion by normal metals for superconducting devices
[NO] 389/1751 | A Lie-algebraic approach to non-Markovian quantum dynamics
[NO] 390/1751 | Ultrafast altermagnetophononics
[NO] 391/1751 | Fabrication of focusing optics for TA-MOONS: Micro-MOONS
[NO] 392/1751 | SPyCE: Skill-Policy Co-evolution for Multimodal Agents
[NO] 393/1751 | A Frequentist Approach to Change Point Detection: Methods and Applications
[NO] 394/1751 | Bias Correction for Relative Importance Measures via Doubly Stochastic Reallocation
[NO] 395/1751 | Rearranged Stochastic Heat Equations with an Entropy Gradient Structure
[NO] 396/1751 | The SKA as a Probe of Heliospheric Turbulence and Radio-wave Propagation Effects
[NO] 397/1751 | NodeImport: Imbalanced Node Classification with Node Importance Assessment
[NO] 398/1751 | Recursive ArUco Markers: A Scalable Fiducial Marker Design for Unmanned Aerial Vehicle Landing Pads
[NO] 399/1751 | Horizon Microstructure Thermodynamics in AdS Black Holes: Smarr-Consistent Excitation Enthalpy
[NO] 400/1751 | A Deployed Hybrid Vehicle-in-the-Loop Platform for Validating Cooperative Perception
[NO] 401/1751 | How Far Can Root Cause Analysis Go on Real-World Telemetry Data?
[NO] 402/1751 | Cross-Field Channel Parameter Estimation and Channel Characterization at THz Bands in Indoor Scenarios
[NO] 403/1751 | COLMAR: Cooperative View Policy Learning for Multi-Agent Active 3D Reconstruction
[NO] 404/1751 | Improving Map Consistency in Graph-Based LiDAR SLAM Through Information-Aware Odometry and Retroactive Loop Closure
[NO] 405/1751 | Torsion groups of rational elliptic curves over $\mathbb{Z}_p$-extensions of quadratic fields: the $p\le 5$ case
[NO] 406/1751 | ExTernD: Expanded-Rank Ternary Decomposition Ternary LLM PTQ with Accuracy Approaching Any Quantization Level
[NO] 407/1751 | Influence of Magnetospheric Plasma Environment on Surface Charging of the Lunar South Pole
[NO] 408/1751 | CDS: Counterfactual Directionality Score for Structured Interventions in Spatial Graphs
[NO] 409/1751 | Turbulent boundary layers altered by passively rotating discs
[NO] 410/1751 | A VAE-Driven Multi-Task Satellite-Aided Semantic Communication Framework for 6G-Enabled Connected Autonomous Vehicles
[NO] 411/1751 | Personalizing Incremental Video Search with Hybrid Text and ID Embeddings
[NO] 412/1751 | On the Second Moment of $L (1/2, \mathrm{As} (f))$
[NO] 413/1751 | Study on Morgan-Voyce type polynomials with Euler-Seidel algorithm
[NO] 414/1751 | GPOcc++: Unified Sparse Gaussian Occupancy Prediction with Visual Geometry Priors
[NO] 415/1751 | Inverse scattering for three-dimensional random obstacles with multi-frequency data
[NO] 416/1751 | HIVE-3D: Hierarchical Voxel Enhancement for High-Quality 3D Scene Generation
[NO] 417/1751 | Live Gurbani Tracking: A Benchmark and Reference System for Captioning Sikh Kirtan
[NO] 418/1751 | Adversarial Prompting Framework for AI Safety Assessment
[NO] 419/1751 | Learning Physics-Guided Residual Dynamics for Deformable Object Simulation
[NO] 420/1751 | Photonic Ising machines toward and beyond a million spins
[NO] 421/1751 | ReBound: Reuse-Aware Privacy For Interactive Decision Support
[NO] 422/1751 | Impacts of social and impact heterogeneity on social-climate outcomes
[NO] 423/1751 | Distributionally Robust and Safe Imitation Learning
[NO] 424/1751 | When Rubrics Change: Cross-Rubric Generalization for Critical Thinking Essay Scoring
[NO] 425/1751 | Exploring Post-Training Alignment of Small Language Models for Biomedical Data-to-Text Generation: A Case Study of Medication Leaflet
[NO] 426/1751 | On-chip quantum sensing of Kondo spins in a high-mobility quasi-one-dimensional nanoconstriction
[NO] 427/1751 | GFlowRL: Scaling Distribution-Matching RL to Large Language Models
[NO] 428/1751 | The impact of objective interactions on the performance of massive objective optimization algorithms
[NO] 429/1751 | A Physics-Grounded QUBO Encoding of Irrigation Scheduling for QAOA
[NO] 430/1751 | Fine-Grained Open-Set Fault Diagnosis via Metric-Guided Time-Frequency Configuration Selection and Class-Specific Autoencoders
[NO] 431/1751 | DiffGI: Differentiable Geometry Images for High-Fidelity Thin-Shell 3D Generation
[NO] 432/1751 | Radial velocity statistics of cosmic voids as a probe of interacting dark energy
[NO] 433/1751 | A Hybrid Sampling-Based Trajectory Planner with Game-Theoretic Guidance for Autonomous Racing
[NO] 434/1751 | Safe Overtaking for Autonomous Racing Using Hierarchical Optimization and Learning-Based Control
[NO] 435/1751 | Evaluation Ability Does Not Imply Optimization Utility: LLM-as-a-Judge Signals in Closed-Loop Table Recognition
[NO] 436/1751 | Audio-Text Cross-Attention with Psycholinguistic Support Features for Ambivalence/Hesitancy Recognition
[NO] 437/1751 | Cyclic Sieving for Staircase Plane Partitions via Crystals and Electrical Networks
[NO] 438/1751 | Stochastic Domination of Gaussian Maxima: A Resolution to the Weak Simplex Conjecture
[NO] 439/1751 | Recovery of Schrödinger nonlinearity from the large-data scattering behavior
[NO] 440/1751 | Magnesium isotope ratios in Milky Way and dwarf galaxy stars
[NO] 441/1751 | Lexicographic Direct Access with Functional Dependencies
[NO] 442/1751 | Load Balancing with Individually Heterogeneous Servers
[NO] 443/1751 | Cyclic Probability of a Finite Group
[NO] 444/1751 | Manipulation testing based on Benford's Law for discrete scores
[NO] 445/1751 | Area correlations related to lattice points in discs
[NO] 446/1751 | The WEST code for large-scale excited-state materials simulations
[NO] 447/1751 | Strict concavity of the growth indicator function for relatively Anosov groups
[NO] 448/1751 | Exact classification of elliptic curves $y^{2}=x^{3}-pqx$ with rank $0$ and trivial $\Sha[2]$
[NO] 449/1751 | The internal Yoneda Lemma for locally Cartesian closed $\infty$-categories
[NO] 450/1751 | Prospective clinical indication, post-hoc report leakage, and fusion design in multi-image chest radiograph classification: a patient-clustered evaluation
[NO] 451/1751 | Quantum Transport and Apparent Work Function Distributions of Atomic Contacts via a 3D-Printed High-Vacuum Platform
[NO] 452/1751 | Machine Learning-based detection of long COVID using Heart Rate Variability Analysis
[NO] 453/1751 | Hybridization-controlled re-entrant electronic phase switching and moire-confined states in twisted bilayer PtTe2
[NO] 454/1751 | The variety of nilpotent matrices is $F$-regular
[NO] 455/1751 | Microstructure-Conditioned Surrogate Models for Graded Multiscale Optimization of Mycelium Composites
[NO] 456/1751 | ε-Indistinguishability In Moving Target Defense: Framework, Algorithms, And Cloud Case Studies
[NO] 457/1751 | Fast Cascaded Recursive Filtering via a Block-Matrix Reformulation
[NO] 458/1751 | Fine-grained CLIP fine-tuning with self-annotated region alignment
[NO] 459/1751 | Global Bifurcation and the Constructive Existence of Overhanging Periodic Steady Water Waves
[NO] 460/1751 | HybridQC: Hardware-Grounded Simulation of Tightly Integrated Hybrid Quantum-Classical Systems
[NO] 461/1751 | Supermagnified Stars in Lensing Clusters and Small-Scale Structure in the Dark Matter
[NO] 462/1751 | Cooling rate and glassy behavior in the Fermi--Pasta--Ulam system
[NO] 463/1751 | Design of policy digital twins incorporating multi-level agent based modelling
[NO] 464/1751 | Reshaping quantum annealing landscapes with diagonal catalysts
[NO] 465/1751 | Pack, Remove, Reserve -- Online Knapsack with Second Thoughts
[NO] 466/1751 | Regular diagonal subfactors
[NO] 467/1751 | RIS Beamforming under Element-Level Variations: Statistical Characterization and Robust Design
[NO] 468/1751 | Effective Resistance in Fixed-Rank External-Field Measures and Constant-Stretch Correlated Sampling on the Hypersimplex
[NO] 469/1751 | Matroid correspondence
[NO] 470/1751 | Discrete Diffusion Models: A Unified Framework from Tokenization to Generation
[NO] 471/1751 | Unified Terahertz Framework for Magnetic and Lattice Responses Reveals an Elusive Ordering Transition in Gd$_2$Ru$_2$O$_7$
[NO] 472/1751 | Bridging Frustration and Non-Hermiticity via COMPASS: An Adaptive Biorthogonal Neural Quantum State Framework
[NO] 473/1751 | On Zappa--Szép products of a wreathed $2$-group and a cyclic group
[NO] 474/1751 | Observational Evidence for Counter-helicity Magnetic Reconnection in a Solar Eruption
[NO] 475/1751 | The Nonsmooth Impact Direction (NSID) of Robotic Systems
[NO] 476/1751 | Cold Stream Penetration of Virial Shocks: Fragmentation, Coagulation, and Disruption in the Hot Circumgalactic Medium
[YES] 477/1751 | VisualRepair: Dynamic Tool Calling and Region Focusing for Visual Software Issue Repair
[NO] 478/1751 | Towards compressed baryonic matter densities: D meson diffusion
[NO] 479/1751 | Acoustic Firewalls: Analogue Gravity Perspective on the AMPS Paradox
[NO] 480/1751 | Update on the Magellan InfraRed Multi-Object Spectrograph (MIRMOS)
[NO] 481/1751 | A Universal Relation Between Primordial Density-Potential Cross-correlation Coefficient and Spin Factor Distribution
[NO] 482/1751 | Building Shor's Algorithm in Lean: An Agentic Formalization of Quantum Attacks on RSA-2048 and P-256
[NO] 483/1751 | An exactly solvable macroscopic fluctuation theory of single-file diffusion
[NO] 484/1751 | AI-accelerated End-to-End Framework for Rapid Professional Upskilling
[NO] 485/1751 | Multi-Expert Routing for Multi-Domain Low-Resource OCR: A Manchu Case Study
[NO] 486/1751 | Beyond Constant Error: Heteroscedastic Bayesian Model Combination for Modeling Unmeasured Nuclei
[NO] 487/1751 | Optimizing Visibility in Generative Engines: A Critical Survey of Generative Engine Optimization (2023-2026)
[NO] 488/1751 | Industrial Dexterity Benchmark: A Hardware-Software Benchmarking Platform for Industrial Dexterous Manipulation
[NO] 489/1751 | The Wulff bio-heat transfer model revisited: directional blood enthalpy transport, the biological Peclet number, and implications for laser-induced thermal therapy
[NO] 490/1751 | phoptic -- a Python package for reducing astronomical images
[YES] 491/1751 | Lighthouse RL: Sample-Efficient Circuit Optimization via Strategic Reset Points
[NO] 492/1751 | M$^\text{4}$World: A Multi-view Multimodal Driving World Model for Interactive Object Manipulation and Minute-long Streaming
[NO] 493/1751 | Real Fluid Quasi-Conservative Method: Mechanical Equilibrium Mechanism and Liquid-Upwind Anomaly
[NO] 494/1751 | Task-Specific Feature Fusion Method for Multi-Task Affective Behavior Analysis
[NO] 495/1751 | Agent-Alternation-Free Epistemic Metric Temporal Logic with Past: Model Checking and Complexity
[NO] 496/1751 | Dipolar mixtures in checker-board optical bilayers
[NO] 497/1751 | Music-to-Dance Generation via Atomic Movements
[NO] 498/1751 | CF-Net: Conflict Fusion with Speaker Normalisation and Certainty Weighting for Ambivalence/Hesitancy Recognition
[NO] 499/1751 | Practical Framework for Power System Strength
[NO] 500/1751 | Further quantitative moduli around uniform convexity
[NO] 501/1751 | DeltaMerge-LowRes: Composing Language and Task Deltas for Low-Resource Adaptation
[NO] 502/1751 | Kaleidoscopic-ray-tracing-based model of the scintillation flash energy deposition in the photomultipliers attached to a strip scintillator
[NO] 503/1751 | PRomop: A Decision-Ready Longitudinal Patient Health Record on the OMOP Common Data Model
[NO] 504/1751 | Peak-End-Net: A Peak-End Rule Inspired Framework for Generalizable Video Aesthetic Assessment
[NO] 505/1751 | Discriminative Barrier Functions for Safe Adversarial Imitation Learning from Observation
[NO] 506/1751 | Pezego-HITL: A policy-grounded large language model architecture for agricultural extension in Ghana
[NO] 507/1751 | VAIOM: Continuous-Input, Discrete-Output Decoder-Only Financial Sequence Modeling
[NO] 508/1751 | Modified Family-Vicsek Scaling and Probability Distributions for Brownian Castle Interfaces
[NO] 509/1751 | Partially Correlated Verifier Cascades in LLM Harnesses: Concave Log-Odds, Polynomial Reliability, and Blind-Spot Ceilings
[NO] 510/1751 | Detecting unusual trading patterns on cryptocurrency exchanges by means of complexity measures
[NO] 511/1751 | Long-Baseline VLF Observations of Solar Flares from Antarctica
[NO] 512/1751 | Testing string theory with combined cosmological probes: a case study for dark matter gravitons
[NO] 513/1751 | A Homogeneous Spectroscopic and Evolutionary Study of cool HgMn and hot Metallic A Stars
[NO] 514/1751 | AIMO Interpretability Challenge
[NO] 515/1751 | RF Spectrogram Anomaly Detection with Quantum Kitchen Sinks: Architecture, Representation, and Hardware Validation
[NO] 516/1751 | Chemical short-range order controls deformation pathways in a complex concentrated alloy
[NO] 517/1751 | Feedback vertex sets in oriented graphs
[NO] 518/1751 | Revealing the MoS2 Growth Mechanism in Chemical Vapor Deposition: Real-Time Imaging and Statistical Analysis
[NO] 519/1751 | Realization and manipulation of spiral charge density waves in a two-dimensional metal
[NO] 520/1751 | AI-Augmented Adaptive Digital Twin Modeling for Brain Tumor Evolution Prediction and Treatment Scheduling
[NO] 521/1751 | Mapping Dust Attenuation at Kiloparsec Scales. IV. A Dust-model Interpretation of Attenuation Curves in Nearby Galaxies
[NO] 522/1751 | Evaluation of State-of-the-Art Deep Learning Architectures for Aerodynamical Predictions
[NO] 523/1751 | Clique spectral extremal problem on disjoint color-critical graphs
[NO] 524/1751 | Induced CFJ Term in nonlocal Lorentz-Violating QED: Natural Regularization from Entire Dirac Operators
[NO] 525/1751 | First-principles Study of Structural and Electronic Properties of Mn-doped Cu2NiXY4 (X=Sn, Ge, Si; Y=S, Se) Chalcogenide Semiconductors
[NO] 526/1751 | AI-Augmented Human Resource Management? Insights from German companies
[NO] 527/1751 | A Showcase of Using the Partial-Structure R1 to Assemble Small-Molecule Crystal Structures
[NO] 528/1751 | Pairs of commuting isometries via new core operator
[NO] 529/1751 | Learning Robust Execution in Robotic Manipulation with Agentic Reinforcement Learning
