[2026-09-03 23:48:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[IEEE] 2026-9-3 | Designing a Capacitive Sensor to Detect Series Arcs in Aircraft HVDC Electrical Systems
[IEEE] 2026-9-2 | A Frequency-Coupled Latent Space Facilitates Synthetic-to-Measured SAR Image Translation
[IEEE] 2026-9-3 | ATRS: Adaptive Trajectory Re-Splitting Via a Shared Neural Policy for Parallel Optimization_supp1-3730369.mp4
[ACM] 2026-9-2 | DLSC: A double-layer blockchain consensus algorithm based on Schnorr threshold signatures for large-scale IoT systems
[IEEE] 2026-9-2 | A Multimodal Immersive Intervention for Artificial Intelligence Literacy and Metacognitive Self-Regulation in Pre-Service Teacher Education_supp1-3729686.pdf
[ACM] 2026-9-2 | Reproducibility in the Era of AI Agents
[IEEE] 2026-9-2 | Denoising Method for Low-Dose CT Image Using IRCNN Incorporated Edge Information
[IEEE] 2026-9-2 | Empowering Sensing-Driven Intelligent Communications with Energy-Efficient In-Memory Computing
[IEEE] 2026-9-2 | PhysiVerse - Leveraging Virtual Reality for Enhanced Physics Education
[IEEE] 2026-9-2 | Research on Fast Reconstruction Method of Time-Varying Dynamic Sea Surface for High-Frequency Electromagnetic Calculation
[IEEE] 2026-9-2 | A Dual-Circularly Polarized Multibeam Luneburg Lens Antenna Based on Optical Path Analysis
[IEEE] 2026-9-2 | Traffic-Prediction-Based MAC Protocol for UAV Ad Hoc Networks
[IEEE] 2026-9-2 | Extremum Seeking Control of a Unicycle-Like Robot Using the Transverse Function Approach
[IEEE] 2026-9-2 | Symmetric Wide Beam Circularly Polarized Antenna
[IEEE] 2026-9-2 | Group Role Assignment With a Training Plan Avoiding Conflicts Among Agents
[IEEE] 2026-9-2 | A High-Gain SIW H-Plane Horn AiP with Reflector and Phase-Correction Vias
[IEEE] 2026-9-2 | MonoYOLO: Monocular 3D Detection via Cross-Modal Feature Fusion
[IEEE] 2026-9-2 | Evaluating UPF Implementations Within the OpenRAN@Brasil Testbed
[IEEE] 2026-9-2 | A Wideband Circularly Polarized Folded Transmitarray Antenna Suitable for X-band
[IEEE] 2026-9-2 | How Scrum Drives IT Project Success in Yemen Through the Mediating Role of Project Complexity
[IEEE] 2026-9-2 | BOinEA: A Unified Hybrid Approach Integrating Bayesian Optimization and Evolutionary Algorithms for Neural Network Hyperparameter Tuning
[IEEE] 2026-9-2 | Joint Resource Allocation to Transparently Integrate 5G TDD Uplink with Time-Aware TSN
[IEEE] 2026-9-2 | A PRISMA-Informed Review of Digital Leadership Measurement Toward a Four-Construct Framework
[IEEE] 2026-9-2 | How Helpful Is LLM Assistance in Network Operations? a Case Study at a Large Demonstration Network
[IEEE] 2026-9-2 | An Empirical Study on Hypertext Navigation in Augmented Reality
[IEEE] 2026-9-2 | Bilayer Miura-Ori Metamaterial Compatible with Wideband Microwave Absorption and Low Infrared Emissivity
[IEEE] 2026-9-2 | Towards NWDAF-enabled Analytics and Closed-Loop Automation in 5G Networks
[IEEE] 2026-9-2 | FPGA-Based Real-Time LZ4-Oriented Compression Architecture for Millimeter-Wave Intermediate-Frequency Signal Recording
[IEEE] 2026-9-2 | Evidential K-NN: Interpretable Early Traffic Classification with Dempster-Shafer Theory
[IEEE] 2026-9-2 | An Aperture-Coupled Magneto-Electric Dipole Antenna with Enhanced Gain and Bandwidth
[IEEE] 2026-9-2 | Control Lyapunov and Barrier Functions Based Quadratic Programming for Active Flutter Suppression Under Actuator Limits
[IEEE] 2026-9-2 | Reinforcement Learning Based Exploration in UAVs
[IEEE] 2026-9-2 | Multiresonance RF Energy Harvesters
[IEEE] 2026-9-2 | CopilotAD: A Simple Method Based on ViT for Multi-class Logical Anomaly Detection
[IEEE] 2026-9-2 | Quantum Computing-Driven Optimization of Machine Learning Algorithms for Embedded Systems
[IEEE] 2026-9-2 | Validation-Oriented Optimization of a Nonlinear Parametric Model for an ABS Isolation Valve
[IEEE] 2026-9-2 | Aperture-Multiplexed Holographic Metasurface Antenna for Near-Field Multi-Focus
[IEEE] 2026-9-2 | On the Use of Transformers for 6G Radio Access Networks
[IEEE] 2026-9-2 | Determinants of Electric Vehicle Purchase Intention in Vietnam: A Generational Comparison Between Gen Z and Gen X
[IEEE] 2026-9-2 | ReCQF: Enhancing CQF Redundancy with Delay Alignment Scheduling in TSN
[IEEE] 2026-9-2 | Context-Aware Dynamic Momentum for Asynchronous Federated Learning
[IEEE] 2026-9-2 | Comparison of Time-Domain Cross-Correlation and FFT-Based Methods for X-Ray Pulsar Phase Estimation in Spacecraft Navigation
[IEEE] 2026-9-2 | A Wideband Dual-Circularly Polarized Phased Array Transceiver System for Ku-Band Satellite Communications
[IEEE] 2026-9-2 | Signed-Digit-to-Sign-Magnitude Conversion Circuit
[IEEE] 2026-9-2 | Relative Pose Initialization for XR Drone Overlays Using an Off-the-Shelf Headset and a Marker Cube
[IEEE] 2026-9-2 | A 24–30 GHz High-power GaN SPDT Switch Utilizing Multi-level Stacked-FET Topology and a Short Circuit Matching Compensation Network
[IEEE] 2026-9-2 | SIW Slot-Coupled Antenna for Ka-Band Communication
[IEEE] 2026-9-2 | ToF-Based Excitation and Damage Localization in a Steel Plate Using Ultrasonic Guided Waves with Predefined Pseudo-Sensor Triplets
[IEEE] 2026-9-2 | An Unconditionally Stable Non-uniform Grid CDI-FDTD Method for Electromagnetic Scattering Analysis
[IEEE] 2026-9-2 | Design and Certification of an Aircraft Cabin Air Filter Based on DO-160 and CS-25 Requirements
[ACM] 2026-9-2 | Design and Implementation of a Multi-source Data-based Security Risk Assessment System for China's International Grain Maritime Logistics Supply Chain
[ACM] 2026-9-2 | Architecture Design of Civil Aviation Passenger Service System Based on TOGAF Enterprise Architecture Framework
[ACM] 2026-9-2 | Boundary Conditions for Semantic Log Parsing in Systems Observability Pipelines
[IEEE] 2026-9-2 | Phase-Aware Switching Control for Magnetically Actuated Microrobots in Narrow Vessels Under Cardiac Pulsatile Flow_supp1-3721855.mp4
[IEEE] 2026-9-2 | Enhancing Geostationary Supercooled Water Cloud Identification Using Hyperspectral Infrared Sounder Measurements_supp1-3729162.pdf
[ACM] 2026-9-2 | FARM-Log: An AI-Driven Foundation-Augmented Retrieval Mamba Framework for Logistics Risk Warning
[ACM] 2026-9-2 | A fractional-order rumor propagation model focusing on the influence of education
[IEEE] 2026-9-2 | Coupling Analysis of Multi-Port Lumped Circuit Networks Using the DGTD Method
[IEEE] 2026-9-2 | A Shared-Aperture Dual-Functional Antenna Array with 2D Beam-Scanning for Integrated Sensing and Communication
[IEEE] 2026-9-2 | Accurate Far-Field Prediction of Phased Arrays with Faulty Elements from Phaseless Near-Field Data
[IEEE] 2026-9-2 | Analysis of Electromagnetic Field Uniformity and Probability Distribution Characteristics in a Loaded Reverberation Chamber
[ACM] 2026-9-3 | Preparing Citizens for Emergency Calls with a Hybrid FSM-LLM Dialogue Agent
[ACM] 2026-9-3 | Demonstrating the Open Virtual Human Toolkit: Any Character, Any Technology, Anywhere
[ACM] 2026-9-3 | Gender Stereotype Threat in AI-Assisted Negotiation
[ACM] 2026-9-3 | Evaluating Retrieval-Augmented Generation Strategies with a Virtual Human Application
[ACM] 2026-9-3 | Beyond Passive Distraction: An Embodied Conversational Breathing Coach in VR for Acute Pain Reduction in Gynecological Procedures
[IEEE] 2026-9-3 | Investigation of Suppression Performance of Surface Charge Accumulation on Epoxy Spacer in DC GIS With Various Coatings
[IEEE] 2026-9-2 | MADRL-Based UAV Swarm-Enabled Integrated Sensing, Communication, and Computation for Aerial Target Monitoring
[IEEE] 2026-9-2 | LEEP-YOLO11: A Lightweight Framework for Cloud–Edge Pavement Distress Monitoring System
[IEEE] 2026-9-3 | FedSAM-3D: Adapter-Constrained Federated Adaptation for Transferable Medical Segmentation Foundation Models
[IEEE] 2026-9-3 | Enabling Population-Based Architectures for Neural Combinatorial Optimization
[IEEE] 2026-9-2 | Adaptive Knowledge Distillation With GCN–GAT Teacher–Student Models for Link Prediction on Out of Entity Triples
[IEEE] 2026-9-2 | A Bi-level Optimization Model with Multi-kernel and Diffusion Regularization for PET Image Reconstruction
[IEEE] 2026-9-3 | Officers &amp; Advisory
[IEEE] 2026-9-2 | MSST-Net: Memory-Sustained Structure-Texture Representation Network for Remote Sensing Building Change Detection
[IEEE] 2026-9-2 | IEEE Northern Canada Section PELS Day 2026 [Society News]
[IEEE] 2026-9-3 | Design and Emulation Methodology for Atomic-Scale Systolic Arrays: An LLM Accelerator Case Study in Silicon DB Logic
[IEEE] 2026-9-3 | Molecular Dynamics Based Investigation of Water Uptake in Epoxy at Room and Elevated Temperatures
[IEEE] 2026-9-3 | A Broadband Measurement Method for Cable Dielectric Parameters Based on Resonance Frequency and Attenuation Constant
[IEEE] 2026-9-2 | Fast Decoupled Load Flow Convergence Revisit: On the Impact of R-X Ratios in Distribution Grids
[IEEE] 2026-9-3 | A novel Tokenization-Free GPT-2 Mechanism for Intermittent Demand Forecasting
[IEEE] 2026-9-2 | A High-Throughput Continuous-Flow Reordering Scheme for 4096-Point FFT/IFFT in 5G Systems
[IEEE] 2026-9-3 | V2D: Detection of type 2 diabetes using only smartphone voice recordings via spectro-temporal transformer embeddings
[IEEE] 2026-9-3 | A Partial Discharge Identification Strategy Based on Detrended Fluctuation Analysis
[IEEE] 2026-9-2 | Activity-Dependent Differences Between Wearable Heat-Flux-Based Core Temperature Estimates and Gastrointestinal Temperature Measured by an Ingestible Capsule Under Free-Living Conditions
[IEEE] 2026-9-3 | Design of Median Filters in Stochastic Computing
[IEEE] 2026-9-2 | DevGRU: Depth-Guided Visual Navigation Using a Collision-Aware Recurrent Model
[IEEE] 2026-9-3 | Optical Modeling and Spectral Tuning of Plasmonic Si/Au Nanopillars for Filter-Free Narrowband Photodetection
[IEEE] 2026-9-3 | Graph-MambaNav: Spatial-Temporal Graph Mamba Leveraging Object-Relation Knowledge for Object-Goal Navigation_supp1-3730220.mp4
[IEEE] 2026-9-3 | Effect of Water Content on Dc Breakdown Strength of Polyurethane
[IEEE] 2026-9-3 | Multidomain Representation Analysis of P300 Responses Across Heterogeneous EEG Paradigms
[IEEE] 2026-9-3 | Water Treeing in PP-TPE Cable Insulation: Staining and Analysis Methodology
[ACM] 2026-9-3 | VietLegalLM: Progressive Legal Expertise Through Synthetic Comprehension and Reinforcement Learning
[IEEE] 2026-9-3 | SRWKV: A Shape-Guided RWKV With Adaptive Receptive Fields for Efficient Medical Image Segmentation
[IEEE] 2026-9-3 | Optimization of Coating Region for Surface Charge Suppression on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    -Epoxy Insulator in DC-GIS
[IEEE] 2026-9-3 | Effect of Temperature on Surface Tracking on Silicone Rubber Immersed in Silicone Oil
[IEEE] 2026-9-3 | Sparse and Regularized Deconvolutions for Estimating Charge Distribution in Dielectric Materials via PEA
[IEEE] 2026-9-3 | Low-Complexity Neural Network for Partial Discharge Classification
[IEEE] 2026-9-3 | Optimization of Transmission Line Arrester Installation on 150 kV Quadruple Circuit Transmission Line Based on Insulator Voltage and TLA Energy Using ATP Draw
[IEEE] 2026-9-3 | Bipolar Charge Transport Models for Conductivity in Polyolefins - Requirements on Asymmetric Carrier Properties
[IEEE] 2026-9-3 | A Low-Noise CMOS Readout Circuit for Graphene/Ge Photodetector Arrays
[IEEE] 2026-9-3 | Research on Water Tree Targeted Repair of Medium Voltage Cable Insulation Based on Dielectrophoresis Force
[IEEE] 2026-9-2 | Design and Analysis of Brushless Multiphase Synchronous Generator With Dual-Pole Six-Phase Symmetrical Winding
[IEEE] 2026-9-2 | Progressive
                    <sup>2</sup>
                    : A Teacher-Student Progressive Co-Evolving Knowledge Distillation Method for Substantial Model Compression
[ACM] 2026-9-2 | Bayesian Neural Network for Small-Sample Employment Prediction in Vocational Education with Uncertainty Quantification
[ACM] 2026-9-2 | A Hybrid STL-LSTM Model for Logistics Demand Forecasting
[ACM] 2026-9-2 | Research on Optimization of Electric Vehicle UAV Collaborative Delivery Path Based on Partial Charging Strategy in Time Varying Road Network
[ACM] 2026-9-2 | Multimodal Interaction and Emotional Engagement in VR Digital Art Environments
[ACM] 2026-9-2 | Deep Learning-Based Multi-Parameter Fusion Node Localization Algorithm for UWSNs
[ACM] 2026-9-2 | Exploration and Practice of an Integrated Innovative Model for Enhancing Physical and Health Literacy in Higher Vocational Education from a Diverse Student Population Perspective
共写入 1933 条记录，保存到 papers/paper2026-09-02.json。
论文获取成功，文件路径: papers/paper2026-09-02.json
正在筛选、翻译并发送邮件...
[NO] 1/1933 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[NO] 2/1933 | Groups of Transverse Stratifications and the Hierarchy of Configuration Spaces
[NO] 3/1933 | Synergistic Information Disentanglement for Omni-modal Slide Representation Learning in Computational Pathology
[NO] 4/1933 | text2ql: Multi-Target Natural Language Querying via a Language-Agnostic Intermediate Representation
[NO] 5/1933 | Git4Data: Database-Native Version Control for AI Agents
[NO] 6/1933 | Contact fundamental forms and adjoint varieties
[NO] 7/1933 | Conformal Ricci Curvature and Spectral Estimates
[NO] 8/1933 | READY or Not: Reliable Enterprise Agent Deployment
[NO] 9/1933 | Compositional Spectral Prompts for LLM-based Online Time Series Forecasting
[NO] 10/1933 | Beyond Outcome Gaps: Process-Aware Fairness Diagnosis for LLM-based Multi-Agent Decision Systems
[NO] 11/1933 | Calculating the squeezed bispectrum in stochastic inflation by Monte Carlo simulation
[NO] 12/1933 | Lightweight Soft X-ray Imager (LSXI) with glass-based coded mask
[NO] 13/1933 | HyGRAIL: Cost-Aware and Evidence-Grounded Scientific Hypothesis Discovery over Knowledge Graphs
[NO] 14/1933 | Privacy Washing: Detecting Internal Contradictions in Privacy Policies
[NO] 15/1933 | Phase-delays shape multistability and basin sizes in Kuramoto networks: analytical estimates from network structure
[NO] 16/1933 | Analytic Maximal Violation of Extended MABK Inequalities for Generalized GHZ States
[NO] 17/1933 | Act More, Decide Less: Skill-Guided Adaptive Action Chunking for Long-Horizon LLM Agents
[NO] 18/1933 | Implicit Manipulation for Skill Selection in LLM Agents with Semantic Matching
[NO] 19/1933 | Search for the baryonic decay $ D_{s}^{*+} \to \ p \bar{n} $
[NO] 20/1933 | Pinching-Antenna Systems-enabled Secure ISAC: A Two-Timescale Optimization Framework
[NO] 21/1933 | Source-Free Class Relearning: Diagnosing Forgetting in Class Unlearning
[NO] 22/1933 | Insights on Time-consistent Deep Hedging under Elicitable Dynamic Risk Measures
[NO] 23/1933 | Seed-Anchored Budget-Bounded Graph Rendering for Question Answering on Industry-Standard Power-Grid Information and Exchange Models
[NO] 24/1933 | Symmetry-enforced third-order nonlinear thermal Hall effects in altermagnets
[NO] 25/1933 | Train What You Deploy: Closing the MLP Reachability Gap in Low-Rank Clone Distillation
[NO] 26/1933 | InstEditSeg: Instruction-Driven Image Editing for Polyp and Skin Lesion Segmentation
[NO] 27/1933 | ClaimReceipt: Verifying Evidence Sufficiency and Coverage in Agent Evaluations
[NO] 28/1933 | Rainbow Berge Hamiltonicity in edge-colored random $k$-uniform hypergraphs
[NO] 29/1933 | Benchmarking Language Models for Statistical Problem Formulation
[NO] 30/1933 | Dimension-Reduced ADP for Real-Time Microgrid Operation with Massive Air-Conditioning Loads under Multiple Uncertainties
[NO] 31/1933 | Sequential Certification of Threshold Decisions in Rare-Event Risk Prediction
[NO] 32/1933 | A Unified Particle Filter LSTM for Data-Driven Process Simulation
[NO] 33/1933 | Data-Efficient Networks for Multi-Contrast MRI Reconstruction based on a Generalized Content/Style Prior
[NO] 34/1933 | Merging Modal Clusters via Significance Assessment
[NO] 35/1933 | FlashKAN: B-Spline KANs via Truncated Power Form
[NO] 36/1933 | When Fibonacci and Lucas Meet Smith: A Computational Exploration
[NO] 37/1933 | Source Distribution Estimation by Posterior Averaging
[NO] 38/1933 | Minimal Radial Sub-Gamma Envelopes for Infinitely Divisible Random Vectors
[NO] 39/1933 | On the occurrence of congruence multiplicities between Ramanujan's theta functions
[NO] 40/1933 | Extremal Asymmetric Depth of Planar Graphs and Hidden Near-Mirror Symmetries of IPR Fullerenes
[NO] 41/1933 | Measurement of inelastic scattering $Λ(\overlineΛ)+p\toΣ^{0}(\overlineΣ^{0})+p$ via $e^+e^-\to J/ψ\toΛ\overlineΛ$
[NO] 42/1933 | RGB-to-IR image translation for infrared vehicle detection in unseen UAV domains
[NO] 43/1933 | ZETA: A Controlled Study of Zero-Shot Cross-Embodiment VLA Transfer for Tabletop Manipulation
[NO] 44/1933 | A finiteness theorem for geodesic Leech wheels
[NO] 45/1933 | Bimaterial Eshelby's inclusion problem for polyhedra
[NO] 46/1933 | Connectivity of HAPS-Based Solutions for Large-Scale Wireless Networks: A Percolation Theory Analysis
[NO] 47/1933 | Spatially Aware World Action Model via Geometric Latent Diffusion
[NO] 48/1933 | Efficient Simulation of Nonreciprocal Many-body Physics via Quantum Feedback
[NO] 49/1933 | Projected Subgradient Methods for a Class of Nonsmooth and Nonconvex Optimization Problems
[NO] 50/1933 | Power convexity of the torsion function on horo-convex domains in hyperbolic space
[NO] 51/1933 | Beauty is in the AI of the beholder: MLLMs systematically overrate facial attractiveness
[NO] 52/1933 | Algebraic study of quantum configuration spaces of decorated flags
[NO] 53/1933 | SR-Edit: Region-Aware Image Editing via Self-Refinement
[NO] 54/1933 | Flexibility of affine cones over blow-ups of weighted projective planes
[NO] 55/1933 | PragAlign: Feedback-Guided Pragmatic Alignment for Controlled Synthetic Dialogue Generation
[NO] 56/1933 | VAANI Noise Event Dataset: A curated spontaneous speech dataset annotated with timestamps for noise events
[NO] 57/1933 | Prominent Dimensional Effects on High-order Harmonic Generation in Strongly Correlated Electron Systems
[NO] 58/1933 | VIPS: Vehicle-Infrastructure Cooperative Planning Benchmark via Pseudo-Simulation
[NO] 59/1933 | Addressing Trust in AI Systems through Education: A Didactic Perspective
[NO] 60/1933 | Scalable Kronecker-Fisher Approximation: Efficient Hessian Analysis for Billion-Parameter Language Models Compression
[NO] 61/1933 | CACTUS: Mask-Guided Semantic Clean-Label Backdoors in Decentralized Federated Learning
[NO] 62/1933 | Towards One-for-All Robustness Across a Continuum of Threat Levels
[NO] 63/1933 | When Decodability Is Not Enough: Logical Validity Representations, Behavioral Dissociation, and Causal Tests in Language Models
[NO] 64/1933 | Deformations of the $\mathfrak{osp}(n|2)$-action on the superspace of symbols of differential operators on $\R^{1|n}$
[NO] 65/1933 | On the local well-posedness of the Benjamin-Ono-Zakharov-Kuznetsov equation
[NO] 66/1933 | A Two-Variable Zeta Function for a Parity-Perturbed Hofstadter Q-Recursion: The Exceptional t = -1 Slice and Gaussian Boundary Layers
[NO] 67/1933 | Membranes and Maps
[NO] 68/1933 | CA-OPD: Confidence-Aware On-Policy Distillation for Structured Visual Prediction
[NO] 69/1933 | Strictly solvable $d=4$ quantum field theory models with unitarity violation. Possible implications for baryon asymmetry of the Universe and dark matter
[NO] 70/1933 | Inside-out growth and the kiloparsec-scale star formation main sequence for low-surface-brightness disk galaxies in MaNGA
[NO] 71/1933 | 3D hybrid cellular Potts model with a discrete deformable fiber network: modeling cell contraction and extracellular matrix remodeling
[NO] 72/1933 | Surprises of Klein paradox
[NO] 73/1933 | Information Density Imbalance in Visual Object Detection
[NO] 74/1933 | NE-R1: Enhancing Named Entity Recognition Model via Reinforcement Learning
[NO] 75/1933 | Towards a Foundational Ontology for Identifying and Resolving Contradictions in Dialogue-based Human-Robot Interactions
[NO] 76/1933 | Collective Cell Fluidity Controls Active Prestress Transmission in Cell-Extracellular-Matrix Tissues
[NO] 77/1933 | Fair Stable Matching: A Nash Social Welfare Approach
[NO] 78/1933 | Fungal Memory and Minimal Cognition
[NO] 79/1933 | SonicCaps: Large-Scale Diverse and Fine-Grained Captioning for Improved Audio-Retrieval
[NO] 80/1933 | Toward High-Resolution Detection of Target Fragmentation: TEA-Sensitized NIT for Proton Therapy Applications
[NO] 81/1933 | ORB-SVM : An Innovative Hybrid Framework for Efficient Brain Tumor Detection from MRI Scans
[NO] 82/1933 | Surface brightness inhomogeneity on the helium-rich hot subdwarf in the X-ray binary HD 49798
[NO] 83/1933 | Boundary-Geometry-Driven Black Hole Formation in Vacuum
[NO] 84/1933 | Affine Copies of Three-Point Patterns in Sets of Integers
[NO] 85/1933 | Improved uncertainty representation for reducing artificial energy production in structured input-output stability analysis
[NO] 86/1933 | Meeting the Coming Wave: The Emerging Politics of AI and Work across 33 Parliaments
[NO] 87/1933 | SEAL: Reinforcing Global Safety in Mixture-of-Experts through Shared Expert ALignment
[NO] 88/1933 | If It Moves, Radar Knows: A Physics-Aware Radar Transformer for Class-Agnostic Moving-Object Detection
[NO] 89/1933 | Disjoint strong transitive operators on Hilbert C*-modules
[NO] 90/1933 | Lyapunov graphs of Non-singular Morse-Smale flows on $S^1 \times S^2$
[NO] 91/1933 | Retrosynthesis of Synthetic Media for Explainable AI Provenance Forensics
[NO] 92/1933 | CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents
[NO] 93/1933 | Quantization and process
[NO] 94/1933 | Scattered data interpolation on the torus by compactly supported multinode Shepard operators
[NO] 95/1933 | Bidirectional CFO Separation for Radial Velocity Estimation In 5G NR TDD V2X Links
[NO] 96/1933 | APEx: Distillation of Agent Procedural Experience for Adaptive Deep Research Question Answering
[NO] 97/1933 | DiffuSearch: How Hybrid Trajectory Planning Benefits from Aligned Objectives in Diffusion and Action Space
[NO] 98/1933 | Handwriting Trajectory Recovery via Autoregressive Ordered Stroke Instance Prediction
[NO] 99/1933 | PGPO: Potential-Guided Policy Optimization for Multi-Turn Agentic Tasks
[NO] 100/1933 | InfraPatch: Cross-Task Targeted Grayscale Patch Attacks on Infrared-Adapted Vision-Language Models
[NO] 101/1933 | PEARL: Path-Entity Aligned Relational Learning with Contextual Subgraphs for Inductive Knowledge Graph Completion
[NO] 102/1933 | ASCII Attack: Recontextualising Harmful Requests as Artistic Critique in Large Language Models
[NO] 103/1933 | Agentic Settlement Protocol: An Application Profile for Refundable, Delayed-Fulfilment Agent Commerce on Stablecoin Rails
[NO] 104/1933 | SMart: A Multi-source Multi-phase Time Series Representation Transfer Framework
[NO] 105/1933 | Double Gravity-Assist Rendezvous Trajectory to Halley's Comet Using Deep-Space Low Thrust
[NO] 106/1933 | Group-Aware Adaptive Retrieval for Evidence Navigation
[NO] 107/1933 | Lightweight Adaptation of General-Purpose VLMs for Multispectral and SAR Image Understanding
[NO] 108/1933 | Progressive Pseudo-Label Optimization for Point-Supervised Change Detection
[NO] 109/1933 | DMRL: Document-Mediated Reinforcement Learning for Skill Optimization in Advertising Recommendation
[NO] 110/1933 | Stochastic Optimal Control Problem under Inside Information
[NO] 111/1933 | Do Cantonese-Adapted Language Models Better Predict Cantonese Reading? A Cross-Model Eye-Tracking Evaluation
[NO] 112/1933 | OBJECTION! Lawyer Agents Mitigate Guilty Bias in Legal Judgment Prediction
[NO] 113/1933 | A Layered Taxonomy for Chinese Learner Grammatical Error Annotation
[NO] 114/1933 | Beyond Modality Harmony: Orthogonal Purification and Topology-Guided MoE for Conflict-Aware Multimodal Recommendation
[NO] 115/1933 | Electron acceleration by turbulent reconnection in solar flares
[NO] 116/1933 | Quasicrystalline Inflation: From the Cosmological Dipole to Primordial Diffraction
[NO] 117/1933 | Renormalization group and long-range conditional mutual information in hierarchical models
[NO] 118/1933 | Scalable Bayesian Optimization of Composite Functions for Image-Based Inverse Problems in Materials Characterization
[NO] 119/1933 | Actions of quantum groups on dual operator spaces and their crossed products
[NO] 120/1933 | Optical Reservoir Computing with Structural Nonlinearity for Forecasting Chaotic Time Series
[NO] 121/1933 | Spectral Initialization and Scheduled Graph Smoothness for Uncertain Knowledge Graph Completion
[NO] 122/1933 | Direct observation of flat bands in near-magic-angle twisted bilayer CVD graphene
[NO] 123/1933 | Spatially-resolved multiphoton photoemission from a lateral transition metal dichalcogenide heterostructure
[NO] 124/1933 | Transient discs around isolated accreting neutron stars
[NO] 125/1933 | Quantum MeanFlow: single-shot generative sampling on NISQ hardware
[NO] 126/1933 | 17 Yr of Magnetar Bursts Observed with the Fermi Gamma-ray Burst Monitor
[NO] 127/1933 | On the length conjecture for twist knots
[NO] 128/1933 | Spin Hall Magnetoresistance in Antiferromagnetic Insulators
[NO] 129/1933 | Integrable Generators of Polynomial Vector Fields for Complex Classical Lie Groups
[NO] 130/1933 | Bell inequality violation with momentum-entangled massive particles
[NO] 131/1933 | Discriminative World Models for Web Agents
[NO] 132/1933 | Repairing PBE-Spurious Metallicity for HSE06-Level Screening of 2D Photocatalysts for Green Hydrogen Production
[NO] 133/1933 | Overcoming the Randomness-Utility Trade-off in Answering Differentially Private Linear Queries
[NO] 134/1933 | Finite-Time Singularities of the Kähler--Ricci Flow on Fano Bundles
[NO] 135/1933 | Learning CNN Filters via Generalized Stein's Method
[NO] 136/1933 | Radiative and Dalitz decays of $Υ(1S)$ in the light of the ATOMKI X17 anomaly
[NO] 137/1933 | Localized Persistent Commutative Algebra
[NO] 138/1933 | High performance Stingray
[NO] 139/1933 | The Implications of Linguistic Illegibility for LLM Security
[NO] 140/1933 | Canonical-row Chern flow on Bott--Samelson towers: realizable-volume models for Schubert, Grothendieck, and Lascoux polynomials
[NO] 141/1933 | UE5M3 FP4 Block Scaling for Stable Language Model Pretraining
[NO] 142/1933 | Degeneracy bounds, stability, and a sharp gap for $B$-colorings
[NO] 143/1933 | Inverse scattering method for nonlinear negative first order coupled Klein-Gordon equation
[NO] 144/1933 | Petersson-Rigid Lattices in a Census of 100 Rank-Three Root Bases
[NO] 145/1933 | Non-Invariance in Nested Prediction Models under Selective Predictor Availability
[NO] 146/1933 | Duals of algebraic matroids need not be algebraic
[NO] 147/1933 | Quantitative explosion and percolation of the divisible sandpile
[NO] 148/1933 | AI Contextual Measurement for Recovering Individual and Group-Level Effects: Validation Against Survey Measures and an Occupational Application
[NO] 149/1933 | GDB-Reward: From Evaluation Metrics to Training Rewards for Graphic Design
[NO] 150/1933 | Do Better Imagined Rollouts Mean Better Robot Control? A Controlled Study of World-Model Evaluation Under Feedback
[NO] 151/1933 | frb100-40 After Two Decades: An Optimality Certificate and a Preregistered Search Study
[NO] 152/1933 | Global Gyrokinetic Simulations of Electromagnetic Turbulence in STEP
[NO] 153/1933 | GRINTA: a new Probe of the Dynamic Universe
[NO] 154/1933 | AutoCompass: Accurate Visual Localization on Public Maps by Learning from Weak Labels
[NO] 155/1933 | Dutch Books for Language Models
[NO] 156/1933 | Characterization of Stanley-Reisner varieties by their automorphism group
[NO] 157/1933 | Conditional validity of quantum event classifiers under collider systematics and quantum estimation uncertainty
[NO] 158/1933 | Divergence-Free Approximation in Sobolev and Lebesgue Spaces on General Unbounded Domains with Applications to Energy Equality in Fluid Dynamics
[NO] 159/1933 | Off-policy causal estimation in networks
[NO] 160/1933 | Balancing Frequencies and Pixels in Flow Matching
[NO] 161/1933 | Incremental Pooled LLM Evaluation for Cost-Effective Retrieval Model Selection
[NO] 162/1933 | QArray+: A physics-informed GPU-accelerated simulator for quantum dot arrays
[NO] 163/1933 | Revisiting orbital recurrence in the dimmings of Boyajian's star (KIC~8462852)
[NO] 164/1933 | Smooth Counterexamples to the Eisenbud--Schreyer--Weyman Ulrich Existence Problem
[NO] 165/1933 | Mathematical Koans and Cartan Convexity: $Γ$-Convex Hulls and Butterfly Realizations
[NO] 166/1933 | On divergence related to Riemann--von Mangoldt's explicit formula of the prime-counting function
[NO] 167/1933 | A choice-free proof of the Erdös--Dushnik--Miller theorem
[NO] 168/1933 | Generating Medical Image Counterfactuals using Causal Explanations
[NO] 169/1933 | Galactic tides in the Solar System within a non-axisymmetric Milky Way model adjusted to Gaia data
