[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Joint Precoding and Multi-RIS Beam Tuning for Multi-user Communications using Deep Reinforcement Learning
共写入 942 条记录，保存到 papers/paper2026-07-03.json。
论文获取成功，文件路径: papers/paper2026-07-03.json
正在筛选、翻译并发送邮件...
[NO] 1/942 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 2/942 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[NO] 3/942 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[NO] 4/942 | Enhancing Blockchain Robustness through Efficient Feedback-Driven Chaos Engineering
[NO] 5/942 | GDE: A Generative Diffusion Equalizer for ICSI-Free Semantic Communications in SAGINs
[NO] 6/942 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp4-3706679.docx
[NO] 7/942 | Magnetic-Mechanical Response Mechanism and Quantitative Stress Characterization Method for Pipelines under Lateral Landslide Loads
[NO] 8/942 | Table of Contents
[NO] 9/942 | Title Page
[NO] 10/942 | Self-Organizing Railway Traffic Management
[NO] 11/942 | Adaptive Dual-Layer DRL-Based AI Model Placement, Task Scheduling, and Resource Allocation for Collaborative Edge Inference and Training
[NO] 12/942 | Differential Privacy in Generative AI Agents: Analysis and Optimal Tradeoffs
[NO] 13/942 | Performance Evaluation of a BGO semi-monolithic detector for preclinical PET imaging
[NO] 14/942 | DRAU-Net: Diffusion-based Residual Attention U-Net for Building Image Segmentation_supp1-3708834.pdf
[NO] 15/942 | Predicting value of measurement standards using Monte Carlo method
[NO] 16/942 | Sponsors
[NO] 17/942 | Spotting Setting-Related UI Display Bugs in Android Apps
[NO] 18/942 | Distributed Acoustic Sensing for Vehicle Trajectory Tracking: A Model-Based Framework and A Single-Vehicle Field Validation
[NO] 19/942 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[NO] 20/942 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[NO] 21/942 | A Switched Inductor-Capacitor Power Amplifier Supporting 100MHz 256-QAM
[NO] 22/942 | Single-Phase Rectifier for a 3.3 kW Pulse Power Load
[NO] 23/942 | A Dual-Band Bandpass Filter with Two Symmetrically Folded Stepped Impedance Resonators and Two Centrally Protruded Openended Stubs for the Application in WLAN Systems
[NO] 24/942 | Streamlined Parameter Estimation for Induction Motors Using an Auto-Tuning Approach with DSP Integration
[NO] 25/942 | A Novel Boundary Aware Semi-Supervised Adversarial Learning Framework for Region-of-Interest Extraction from High Resolution Remote Sensing Images
[NO] 26/942 | UzbNerCorpus: A Named Entity Recognition Corpus Creation System For The Uzbek Language
[NO] 27/942 | Land Use Approach for High-Resolution Spatial Modeling of Industrial Emissions
[NO] 28/942 | EEG-Based Sleep Stage Classification Using Ensemble Method with Cross-Validation
[NO] 29/942 | Intelligent System for Monitoring Copper Content in Slag for Pyrometallurgical Production Based on ML Model Training
[NO] 30/942 | Inter-Operator Interference Assessment for 5G Networks at 2.1GHz in High-Speed Railway Scenarios
[NO] 31/942 | Development of a Deep Anisotropic Reactive-Ion Etching Process for Silicon to Support the Fabrication of Microfluidic Devices
[NO] 32/942 | A Cross-Condition Analysis of Current Profile Impact on Lithium-Ion Battery Model Parameterization
[NO] 33/942 | Enhancing PV Efficiency: Single-Stage, Five-Level Transformer-Less Inverter with Modular Structure
[NO] 34/942 | DXInject: GPU-Based Payload Transport and Execution via DirectX Compute Shaders
[NO] 35/942 | Circle Fitting by a Weighted Least Squares Method: An Analysis and New Improvements
[YES] 36/942 | Microwave Monolithic Digital Step Attenuator Sections Layout Synthesis Based on Evolutionary Algorithms
[NO] 37/942 | A Novel Approach of Wireless Connection in Multichannel Receive MRI Coils
[NO] 38/942 | Compact Modeling of the Capacitance Temperature Dependence of a Hyperabrupt P-N Junction
[NO] 39/942 | $H_{\infty}$ Optimal Output Regulation of Unknown Linear Systems via an Adaptive Dynamic Programming and Internal Model
[NO] 40/942 | ESP32 Edge Framework-Based IoT-Powered Smart Battery Monitoring and Safety System with Multi-Sensor Protection
[NO] 41/942 | Automatic Color Identification System Using Optical Prototype and Artificial Intelligence
[NO] 42/942 | Mapping Burned Areas with Remote Sensing Techniques: A GIS Based Study of the 2025 Monte Sara Forest Fire (Sicily, Italy)
[NO] 43/942 | Development of Combined Interpretable Topic Classification Algorithm for Uzbek News
[NO] 44/942 | Neural Network Solutions for Forecasting and Managing Workforce Flows for the Russian Arctic Zone: An Integrated Graph-Transformer Approach
[NO] 45/942 | Smart-MQTT: QoS-Adaptive MQTT Middleware for Energy Efficient IoT Systems
[NO] 46/942 | Communication Prior Guided Multimodal Framework for Open Set Modulation Recognition: A Semantic Perspective
[NO] 47/942 | Interleaved Multiple Chirp Rate Modulation for Satellite Internet of Things Applications
[NO] 48/942 | Highly Available Distributed VPN Architecture in Cloud-Native Environments: 5G Edge Integration Through API-Driven Orchestration
[NO] 49/942 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[NO] 50/942 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[NO] 51/942 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[NO] 52/942 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[NO] 53/942 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[NO] 54/942 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[NO] 55/942 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[NO] 56/942 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[NO] 57/942 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[NO] 58/942 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[NO] 59/942 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[NO] 60/942 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[NO] 61/942 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[NO] 62/942 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[NO] 63/942 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[NO] 64/942 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[NO] 65/942 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[NO] 66/942 | Blockchain Reputation Oracles: An MCP-Based Study
[NO] 67/942 | Digital Twins for Science and Industry
[NO] 68/942 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[NO] 69/942 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[NO] 70/942 | Creating Wireless Sensor Network Target Tracking Strategy and Data Fusion Based on Blockchain Technology Integration
[NO] 71/942 | An IoT-Based Smart Bedside Information System with Hybrid Encryption for Healthcare Applications
[NO] 72/942 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[YES] 73/942 | Proceedings of the 14th International Workshop on Genetic Improvement
[NO] 74/942 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[NO] 75/942 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[NO] 76/942 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[NO] 77/942 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[NO] 78/942 | A16 Angstrom-Class CMOS Technology Featuring Enhanced Nanosheet Transistors with Super Power Rail (Backside Direct Contact Power Delivery) for AI and HPC Applications
[NO] 79/942 | Digital Twin-Based Cyber Threat Detection in Digital Power Systems with Multidimensional Telemetry
[NO] 80/942 | Spiking Transformer-Based Framework for Modeling and Forecasting Energy Generation and Consumption
[NO] 81/942 | Efficient and Lightweight Object Detection via Multi-Round Response-Based Knowledge Distillation
[NO] 82/942 | Dynamic Resource Allocation Algorithms in Resource-Constrained Federated Learning Systems
[NO] 83/942 | Extreme Value Theory-Based Rare Event Detection for Smart City Network Security
[NO] 84/942 | First EUV-Enabled Integration Route for 50 nm Pitch N and PMOS Transistors with 2D Materials Channel from a 300 mm Fab
[NO] 85/942 | Interfacial-Layer-Free NCFETs Achieving $\mathbf{2 mV}$ Hysteresis, $\mathbf{27 mV}$ /dec SS, $\mathbf{2 mV/V}$ DIBL, and Record $2088 \mu \mathrm{A} / \boldsymbol{\mu} \mathrm{m}$ Ion at $\mathrm{V}_{\text{DS}}=\mathrm{V}_{\text{ov}}=0.5 \mathrm{V}$
[NO] 86/942 | New Insights into Multi-Level Cell Behavior in FeFET: Localization Effect Aware Write-Verify Scheme
[NO] 87/942 | Comparative Analysis of Machine Learning Algorithms for Student Performance Prediction in E-Learning Environments
[NO] 88/942 | Scalable Semantic Communication for Multi-User Systems with Heterogeneous Tasks
[NO] 89/942 | Experimental and CFD Investigation of Heat Transfer Characteristics in a Double-Tube Heat Exchanger
[NO] 90/942 | From Implicit to Explicit: a Theoretical Model of Pedagogical Design for Meta-Competencies under Conditions of Artificial Intelligence Integration
[NO] 91/942 | ANFIS-Based Bidirectional Intelligent Power Management for EV-Integrated Hybrid Solar–Wind DC Micro grids
[NO] 92/942 | Sirius: A Dual-Chiplet System for Multimodal Embodied AI with Heterogeneous RVV Cores, Dense and Sparse Accelerators
[NO] 93/942 | Multithreading for Obfuscating Code Against Dynamic Analysis and Reverse Engineering
[NO] 94/942 | Intelligent MPPT Control of a Multi-Input Multiout-Output Converter for Renewable-Powered EV Charging Systems
[NO] 95/942 | Adaptive Image Inpainting by Classical and Deep Learning Completion for Digitized Mural Paintings
[NO] 96/942 | Block-FRL: A Reputation-Aware Blockchain Framework for Secure Federated Reinforcement Learning in Internet of Vehicles
[NO] 97/942 | A 1.39pJ/bit 224Gb/s PAM-4 Long-Reach SerDes Receiver in 3nm FinFET
[NO] 98/942 | Enhanced Intrusion Detection in IEC 60870-5-104 Smart Grid Networks Using a Deep CNN-LSTM Model
[NO] 99/942 | A comparison of delay and Doppler estimation methods for ISAC-capable vehicles
[NO] 100/942 | From Full-Range Spectroscopy to Rgb Indices: A Decisionoriented Evaluation of Feature Compression for Sediment Organic Matter Prediction
[NO] 101/942 | High Efficiency 1D - CNN for Vibration Based Road Surface Classification
[NO] 102/942 | An Agentic AI Control Plane for 6G Network Slice Orchestration, Monitoring, and Trading
[NO] 103/942 | IoT Object Integrity Self-Management
[NO] 104/942 | Optimizing Wireless Multimedia Task Offloading in UAV-LEO Networks: A Bio-inspired Hybrid Approach
[NO] 105/942 | Artificial Bee Colony based Energy Management System of Charging Station for Electric Vehicles with Machine Learning Technique
[NO] 106/942 | A Diagnosis of Pneumonia by Multi-View Attentionenhanced Multi-domain Cross-domain Chest X-Ray Representation
[NO] 107/942 | Three-Dimensional Surface Scanning for the Analysis of External Forearm Geometry
[NO] 108/942 | A Fan-Shaped Ultra-Wideband Antenna for Short Range Communications
[NO] 109/942 | Design and Prototype Evaluation of a Progressive Metadata-Driven Architecture for Encrypted C2 Detection in Enterprise Networks
[NO] 110/942 | Pelican Optimization Based Intelligent Active Power Filter for Stability Enhancement in Microgrids
[NO] 111/942 | A Few-Shot Transfer Learning Framework using MobilenetV2 for Remote Sensing Image Classification
[NO] 112/942 | A Comparative Entropy Analysis of BJT Avalanche Noise, SDR Noise and Algorithmic PRNGs
[NO] 113/942 | Physical Layer Modulation Benchmarking: Classical QAM Baselines for AI-Based 6G Transceiver Evaluation
[NO] 114/942 | The Previs Battleground: Precision Planning vs Creative Freedom
[NO] 115/942 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[NO] 116/942 | Urban-Rural Bus-Assisted Drone Logistics Delivery With Time Window Considerations
[NO] 117/942 | Copyright Page
[NO] 118/942 | IEEE Journal on Flexible Electronics Publication Information
[NO] 119/942 | Gridless Variational Bayesian DoA Estimation for Few-Bit Antenna Arrays
[NO] 120/942 | Spinal Lesion Detection in X-Ray Images via Uncertainty-Guided Classification and Localization
[NO] 121/942 | Energy Efficiency Improvement in Dual-Motor EVs via Simultaneous Force-Current Allocation
[NO] 122/942 | Advertisers Index
[NO] 123/942 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[NO] 124/942 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[NO] 125/942 | Effects of Long-Lead Monitoring Requests on Driver Trust, Forward Gaze Rate, and Takeover Performance in Level 3 Automated Driving
[NO] 126/942 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[NO] 127/942 | Proceedings of the 2026 Australasian Computer Science Week
[NO] 128/942 | Persistence-guided Prescribed Topological Simplification
[YES] 129/942 | Applying Genetic Improvement Techniques for Automated Program Repair of Transpiled Code
[NO] 130/942 | Iskra: A System for Inverse Geometry Processing
[NO] 131/942 | UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment
[NO] 132/942 | Improving Cancer Driver Gene Prediction using Biological knowledge-guided Prompts for LLM
[NO] 133/942 | Dynamic Parking Pricing for Electric Vehicles in a Loss Queue
[NO] 134/942 | Mask-guided Asymmetric Contrastive and Semantic Alignment for Unsupervised Person Re-Identification
[NO] 135/942 | Infrared Spectroscopy with FPI for Quantitative Analysis of C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N in the C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N/CO
                    <sub>2</sub>
                    gas mixture
[NO] 136/942 | Downlink Performance Analysis of Pinching Antenna Systems: WDMA or NOMA?_supp1-3708149.pdf
[NO] 137/942 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp3-3706679.docx
[NO] 138/942 | Cuzco: A High-Performance RISC-V RVA23 Compatible CPU IP
[NO] 139/942 | Sustainable TinyML-Enhanced Edge Intelligence for Human-to-Machine Applications over Optical Access Networks
[NO] 140/942 | RBF-SAM: Robust Building Footprint Extraction from Off-Nadir Remote Sensing Images via Segment Anything Model
[NO] 141/942 | Artificial Intelligence-Powered Crypto Ransomware Detection
[NO] 142/942 | Continuous Fluid Modeling of Credit-Based Flow Control for HPC Interconnection Networks
[NO] 143/942 | Graph Neural Network–Enhanced Knowledge Graph for Content Mining and Intelligent Decision-Making in Ideological and Political Courses
[NO] 144/942 | Integrated Multi-Property Evaluation of Surface Modified Rutile-TiO₂ Nanocomposite Kraft Paper: Moisture-Driven Coupling Effects in Transformer Insulation
[NO] 145/942 | Awards
[NO] 146/942 | Broadband Ultrathin Terahertz Metamaterial Absorber With Switchable VO
                    <sub>2</sub>
                    Phase Transition
[NO] 147/942 | QuGrid-Fed: Quantum-Assisted Federated IoV Energy and Security Management for Sustainable Urban Transportation Systems
[NO] 148/942 | Investigation of Gate Field-Plate Effects on f
                    <sub>max</sub>
                    Improvement in GaN HEMTs for RF Applications
[NO] 149/942 | Towards Region-Aware Finer Self-Supervised Learning for Fine-Grained Visual Recognition
[NO] 150/942 | “Live from LA!”: Facilitating Personal and Political Storytelling through Immersive Youth Theater
[NO] 151/942 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Educator's Forum
[NO] 152/942 | A Multimodal AI–IoT Framework for Monitoring Student Well-Being in Hybrid and Transnational Learning Environments
[NO] 153/942 | From Human Vision to Machine Vision
[NO] 154/942 | Grid Stability and Power Quality Improvement in a Hybrid DC/AC Microgrid Using Coordinated Control and Dstatcom
[NO] 155/942 | A Hybrid LDO with Region-Detection and Power-Supply-Rejection-Based Control Achieving High PSR and Fast Transient Response
[NO] 156/942 | Intelligence Accelerated: Memory Innovations to Power the AI Era
[NO] 157/942 | Evaluation of ERA5 and SM2RAIN-ASCAT Precipitation Datasets for Drought Monitoring in Morocco
[NO] 158/942 | Redefining Trust Boundaries: A Holistic Synthesis of Zero-Trust Architecture Across Emerging Ecosystems
[NO] 159/942 | Adaptive Distance Relaying to Cope the Adverse Effect of Resistive SFCL
[NO] 160/942 | Method for Estimating the Position of the Mover In a Wave Energy Power Generation Drive System
[NO] 161/942 | A 50-mm
                    <sup>2</sup>
                    Crystal-Free Bidirectional WPDT System with Carrier-Reuse Clocking for Implantable Neural Interfaces
[NO] 162/942 | Electric Vehicle Charging and Discharging Effects on Voltage Control in Smart Transactive Grids
[NO] 163/942 | Leveraging Relation Networks for Few-Shot Network Anomaly Detection
[NO] 164/942 | Design and Implementation of Improved Wireless Charging for Drone Applications
[NO] 165/942 | OTFS Modulation Aided Joint Resource Scheduling for LEO Satellite Downlink Transmission
[NO] 166/942 | Context-Aware QoS Adaptation Framework for Vehicular Communications in 5G-MEC Networks
[NO] 167/942 | Filter-Free Time-Gated Fluorescence CMOS Biochip with Fast Thermal Cycling for PoC DNA Testing
[NO] 168/942 | A 28nm 44.15TFLOPS/W and 1.57TFLOPS/mm
                    <sup>2</sup>
                    Joint-Alignment Floating-Point CIM Macro with ISO26262 ASIL-D Safety Level for Autonomous Driving
[NO] 169/942 | Automatic Extraction of Medical Entities from Uzbek Patient Records
[NO] 170/942 | A Product-Oriented 3rd-Generation 2nm GAA Platform Technology with Enhanced Speed and Power Efficiency across Nanosheets
[NO] 171/942 | PLC Modem With Hardware Implementation of Data Verification
[NO] 172/942 | Adaptive Hybrid Access in Next Generation Networks Using PPO and GNN for RSMA-NOMA Optimization
[NO] 173/942 | Enhanced Residential Load Forecasting Using Deep Neural Networks
[NO] 174/942 | Collaborative Fault Tolerance Computing for Emergency Tasks in Lunar Radiation Environment
[NO] 175/942 | Multiport Bidirectional Converter for Electric Vehicle Application
[NO] 176/942 | PanScan: A Hybrid CNN-Transformer Framework for EarlyDisease Detection of Pancreatic Cancer from Medical Imaging
[NO] 177/942 | Artificial Intelligence Driven Framework for Next Generation Network Attack Detection and Cybersecurity in 5G and Beyond Networks
[NO] 178/942 | A 3.86 TOPS/W TTFS-Based Neuromorphic Image Sensor Featuring Clocked-Recharging SPAD Pixels and Sub-Pixel-Array-Level Processing
[NO] 179/942 | UAV-Assisted Integrated Sensing, Communication, and Computation Edge Inference Network With Early-Exit Mechanism
[NO] 180/942 | Analysis and Comparison of Adaptive P&amp;O and Adaptive Gradient Ascent Based MPP Techniques for PV Integrated Systems Under Dynamic Operating Conditions
[NO] 181/942 | AI Powered Cognitive Adaptive Learning System
[NO] 182/942 | First Demonstration of CVD Monolayer $\text{WSe}^{2}$ PFETs with Ultra-Short Channel Length of 16 nm: Achieving Record $\mathrm{I}_{\text{on}}$ of $1532 \mu \mathrm{A} / \mu \mathrm{m}$ at $\mathrm{V}_{\text{ds}}=-1 \mathrm{V}$ and Ballistic Efficiency of 81%
[NO] 183/942 | Image Forgery Prevention Using Deep Learning
[NO] 184/942 | RIS-Assisted Joint Resource Allocation for 6G FR3 IoT Networks
[NO] 185/942 | A Ka-Band Time-Division Multi-Stream Phased-Array Transmitter with Built-in Spatial Notch Generation for 6G MIMO
[NO] 186/942 | Proceedings of the 8th International Workshop on Emerging Trends in Software Engineering for Blockchain
[NO] 187/942 | Towards an Intelligent Platform for Supporting Quality Assessment in Blockchain Systems
[NO] 188/942 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[YES] 189/942 | The Gas Burn Identity: Early Detection of Gas-Intensive Functions and Patterns in Smart Contracts
[NO] 190/942 | Cyber Security-Enhanced Low-Voltage User Demand Response in Smart Grids via Lightweight Blockchain and Cloud Computing
[NO] 191/942 | BLISS: A Visual Modeling Notation for Engineering Energy-Harvesting IoT Systems
[NO] 192/942 | Proceedings of the 2025 Special Interest Group on Computer Graphics and Interactive Techniques Conference Panels
[NO] 193/942 | Aided Design Approach for Creating Sticker LINE Cartoon Characters by Stable Diffusion Model
[NO] 194/942 | EgoRelight: Egocentric Human Capture and Illumination Recovery for Relightable and Photoreal Avatar Rendering
[NO] 195/942 | Developing spatial reasoning skills using virtuality puppets
[NO] 196/942 | Q3Vision: A Vision-Based Framework for Game-State Reconstruction in Quake III Arena
[NO] 197/942 | A Hybrid Reactive-Proactive Auto-scaling Algorithm for SLA-Constrained Edge Computing
[NO] 198/942 | Spatially Accelerated Winding Numbers for Curved Geometry
[NO] 199/942 | Pixels2Peaks: Converting Terrain Images to Heightmaps
[NO] 200/942 | Privacy in Federated Learning Models for Intrusion Detection Systems
[NO] 201/942 | Efficient 3D Content Creation for Immersive Experiences
[NO] 202/942 | Attack Detection, Isolation, and Mitigation for Nonlinear Uncertain Multiarea Power Systems: A Dead-Zone Function-Based Approach
[NO] 203/942 | Mathworks—Medical
[NO] 204/942 | Spectral Resilience: Defending Against Modality Inconsistencies in Visible-infrared Person Re-identification
[NO] 205/942 | Buffered Prediction and Confidence-Weighted Covariance Intersection for Robust Distributed State Estimation in IoT Sensor Networks With Random Delays and Packet Losses
[YES] 206/942 | Not All Synthetic Vulnerabilities Are What You Need for Training Deep Vulnerability Detectors
[NO] 207/942 | Efficient Sim2Real Deep Learning for Device-Specific OFDM Frequency Offset Calibration
[NO] 208/942 | Source Attribution of AI-Generated Images in Data Scarcity Conditions via Training-Free Resynthesis
[NO] 209/942 | A
                    <i>Q</i>
                    -band High Power SiGe HBT Doherty Power Amplifier Leveraging 8-Shaped Inductor-Embedded Ultra Compact Doherty Passive Network
[NO] 210/942 | Low-Complexity Greedy Antenna Reservation for MIMO-SWIPT Systems via QR Decomposition and SIC
[NO] 211/942 | Uni-DPFM: Boosting Unified 3D Point Cloud Anomaly Detection via Dual-path Feature Matching
[NO] 212/942 | Granular Ball-Based Noise-Resistant Fuzzy Multineighborhood Feature Selection via Label Enhancement and Feature Graph_supp1-3704362.docx
[NO] 213/942 | Sponsors
[NO] 214/942 | A Novel Differential Strain Detecting Method of Adjustable-Sensitivity Optical Cables Based on Continuous Fabricating
[NO] 215/942 | Learning Topology-Aware Representations via Test-Time Adaptation for Anomaly Segmentation
[NO] 216/942 | SkySched: A Hierarchical and Scalable Reinforcement Learning Framework for Multi-UAV Vehicular Edge Computing Network
[NO] 217/942 | Verifiable and Fault-Tolerant Privacy-Preserving Data Aggregation for MEC-Enabled Consumer IoT
[NO] 218/942 | ProtoAug: Prototype-Guided Uncertainty-Aware Augmentation for Long-Tail Motion Prediction
[NO] 219/942 | A Convex Optimization Approach for Uncertainty Propagation and State Estimation for Systems with Black-Box Nonlinearities
[NO] 220/942 | InferNose: A bio-inspired electronic nose system using chain-of-thought for olfactory reasoning
[NO] 221/942 | A Wearable Wireless Capacitive Pressure Sensing System for Arteriovenous Fistula Site Monitoring_supp1-3709577.docx
[NO] 222/942 | Humanoid Robot Locomotion in Unstructured Environments: A Survey and Perspectives
[NO] 223/942 | Software Engineering for Renewable Energy Research
[NO] 224/942 | Analysis of multiscale fractals based on a new hybrid approach ANN-MoM-GEC
[NO] 225/942 | Dual-Mode Hybrid Voltage Balancing Topology for Next-Generation Battery Management Systems
[NO] 226/942 | Ultra Low-Power SRAM Technology on High Performance FinFET Platform for HPC, Mobile, and High-Reliability Applications
[NO] 227/942 | Joint Task Offloading and Compressed Sensing in Satellite-Terrestrial Integrated Networks: A Deep Reinforcement Learning Approach
[NO] 228/942 | A 4Mb 3Bits/Cell RRAM Macro in 12nm FinFET Technology with the Smallest 0.019μm
                    <sup>2</sup>
                    Bit-Cell, 100K-Cycle Endurance and 10 Years Retention up to 125°C
[NO] 229/942 | QUEEN: QUantum-Inspired Optimized Energy Efficient Routing in Wireless Sensor Networks
[NO] 230/942 | Polynomial Correntropy–Based DOA Estimation With an Improved Nested Array Under Impulsive Noise
[NO] 231/942 | Closed-Loop Hybrid Digital Twin Platform for Connected and Automated Vehicle Validation
[NO] 232/942 | Backside Contact Resistivity Reduction for Nanosheet Technologies Beyond 2nm by Backside Nanosecond Laser Anneal Without Impacting the Frontside Cu BEOL
[NO] 233/942 | Heterovalent Doping of Cs
                    <sub>0.12</sub>
                    FA
                    <sub>0.88</sub>
                    PbI
                    <sub>3</sub>
                    With Over 2000 h Photochemical Stability*
[NO] 234/942 | Toward Thousands-Layer 3D Nand: Unleashing the Block Size Constraint by Enabling Lateral Sub-Block Mode
[NO] 235/942 | Streamlining Machine Learning in Agricultural Wireless Sensor Networks Through Data Preprocessing
[NO] 236/942 | Segmentation and Counting of Touching Erythrocytes via Distance Map Regression and Morphological Optimization
[NO] 237/942 | Adaptive UAV-Assisted Online Task Assignment for Mobile Crowdsensing
[NO] 238/942 | Spatiotemporal Dynamics and Primary Drivers of Deforestation in the Dry Monsoon Forests: A Case Study of Anuradhapura, Sri Lanka (2000-2024)
[NO] 239/942 | Advancing Package and System Integration for Next-Generation AI
[NO] 240/942 | Proton-Induced Energy Deposition and Displacement Damage in Hybrid Halide Perovskites
[NO] 241/942 | Comparative Evaluation of Transform-Based and Advanced Neural Network Techniques for Image Compression
[NO] 242/942 | Detection of Islanding in a Single-phase Grid Integrated Photovoltaic System by Bayesian Optimized Long Short-term Memory Network
[NO] 243/942 | Wireless Power Transfer for EVs: State-of-the-Art and Emerging Trends
[NO] 244/942 | Mixed-Timescale Vehicular Task Offloading Under Demand Uncertainty
[NO] 245/942 | Comparative Analysis of Deep Learning and Traditional Machine Learning Approaches for Indian Classical Dance form Classification
[NO] 246/942 | Geo-Enriched Remote Sensing Image Captioning and Agentic Scene Reasoning with Openstreetmap Integration
[NO] 247/942 | Task-Aware Communication Scheduling for Companion Robots in Multi-Protocol Environments
[NO] 248/942 | A Scalable and Intelligent Approach to Optimising Electric Vehicle Charging Infrastructure
[NO] 249/942 | Highly Efficient Non-Isolated Ultra-High Gain DC-DC Converter for Renewable Energy Systems
[NO] 250/942 | Geth vs. Besu: Performance Analysis of Blockchain Networks under Horizontal and Vertical Scaling
[NO] 251/942 | Reliability-Aware SFC Recovery with Column-Generation VNF Migration
[NO] 252/942 | Record $2 P_{r}$ (&gt;38 μC/cm
                    <sup>2</sup>
                    at 0.5 V,&gt;28 μC/cm
                    <sup>2</sup>
                    at 0.4 V) of 3D MFM Capacitors Enabled by 3 Nm HZO and ALD-TiN Orientation Engineering
[NO] 253/942 | Two Network Management Approaches for Multi-application Wireless Sensor Networks with Energy Harvesting
[NO] 254/942 | Performance Improvement from Subtractive Ruthenium Interconnects with Airgap
[NO] 255/942 | A Multi Stacked Cell Array (MSA) Structure with an Up-Down Crossed Bit Line Architecture (Ud-CBL) in 3D Flash Memory
[NO] 256/942 | Fisher-Preconditioned Influence for Efficient Machine Unlearning
[NO] 257/942 | STyMo: Fast and Controllable Few-Shot Motion Style Transfer
[NO] 258/942 | Semantic-Structural Alignment for Generative Pictorial Charts
[NO] 259/942 | MorphSkein: A Shape-Changing Afterimage Display Preserving Pixel Density During Surface-Area Changes Across Troposkein-Based Shapes
[NO] 260/942 | Stochastic geomorphological transport for terrain erosion simulation
[NO] 261/942 | Dropout risk in higher education via multidimensional features and machine learning
[NO] 262/942 | Digital Arts Program - Combing Art and CS in a 50/50 Balance in Undergraduate Curriculum
