[2026-04-08 22:39:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-07
正在获取论文...
[arXiv] 2026-04-07 | The final version of a recent approach towards quantum foundation
[IEEE] 2026-4-8 | Explainable Risk Decision Systems Using Artificial Intelligence Models for Payment Fraud Detection and Identification
[IEEE] 2026-4-8 | Personalized Product Recommendation in E-Commerce Using Machine Learning Techniques
[IEEE] 2026-4-8 | Drone Assisted Remote Wellness Monitoring Using RGB Camera
[IEEE] 2026-4-8 | Predictive Models for Urban Air Quality Management Using AI
[IEEE] 2026-4-7 | NORA: A Nephrology-Oriented Representation Learning Approach Towards Chronic Kidney Disease Classification
[IEEE] 2026-4-7 | IT Professionals
[ACM] 2026-4-7 | Foundation Models for Autonomous Driving Systems: An Initial Roadmap
[IEEE] 2026-4-7 | IEEE Transactions on Materials for Electron Devices Publication Information
[ACM] 2026-4-7 | Corrigendum: A Comprehensive Benchmark on Spectral GNNs: The Impact on Efficiency, Memory, and Effectiveness: [Experiments &amp; Analysis]
[ACM] 2026-4-7 | FlashANNS: GPU-Driven Asynchronous I/O Pipelining for Eliminating Storage-Compute Bottlenecks in Billion-Scale Similarity Search
[IEEE] 2026-4-7 | ITS-ShipFormer: An Informative Token Selection Former for SAR Ship Recognition_supp1-3661083.pdf
[IEEE] 2026-4-7 | AvatarEdit: Optical Flow-Guided Consistent Talking Head Avatar Editing_supp1-3680003.pdf
[IEEE] 2026-4-7 | Respiration Rate Estimation Using ECG and PPG Data: Open Source Implementations Focused on Wearables_supp1-3679610.pdf
[ACM] 2026-4-7 | PRISM: Navigating Cost–Accuracy Trade-offs for NL2SQL
[ACM] 2026-4-7 | Improving LZ4 for Effective Compression and Efficient Query
[IEEE] 2026-4-8 | High-Contrast Projection Mapping under Light Field Illumination with LED Display and Aperiodic Lens Array_supp1-3679878.mp4
[IEEE] 2026-4-7 | Occlusion-Free Conformal Lensing for Spatiotemporal Visualization in 3D Urban Analytics
[IEEE] 2026-4-8 | SpotFormer: Multi-Scale Spatio-Temporal Transformer for Facial Expression Spotting_supp1-3677401.pdf
[IEEE] 2026-4-8 | A Hybrid Graph-Based Analysis Framework for Discovering Relational Fraud Patterns
[IEEE] 2026-4-7 | CDNet: Consistency-Driven Semi-Supervised Object Detection for Remote Sensing
[IEEE] 2026-4-7 | Dual-Frequency Category-Guided Recalibration Network for Remote Sensing Image Semantic Segmentation
[IEEE] 2026-4-8 | FAKE-OT: An Open Architecture for Threat Detection in OT Environments Using MQTT-Based Honeypots
[IEEE] 2026-4-8 | An Investigation on the Application of Pareto Principle to Windows Based System Resource Usage
[IEEE] 2026-4-8 | Comparative Analysis of Steganography Injection and Detection Tools/Methods: Traditional vs. AI-Based
[IEEE] 2026-4-8 | Spatial Interpolation of DEM With Stochastic Differential Equations-Based Diffusion Model
[IEEE] 2026-4-7 | Power Loss Modeling of SiC/Si Hybrid Switch Considering Commutation
[IEEE] 2026-4-8 | QLight-IIoT: A Quantum-Resistant Lightweight Authentication and Key Agreement Scheme for Resource-Constrained IIoT Environments
[IEEE] 2026-4-7 | HTSR-Pollen: Handwritten Text Synthesis and Recognition System to Overcome Data Scarcity
[IEEE] 2026-4-8 | Data-driven performance optimization of gamma spectrometers with many channels
[IEEE] 2026-4-8 | High-Efficiency L-Band MILO With Modulation and Dual Extractor Cavity
[IEEE] 2026-4-7 | Supervised Contrastive Learning for Uncertainty-Aware Wireless Signal Analysis: A Case Study for Modulation Classification
[IEEE] 2026-4-7 | Seems like a Touch? Comparing Emotional Experience and Illusion of Touch of Visual and Haptic Presentations of Mediated Social Touch in VR
[IEEE] 2026-4-8 | SC-DETR: A Text-Guided Small Object Detection via Scale Prompting and Centerpoint Localization
[IEEE] 2026-4-8 | Table of Contents
[IEEE] 2026-4-8 | IEEE Collabratec
[IEEE] 2026-4-8 | Two-Wave with Diffuse Power Channel Modeling and Two-Timescale Design for Movable Antenna Aided Multiuser Communications
[IEEE] 2026-4-7 | Counteracting the Active Area Reduction Caused by Explicit Guard Rings in High-Voltage CMOS SPADs
[IEEE] 2026-4-7 | LUNA: A Low-SNR Acoustic Localization and Orientation Framework for UAVs
[IEEE] 2026-4-7 | Honeypot-Driven Proactive Detection Network for Attacks in Smart Grids
[ACM] 2026-4-7 | Enhancing Local Differential Privacy Accuracy by Exploiting Inherent Uncertainty
[IEEE] 2026-4-7 | IEEECONF 2026 Author Index
[IEEE] 2026-4-7 | Masthead
[IEEE] 2026-4-7 | 2026 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI)
[IEEE] 2026-4-7 | University in the Age of AI: Vectors of Transformation
[IEEE] 2026-4-7 | Machine Learning-Based Analysis of Multi-Source Network Packet Captures
[IEEE] 2026-4-7 | Breaking and Securing Vision-Language Models: An Adversarial Robustness Study
[IEEE] 2026-4-7 | MeshCentral-FogHealth: A Hybrid Supervision Architecture for Distributed Telehealth Systems
[IEEE] 2026-4-7 | IoT based Automated Irrigation System for Aquaponics and Land Farming
[IEEE] 2026-4-7 | Southwest Power Pool Adoption of IEEE Std 2800-2022 Reactive/Active Power and Consecutive Voltage Ride-Through Standards
[IEEE] 2026-4-7 | Monte Carlo-Type Neural Operator for One-Dimensional Differential Equations
[IEEE] 2026-4-7 | AgriCloud Framework: Improving Crop Production by Integrating Cloud and Machine Learning
[IEEE] 2026-4-7 | Machine Learning Based Approaches in the Education Sector to Impart the Quality Among Students
[IEEE] 2026-4-7 | Joint Optimization and Leakage-Proof Strategies for Imbalanced Data
[IEEE] 2026-4-7 | Edge-Scale Coranking: Azure-Ready Dataset Ranking with DevOps Discipline
[IEEE] 2026-4-7 | Operational Efficiency Assessment of Wind Power Generation Across Indian States: An SBM-DEA Approach
[IEEE] 2026-4-7 | Quantum Resilient Cryptography for Secure Ultra Dense 6G Terahertz Networks
[IEEE] 2026-4-7 | Research on Forest Fire Detection Algorithm Based on Improved YOLOv8
[IEEE] 2026-4-7 | Efficient Ensemble Machine Learning Framework for Early Prediction of Thyroid Cancer Using Clinical Data
[IEEE] 2026-4-7 | Detecting Fake Job Advertisements Using CNN, RNN, DNN, and Multilingual Transformers
[IEEE] 2026-4-7 | Event-Driven IoT Node: A Low-Power Asynchronous Microcontroller Architecture
[IEEE] 2026-4-7 | The Pandemic Paradigm Shift: Analyzing Pre-and Post-COVID Effects on Life Insurance
[IEEE] 2026-4-7 | Task-Aware Facial Micro-Dynamics Modeling for Dementia Detection using Face-Mesh Motion Signatures
[IEEE] 2026-4-7 | BoP-X: A New XAI Approach to Explain Reinforcement Learning for Autonomous Driving
[IEEE] 2026-4-7 | LoRaDoctor: LLM-Driven Diagnosis and Adaptive Policy Optimization for Reducing Packet Error Rate in LoRaWAN Networks
[IEEE] 2026-4-7 | Dual-Band Anisotropic Metasurface for Polarization-Decoupled Feed Separation in K/Ka Bands
[IEEE] 2026-4-7 | Bounomodes: the grazing ox algorithm for exploration of clustered anomalies
[IEEE] 2026-4-7 | Predicting and Preventing Fraud in Supply Chain Networks using Deep Neural Networks and Clustering Techniques
[IEEE] 2026-4-7 | Design and Development of Venn Diagram Shaped Microstrip Patch Antenna for Female Breast Tumor Detection
[IEEE] 2026-4-7 | Polarization Conversion Metasurface for Dynamic Reconfigurable Multi-Beam
[IEEE] 2026-4-7 | Dynamic Key Management in Blockchain using AI
[IEEE] 2026-4-7 | Cascaded 7 Level Inverter with Built-In Fault Tolerance
[IEEE] 2026-4-7 | SPI Enabled 64x8 SRAM Memory Design for Biomedical Applications
[IEEE] 2026-4-7 | Energy-Aware LoRa-Based Remote Health Monitoring System with Edge Intelligence for Extended Field Operation
[IEEE] 2026-4-7 | Strategic Agility in Turbulent Markets: Dynamic Capabilities for Rapid Pivoting
[IEEE] 2026-4-7 | Deep Learning for Unrelated-Machines Scheduling: Handling Variable Dimensions
[IEEE] 2026-4-7 | Hybrid Deep-Spiking Neural Architectures for EEG-based Brain Signal Analysis
[IEEE] 2026-4-7 | Automated Configuration of Polymorphic Networks Based on Wafer-Scale Chip
[IEEE] 2026-4-7 | Enhancing Additive Manufacturing Security: A Novel Approach using Zero Trust, Blockchain, and AI-Powered Watermarking
[IEEE] 2026-4-7 | A GAN-Driven Framework for High-Quality Image Restoration and Enhancement
[IEEE] 2026-4-7 | Noise Reduction in High Slope Deformation Data Based on CEEMD-PCA
[IEEE] 2026-4-7 | JaiLIP: Jailbreaking Vision-Language Models via Loss Guided Image Perturbation
[IEEE] 2026-4-7 | Research on Intelligent Matching Algorithm of Red Archives Content Adaptation to Generation Z Cognitive Preference Based on BERT Pre-training Model
[IEEE] 2026-4-7 | AI-Assisted IoT Smart Battery Management System with Peltier-Based Thermal Control
[IEEE] 2026-4-7 | Data-Driven Temperature Prediction of Electric Vehicle Brake Discs Using BP Neural Network
[IEEE] 2026-4-7 | MDVP: Fo, Spread2, and PPE Emerge as Reproducible Biomarkers for Early Screening of Parkinson's Disease
[IEEE] 2026-4-7 | The Pinnacle of Drone Innovation with Cutting Edge Camera Integration
[IEEE] 2026-4-7 | Adaptive Sigmoid-Parameterized Retrieval-Augmented Generation for Cold-Start Recommendation
[IEEE] 2026-4-7 | Attention-Enhanced High-Precision Model for Ground Radiation Field Reconstruction from UAV-Acquired Sparse Radiation Data
[IEEE] 2026-4-7 | Design and Implementation of an Artificial Intelligence—Based System for Stock Market Prediction and Investment Insights
[IEEE] 2026-4-7 | Revolutionizing Smart Farming with IoT and AI-Driven Technologies
[IEEE] 2026-4-7 | CBF-YOLO: A Multi-scale Feature Enhancement Algorithm for Underground Helmet Detection
[IEEE] 2026-4-7 | FMVT-AH: Federated Multi-View Vision Transformers with Diffusion-Augmented Histopathology for Breast Cancer Diagnosis
[ACM] 2026-4-8 | Improving End-to-End Speech Translation for the Low Resource Language Fongbe to French
[IEEE] 2026-4-7 | Reduction in Motor and Generator Life due to Buildup of Residue in Water Heat-exchangers
[IEEE] 2026-4-7 | New Constructions of Binary Cyclic Codes with Both Relatively Large Minimum Distance and Dual Distance
[IEEE] 2026-4-7 | GAT-Based Energy-Efficient UAV Trajectory Planning for Logistics Service in 6G Edge Networks
[IEEE] 2026-4-7 | A Mixed Platoon Guided Control Model for Efficient and Safer Merging in Mixed Traffic With Low Penetration of Autonomous Vehicles
[IEEE] 2026-4-7 | MADQI: A Multi-Agent Reinforcement Learning with Human Intervention in an Uncontrolled Intersection
[IEEE] 2026-4-7 | Efficient Inversion of Multiple Magnetic Dipole Models Based on Deep Learning Prior Analysis and Penalty Function Optimization
[IEEE] 2026-4-7 | Analysis and Control of Multi-Input Zeta Converter fed from Renewable Sources for Grid-Tied Inverters
[IEEE] 2026-4-8 | Towards Responsible Predictive Loyalty: A Bibliometric and Conceptual Mapping Study on AI and Ethics in Marketing
[IEEE] 2026-4-8 | A Lightweight Hybrid Temporal CNN-Transformer Architecture for Real-Time Healthcare Anomaly Detection on Wearables
[IEEE] 2026-4-8 | Advancing Fire and Smoke Detection in Forensic Surveillance: A Study with Context Aware Augmentation and Optimization
[IEEE] 2026-4-8 | The Impacts of Tiered Pricing on Residential Electricity Consumption and Energy Poverty in China
[IEEE] 2026-4-8 | Keynote Speaker of ISDFS 2025
[IEEE] 2026-4-8 | An LLM-Powered API Testing Framework Based on Structural Similarity Analysis
[IEEE] 2026-4-8 | Research on Quality Evaluation and Divergence Traceability of Enterprise ESG Information Disclosure Using Attention Mechanism Neural Network
[IEEE] 2026-4-8 | Smart Supply Chains in Morocco: Sectoral Insights, Structural Barriers and Strategic Pathways for Inclusive Digital Transformation
[IEEE] 2026-4-8 | Assessment of VNA Frequency Extender Linearity by Attenuation Build-Up Method
[IEEE] 2026-4-8 | A Comparative Study of Machine Learning Models for Micro-Segment Credit Risk Prediction
[IEEE] 2026-4-8 | Quantum-Safe Countermeasures: Mitigating Detector-Blinding Attacks in Quantum Key Distribution Systems
[ACM] 2026-4-8 | An Efficient Sharing-Encryption-Based Secure Aggregation Protocol for Federated Learning in Multimedia Applications
[ACM] 2026-4-8 | Accelerating Diffusion Model Inference via Semantics-Aware Trajectory Reuse and Adaptive Scheduling
[IEEE] 2026-4-8 | FAT-Net: Frequency-Domain Attention-Guided Topology-Refinement Network for Coronary Artery Segmentation in Invasive Coronary Angiography_supp1-3681357.pdf
[IEEE] 2026-4-8 | Single-Feed Dual-Aperture Vivaldi Antenna for GPR Detection of Arbitrarily-Oriented Objects
[IEEE] 2026-4-7 | Hybrid Hierarchical Federated Learning over 5G/NextG Wireless Networking
[IEEE] 2026-4-7 | Radargrammetric 3D Reconstruction of Multiple Moving Ship Targets via Multi-angle Spaceborne SAR Imagery
[IEEE] 2026-4-8 | IEEE Foundation
[IEEE] 2026-4-8 | Are You Moving?
[IEEE] 2026-4-8 | Table of Contents
[IEEE] 2026-4-8 | The 2025 IEEE AESS Technical Panel of the Year Award
[IEEE] 2026-4-7 | Multimodal Population Graph Networks with Self-Attention Mechanisms for Autism Spectrum Disorder Identification
[IEEE] 2026-4-7 | Real-time Balancing Control of Reconfigurable Battery Packs using Reinforcement Learning
[IEEE] 2026-4-7 | TemporalFED: A Software Module for Detecting Cyberattacks in Industry 4.0 Time-Series Data Using Decentralized Federated Learning
[IEEE] 2026-4-7 | Multimodal Sentiment Analysis Based on Dynamic Language Enhancement and Synergistic Cross-Modal Transformer
[IEEE] 2026-4-8 | VeReMiVNDN: A Dataset for Misbehavior Detection in Vehicular Named Data Networking Using the JubST SUMO Scenario
[IEEE] 2026-4-7 | A Practical On-state Resistance Estimation Scheme of SiC MOSFETs in High-frequency Resonant Converters
[IEEE] 2026-4-7 | Temperature-Dependent Modeling and Optimal Design of LLC Resonant Converters Considering High-Voltage Field-Stop IGBTs Turn-Off Transient
[IEEE] 2026-4-7 | 2025 International Conference on Machine Learning and Applications (ICMLA)
[IEEE] 2026-4-7 | Table of Contents
[ACM] 2026-4-7 | R2O: A Dual-Layer Framework for Joint Rewriting and Ordering in Distributed Property Graph Query Optimization
[IEEE] 2026-4-7 | Assessing Quality of Life Among Students in Technical Education: A Cross- Sectional Analysis
[IEEE] 2026-4-7 | Exploring Music-Mental Health Dynamics Through Hierarchical Temporal Memory-based VAE-GAN Algorithm
[ACM] 2026-4-7 | Approximating Nash Social Welfare by Matching and Local Search
[IEEE] 2026-4-7 | Smart Vehicle Ignition System with Multi-Factor Authentication using Raspberry Pi Pico
[IEEE] 2026-4-7 | SAM2LoRA: Composite Loss-Guided, Parameter-Efficient Finetuning of SAM2 for Retinal Fundus Segmentation
[IEEE] 2026-4-7 | Genomics Big Data Analytics for Disease Prediction Using Transformer Based Deep Learning with Explainable Insights on the TCGA Dataset
[IEEE] 2026-4-7 | Forecasting Electric Vehicle Charging Demand in Urban Areas using Time-Series ML Models
[IEEE] 2026-4-7 | Data Storage Method Based on Unary Code
[IEEE] 2026-4-7 | Circularly Polarized DRA Antenna with Double Split-Ring Resonator Filtering for 5G Applications
[IEEE] 2026-4-7 | Modulation-Controlled DAB Converter Design and Performance Evaluation for EV On-Board Charging
[IEEE] 2026-4-7 | Federated Sparse Principal Component Analysis for Collaborative Condition Monitoring of Multi-Wind-Farm Systems
[IEEE] 2026-4-7 | Compact Wideband Filtering Antenna for Wireless and 5G Application
[IEEE] 2026-4-7 | IT-Enabled Management Frameworks for Driving Sustainable Social Change
[IEEE] 2026-4-7 | Landscape Semantic Segmentation: A Method Based on Transformer with Residual Refinement
[IEEE] 2026-4-7 | A Comparative Study and Technical Analysis of Photonic Amplifier Architectures for High-Speed Optical Systems
[IEEE] 2026-4-7 | The Evolution of hhe Ideas of Pedagogical Cybernetics and their Application in the Educational Processes of Training IT Specialists
[IEEE] 2026-4-7 | Empowering IoT with Federated Learning: A Cross-Domain Survey from Healthcare to Industry
[IEEE] 2026-4-7 | Background-Aware Instance Segmentation for Early Detection of E. coli and Salmonella in Time-Stamped Microscopy Images
[IEEE] 2026-4-7 | Energy-Sensitive Anomaly Detection Models for IoT Devices in Limited Power Environments
[IEEE] 2026-4-7 | Phase-Change Material Enabled Metamaterials and Metasurfaces
[IEEE] 2026-4-7 | Design and Analysis of a High-Performance Ultra-Wide Band Antenna for Advanced Wireless Communication
[IEEE] 2026-4-7 | Ventilator Performance Improvement using K-Means Clustering for Effective Data Pattern Recognition
[ACM] 2026-4-7 | Curator: Efficient Vector Search with Low-Selectivity Filters
[IEEE] 2026-4-7 | AI-Powered Leukemia Detection: A VGG16 Transfer Learning Approach for Blood Smear Image Classification
[IEEE] 2026-4-7 | Concerns and Redefining Load Modeling of Large Data Centers in Future Power Systems—A Review
[IEEE] 2026-4-7 | Research on Citrus Fruit Disease Identification Based on Improved YOLOv8
[IEEE] 2026-4-7 | Resource Allocation in UAV-Enabled Wireless Networks: A Unified Survey of Modeling and Algorithms
[IEEE] 2026-4-7 | Explainable AI Based DL Framework for Brain Tumor Discovery, Classification Using Densenet-121 and Grad-CAM
[IEEE] 2026-4-7 | Pixel-Level Crack Segmentation with a Lightweight MobileNet and Transformer-based U-Net Hybrid Model
[IEEE] 2026-4-7 | Sustainable Inventory Management for Dual Warehouses with Reverse Logistics and Green Optimization Policies
[IEEE] 2026-4-7 | Improving Internet Traffic Matrix Prediction via Time Series Clustering
[IEEE] 2026-4-7 | Localized Uncertainty Quantification in Random Forests via Proximities
[IEEE] 2026-4-7 | I-Powered Sustainable Consumer Behavior Analysis in FMCG using Smart Electronics and Communication Platforms
[IEEE] 2026-4-7 | Analyzing Cyber Attack Patterns and Detection Strategies Through T-Pot Honeypot Deployment
[IEEE] 2026-4-7 | Blockchain-Based Hybrid Academic Certificate Management System
[IEEE] 2026-4-7 | FSVT-SL: Few-Shot Vision Transformer with Synthetic Lesion Augmentation for Robust Plant Disease Diagnosis Under Field Conditions
[IEEE] 2026-4-7 | Adaptive Maritime Vessel Detection System Under Reduced Visibility Conditions
[IEEE] 2026-4-7 | Semi-Automatic Generation of Drivable Road Networks from Satellite Imagery for CARLA
[IEEE] 2026-4-7 | Researching Algorithms Used to Forecast Sales Volumes of Telecommunications Equipment
[IEEE] 2026-4-7 | Application of FTN signals in UAVs Communication Systems
[IEEE] 2026-4-7 | Comparative Evaluation of Embedding Representations for Financial News Sentiment Analysis
[ACM] 2026-4-8 | Towards Improved DNN-Based Android Malware Detection via Uncertainty Estimation
[ACM] 2026-4-8 | The HHE Land: Exploring the Landscape of Hybrid Homomorphic Encryption
[IEEE] 2026-4-8 | Distributed Output Feedback Control for Fractional-Order Partial Differential Multi-Agent Systems with Actuator Faults
[IEEE] 2026-4-8 | U-NEXT: A User-Centered New Prototype for Walking Excavator Simulator_supp1-3679892.mp4
[IEEE] 2026-4-8 | Three-Dimensional Transient Electromagnetic Inversion with Magnetic Induction Data: Incorporating Waveform Effects
[IEEE] 2026-4-8 | Beyond Elicitation: Provision-based Prompt Optimization for Knowledge-Intensive Tasks
[IEEE] 2026-4-8 | Optimizing Post-Quantum Cryptographic Algorithms for Resource-Constrained Devices
[IEEE] 2026-4-8 | First Calibration and Measurement Results of a Novel Wafer-Level Single-Sweep 100 kHz-250 GHz System
[IEEE] 2026-4-8 | 2026 IEEE 38th International Conference on Microelectronic Test Structures (ICMTS)
[IEEE] 2026-4-8 | GenReachAI: An Agentic Generative AI Framework for Automated Reachability Analysis of Enterprise Software Vulnerabilities
[IEEE] 2026-4-8 | AI-Driven Self-Healing and Intelligent Queuing Through Anomaly Detection in 5G Cellular Networks
[IEEE] 2026-4-8 | Preface by Prof. Dr. Asaf Varol, General Coordinator of ISDFS 2026 14
                    <sup>th</sup>
                    International Symposium on Digital Forensics and Security, Boston, MA, USA, Endicott College, March 19-20, 2026
[IEEE] 2026-4-7 | Chaotic Behaviour of Primary Pump Motor in Water Cooled Screw Chiller
[IEEE] 2026-4-7 | Improving the Performance of Switched Reluctance Motor by Changing Rotor Pole Modifications for Low Power Traction Applications
[IEEE] 2026-4-8 | Digital governance and decision-making autonomy: rethinking organizational performance in hypo-Groups
[IEEE] 2026-4-8 | Developing P4-Based Applications on Academic Cloud Platforms for Smart Grid Security, Resilience, and Workforce Development
[IEEE] 2026-4-8 | AI-driven Financial Risk Monitoring: Comprehensive Framework for Proactive Risk Awareness
[IEEE] 2026-4-8 | Rethinking Supply Chain Management in the Era of Data-Driven Management: A Systematic Literature Review
[IEEE] 2026-4-8 | Creating a 0.5 mm Coaxial Interface and Calibration Kit for a Broadband 250 GHz Vector Network Analyzer
[IEEE] 2026-4-8 | An Effective System for Medical Image Diagnosis Using Deep Convolutional Networks (CNNs) in Healthcare Sector
[IEEE] 2026-4-8 | Experimental Assessment of Human Blockage at sub-THz and mmWave Frequency Bands
[IEEE] 2026-4-8 | TechRxiv
[IEEE] 2026-4-7 | LGM-Net: Feature-Domain Multi-Scale Network For Image Compressive Sensing Based on Learned Gradient Mapping
[IEEE] 2026-4-7 | Modeling Cognitive Processes of Learners Based on BiGRU-Attention: A Dual-Phase Framework
[IEEE] 2026-4-7 | Fusing ICESat-2 and MODIS Data to Estimate the Three-Dimensional Distribution of Marine Chlorophyll-a Concentration
[IEEE] 2026-4-8 | 2026 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[IEEE] 2026-4-8 | IEEE Aerospace and Electronic Systems Magazine Publication Information
[IEEE] 2026-4-7 | Secure and Explainable Federated Learning for IoT Intrusion Detection: A Comprehensive Survey
[IEEE] 2026-4-7 | Guest Editorial:Beyond Classic Deep Learning: Algorithms for Dealing With Real-World Applications in Industrial Automation
[IEEE] 2026-4-7 | Feature Expansion with Semi-Dynamic Feature Sets (SDFS) and LLM-Powered Explainability: A Novel Approach to Discovering Missing Features
[IEEE] 2026-4-7 | MultiMedia Reviewer List 2025
共写入 1901 条记录，保存到 papers/paper2026-04-07.json。
论文获取成功，文件路径: papers/paper2026-04-07.json
正在筛选、翻译并发送邮件...
[NO] 1/1901 | The final version of a recent approach towards quantum foundation
[NO] 2/1901 | SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation
[NO] 3/1901 | Estimating Dynamic Marginal Policy Effects under Sequential Unconfoundedness
[NO] 4/1901 | From Uniform to Learned Knots: A Study of Spline-Based Numerical Encodings for Tabular Deep Learning
[NO] 5/1901 | Beyond Behavior: Why AI Evaluation Needs a Cognitive Revolution
[NO] 6/1901 | DetailVerifyBench: A Benchmark for Dense Hallucination Localization in Long Image Captions
[NO] 7/1901 | Semantic-Topological Graph Reasoning for Language-Guided Pulmonary Screening
[NO] 8/1901 | Persistence and Transition Varieties in Scalar Field Cosmology
[NO] 9/1901 | INTERACT: An AI-Driven Extended Reality Framework for Accesible Communication Featuring Real-Time Sign Language Interpretation and Emotion Recognition
[NO] 10/1901 | A solid-state quantum memory based on a continuous optoacoustic system
[NO] 11/1901 | Aggregation Effects on Heat Transfer in Viscoplastic Nanofluid Entrance Flows
[NO] 12/1901 | BPC-Net: Annotation-Free Skin Lesion Segmentation via Boundary Probability Calibration
[NO] 13/1901 | Label Effects: Shared Heuristic Reliance in Trust Assessment by Humans and LLM-as-a-Judge
[NO] 14/1901 | Taylor dispersion in a soft channel
[YES] 15/1901 | ResearchEVO: An End-to-End Framework for Automated Scientific Discovery and Documentation
[NO] 16/1901 | The Broken Similarity: Sinking and Merging of Dark Matter Subhalos Across Hierarchical Levels
[NO] 17/1901 | Extreme Blazars Observed with MAGIC: Second Catalog Release
[NO] 18/1901 | Haematocrit and Shear Rate Modulate Local Cell-free Layer Thickness and Platelet Margination in Blood Flow Along a Sinusoidal Wall
[NO] 19/1901 | THIVLVC: Retrieval Augmented Dependency Parsing for Latin
[NO] 20/1901 | EpiBench: Benchmarking Multi-turn Research Workflows for Multimodal Agents
[NO] 21/1901 | Multimodal Deep Learning Method for Real-Time Spatial Room Impulse Response Computing
[NO] 22/1901 | Cross-Modal Coreference Alignment: Enabling Reliable Information Transfer in Omni-LLMs
[NO] 23/1901 | Development of a 3D-CNN-based Prediction Model for Migration Barriers in Plasma-Wall Interactions
[YES] 24/1901 | OmniDiagram: Advancing Unified Diagram Code Generation via Visual Interrogation Reward
[NO] 25/1901 | From Unsupervised to Guided Clustering: A Variational Implementation
[NO] 26/1901 | Gauge coupling unification and doublet-triplet splitting via GUT dynamical breaking
[NO] 27/1901 | Visualizing the interplay of dual electronic nematicities in kagome superconductors
[NO] 28/1901 | Searching for Contact Binaries with LAMOST and TESS
[NO] 29/1901 | CoEnv: Driving Embodied Multi-Agent Collaboration via Compositional Environment
[NO] 30/1901 | Can You Trust the Vectors in Your Vector Database? Black-Hole Attack from Embedding Space Defects
[NO] 31/1901 | Task Ecologies and the Evolution of World-Tracking Representations in Large Language Models
[NO] 32/1901 | Reconstructing a large-scale matter-density contrast profile to reconcile Pantheon+ supernovae with DESI DR2 BAO in an inhomogeneous universe
[NO] 33/1901 | AI-Augmented Peer Review and Scientific Productivity: A Cross-Country Panel and SEM Analysis
[NO] 34/1901 | Novel Light-Induced States in Triangular Metallic Magnet
[NO] 35/1901 | Phase-Fidelity-Aware Truncated Quantum Fourier Transform for Scalable Phase Estimation on NISQ Hardware
[NO] 36/1901 | A Digital Spreading Framework for Quantum Expectation Computation Without Rotation Gates or Arithmetic Circuits
[NO] 37/1901 | Distributed Algorithm for the Global Optimal Controller of Nonlinear Multi-Agent Systems
[NO] 38/1901 | Few-Shot Semantic Segmentation Meets SAM3
[YES] 39/1901 | Your LLM Agent Can Leak Your Data: Data Exfiltration via Backdoored Tool Use
[NO] 40/1901 | VideoStir: Understanding Long Videos via Spatio-Temporally Structured and Intent-Aware RAG
[YES] 41/1901 | Multi-Drafter Speculative Decoding with Alignment Feedback
[NO] 42/1901 | Learning to Synergize Semantic and Geometric Priors for Limited-Data Wheat Disease Segmentation
[NO] 43/1901 | SpeakSoftly: Scaffolding Nonviolent Communication in Intimate Relationships through LLM-Powered Just-In-Time Interventions
[NO] 44/1901 | Molecular Excited States using Quantum Subspace Methods: Accuracy, Resource Reduction, and Error-Mitigated Hardware Implementation of q-sc-EOM
[NO] 45/1901 | Retrieve-then-Adapt: Retrieval-Augmented Test-Time Adaptation for Sequential Recommendation
[NO] 46/1901 | DAT: Dual-Aware Adaptive Transmission for Efficient Multimodal LLM Inference in Edge-Cloud Systems
[NO] 47/1901 | Propagation Phenomena for Operator-Valued Weighted Shifts
[NO] 48/1901 | Rethinking IRSTD: Single-Point Supervision Guided Encoder-only Framework is Enough for Infrared Small Target Detection
[NO] 49/1901 | Towards Testable Type-III Leptogenesis in Non-Standard Early Universe Scenarios
[NO] 50/1901 | Mathematical analysis and symmetric fractional-order reduction method for diffusion-wave equations
[NO] 51/1901 | LatentAudit: Real-Time White-Box Faithfulness Monitoring for Retrieval-Augmented Generation with Verifiable Deployment
[NO] 52/1901 | Entanglement in the open XX chain: Rényi oscillations, hard-edge crossover, and symmetry resolution
[NO] 53/1901 | Chemical Short-Range Order Regulates Hydrogen Energetics and Hydrogen-Dislocation Interactions in CoNiV
[NO] 54/1901 | Symetra: Visual Analytics for the Parameter Tuning Process of Symbolic Execution Engines
[NO] 55/1901 | CI-ICM: Channel Importance-driven Learned Image Coding for Machines
[NO] 56/1901 | Curr-RLCER:Curriculum Reinforcement Learning For Coherence Explainable Recommendation
[NO] 57/1901 | Global existence of weak solutions for Landau-Lifshitz equation with helical derivatives
[NO] 58/1901 | CT Saturation Detection and Compensation: A Hybrid Physical Model- and Data-Driven Method
[NO] 59/1901 | Dynamics of Entanglement in Schwarzschild Black Holes
[NO] 60/1901 | Structural Hierarchy of Reid Class of non-Archimedean Banach Spaces
[NO] 61/1901 | Historical Foundation and Practical Guideline for Ferroelectric Switching Kinetic Studies
[NO] 62/1901 | Addressing a device in a quantum network: A quantum approach including routing
[NO] 63/1901 | DIA-HARM: Dialectal Disparities in Harmful Content Detection Across 50 English Dialects
