[2026-01-23 09:18:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-22
正在获取论文...
[arXiv] 2026-01-22 | JADES: Evolution of nitrogen abundances in star-forming galaxies from z ~ 1.5-7
[arXiv] 2026-01-22 | Delayed Assignments in Online Non-Centroid Clustering with Stochastic Arrivals
[arXiv] 2026-01-22 | Towards a Goal-Centric Assessment of Requirements Engineering Methods for Privacy by Design
[arXiv] 2026-01-22 | Interface Spin-orbit Coupling Induced Room-temperature Ferromagnetic Insulator
[arXiv] 2026-01-22 | Continuum limit of hypergraph $p$-Laplacian equations on point clouds
[arXiv] 2026-01-22 | Bivariate topological complexity: a framework for coordinated motion planning
[arXiv] 2026-01-22 | Constraining Nuclear Molecular Gas Content with High-resolution CO Imaging of GOALS Galaxies
[arXiv] 2026-01-22 | Unveiling the Spectral Morphological Division of Fast Radio Bursts with CHIME/FRB Catalog 2
[arXiv] 2026-01-22 | Grounding Large Language Models in Reaction Knowledge Graphs for Synthesis Retrieval
[arXiv] 2026-01-22 | Tri-Hybrid Beamforming Design for integrated Sensing and Communications
[arXiv] 2026-01-22 | Data-Driven Conditional Flexibility Index
[arXiv] 2026-01-22 | EAIFD: A Fast and Scalable Algorithm for Incremental Functional Dependency Discovery
[arXiv] 2026-01-22 | PAINT: Pathology-Aware Integrated Next-Scale Transformation for Virtual Immunohistochemistry
[arXiv] 2026-01-22 | The T-tensor of spherically symmetric Finsler metrics
[arXiv] 2026-01-22 | Quantum Hall Effect at 0.002T
[arXiv] 2026-01-22 | THOR: A Versatile Foundation Model for Earth Observation Climate and Society Applications
[arXiv] 2026-01-22 | A brief note about p-curvature on graphs
[arXiv] 2026-01-22 | Prioritizing Configuration Relevance via Compiler-Based Refined Feature Ranking
[arXiv] 2026-01-22 | Counting Saddle Connections on Hyperelliptic Translation Surfaces with a Slit
[arXiv] 2026-01-22 | On-chip Multimode Opto-electronic Neural Network
[arXiv] 2026-01-22 | Photon-dark photon oscillation in M87 and Crab Nebula environments
[arXiv] 2026-01-22 | Assimilating rough features: A data-driven framework to infer rough wall properties from sparse experimental data
[arXiv] 2026-01-22 | Extreme line profile variations in the repeating changing-look active galactic nucleus IRAS23226-3843
[arXiv] 2026-01-22 | Performance Scaling Laws for PD Array-based Receivers in IM/DD Optical Wireless Communication Systems
[arXiv] 2026-01-22 | Atomic-Scale Insights into Solute Drag Effects on Grain Boundary Motion in Mg-Al and Mg-Ca Alloys
[arXiv] 2026-01-22 | From Passive Metric to Active Signal: The Evolving Role of Uncertainty Quantification in Large Language Models
[arXiv] 2026-01-22 | Resting-State Functional Connectivity Correlates of Emotional Memory Control under Cognitive load in Subclinical Anxiety
[arXiv] 2026-01-22 | Beyond Hard Writes and Rigid Preservation: Soft Recursive Least-Squares for Lifelong LLM Editing
[arXiv] 2026-01-22 | Connect the Dots: Knowledge Graph-Guided Crawler Attack on Retrieval-Augmented Generation Systems
[arXiv] 2026-01-22 | The reason for the occurrence of W-type contact binaries
[arXiv] 2026-01-22 | Dualformer: Time-Frequency Dual Domain Learning for Long-term Time Series Forecasting
[arXiv] 2026-01-22 | Impression Zombies: Characteristics Analysis and Classification of New Harmful Accounts on Social Media
[arXiv] 2026-01-22 | Supercurrent and multiple Andreev reflections in Ge hut nanowire Josephson Junctions
[arXiv] 2026-01-22 | Event-VStream: Event-Driven Real-Time Understanding for Long Video Streams
[arXiv] 2026-01-22 | An index theory for transverse trajectories
[arXiv] 2026-01-22 | The initial spin matters: the impact of rapid rotation on magnetic-field amplification at merger
[arXiv] 2026-01-22 | Towards Reliable Medical LLMs: Benchmarking and Enhancing Confidence Estimation of Large Language Models in Medical Consultation
[arXiv] 2026-01-22 | Generative AI-Empowered Semantic Twin Channel Model for ISAC
[arXiv] 2026-01-22 | Collaboration versus Specialization in Service Systems with Impatient Customers
[arXiv] 2026-01-22 | Agentic AI Governance and Lifecycle Management in Healthcare
[arXiv] 2026-01-22 | Robust Tool Use via Fission-GRPO: Learning to Recover from Execution Errors
[arXiv] 2026-01-22 | Closing the Gap on the Sample Complexity of 1-Identification
[arXiv] 2026-01-22 | A kinetic-moment framework for electron energy dynamics in capacitively coupled plasmas: absorption, conversion, transport, and dissipation
[arXiv] 2026-01-22 | On the Zeros of the Riemann Zeta Function with Two Ordinate Shifts
[arXiv] 2026-01-22 | Barcode entropy and relative symplectic cohomology
[arXiv] 2026-01-22 | Adaptive information-maximization encoding for ghost imaging--A general Bayesian framework under experimental physical constraints
[arXiv] 2026-01-22 | Tackling the Scaffolding Paradox: A Person-Centered Adaptive Robotic Interview Coach
[arXiv] 2026-01-22 | DeepASMR: LLM-Based Zero-Shot ASMR Speech Generation for Anyone of Any Voice
[arXiv] 2026-01-22 | Mapping dark matter and the emergence of large-scale structure
[arXiv] 2026-01-22 | PromptHelper: A Prompt Recommender System for Encouraging Creativity in AI Chatbot Interactions
[arXiv] 2026-01-22 | An ultrafast diamond nonlinear photonic sensor
[arXiv] 2026-01-22 | Relative Classification Accuracy: A Calibrated Metric for Identity Consistency in Fine-Grained K-pop Face Generation
[arXiv] 2026-01-22 | Spectator-transition crosstalk in a spin-3/2 silicon vacancy qudit in silicon carbide revealed by broadband Ramsey interferometry
[arXiv] 2026-01-22 | Experimental Demonstration of Nonlinear Photoconductive Gain in N-Doped $β$-Ga$_2$O$_3$ Devices
[arXiv] 2026-01-22 | On the nilpotent residue non-abelian Hodge correspondence for higher-dimensional quasiprojective varieties
[arXiv] 2026-01-22 | Common to Whom? Regional Cultural Commonsense and LLM Bias in India
[arXiv] 2026-01-22 | Computability of $\mathcal{G}$-Beroulli Measures and Measures of Maximal Entropy on Coded Shift Spaces
[arXiv] 2026-01-22 | Clump-like Structures in High-Redshift Galaxies: Mass Scaling and Radial Trends from JADES
[arXiv] 2026-01-22 | An Efficient Algorithm to Generate all Labeled Triangle-free Graphs with a given Graphical Degree Sequence
[arXiv] 2026-01-22 | OPTIMA, a board dedicated to Optimized Precision Timing for Multichannel Acquisition
[arXiv] 2026-01-22 | Detecting interpolation errors in infant mortality counts in 20th Century England and Wales
[arXiv] 2026-01-22 | NeuroMamba: Multi-Perspective Feature Interaction with Visual Mamba for Neuron Segmentation
[arXiv] 2026-01-22 | Out-of-Sample Validation of MagNet
[arXiv] 2026-01-22 | Higher-dimensional Heegaard Floer homology and spectral networks
[arXiv] 2026-01-22 | Progressive Power Homotopy for Non-convex Optimization
[arXiv] 2026-01-22 | A fully diagonalized spectral method on the unit ball
[arXiv] 2026-01-22 | Leave-one-out testing for node-level differences in Gaussian graphical models
[arXiv] 2026-01-22 | PhageMind: Generalized Strain-level Phage Host Range Prediction via Meta-learning
[arXiv] 2026-01-22 | Directional polynomial frames on spheres
[arXiv] 2026-01-22 | Evaluating and Achieving Controllable Code Completion in Code LLM
[arXiv] 2026-01-22 | Topological Semimetal Transport Modulated by Interstitial Fe in Ba(Fe$_{1-x}$Co$_x$)$_{2+δ}As$_2$ Superconductors
[arXiv] 2026-01-22 | Intertwined Charge Stripes and Majorana Zero Modes in An Iron-Based Superconductor
[arXiv] 2026-01-22 | Why Inference in Large Models Becomes Decomposable After Training
[arXiv] 2026-01-22 | Artificial Rigidities vs. Biological Noise: A Comparative Analysis of Multisensory Integration in AV-HuBERT and Human Observers
[arXiv] 2026-01-22 | Large-scale real-time signal processing in physics experiments: The ALICE TPC FPGA pipeline
[arXiv] 2026-01-22 | Virtual Traffic Police: Large Language Model-Augmented Traffic Signal Control for Unforeseen Incidents
[arXiv] 2026-01-22 | New results on Fourier multipliers on $L^p$: a perspective through unimodular symbols
[arXiv] 2026-01-22 | Beyond Off-the-Shelf Models: A Lightweight and Accessible Machine Learning Pipeline for Ecologists Working with Image Data
[arXiv] 2026-01-22 | Creativity in the Age of AI: Rethinking the Role of Intentional Agency
[arXiv] 2026-01-22 | Superpositions of CARMA processes
[arXiv] 2026-01-22 | HumanLLM: Towards Personalized Understanding and Simulation of Human Nature
[arXiv] 2026-01-22 | On the effect of force on DNA in the Peyrard-Bishop-Dauxois model
[arXiv] 2026-01-22 | LL-GaussianImage: Efficient Image Representation for Zero-shot Low-Light Enhancement with 2D Gaussian Splatting
[arXiv] 2026-01-22 | Recursive Flow: A Generative Framework for MIMO Channel Estimation
[arXiv] 2026-01-22 | Redshift-Binned Constraints on the Hubble Constant under $Λ$CDM, CPL, and Padé Cosmography
[arXiv] 2026-01-22 | Off-Policy Actor-Critic with Sigmoid-Bounded Entropy for Real-World Robot Learning
[arXiv] 2026-01-22 | Two-loop rainbow neutrino masses in a non-invertible symmetry
[arXiv] 2026-01-22 | Excluding Local Hidden Variables in $Λ\barΛ$ Production: The Incompatibility with Angular-Momentum Conservation and CPT Invariance
[arXiv] 2026-01-22 | Graphene-based technologies for energy applications, challenges and perspectives
[arXiv] 2026-01-22 | A sequential linear complementarity problem method for generalized Nash equilibrium problems
[arXiv] 2026-01-22 | Nucleosynthesis in Type Ia Supernovae, Classical Novae, and Type I X-Ray Bursts. A Primer on Stellar Explosions
[arXiv] 2026-01-22 | PhysProver: Advancing Automatic Theorem Proving for Physics
[arXiv] 2026-01-22 | Sub-Region-Aware Modality Fusion and Adaptive Prompting for Multi-Modal Brain Tumor Segmentation
[arXiv] 2026-01-22 | VideoThinker: Building Agentic VideoLLMs with LLM-Guided Tool Reasoning
[arXiv] 2026-01-22 | Communication-efficient Federated Graph Classification via Generative Diffusion Modeling
[arXiv] 2026-01-22 | Fuzzy dark matter soliton core hosting a supermassive black hole as a dense low-mass perturber in strong gravitational lensing
[arXiv] 2026-01-22 | Benchmarking Deep Learning Models for Raman Spectroscopy Across Open-Source Datasets
[arXiv] 2026-01-22 | Open problems in K-stability of Fano varieties
[arXiv] 2026-01-22 | FirmReBugger: A Benchmark Framework for Monolithic Firmware Fuzzers
[arXiv] 2026-01-22 | Pushing the limits of unconstrained machine-learned interatomic potentials
[arXiv] 2026-01-22 | Evidence for stellar contamination and water absorption in NGTS-5b's transmission spectra with GTC/OSIRIS
[arXiv] 2026-01-22 | On the Identification of Elliptic Curves That Admit Infinitely Many Twists Satisfying the Birch-Swinnerton-Dyer Conjecture
[arXiv] 2026-01-22 | Renormalization Treatment of IR and UV Cutoffs in Waveguide QED and Implications to Numerical Model Simulation
[arXiv] 2026-01-22 | Characterizations of monadically dependent tree-ordered weakly sparse structures
[arXiv] 2026-01-22 | Bistatic ISAC: Practical Challenges and Solutions
[arXiv] 2026-01-22 | On the structural properties of Lie algebras via associated labeled directed graphs
[arXiv] 2026-01-22 | From many valleys to many topological phases - quantum anomalous Hall effect in IV-VI semiconductor quantum wells
[arXiv] 2026-01-22 | How to Tamper with a Parliament: Strategic Campaigns in Apportionment Elections
[arXiv] 2026-01-22 | Quadratic discrepancy estimates for probability measures on the Heisenberg group
[ACM] 2026-1-22 | Leveraging NVML GPM for NVIDIA GPU Monitoring
[ACM] 2026-1-22 | Proceedings of the Supercomputing Asia and International Conference on High Performance Computing in Asia Pacific Region Workshops
[ACM] 2026-1-22 | The LCLStream Ecosystem for Multi-Institutional Dataset Exploration
[ACM] 2026-1-22 | Explainable AI-Guided Genetic Algorithms for Efficient Software Automatic Tuning
[ACM] 2026-1-22 | Research on Optimisation Pathways for Power Enterprise Management Based on Data Centralisation and Digital Twin Synergy
[ACM] 2026-1-22 | Large-Scale Vlasov Simulations for Astrophysics using Non-volatile Memory as Large Memory
[ACM] 2026-1-22 | An analysis of memory access patterns in RISC-V vector workloads on heterogeneous memory architectures
[ACM] 2026-1-22 | Python-based Workflow System for Quantum-HPC Hybrid Application on HPC System and Quantum Computer with Shared Network
[ACM] 2026-1-22 | Design as Strategic Intelligence: Integrating Design Management and Business Strategy for Organizational Transformation
[ACM] 2026-1-22 | Research on Sentiment Analysis and Recommendation Systems for Women's Clothing E-Commerce Reviews
[ACM] 2026-1-22 | Mixed precision solvers with half-precision floating point numbers for Lattice QCD on A64FX processor
[ACM] 2026-1-22 | System-Level Energy Profiling of Wafer-Scale AI Systems: Characterizing Non-Accelerator Overheads in the Cerebras CS-2 System
[ACM] 2026-1-22 | Low-Code GPT-4 Workflow for Indonesian Sentiment Analysis with Dify
[ACM] 2026-1-22 | Score-P with Arm(s) around the world...
[ACM] 2026-1-22 | Providing Thermal Stability for an Exascale Supercomputer: A Case Study of Frontier’s Cooling System
[ACM] 2026-1-22 | Beyond Centralized Labs: Federating the Co-Scientist
[ACM] 2026-1-22 | From Visual Perception to Context-Aware Instructions: Integrating Object Detection and LLMs for Navigation Assistance
[ACM] 2026-1-22 | Study on the Influence Mechanism of Open Innovation on Efficiency in Enterprise-led Innovation Platforms - Based on the Mediating Effect of Platform Governance and LightGBM algorithm
[ACM] 2026-1-22 | MemMan: A Fortran and C++ Interoperable Memory Manager on Modern High-Performance Computing Platforms
[ACM] 2026-1-22 | Sustainable Power Reduction for DRAM applying Adaptive Stream-based Entropy Coding focusing on Video Processing System
[ACM] 2026-1-22 | Co-Design of a Power State-Aware Scheduler and an Intelligent Power Manager for Energy-Efficient HPC Systems
[ACM] 2026-1-22 | Quantifying the Energy Cost of Performance Inefficiency in HPC Applications
[ACM] 2026-1-22 | Cross-Cultural Sentiment Analysis Based on Transformer-LSTM
[ACM] 2026-1-22 | xspline3d: A Python Library for MPI-Based Spline Interpolation Enforcing Global Continuity in Distributed 3D Volumes
[ACM] 2026-1-22 | Integrating Quantum and HPC: A Prototype Hybrid Implementation and Benchmark of Quantum-Selected Configuration Interaction
[ACM] 2026-1-22 | Prototyping an Autotuning Framework for Program Optimization Using Exo Language
[ACM] 2026-1-22 | National New Generation of Artificial Intelligence Innovation and Development Pilot Zones and Corporate Digital Technology Innovation in China
[ACM] 2026-1-22 | System Software Utilization on an ARM-Based Supercomputer: Insights from a Production-Scale System
[ACM] 2026-1-22 | Cross-architecture power efficiency analysis through micro-benchmarking
[ACM] 2026-1-22 | Hybrid Inference Optimization for AI-Enhanced Turbulent Boundary Layer Simulation on Heterogeneous Systems
[ACM] 2026-1-22 | Performance and Programmability of MPI+X Integration with CUDA, HIP, SYCL, OpenACC, and OpenMP Offloading for Supercomputing: A Case Study on Dense Matrix–Vector Multiplication
[ACM] 2026-1-22 | Adaptive Privacy-Budget Federated Ensemble with Meta-Learning and Contrastive Learning for Rare Fraud Detection
[ACM] 2026-1-22 | A Unidirectional Two-Compartment Neuron Circuit with On-chip STDP learning
[ACM] 2026-1-22 | DGEMM using FP64 Arithmetic Emulation and FP8 Tensor Cores with Ozaki Scheme
[ACM] 2026-1-22 | Porting and Evaluation of Lustre on a RISC-V Cluster for HPC Storage Infrastructure
[ACM] 2026-1-22 | DeepEBC: Compressing the Pre-Trained LLMs with Error-Bounded Lossy Compression
[ACM] 2026-1-22 | Performance and Area Optimization of Lossless Hardware Compression of Floating-Point Data Streams
[ACM] 2026-1-22 | Quantifying the Economic Potential of Energy-Aware Scheduling in HPC
[ACM] 2026-1-22 | Explainable Artificial Intelligence (XAI) for Interpretable Heritage Building Maintenance Prediction
[ACM] 2026-1-22 | Does artificial intelligence undermine the governance effect of ESG on financial information disclosure quality?
[ACM] 2026-1-22 | Cross-Modal Intermediate Fusion of Neuroimaging and Genomic Features for Alzheimer's Diagnosis
[ACM] 2026-1-22 | Proceedings of the 2025 International conference on AI-Driven Business Transformation and Data Science Innovation
[ACM] 2026-1-22 | An overview: Current trends of Real-time monitoring and pressure vessel failure prediction using artificial intelligence (AI) and internet of things (IOT)
[ACM] 2026-1-22 | Trump 2.0 Era: AI-Driven Strategic Analytics for China–ASEAN Community of Destiny—From Policy Text to Trade Impact and Resilience Optimization
[ACM] 2026-1-22 | Runtime Prediction for Local Deployment of Large Language Models: A Case Study on Qwen Models Covering LoRA Fine-Tuning, RAG, and Inference
[ACM] 2026-1-22 | Adaptive Approximation-Aware Scheduling for Heterogeneous Computing Using Reinforcement Learning
[ACM] 2026-1-22 | Efficient Data Elasticity for HPC: A Malleable Ad-hoc In-memory File System for Ephemeral Data
[ACM] 2026-1-22 | Design of Intelligent Platform for Home-based Elderly Care Services Based on Artificial Intelligence
[ACM] 2026-1-22 | On modeling knowledge graphs for representing and explaining wide-area distributed storage system
[ACM] 2026-1-22 | Q-IRIS: The Evolution of the IRIS Task-Based Runtime to Enable Classical-Quantum Workflows
[ACM] 2026-1-22 | On the Challenges of Energy-Efficiency Analysis in HPC Systems: Evaluating Synthetic Benchmarks and Gromacs
[ACM] 2026-1-22 | NIMA-STEP: A Hardware-Software Co-Design Approach for Accelerating Cellular Automata Computation
[ACM] 2026-1-22 | Evaluating Claude Code’s Coding and Test Automation for GPU Acceleration ofa Legacy Fortran Application: A GeoFEM Case Study
[ACM] 2026-1-22 | Distributed Runtime Support for Portable and Scalable Execution of Heterogeneous Applications
[ACM] 2026-1-22 | How to Promote the Win-Win Coordination of Manufacturing Enterprises’ Evolution towards Digital and Intelligent Low-carbon Transformation?
[ACM] 2026-1-22 | Orchid: Towards Heterogeneous Batched Eigenvalue Solvers
[ACM] 2026-1-22 | A Study of Scientific Research User Switching Intention for AIGC application Platforms Under Human-AI Interaction: A Push-Pull-Mooring Perspective
[ACM] 2026-1-22 | New Measurement Indicators for Market Reactions to Related Party Transaction Announcements: The Role of Budget Completion Ratio and XGBoost-Based Prediction with SHAP Interpretation (Evidence from Hong Kong)
[ACM] 2026-1-22 | Exploring I/O Performance and Power Consumption Trade-offs in Production Environments
[ACM] 2026-1-22 | Understanding LLM Checkpoint/Restore I/O Strategies and Patterns
[ACM] 2026-1-22 | Migration of Ginkgo's Jacobi-Preconditioned CG Solver to Vector RISC-V
[ACM] 2026-1-22 | A Co-Simulation Framework for Building Energy Management as a Testbed for Energy-Aware Data Movement Analysis
[ACM] 2026-1-22 | Combining System- and User-Level Approaches to Improving Energy Efficiency in GPU-Based Supercomputers
[ACM] 2026-1-22 | Fine-Tuned Sentence-BERT for HPC Job Outcome Prediction via Textual Feature Embedding
[ACM] 2026-1-22 | Identifying Technology-Driven Innovation Stages to Support Corporate Competitiveness at TV Broadcasting Industry in Indonesia Using Fuzzy Delphi Method
[ACM] 2026-1-22 | CityScaleCast: Spatiotemporal GNN for City-Scale Weather Prediction with GraphCast-Guided Parallel Modeling and Multi-Step Forecasting in Sendai
[ACM] 2026-1-22 | Real-Time Risk Control Effects of Digital Compliance Dashboards: An Empirical Study Across Multiple Enterprises Using Process Mining, Anomaly Detection, and Interrupt Time Series
[ACM] 2026-1-22 | Micro-Benchmarking Communications Libraries on the MI300A Compute Partitioning Modes
[ACM] 2026-1-22 | Intelligent retrieval and integration method of cross-source evidence for transaction disputes
[ACM] 2026-1-22 | SMOTE-Enhanced Heterogeneous Stacking Ensemble for Telecommunication Churn Prediction
[ACM] 2026-1-22 | Harvesting energy consumption on European HPC systems: Sharing Experience from the CEEC project
[ACM] 2026-1-22 | An improved PBFT consensus mechanism for traceability of medical device supply chain
[ACM] 2026-1-22 | Solving large-scale eigen problem in quantum few-body system on massive parallel computer
[ACM] 2026-1-22 | Semantic Equivalence Verification of HPC Codes Using LLMs
[ACM] 2026-1-22 | Parallelising Stream-Based Lossless Data Compression on GPUs and CPUs
共写入 745 条记录，保存到 papers/paper2026-01-22.json。
论文获取成功，文件路径: papers/paper2026-01-22.json
正在筛选、翻译并发送邮件...
[NO] 1/745 | JADES: Evolution of nitrogen abundances in star-forming galaxies from z ~ 1.5-7
[NO] 2/745 | JADES: Discovery of Large Reservoirs of Small Dust Grains in the Circumgalactic Medium of Massive Galaxies at $z\sim3.5$ through Deep JWST/NIRCam Imaging and Grism Spectroscopy
[NO] 3/745 | JADES: A Prominent Galaxy Overdensity Candidate within the First 500 Myr
[NO] 4/745 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: Wisp Subtraction with the Non-negative Matrix Factorization Algorithm
[NO] 5/745 | Decoupling Return-to-Go for Efficient Decision Transformer
[NO] 6/745 | Reconstructing Patched or Partial Holograms to allow for Whole Slide Imaging with a Self-Referencing Holographic Microscope
[NO] 7/745 | Partitioning networks into clusters of synchronized nodes via the message-passing algorithm: an unbiased scalable approach
[NO] 8/745 | Hot and cloudy: High temperature clouds in super-Earths and sub-Neptunes
[NO] 9/745 | Neutrino-Induced Polarization Rotation in Active Galactic Nuclei Plasmas
[NO] 10/745 | On the escape rate for intermittent maps with holes shrinking around the indifferent fixed point
[YES] 11/745 | Co-Constructing Alignment: A Participatory Approach to Situate AI Values
[NO] 12/745 | Iterative Amortized Hierarchical VAE
[NO] 13/745 | Fermion Doubling in Dirac Quantum Walks
[NO] 14/745 | Visibility of Lattice Points across Polynomials
[NO] 15/745 | SoK: Challenges in Tabular Membership Inference Attacks
[NO] 16/745 | PF-D2M: A Pose-free Diffusion Model for Universal Dance-to-Music Generation
[NO] 17/745 | Tangle structure trees
[NO] 18/745 | Finding large sparse induced subgraphs in graphs of small (but not very small) tree-independence number
[NO] 19/745 | Uncertainty-guided Generation of Dark-field Radiographs
[NO] 20/745 | Determinants of Training Corpus Size for Clinical Text Classification
[NO] 21/745 | TinySense: Effective CSI Compression for Scalable and Accurate Wi-Fi Sensing
[NO] 22/745 | RF Intelligence for Health: Classification of SmartBAN Signals in overcrowded ISM band
[NO] 23/745 | An IoT-Based Smart Plant Monitoring and Irrigation System with Real-Time Environmental Sensing, Automated Alerts, and Cloud Analytics
[NO] 24/745 | Can professional translators identify machine-generated text?
[NO] 25/745 | Weakly pancyclic vertices in dense nonbipartite graphs
[NO] 26/745 | Separable Delay And Doppler Estimation In Passive Radar
[NO] 27/745 | Dual-Mapping Sparse Vector Transmission for Short Packet URLLC
[NO] 28/745 | Muon beams towards muonium physics: progress and prospects
[NO] 29/745 | Bias-triggered conductivity relaxation (BCR): a unique tool to simultaneously investigate thermodynamics, kinetics and electrostatic effects of oxygen reactions in MIEC thin films
[NO] 30/745 | Distance-Independent Atmospheric Refraction Correction for Accurate Retrieval of Fireball Trajectories
[NO] 31/745 | A half-space Liouville theorem for anisotropic minimal graph with free boundary
[NO] 32/745 | Endowing Molecular Language with Geometry Perception via Modality Compensation for High-Throughput Quantum Hamiltonian Prediction
[NO] 33/745 | Joint Pilot and Unknown Data-based Localization for OFDM Opportunistic Radar Systems
[NO] 34/745 | Representations of the modular group into the isometries of $\mathrm{SL}_3(\mathbb{R})/\mathrm{SO}(3)$
[NO] 35/745 | Diffusion Model-Based Data Augmentation for Enhanced Neuron Segmentation
[NO] 36/745 | Rethinking Drug-Drug Interaction Modeling as Generalizable Relation Learning
[NO] 37/745 | LL-GaussianMap: Zero-shot Low-Light Image Enhancement via 2D Gaussian Splatting Guided Gain Maps
[NO] 38/745 | Atlas-Assisted Segment Anything Model for Fetal Brain MRI (FeTal-SAM)
[NO] 39/745 | Monolithic tantalum pentoxide microrings with intrinsic Q factors exceeding 4X10(6)
[NO] 40/745 | Tabular Incremental Inference
[NO] 41/745 | Heavy holographic correlators in defect conformal field theories
[NO] 42/745 | Four-dimensional Lorentzian algebraic Ricci solitons
[NO] 43/745 | DualShield: Safe Model Predictive Diffusion via Reachability Analysis for Interactive Autonomous Driving
[YES] 44/745 | Towards Automated Kernel Generation in the Era of LLMs
[NO] 45/745 | Interaction between the ejecta, the accretion disk, and the secondary star in the recurrent nova system U Sco
[NO] 46/745 | Phase structure of lattice QCD in the heavy quark high-density region and the three-state Potts model
[NO] 47/745 | Investigation of the Generalisation Ability of Genetic Programming-evolved Scheduling Rules in Dynamic Flexible Job Shop Scheduling
[NO] 48/745 | Zero-Shot Product Attribute Labeling with Vision-Language Models: A Three-Tier Evaluation Framework
[NO] 49/745 | Enhanced LULC Segmentation via Lightweight Model Refinements on ALOS-2 SAR Data
[NO] 50/745 | Spin reorientations in structurally metastable, disordered, and hexagonal Cr7Te8
[NO] 51/745 | Development of an early warning method incorporating pre-supernova neutrino light curves
[YES] 52/745 | FARM: Field-Aware Resolution Model for Intelligent Trigger-Action Automation
[NO] 53/745 | Parallelizable Riemannian Alternating Direction Method of Multipliers for Non-convex Pose Graph Optimization
[NO] 54/745 | Consistency-Regularized GAN for Few-Shot SAR Target Recognition
[NO] 55/745 | Arithmetic Properties of Colored Partitions Restricted by Parity of the Parts
[NO] 56/745 | StreetDesignAI: A Multi-Persona Evaluation System for Inclusive Infrastructure Design
[NO] 57/745 | Geometric wavefront sets of genuine Iwahori-spherical representations
[NO] 58/745 | Emergence of spatiotemporal patterns in a fuel-driven coupled cooperative supramolecular system
[NO] 59/745 | Scaling-Based Quantization of Spacetime Microstructure
[NO] 60/745 | SuperOcc: Toward Cohesive Temporal Modeling for Superquadric-based Occupancy Prediction
[NO] 61/745 | Machine Failure Detection Based on Projected Quantum Models
[NO] 62/745 | The $V_1$- and $V_2$-polynomials of a long virtual knot
[NO] 63/745 | Qwen3-TTS Technical Report
[NO] 64/745 | Existence and uniqueness of $L^1$-solutions to time-fractional nonlinear diffusion equations
[NO] 65/745 | Tensor-based phase difference estimation on time series analysis
[NO] 66/745 | Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition
[NO] 67/745 | Does 6G Need a New Waveform: Comparing Zak-OTFS with CP-OFDM
[NO] 68/745 | Overpartitions with repeated smallest non-overlined part
[YES] 69/745 | Parallelism and Generation Order in Masked Diffusion Language Models: Limits Today, Potential Tomorrow
[YES] 70/745 | YuFeng-XGuard: A Reasoning-Centric, Interpretable, and Flexible Guardrail Model for Large Language Models
[NO] 71/745 | Multi-band Reconstruction of Sixteen Gravitational Lens Systems using PISCO data
[NO] 72/745 | Screening for Choice Sets
[NO] 73/745 | σh-Broken Induced Topological quasi-BIC
[NO] 74/745 | Discovery of Density Limit Disruption Induced by Core-localized Alfv${é}$nic Ion Temperature Gradient Instabilities in a Tokamak Plasma
[NO] 75/745 | LLM or Human? Perceptions of Trust and Information Quality in Research Summaries
[NO] 76/745 | Modulation of superconducting properties by the charge density wave at the surface of 2H-NbSe2
[NO] 77/745 | Learning Neural Operators from Partial Observations via Latent Autoregressive Modeling
[NO] 78/745 | Beyond validation loss: Clinically-tailored optimization metrics improve a model's clinical performance
[NO] 79/745 | A Mobile Magnetic Manipulation Platform for Gastrointestinal Navigation with Deep Reinforcement Learning Control
[NO] 80/745 | Gauge Theory and Skein Modules
[NO] 81/745 | Why Can't I Open My Drawer? Mitigating Object-Driven Shortcuts in Zero-Shot Compositional Action Recognition
[YES] 82/745 | LLM-in-Sandbox Elicits General Agentic Intelligence
[NO] 83/745 | Cyclic sunspot activity during the first millennium CE as reconstructed from radiocarbon
[NO] 84/745 | Generalized Bassian Modules over Non-primitive Dedekind Prime Rings
[NO] 85/745 | Provable Robustness in Multimodal Large Language Models via Feature Space Smoothing
[NO] 86/745 | PAL*M: Property Attestation for Large Generative Models
[NO] 87/745 | Magnon equilibrium spin current in collinear antiferromagnets
[NO] 88/745 | Gaussian maps on trigonal curves
[NO] 89/745 | Metric-uniform spectral inequality for the Laplacian on manifolds with bounded sectional curvature
[NO] 90/745 | Fixed-point proportion of geometric iterated Galois groups
[NO] 91/745 | Reanalyzing DESI DR1: 4. Percent-Level Cosmological Constraints from Combined Probes and Robust Evidence for the Normal Neutrino Mass Hierarchy
[NO] 92/745 | Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning
[NO] 93/745 | Maximal toroids and Cartan subgroups of algebraic groups
[NO] 94/745 | CONTEX-T: Contextual Privacy Exploitation via Transformer Spectral Analysis for IoT Device Fingerprinting
[NO] 95/745 | Interconnection-based Model Reduction for Linear Hybrid Systems
[NO] 96/745 | On the rationality of the Weil Representation and the local theta correspondence
[NO] 97/745 | LLM Prompt Evaluation for Educational Applications
[NO] 98/745 | Modular Weil representation and compatibility of cuspidals with congruences
[NO] 99/745 | Replicating Human Motivated Reasoning Studies with LLMs
