[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[arXiv] 2026-01-26 | Effects of Stellar X-ray Photoevaporation on Planetesimal Formation via the Streaming Instability
[arXiv] 2026-01-26 | GLEN-Bench: A Graph-Language based Benchmark for Nutritional Health
[arXiv] 2026-01-26 | Scattering lengths of the $J/ψπ$ and $J/ψK$ systems
[arXiv] 2026-01-26 | Spatial-Conditioned Reasoning in Long-Egocentric Videos
[arXiv] 2026-01-26 | Chain-Length-Dependent Partitioning of 1-Alkanols in Raft-Like Lipid Membranes
[arXiv] 2026-01-26 | OneVoice: One Model, Triple Scenarios-Towards Unified Zero-shot Voice Conversion
[arXiv] 2026-01-26 | Pulse-driven photonic transitions and nonreciprocity in space-time modulated metasurfaces
[arXiv] 2026-01-26 | Effects of stimulation frequencies on energy efficiency of a muscle fiber during contraction
[arXiv] 2026-01-26 | XGuardian: Towards Explainable and Generalized AI Anti-Cheat on FPS Games
[arXiv] 2026-01-26 | Overcoming Barren Plateaus in Variational Quantum Circuits using a Two-Step Least Squares Approach
[arXiv] 2026-01-26 | Addressing LLM Diversity by Infusing Random Concepts
[arXiv] 2026-01-26 | Neutrino opacities in magnetic fields for binary neutron star merger simulations
[arXiv] 2026-01-26 | Multi-target density matrix renormalization group for 3D CFTs on the fuzzy sphere
[arXiv] 2026-01-26 | On slope unstable Fano varieties
[arXiv] 2026-01-26 | Preference-based Centrality and Ranking in General Metric Spaces
[arXiv] 2026-01-26 | Learning Fair Domain Adaptation with Virtual Label Distribution
[arXiv] 2026-01-26 | Sub-ion scale current sheets in kinetic Alfvén wave turbulence
[arXiv] 2026-01-26 | GenAI for Social Work Field Education: Client Simulation with Real-Time Feedback
[arXiv] 2026-01-26 | Coding Schemes for Document Exchange under Multiple Substring Edits
[arXiv] 2026-01-26 | Geometrical Constraints On Leptonic Unitarity Triangles
[arXiv] 2026-01-26 | Multi-epoch VLBI observations of the blazar 3C 66A: Spatial twisting and temporal oscillation of the parsec-scale jet
[arXiv] 2026-01-26 | A note on nested conditions for finite categories of subgraphs
[arXiv] 2026-01-26 | Gap Labelling for Almost Periodic Sturm-Liouville Operators
[arXiv] 2026-01-26 | Toward Scalable Normalizing Flows for the Hubbard Model
[arXiv] 2026-01-26 | TriPlay-RL: Tri-Role Self-Play Reinforcement Learning for LLM Safety Alignment
[arXiv] 2026-01-26 | Higher-order topological bound states in the continuum in a topoelectrical lattice with long-range coupling
[arXiv] 2026-01-26 | A Quantum-safe Key Exchange Scheme using Mihailova Subgroups in Braid groups
[arXiv] 2026-01-26 | Complexity and structure scalars of Type II matter fields
[arXiv] 2026-01-26 | Reflecting Twice before Speaking with Empathy: Self-Reflective Alternating Inference for Empathy-Aware End-to-End Spoken Dialogue
[arXiv] 2026-01-26 | Topology optimization of passively moving rigid bodies in unsteady flows
[arXiv] 2026-01-26 | Chemical study of two starless cores in the B213/L1495 filament
[arXiv] 2026-01-26 | A multimodal vision foundation model for generalizable knee pathology
[arXiv] 2026-01-26 | Relative Dixmier property for Poisson algebras
[arXiv] 2026-01-26 | Direct observation of vortex liquid droplets in the iron pnictide superconductor CaKAs$_4$Fe$_4$ at $0.5T$_c$
[arXiv] 2026-01-26 | Double-bosonization and Majid's conjecture (V): grafting of quantum groups
[arXiv] 2026-01-26 | Using LibCal Seats to Better Serve Students
[arXiv] 2026-01-26 | 150 years of ground-based solar instrumentation at Meudon observatory (1876-2026)
[arXiv] 2026-01-26 | Elliptic genera and E8 Bundles in odd dimensions
[arXiv] 2026-01-26 | On positivity of CM line bundles on the moduli space of klt good minimal models with $κ=1$
[arXiv] 2026-01-26 | GAIA: A Data Flywheel System for Training GUI Test-Time Scaling Critic Models
[arXiv] 2026-01-26 | MindCine: Multimodal EEG-to-Video Reconstruction with Large-Scale Pretrained Models
[arXiv] 2026-01-26 | Critical collapse of a massive scalar field in semi-classical loop quantum gravity
[arXiv] 2026-01-26 | \textsc{NaVIDA}: Vision-Language Navigation with Inverse Dynamics Augmentation
[arXiv] 2026-01-26 | On the Image of the $p$-adic Logarithm on Annuli of Principal Units
[arXiv] 2026-01-26 | Accurate semiempirical analytical formulas for spontaneous polarization by crystallographic parameters of SrTiO3-BaTiO3 system by ab initio calculations
[arXiv] 2026-01-26 | Exploring Customizable Interactive Tools for Therapeutic Homework Support in Mental Health Counseling
[arXiv] 2026-01-26 | Asymptotic properties of multivariate Szász-Mirakyan distribution estimators on the nonnegative orthant
[arXiv] 2026-01-26 | Programming Nonlinear Interfacial Mechanics of Synthetic Cells: Lipid Geometry and DNA Nanostructures
[arXiv] 2026-01-26 | Quantum Recurrent Unit: A Parameter-Efficient Quantum Neural Network Component
[arXiv] 2026-01-26 | AI-based separation of turbulence from coherent background flows in decaying hydrodynamic turbulence
[arXiv] 2026-01-26 | Beyond Pairwise Comparisons: A Distributional Test of Distinctiveness for Machine-Generated Works in Intellectual Property Law
[arXiv] 2026-01-26 | On Golod Subdeterminantal Ideals
[arXiv] 2026-01-26 | Explaining Synergistic Effects in Social Recommendations
[arXiv] 2026-01-26 | On 2-dimensional invariant subspaces of matrices
[arXiv] 2026-01-26 | Forward Consistency Learning with Gated Context Aggregation for Video Anomaly Detection
[arXiv] 2026-01-26 | Nonlinear multi-study factor analysis
[arXiv] 2026-01-26 | The Limits of AI Data Transparency Policy: Three Disclosure Fallacies
[arXiv] 2026-01-26 | Elliptic Chern Characters and Elliptic Atiyah--Witten Formula
[arXiv] 2026-01-26 | The Sherman-Morrison-Markowitz Portfolio
[arXiv] 2026-01-26 | Grasp-and-Lift: Executable 3D Hand-Object Interaction Reconstruction via Physics-in-the-Loop Optimization
[arXiv] 2026-01-26 | Beyond Text-to-SQL: Can LLMs Really Debug Enterprise ETL SQL?
[arXiv] 2026-01-26 | Demystifying Data-Driven Probabilistic Medium-Range Weather Forecasting
[arXiv] 2026-01-26 | CHiRPE: A Step Towards Real-World Clinical NLP with Clinician-Oriented Model Explanations
[arXiv] 2026-01-26 | EFT Perspective On de-Sitter S-Matrix
[arXiv] 2026-01-26 | Tail-Latency-Aware Federated Learning with Pinching Antenna: Latency, Participation, and Placement
[arXiv] 2026-01-26 | Dimers for degenerating families of M-curves
[arXiv] 2026-01-26 | From LLMs to LRMs: Rethinking Pruning for Reasoning-Centric Models
[arXiv] 2026-01-26 | Log-linear law of the mean streamwise velocity in turbulent boundary layers with moderate adverse pressure gradients
[arXiv] 2026-01-26 | Feedback-Based Quantum Control for Safe and Synergistic Drug Combination Design
[arXiv] 2026-01-26 | Use of operator defect identities in multi-channel signal plus residual-analysis via iterated products and telescoping energy-residuals: Applications to kernels in machine learning
[arXiv] 2026-01-26 | Comparison requires valid measurement: Rethinking attack success rate comparisons in AI red teaming
[arXiv] 2026-01-26 | Diffusion Model-based Reinforcement Learning for Version Age of Information Scheduling: Average and Tail-Risk-Sensitive Control
[arXiv] 2026-01-26 | Mesoamerican proportional design and astronomical dualities: rational approximations consistent with $φ$ and $π$ in calendrics and architecture
[arXiv] 2026-01-26 | Grounded Concreteness: Human-Like Concreteness Sensitivity in Vision-Language Models
[arXiv] 2026-01-26 | Resonant Sparse Geometry Networks
[arXiv] 2026-01-26 | Invariance of domain in locally o-minimal structures
[arXiv] 2026-01-26 | Thicker amorphous grain boundary complexions reduce plastic strain localization in nanocrystalline Cu-Zr
[arXiv] 2026-01-26 | Nucleophilic substitution at silicon under vibrational strong coupling: Refined insights from a high-level ab initio perspective
[arXiv] 2026-01-26 | Hybrid Radar Fusion with Quantization: CRB-Rate Trade-offs and ADC Dynamic Range
[arXiv] 2026-01-26 | Exploring Fine-Tuning for In-Context Retrieval and Efficient KV-Caching in Long-Context Language Models
[arXiv] 2026-01-26 | Gravitational Lorentz-violating $e^-+e^+\to\ell^-+\ell^+$ scattering
[arXiv] 2026-01-26 | Livestock, Methane and Climate
[arXiv] 2026-01-26 | Magnetic Signatures of a Putative Fractional Topological Insulator in Twisted MoTe2
[arXiv] 2026-01-26 | Curvature and Lagrangian submanifolds of nearly Kähler $\mathbb{C}P^3$
[arXiv] 2026-01-26 | Regulatory Hub Discovery in MDD Methylome: Hypotheses for Molecular Subtypes via Computational Analysis
[arXiv] 2026-01-26 | Real-Time Prediction of Lower Limb Joint Kinematics, Kinetics, and Ground Reaction Force using Wearable Sensors and Machine Learning
[arXiv] 2026-01-26 | DisasterInsight: A Multimodal Benchmark for Function-Aware and Grounded Disaster Assessment
[arXiv] 2026-01-26 | Electrostatic Screening Modulation of Graphene's Electronic Structure and the Helical Wavefunction-Dominated Topological Properties
[arXiv] 2026-01-26 | Superconductivity under pressure in the two-dimensional van der Waals heavy-fermion metal CeSiI
[arXiv] 2026-01-26 | Plasmon assisted superconductivity in LiTi$_2$O$_4$
[arXiv] 2026-01-26 | First-principles study of bulk stacking, $J_{\rm eff}$ picture, magnetic Hamiltonian, $g$ factors, and structural distortions of $α$-RuCl$_3$
[arXiv] 2026-01-26 | OffSeeker: Online Reinforcement Learning Is Not All You Need for Deep Research Agents
[arXiv] 2026-01-26 | Study of dynamical systems and large-scale structure
[arXiv] 2026-01-26 | Justification of a Relaxation Approximation for the Navier-Stokes-Cahn-Hilliard System
[arXiv] 2026-01-26 | Phase conjugated master oscillator fiber power amplifier
[arXiv] 2026-01-26 | Deep Reinforcement Learning for Hybrid RIS Assisted MIMO Communications
[arXiv] 2026-01-26 | On the existence of heavy columns in binary matrices with distinct rows
[arXiv] 2026-01-26 | On Procrustes Contamination in Machine Learning Applications of Geometric Morphometrics
[arXiv] 2026-01-26 | NuMagSANS: a GPU-accelerated open-source software package for the generic computation of nuclear and magnetic small-angle neutron scattering observables of complex systems
[arXiv] 2026-01-26 | UrgentMOS: Unified Multi-Metric and Preference Learning for Robust Speech Quality Assessment
[arXiv] 2026-01-26 | TopKGAT: A Top-K Objective-Driven Architecture for Recommendation
[arXiv] 2026-01-26 | Analyzing the Error of Generative Diffusion Models: From Euler-Maruyama to Higher-Order Schemes
[arXiv] 2026-01-26 | Electric and magnetic timelike form factors of hyperons at large transfer momentum
[arXiv] 2026-01-26 | A Jacobian-free Newton-Krylov method for high-order cell-centred finite volume solid mechanics
[arXiv] 2026-01-26 | Comparative Evaluation of Machine Learning Algorithms for Affective State Recognition from Children's Drawings
[arXiv] 2026-01-26 | Time-Scale-Adaptable Spectrum Sharing for Hybrid Satellite-Terrestrial Networks
[arXiv] 2026-01-26 | Self-assembly of quasicrystals under cyclic shear
[arXiv] 2026-01-26 | Estimating Dense-Packed Zone Height in Liquid-Liquid Separation: A Physics-Informed Neural Network Approach
[arXiv] 2026-01-26 | Seeing through water: diffuse image-based depth measurements in three-dimensional dam-break flows
[arXiv] 2026-01-26 | OCR-Enhanced Multimodal ASR Can Read While Listening
[arXiv] 2026-01-26 | Stability of the free boundary Willmore problem
[arXiv] 2026-01-26 | Assessing astrophysical foreground subtraction in DECIGO using compact binary populations inferred from the first part of the LIGO-Virgo-KAGRA's fourth observation run
[arXiv] 2026-01-26 | Gaze Prediction in Virtual Reality Without Eye Tracking Using Visual and Head Motion Cues
[arXiv] 2026-01-26 | Nonparametric inference for spot volatility in pure-jump semimartingales
[arXiv] 2026-01-26 | Adversarial Synchronization
[arXiv] 2026-01-26 | Uncertainty Quantification in Calibration and Simulation of Thermo-Chemical Curing of Epoxy Resins
[arXiv] 2026-01-26 | On strong valid inequalities for a class of mixed-integer nonlinear sets with box constraints
[arXiv] 2026-01-26 | Can Good Writing Be Generative? Expert-Level AI Writing Emerges through Fine-Tuning on High-Quality Books
[arXiv] 2026-01-26 | Forecasting the Maintained Score from the OpenSSF Scorecard for GitHub Repositories linked to PyPI libraries
[arXiv] 2026-01-26 | Beyond Rigid: Benchmarking Non-Rigid Video Editing
[arXiv] 2026-01-26 | A Dataset for Automatic Vocal Mode Classification
[arXiv] 2026-01-26 | Integrated Channel Estimation and Sensing for Near-Field ELAA Systems
[arXiv] 2026-01-26 | Cognitive Fusion of ZC Sequences and Time-Frequency Images for Out-of-Distribution Detection of Drone Signals
[arXiv] 2026-01-26 | Possible favored Great Oxidation Event scenario on exoplanets around M-Stars with the example of TRAPPIST-1e
[arXiv] 2026-01-26 | Structural and dynamic anomalous properties of TIP4P/2005 water at extreme pressures
[arXiv] 2026-01-26 | Active topological strings in renewing nematopolar fluids
[arXiv] 2026-01-26 | Calibrating Beyond English: Language Diversity for Better Quantized Multilingual LLM
[arXiv] 2026-01-26 | SwipeGen: Bridging the Execution Gap in GUI Agents via Human-like Swipe Synthesis
[arXiv] 2026-01-26 | On the inclusion of bounded harmonic functions of random walks
[arXiv] 2026-01-26 | Suppressing Final Layer Hidden State Jumps in Transformer Pretraining
[arXiv] 2026-01-26 | Subword-Based Comparative Linguistics across 242 Languages Using Wikipedia Glottosets
[arXiv] 2026-01-26 | Uniformly balanced $H$-factors in multicoloured complete graphs
[arXiv] 2026-01-26 | Design Techniques for LLM-Powered Interactive Storytelling: A Case Study of the Dramamancer System
[arXiv] 2026-01-26 | Multi-Objective Reinforcement Learning for Efficient Tactical Decision Making for Trucks in Highway Traffic
[arXiv] 2026-01-26 | Low-Bit Quantization of Bandlimited Graph Signals via Iterative Methods
[arXiv] 2026-01-26 | Another relation among the neutrino mass-squared differences?
[arXiv] 2026-01-26 | Virgo Filaments VI: H$α$ clumps in the filaments around the Virgo galaxy cluster
[arXiv] 2026-01-26 | Unknotting number and connected sums: The knots $4_1$ and $5_1$
[arXiv] 2026-01-26 | Efficient Trotter-Suzuki Schemes for Long-time Quantum Dynamics
[arXiv] 2026-01-26 | Capturing P: On the Expressive Power and Efficient Evaluation of Boolean Retrieval
[arXiv] 2026-01-26 | Coherent control of photon pairs via quantum interference between second- and third-order quantum nonlinear processes
[arXiv] 2026-01-26 | Approximate level-by-level maximum-likelihood decoding based on the Chase algorithm for high-rate concatenated stabilizer codes
[arXiv] 2026-01-26 | Sofic actions, halo products, and metric approximations of groups
[arXiv] 2026-01-26 | Advances and Innovations in the Multi-Agent Robotic System (MARS) Challenge
[arXiv] 2026-01-26 | Riemannian AmbientFlow: Towards Simultaneous Manifold Learning and Generative Modeling from Corrupted Data
[arXiv] 2026-01-26 | There is no Definable Grauert Direct Image Theorem
[arXiv] 2026-01-26 | Weight modules for quantum symmetric pair subalgebras
[arXiv] 2026-01-26 | Are Video Generation Models Geographically Fair? An Attraction-Centric Evaluation of Global Visual Knowledge
[arXiv] 2026-01-26 | Bridging Instead of Replacing Online Coding Communities with AI through Community-Enriched Chatbot Designs
[arXiv] 2026-01-26 | Explainability Methods for Hardware Trojan Detection: A Systematic Comparison
[arXiv] 2026-01-26 | Intracluster light as a dark matter tracer: how their spatial and kinematic relationship is shaped by satellite demographics
[arXiv] 2026-01-26 | AI-Driven Fuzzing for Vulnerability Assessment of 5G Traffic Steering Algorithms
[arXiv] 2026-01-26 | First observation of multi-phonon $γ$-vibrations in an odd-odd nuclear system
[arXiv] 2026-01-26 | An Explicit Entire Function of Order One with All Zeros on a Line and Bounded in a Half-Plane
[arXiv] 2026-01-26 | Learned harmonic mean estimation of the marginal likelihood for multimodal posteriors with flow matching
[arXiv] 2026-01-26 | Learning temporal embeddings from electronic health records of chronic kidney disease patients
[arXiv] 2026-01-26 | Melting dynamics and mixing layer growth near the ice-ocean interface
[arXiv] 2026-01-26 | Uniform Computability of PAC Learning
[arXiv] 2026-01-26 | Contrasting Global and Patient-Specific Regression Models via a Neural Network Representation
[arXiv] 2026-01-26 | A varying-coefficient model for characterizing duration-driven heterogeneity in flood-related health impacts
[arXiv] 2026-01-26 | Quantum Rotation Diversity in Displaced Squeezed Binary Phase-Shift Keying
[arXiv] 2026-01-26 | FaLW: A Forgetting-aware Loss Reweighting for Long-tailed Unlearning
[arXiv] 2026-01-26 | Digital Euro: Frequently Asked Questions Revisited
[arXiv] 2026-01-26 | Constraint-Aware Discrete-Time PID Gain Optimization for Robotic Joint Control Under Actuator Saturation
[arXiv] 2026-01-26 | Universality of Many-body Projected Ensemble for Learning Quantum Data Distribution
[arXiv] 2026-01-26 | Assessing the Quality of Mental Health Support in LLM Responses through Multi-Attribute Human Evaluation
[arXiv] 2026-01-26 | CONQUER: Context-Aware Representation with Query Enhancement for Text-Based Person Search
[arXiv] 2026-01-26 | Quantum gravitational stellar evolution beyond shell-crossing singularities
[arXiv] 2026-01-26 | Correspondence between quasinormal modes and grey-body factors of Schwarzschild--Tangherlini black holes
[arXiv] 2026-01-26 | Multimodal Privacy-Preserving Entity Resolution with Fully Homomorphic Encryption
[arXiv] 2026-01-26 | PolySHAP: Extending KernelSHAP with Interaction-Informed Polynomial Regression
[arXiv] 2026-01-26 | Goodness-of-Fit Checks for Joint Models
[arXiv] 2026-01-26 | On the top-dimensional $L^2$-Betti number of residually poly-$\mathbb Z$ groups
[arXiv] 2026-01-26 | Improvement of the Gilbert-Varshamov Bound for Linear Codes and Quantum Codes
[arXiv] 2026-01-26 | Stability as a Liability:Systematic Breakdown of Linguistic Structure in LLMs
[arXiv] 2026-01-26 | Vaccine Efficacy Estimands Implied by Common Estimators Used in Individual Randomized Field Trials
[arXiv] 2026-01-26 | GimmBO: Interactive Generative Image Model Merging via Bayesian Optimization
[arXiv] 2026-01-26 | Boundary condition for phonon distribution functions at a smooth crystal interface and interfacial angular momentum transfer
[arXiv] 2026-01-26 | Moving sample method for solving time-dependent partial differential equations
[arXiv] 2026-01-26 | Teaching Models to Teach Themselves: Reasoning at the Edge of Learnability
[arXiv] 2026-01-26 | Sparse QUBO Formulation for Efficient Embedding via Network-Based Decomposition of Equality and Inequality Constraints
[arXiv] 2026-01-26 | Cross-Domain Transfer with Self-Supervised Spectral-Spatial Modeling for Hyperspectral Image Classification
[arXiv] 2026-01-26 | Area-minimizing capillary cones
[arXiv] 2026-01-26 | Sampling Sphere Packings with Continuum Glauber Dynamics
[arXiv] 2026-01-26 | Paying Less Generalization Tax: A Cross-Domain Generalization Study of RL Training for LLM Agents
[arXiv] 2026-01-26 | Holography with an Inner Boundary: A Smooth Horizon as a Sum over Horizonless States
[arXiv] 2026-01-26 | Saturation numbers for $3$-uniform Berge-$K_4$
[arXiv] 2026-01-26 | Data-Driven Qubit Characterization and Optimal Control using Deep Learning
[arXiv] 2026-01-26 | Global Optimization of Atomic Clusters via Physically-Constrained Tensor Train Decomposition
[arXiv] 2026-01-26 | Emergent Cooperation in Quantum Multi-Agent Reinforcement Learning Using Communication
[arXiv] 2026-01-26 | Beyond the Checkbox: Strengthening DSA Compliance Through Social Media Algorithmic Auditing
[arXiv] 2026-01-26 | Novel five-dimensional rotating Lifshitz black holes with electric and axionic charges
[ACM] 2026-1-26 | ACM Past, Present, Future
[ACM] 2026-1-26 | ARDiS: A Portable and Unified Resource Management Framework in Real Hardware Systems
[ACM] 2026-1-26 | Introduction to HPC Programming
[ACM] 2026-1-26 | Thermal Attack on RO-PUFs: The Cases of Bulk 65 nm and FDSOI 28 nm
[ACM] 2026-1-26 | Confidential Computing on Heterogeneous CPU-GPU Systems: Survey and Future Directions
[ACM] 2026-1-26 | Towards an AI-Based Solution of Protein Structure Prediction Problem
[ACM] 2026-1-26 | Digital Twins for Cultural Heritage: A Systematic Analysis of the State of the Art
[ACM] 2026-1-26 | Utilizing Telepresence Robots in Undergraduate Nursing Simulations
[ACM] 2026-1-26 | AI Hands-On
[ACM] 2026-1-26 | Earth Observation Data Analysis Using Machine Learning
[ACM] 2026-1-26 | RISC-V prototypes for HPC: Maturity and Methods
[ACM] 2026-1-26 | A Systematic Literature Review of Healthcare Embedded Systems Using AI-based Biosignal Analysis
[ACM] 2026-1-26 | Proceedings of the Conference on ACM Europe Summer School on HPC Computer Architectures for AI and Dedicated Applications
[ACM] 2026-1-26 | Session Summary Podcast: Session 3: Machine Memories
[ACM] 2026-1-26 | The Digital Revolution of Earth System Modelling
[ACM] 2026-1-26 | Distributed Data Analytics for AI in Supercomputing Systems
[ACM] 2026-1-26 | Session Summary Podcast: Session 3: Short Papers
[ACM] 2026-1-26 | Agent-Based Simulation for Earthquake Disaster Mitigation
[ACM] 2026-1-26 | Diagnostic Studies of High-Resolution Global Climate Model
[ACM] 2026-1-26 | Getting Started with ROCm/HIP and its Academic Resources
[ACM] 2026-1-26 | Session Summary Podcast: Session 2: Special Sessions Papers
[ACM] 2026-1-26 | Parallel Programming with MPI and OpenMP Hands-on
[ACM] 2026-1-26 | Session Summary Podcast: Session 4: Reframing Vision
[ACM] 2026-1-26 | Integration of 3D Earthquake Simulation &amp; Real-Time Data Assimilation
[ACM] 2026-1-26 | An Active Learning Framework for Analog Circuit Multi-objective Customization
[ACM] 2026-1-26 | Climate Simulations
[ACM] 2026-1-26 | Introduction to the Use of Fugaku
[ACM] 2026-1-26 | Hands-on for Scientific Benchmarking
[ACM] 2026-1-26 | From Viruses to Food and New Drugs, Next Generation AI Applications and High Performance Computing
[ACM] 2026-1-26 | BBR Congestion Control Algorithms: Evolution, Challenges and Future Directions
[ACM] 2026-1-26 | From Sequence to Function: Applications of Protein Language Models in Protein Design
[ACM] 2026-1-26 | Molecular Dynamics Simulations of Biomolecular Systems
[ACM] 2026-1-26 | HPC and AI
[ACM] 2026-1-26 | A deep dive into sustainable generative AI and HPC systems
[ACM] 2026-1-26 | SCPL: Enhancing Neural Network Training Throughput with Decoupled Local Losses and Model Parallelism
[ACM] 2026-1-26 | Scientific Benchmarking
[ACM] 2026-1-26 | Introduction to HPC Applications and Systems
[ACM] 2026-1-26 | Solving 3D Puzzles of Biomolecular Interactions by Integrative Modelling: Part 1
[ACM] 2026-1-26 | Turing Lecture: A Not So Simple Matter of Software
[ACM] 2026-1-26 | ASEAN School on High-Performance Computing and Artificial Intelligence
[ACM] 2026-1-26 | AI Factories in the European HPC Ecosystem
[ACM] 2026-1-26 | Building and Evolving a Multilingual LLM: From First Steps to Specialization
[ACM] 2026-1-26 | Quick Start to Quantum Computing: Programming Variational Algorithms with CUDA-Q
[ACM] 2026-1-26 | GAEDM: Genetic Algorithm-Enhanced Static Analysis for Detection of API Hashing Obfuscation in Malware
[ACM] 2026-1-26 | Session Summary Podcast: Proceedings of the 7th Joint Workshop on CPS&amp;IoT Security and Privacy
[ACM] 2026-1-26 | Introduction to Performance Analysis and Optimization of HPC Applications
[ACM] 2026-1-26 | Session Summary Podcast: Session 5: Doctoral Symposium
[ACM] 2026-1-26 | The Use of LLMs and Other AI Models in Science
[ACM] 2026-1-26 | Scalable Methods for Storing and Retrieving Wikipedia Revision Histories for Large-Scale Analysis
[ACM] 2026-1-26 | Virtual Fugaku: Your own Fugaku on Cloud Service
[ACM] 2026-1-26 | Qilimanjaro Workshop: Practical Introduction to Quantum Computing
[ACM] 2026-1-26 | Session Summary Podcast: Session 5: Subversive Agencies
[ACM] 2026-1-26 | Session Summary Podcast: Session 6: Demo Papers
[ACM] 2026-1-26 | Session Summary Podcast: Session 2: Ecological Worlding
[ACM] 2026-1-26 | Solving 3D Puzzles of Biomolecular Interactions by Integrative Modelling: Part 2
[ACM] 2026-1-26 | A Co-optimization Framework for Multi-layer Design Rule Constraints
[ACM] 2026-1-26 | Scaling up Computing Chip(lets) for the Generative AI Era
[ACM] 2026-1-26 | Session Summary Podcast: Session 6: Mediated Data
[ACM] 2026-1-26 | Session Summary Podcast: Session 4: Brave New Idea
[ACM] 2026-1-26 | MERINDA: Model Recovery in FPGA-Based Dynamic Architecture for Edge and Physical AI
[ACM] 2026-1-26 | Expedited development of novel RISC-V instructions through an emulation-simulation framework
[ACM] 2026-1-26 | Session Summary Podcast: Session 1: Embodied Sensing
[ACM] 2026-1-26 | Atomistic Simulations and Applications for Drug Design
[ACM] 2026-1-26 | Opening of School
[ACM] 2026-1-26 | AI for Materials Discovery
共写入 816 条记录，保存到 papers/paper2026-01-26.json。
论文获取成功，文件路径: papers/paper2026-01-26.json
正在筛选、翻译并发送邮件...
[NO] 1/816 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[NO] 2/816 | ctELM: Decoding and Manipulating Embeddings of Clinical Trials with Embedding Language Models
[NO] 3/816 | Baryonification III: An accurate analytical model for the dispersion measure probability density function of fast radio bursts
[YES] 4/816 | POPE: Learning to Reason on Hard Problems via Privileged On-Policy Exploration
[NO] 5/816 | Practical block encodings of matrix polynomials that can also be trivially controlled
[NO] 6/816 | Goal-oriented Communication for Fast and Robust Robotic Fault Detection and Recovery
[NO] 7/816 | Multi-Stage Structured Estimators for Information Freshness
[NO] 8/816 | UI Remix: Supporting UI Design Through Interactive Example Retrieval and Remixing
[NO] 9/816 | Divergence-free and mass-conservative virtual element methods for the Navier-Stokes-Cahn-Hilliard system
[NO] 10/816 | Role of the symmetry energy on hybrid stars
[NO] 11/816 | SeNeDiF-OOD: Semantic Nested Dichotomy Fusion for Out-of-Distribution Detection Methodology in Open-World Classification. A Case Study on Monument Style Classification
[NO] 12/816 | Roth-type theorems in $K_{s,t}$-free sets
[NO] 13/816 | An ISAC-ready Full-Duplex Backscatter Architecture for the mmWave IoT
[NO] 14/816 | HalluCitation Matters: Revealing the Impact of Hallucinated References with 300 Hallucinated Papers in ACL Conferences
[NO] 15/816 | Trustworthy Evaluation of Robotic Manipulation: A New Benchmark and AutoEval Methods
[NO] 16/816 | A mixed interpolation-regression method for numerical integration on the unit circle using zeros of para-orthogonal polynomials
[NO] 17/816 | Nontrivial bounds on extractable energy in quantum energy teleportation for gapped manybody systems with a unique ground state
[NO] 18/816 | A New Layered Kagome Strip Structure Na2Co3(AsO4)2(OH)2: Static and Dynamic Magnetic Properties
[NO] 19/816 | Low Cost, High Efficiency: LiDAR Place Recognition in Vineyards with Matryoshka Representation Learning
[NO] 20/816 | Analyzing Images of Blood Cells with Quantum Machine Learning Methods: Equilibrium Propagation and Variational Quantum Circuits to Detect Acute Myeloid Leukemia
[NO] 21/816 | Efficient SN-like and PN-like Dynamic Low Rank methods for Thermal Radiative Transfer
[NO] 22/816 | Normal and Poisson approximation for Gibbs point processes with pair potentials
[NO] 23/816 | A Pragmatic VLA Foundation Model
[NO] 24/816 | Function estimation in the empirical Bayes setting
[NO] 25/816 | Optimal strategy and deep hedging for share repurchase programs
[NO] 26/816 | Out-of-Distribution Radar Detection with Complex VAEs: Theory, Whitening, and ANMF Fusion
[NO] 27/816 | Level structure of light neutron-rich La isotopes beyond the N=82 shell closure
[NO] 28/816 | A Dynamic Framework for Grid Adaptation in Kolmogorov-Arnold Networks
[NO] 29/816 | Adaptive dynamics of alternating Prisoner's Dilemma with memory N
[NO] 30/816 | Novikov Coordinates and the Physical Description of Gravitational Collapse
[NO] 31/816 | Order Out of Noise and Disorder: Fate of the Frustrated Manifold
[NO] 32/816 | D1-D5 CFT data from $AdS_3 \times S^3$ Virasoro-Shapiro amplitude
[NO] 33/816 | Birational Weyl Group Action on the Symplectic Groupoid and Cluster Algebras
[NO] 34/816 | The ALMA-ATOMS survey: Methanol emission in a large sample of hot molecular cores
[NO] 35/816 | Rank-1 Approximation of Inverse Fisher for Natural Policy Gradients in Deep Reinforcement Learning
[YES] 36/816 | CASSANDRA: Programmatic and Probabilistic Learning and Inference for Stochastic World Modeling
[NO] 37/816 | Geometry-Free Conditional Diffusion Modeling for Solving the Inverse Electrocardiography Problem
[NO] 38/816 | Edge States Effects in Quantum Work Statistics
[NO] 39/816 | Polynomials in molecules
[NO] 40/816 | Learning long term climate-resilient transport adaptation pathways under direct and indirect flood impacts using reinforcement learning
[NO] 41/816 | The Hasse principle for diagonal forms restricted to a hypersurface of adjacent degree
[NO] 42/816 | One Persona, Many Cues, Different Results: How Sociodemographic Cues Impact LLM Personalization
