[2026-08-28 02:37:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[NO] 121/1986 | Relativistic Modeling for Solid Earth Tide Estimation via Space-to-Ground Clock Comparison
[NO] 122/1986 | RECAP-Forcing: Retaining Content Appearances for Long Video Generation
[NO] 123/1986 | A Barrier Primal Dual Hybrid Gradient Method for Solving Linear Programming Problems
[NO] 124/1986 | Optical Discovery of New and Candidate Galactic Supernova Remnants Plus Optical Imaging of the Monogem Ring Supernova Remnant
[NO] 125/1986 | Strain-driven orbital-selective reconstruction and bicollinear-to-stripe evolution in FeTe
[NO] 126/1986 | Hierarchical Channel Stacking: A Structured Decision Framework for AI-Generated Image Detection
[NO] 127/1986 | Quadratic Convexification of a Square Truncated by a Hyperbola
[NO] 128/1986 | Which Metrics Save the Most Human Annotation? Prediction-Powered Evaluation and Meta-Evaluation
[NO] 129/1986 | Z-Fold Wing Aeroelasticity: Compositional Modeling, 1:2 Double-Hopf Dynamics, and Nonlinear Stiffness Effects
[NO] 130/1986 | $\mathbb{F}_q$-linear relations among Thakur's multiple zeta values in positive characteristic
[NO] 131/1986 | Lower bound on the thickness of broadband dielectric mirrors
[NO] 132/1986 | Open Problems in Mathematical Logic
[NO] 133/1986 | Relaxation-Aware Multimodal Sensing of Soft Gripper Driven by Structure-Perception-Learning
[NO] 134/1986 | When dissipative steady states admit thermodynamic occupation laws
[NO] 135/1986 | Influence of twist direction and large deformation on soft material torsional contact
[NO] 136/1986 | FU-Mamba: A Frequency-Enhanced Dynamic Scanning Framework for Oralscan Image Segmentation
[NO] 137/1986 | Analyzing Within-Subject Experiments: Identification, Testing, and Sensitivity
[NO] 138/1986 | Faster FPRAS for the Permanent via Restricted Poincaré Inequalities and Coupled Flows
[NO] 139/1986 | Kawamata--Miyaoka type inequality for weak Fano varieties
[NO] 140/1986 | SimCast-S2S: An Efficient Generative Model for Subseasonal Precipitation Forecasting via Transfer Learning from Climate Simulations
[NO] 141/1986 | DPA-I2P: Depth-Guided Projective Alignment for Image-to-Point-Cloud Registration in Autonomous Driving
[NO] 142/1986 | J-Zero: Unified Challenger--Solver--Judge Co-Evolution from Zero Data
[NO] 143/1986 | Atomic investigations on the mechanical properties of CoCrNi medium-entropy alloy nanowires
[NO] 144/1986 | Optimizing API Gateway Placement in Multi-Cloud Kubernetes
[NO] 145/1986 | Geometric $K$-homology and operator $K$-theory for Hilbert manifolds
[NO] 146/1986 | A Unified Adaptive Enrichment Design for Power Enhancement
[NO] 147/1986 | Physics-Informed Stochastic Configuration Machine: A Backpropagation-Free Neural Network with Fast Training for Nonlinear Differential Equations
[NO] 148/1986 | Chart2SVG: Editable SVG Generation from Raster Chart Images
[NO] 149/1986 | Posterior consistency for subdiffusion inverse problems
[NO] 150/1986 | Multi2AV-Safety: Benchmarking Safety in Multimodal-to-Audio-Video Generation
[NO] 151/1986 | FAN-LoRA: A Fourier-Adaptive Nonlinear Low-Rank Adaptor for Medical Foundation Model Domain Adaptation
[NO] 152/1986 | High Probability Derivative Bounds for Random tanh Neural Networks on a Hypercube
[NO] 153/1986 | Background Intensity Estimation for Cassini-ISS Image Using Deep Learning-Based Diffusion Model
[NO] 154/1986 | Algorithmic Principles For Multiclass Learning Are Hard To Come By: Limits of Regularization and Proper Learning
[NO] 155/1986 | Volume Growth and Recurrence of Fractional Powers of the Laplace--Beltrami Operator
[NO] 156/1986 | Regularity for convex viscosity solutions of $σ_3$ equation
[NO] 157/1986 | Explicit Bounds on the Entropy of Piecewise Hölder Graphon Models
[NO] 158/1986 | Learning Woody Clearing With Loss Alignment for Zero-Shot Regrowth and Woody Segmentation
[NO] 159/1986 | Production Scheduling Identification: An Inverse Optimization Approach for Industrial Load Modeling Using Smart Meter Data
[NO] 160/1986 | Microstructure evolution as a game
[NO] 161/1986 | Zero-Shot Video Restoration and Enhancement with Text-to-Image Latent Diffusion Models and Multi-Modal References
[NO] 162/1986 | Power and Sample Size Calculations for Hybrid Controlled Trials
[NO] 163/1986 | The Atacama Cosmology Telescope: Constraints on the anisotropic screening and birefringence effects with DR6
[NO] 164/1986 | UrbanGround: From Local Perception to Spatial Agency in a Real-Scale City
[NO] 165/1986 | CritICL: Inference-Time Weak-to-Strong Generalization from Small Language Model Failure Modes
[NO] 166/1986 | Koszul duality and Morita categories
[NO] 167/1986 | Factorized Boolean representations for efficient quantum synthesis
[NO] 168/1986 | Persona-Execution Separation: An Architecture Pattern for Evolving LLM Agents under Execution Audit
[NO] 169/1986 | Detuning- and Stark-robust Rydberg gates
[NO] 170/1986 | Leading term strandings for webs
[NO] 171/1986 | Reservoir: A Large-Scale Simulated Dataset for Training and Evaluating Epidemiological Models
[NO] 172/1986 | Reconstructing Humans and Objects in Interaction using Large Reconstruction Models
[NO] 173/1986 | How Language Models Organize and Structure Moral Knowledge
[NO] 174/1986 | Map of the Interstellar Continuum FUV Field within 800 Parsecs
[NO] 175/1986 | Making Clinical Language Models Auditable: Concept-Guided Fine-Tuning for Robust Prediction
[NO] 176/1986 | RATIO: A Benchmark for Retrieval Across Typed Ideation Operations in Scientific Literature
[NO] 177/1986 | Stochastic transport of a Goldstone mode in a self-organized atomic crystal
[NO] 178/1986 | The Project Scheduling Interdiction Problem with Delay Groups
[NO] 179/1986 | Real-Time Emergence of Charge-Transfer-to-Solvent States from Core Excitation
[NO] 180/1986 | FlashVLA: Streaming Action Decoding for Fast and Asynchronous VLA Inference
[NO] 181/1986 | Universality and sharp thresholds for ellipsoid fitting
[NO] 182/1986 | $N$-body simulations of the open cluster population in the Milky Way and the impact of GMC encounters
[NO] 183/1986 | INTENT-AS-A-TOOL Makes it Easy to Track Agentic Misalignment
[NO] 184/1986 | Blindfolded pursuit with delays of your choice
[NO] 185/1986 | Not All Eval-Awareness Is Equal: Capabilities Framing Predicts Compliance
[NO] 186/1986 | Beyond Parallel Blindness: Information Floors and Model Gaps in Block Drafting
[NO] 187/1986 | Dynamics-based nonclassicality witness under dissipative dynamics
[NO] 188/1986 | Why Three Phases? A Historical and Engineering Reassessment of Phase Order in AC Power Transmission
[NO] 189/1986 | A blueprint for the formalization of norm-variation of multiple ergodic averages for commuting transformations
[NO] 190/1986 | Hyperuniformity as a unifying organizational principle across diatom architectures
[NO] 191/1986 | A Finite Sample Analysis for Quantile Temporal Difference Learning in Distributional Reinforcement Learning
[NO] 192/1986 | Nash Loci
[NO] 193/1986 | Astar: Learning to Propose Evolution Directions for Self-Evolving Industrial AI Systems
[NO] 194/1986 | MM-Spectrum: Multimodal Multi-spectral Molecular Structural Elucidation with a Stable MoE Framework
[NO] 195/1986 | TADP: Task-Aware Deformable Prediction for Single-Stage 3D Object Detection
[NO] 196/1986 | Benchmarking of Fast and Interpretable UF Machine Learning Potentials
[NO] 197/1986 | Efficient Quantum Simulations of Yang-Mills theory with Maximal-tree Gauge
[NO] 198/1986 | Design and performance of the Fast Beam Condition Monitor for luminosity and background measurement at the CMS Experiment in LHC Run 3
[NO] 199/1986 | What Makes Good Agentic Data? An ACE Lens on Data Generation for LLM Agents
[NO] 200/1986 | An Axial $U_A(1)_{L_μ-L_τ}$: UV Completion and Experimental Searches
[NO] 201/1986 | Kronecker Products, Polarity Quotients and Large Graph Constructions
[NO] 202/1986 | Compositional Online Learning for Semantic Data Processing Systems
[NO] 203/1986 | Importance Scoring of Transformer Attention Heads in Learning Tabular Data
[NO] 204/1986 | SPA: Securing Persistent LLM Agents Across Queries with Plan-First Information-Flow Control
[NO] 205/1986 | On di-Cayley graphs and their spectrum
[NO] 206/1986 | Tight Bounds for Purity and Product Testing from Partial Transposition
[NO] 207/1986 | QH-GEM: Quantum-Hydrodynamic Generative Modeling
[NO] 208/1986 | CODE: Cross-Modal Calibration and Dynamic Suppression for Open World Object Detection
[NO] 209/1986 | Waveguiding in systems of high contrast resonators: Theory and fast computations
[NO] 210/1986 | Muon acceleration at J-PARC
[NO] 211/1986 | Signless Laplacian spectral conditions for rainbow matchings in a collection of bipartite graphs
[NO] 212/1986 | Topologically protected perfect crossed Andreev reflection in flux-engineered quantum wire junctions
[YES] 213/1986 | KubeCap: A Framework for Capability Minimization in Kubernetes via Static Analysis and LLM-Assisted Rule Inference
[NO] 214/1986 | Adiabatic Otto-like quantum thermodynamical cycle in the non-quasi-static regime
[NO] 215/1986 | Beyond Reflection: Affirmation as a Promising Behavioral Marker Associated with Quality in Text-Based Counseling
[NO] 216/1986 | Reason in the Words You Speak: Idiolectal Paraphrasing Off-Policy Traces for Reasoning Distillation in VideoLLMs
[NO] 217/1986 | From Thermal History to Multi-Messenger Signatures in $\mathbb{Z}_3$ Symmetric Dark Sector
[NO] 218/1986 | ANRe-M1: a GPU-accelerated numerical relativity code with multi-energy M1 neutrino transport
[NO] 219/1986 | Visible Dielectric Metastructure for Generating Ultranarrow-band Perfect Absorption and Bound States in the Continuum
[NO] 220/1986 | Widely Tunable, Etch-free Multi-dielectric Fano Metasurfaces in the Visible
[NO] 221/1986 | Hull First, Wake Second: Wake-Reliance Suppression for Robust Maritime Vessel Detection
[NO] 222/1986 | Boundary-Moment Universality and Curvature Corrections in Random Geometric Graphs on Riemannian Manifolds
[NO] 223/1986 | PailitaoGR: Latent Think-with-Images for Generative Image Retrieval
[NO] 224/1986 | CoGeo-GS: Concept-Driven and Geometry-Aware Multi-Object Removal in 3D Scenes
[NO] 225/1986 | Tissue-Mixture Entropy-Weighted Reconstruction for Partial-Volume-Aware Brain MRI Super-Resolution
[NO] 226/1986 | Real-time Unsupervised Object Discovery from Asynchronous Event Streams
[NO] 227/1986 | A Centroid Framework for Operator-Valued Haagerup Inequalities
[NO] 228/1986 | Quantum-enhanced single and multiparameter metrology in qutrit ensembles by generalized twisting dynamics
[NO] 229/1986 | Launch-Bound and Substitutable: Why Three Inference Optimizations Fail to Pay Off in Mixture-of-Experts Models
[NO] 230/1986 | hoBIT: A Profile-Aware Retrieval-Augmented Chatbot for University Academic Advising
[YES] 231/1986 | The Thousand-Graph Hypothesis: A Testable Hypothesis of Task-Conditioned Relation Materialization in Repository-Level Code Reasoning
[NO] 232/1986 | Extending Low Latency Service Across the Internet
[NO] 233/1986 | Current-Limiting Control for Fault Ride-Through of LLC-based Solid-State Transformer in Data Centers
[NO] 234/1986 | Comparing v-numbers of symbolic and ordinary powers of squarefree monomial ideals
[NO] 235/1986 | Surgical Alignment in Knowledge Graph Training for Clinical Diagnosis with Large Language Models
[NO] 236/1986 | SOLO: Stable Omni-terrain Long-Horizon Perceptive Humanoid Locomotion
[NO] 237/1986 | Activation Outliers Matter: Robust Recovery for Quantized Multimodal LLMs
[NO] 238/1986 | Preference Flow Matching with Spectral Factorization for Micro-video Recommendation
[NO] 239/1986 | Arrive and Survive: Scaling Safe Goal-Conditioned Policy Learning from One-Bit Failure Signals
[NO] 240/1986 | From twelve to three active qubits: Ancilla-recycled rodeo filtering for trapped neutron-proton scattering
[NO] 241/1986 | Nil-Bohr Sets and Sums with Bounded Gaps
[NO] 242/1986 | SPT: Skills as Pre-Training Data for Agentic Language Models
[NO] 243/1986 | Local Product Structure of Expansive Flows with Shadowing Property
[NO] 244/1986 | Comparison of Two-Atom Cross Spectra in de Sitter Spacetime, Uniformly Accelerated Minkowski Vacuum, and a Thermal Bath
[NO] 245/1986 | IBLTs Measure Before They Decode: Self-Sizing Set Reconciliation from Pre-Peeling Counts
[NO] 246/1986 | Barrier Function Conformal Safety Clearance Certification with CVaR for Driving Trajectory Selection
[NO] 247/1986 | Atomic structure calculations for constraining new electron-electron forces
[NO] 248/1986 | Frequentist prediction intervals for random-effects meta-analysis via confidence-distribution propagation
[NO] 249/1986 | Visualizing Disequilibrium: Tracing Two-Point Correlations to Specific Spatial Structures in the Milky Way
[NO] 250/1986 | Cheaper by the Batch: Shared Traversal for Genotype Graph Editing
[NO] 251/1986 | Efficient Scheduling of Discrete Industrial Processes Through Continuous Modeling
[YES] 252/1986 | Zero-Shot Self-Orchestration with Ledger-Based Control for Improved LLM Coding Performance
[NO] 253/1986 | RubricRM: Generative Reward Modeling via Dynamic Rubrics for Image Generation and Editing
[NO] 254/1986 | A Table Is Worth 64 Tokens: Pixel-level Compression for Multi-Table Document Question Answering
[NO] 255/1986 | KISS-GS: 3D Gaussian Splatting Compression Kept Simple
[NO] 256/1986 | 4DSynth: Controllable Procedural World Synthesis for Dynamic Embodied Simulation
[NO] 257/1986 | Low-temperature magnetism and spin dynamics in the disordered triangular-lattice Yb$^{3+}$ compound LiCaYb$_5$(BO$_3$)$_6$
[NO] 258/1986 | Data-driven Koopman mode approximation: A neural power iteration algorithm
[NO] 259/1986 | Cavity-assisted homodyne detection with a single photodiode
[NO] 260/1986 | A Bayesian Longitudinal Model for Imputing Item-Level Missing Data in Trial-Based Economic Evaluations
[NO] 261/1986 | Rank Two Sheaves With Maximal Third Chern Class on the Fano Threefold of Index 2 and Degree 5
[NO] 262/1986 | Non-existence of separating morphisms of low degree
[NO] 263/1986 | AraMS-28k: The Largest Publicly Released Line-Level Dataset of Historical Arabic Manuscripts with Margin and Insertion-Anchor Annotations
[NO] 264/1986 | Bumpy inflation from explosive particle production
[NO] 265/1986 | Quenched activity induces nonuniversal scaling in nonreciprocal XY Models and surfaces
[NO] 266/1986 | Minimum Rate For Partially Observable Linear System with Side Information: LQG Plant and Gaussian-Markov Source
[NO] 267/1986 | Corrections induced by the GUP to the Lamb shift of an accelerated atom interacting with a quantum scalar field
[NO] 268/1986 | TOPIQ: Statistical Error Propagation for Quantity-of-Interest Prediction under Lossy Compression
[NO] 269/1986 | Band offsets and electronic structure at $α$/$β$-Ga$_2$O$_3$ and $κ$/$β$-Ga$_2$O$_3$ phase heterojunctions
[NO] 270/1986 | A novel Grand-Potential Phase-Field Lattice-Boltzmann model for multi-phase solidification with convection
[NO] 271/1986 | Climate Physics Dynamic Matching
[NO] 272/1986 | Relation graphs of the sedenion algebra
[NO] 273/1986 | Measure-valued free-energy minimizers for trapped bosons with repulsive Coulomb interaction
[NO] 274/1986 | Correcting Connectivity in Arc-Based QUBO Models for Fixed-Fleet Vehicle Routing
[NO] 275/1986 | Spectral Convergence of the Multipole Expansion Method for Acoustic Scattering in Three Dimensions
[NO] 276/1986 | Liouville theorems and removable sets for bounded $p$-harmonic and quasiharmonic functions on metric spaces under local assumptions
[NO] 277/1986 | The Bomb, the Hubris, and the Spectre
[NO] 278/1986 | FIDA: Feature Instability-Driven Attack on Self-Supervised Facial Representation
[NO] 279/1986 | Robust Lottery Compression for Metric Voting: A Transfer Principle for Bounded Randomness
[NO] 280/1986 | Towards Safe Reinforcement Learning with Reduced Conservativeness: A Case Study on Drone Flight Control
[NO] 281/1986 | Quantum Rare-Event Estimation for Ising Graphical Models with Belief-Propagation State Preparation
[NO] 282/1986 | Spectral-Efficient MIMO-OFDM: Low-Complexity Solution based on Random Multiplexing
[NO] 283/1986 | Interpretable hybrid credit scoring for thin-file and underbanked populations
[NO] 284/1986 | Small-time annealed large deviations principle for one-dimensional diffusions in a random environment
[NO] 285/1986 | Rethinking Image Processing for the Age of AI: A Problem-First Framework for Scientific Progress
[NO] 286/1986 | Evaluator-Dependent Patient-Adaptive ECG Lead-Channel Allocation
[NO] 287/1986 | The off-diagonal low rank property: new opportunities for low-scaling computational chemistry methods
[NO] 288/1986 | Multi-Image Visual Token Pruning in Large Visual Language Models
[NO] 289/1986 | Expected Shortfall Model Averaging
[NO] 290/1986 | A lone divider allocation algorithm with subjective divisibility
[NO] 291/1986 | Alkali lines at extreme densities and their impact on giant planet interior structure
[NO] 292/1986 | Integrating Network Psychometrics and LLMs: The Ising-Embeddings-Model applied to Reliability Auditing
[NO] 293/1986 | A Hybrid Post-Quantum Encryption Architecture with Self-Hosted Key Management for SME Cloud Data Protection
[NO] 294/1986 | Derivative hierarchy as the origin of kernel-dependent trends in Gaussian process reconstructions of the hubble parameter
[NO] 295/1986 | The weak bialgebra structures on $\mathbb{k}^{\oplus n}$
[NO] 296/1986 | Detectability of Forced ENSO Changes under Global Warming: Insights from the Recharge Oscillator
[NO] 297/1986 | DEEPCHART: How Far are LLMs from Faithful Data-Science Chart Generation?
[NO] 298/1986 | Letters hide the truth from our eyes: English homophones have meaningfully different phonetic realizations
[NO] 299/1986 | Moderate Deviations for the Largest Eigenvalue of a Randomly Deformed Gaussian Unitary Ensemble
[NO] 300/1986 | Claude Code Complete User Handbook
[NO] 301/1986 | Instability of two-dimensional nonrelativistic altermagnets
[NO] 302/1986 | Dynamic Tree Colors: Adaptive Discriminable Hierarchies with Minimum Instability
[NO] 303/1986 | Knowing When Not to Reuse: Conditional Experience Transfer in Autonomous LLM Post-Training
[NO] 304/1986 | Beyond a Single Story: Meta-Reviewing Sparse and Incomplete User-generated Contents for Recommendation
[NO] 305/1986 | Nonhamiltonian regular sublinear expanders
[NO] 306/1986 | Distinct routes to phase transitions in spatial activation systems
[NO] 307/1986 | A Structural Theory of Admissible Transitions in Biological Reaction Networks
[NO] 308/1986 | Terahertz anomalous Hall effect in magnetic Weyl semimetal Co$_3$Sn$_2$S$_2$
[NO] 309/1986 | Surrounded by Friends: Design and Evaluation of Immersive Layouts of Egocentric Network for Visual Analytics
[NO] 310/1986 | Unsupervised Adaptation of 3D CT Foundation Models for 3D CBCT Segmentation
[NO] 311/1986 | Multiscale Loop Vertex Expansion for Cumulants, the $φ^4_2$ Model
[NO] 312/1986 | When Interference Graphs Evolve: Doubly Robust Estimation of Dynamic Peer Effects
[NO] 313/1986 | Task-space model-based control of pneumatic soft actuators
[NO] 314/1986 | A Trans-Domain Digital Twin for Bio-Aware Control of Climate and Energy in Cattle Fattening Barns Using Single-Episode Optimizer Learning
[YES] 315/1986 | LLMs in Digital EDA: A perspective on shifting roles from Generation to Orchestration
[NO] 316/1986 | Parameter-Efficient pretrained-CT-to-MRI Transfer for Rectal Cancer Segmentation: Performance-Calibration Trade-offs
[NO] 317/1986 | ElemCo.jl: A Julia package for electron-correlation methods
[NO] 318/1986 | Prediction of Prediction (PoP): Inter-Layer Activation Fusion for Single-Pass Hallucination Detection in Large Language Models
[NO] 319/1986 | Inductive Correlation Clustering with Graph Neural Networks
[NO] 320/1986 | GRAIN: Bridging Name and Narrative Shifts in Real-World Graph Reasoning through Invariance-Rewarded Agentic RL
[NO] 321/1986 | Optimal Gaussian networks for private distributed quantum sensing
[NO] 322/1986 | Diatom frustules as naturally occurring resonant microarchitectures: revealing vibrational eigenmodes across pennate and centric species
[NO] 323/1986 | Cross-Lingual Alignment Without Joint Training: Do Monolingual Language Models Converge on Universal Representations?
[NO] 324/1986 | Linear Independence of Polynomial Compositions and Identifiability of Deep Neural Networks
[NO] 325/1986 | Primal-dual methods and acceleration for Morozov and equality constrained regularization
[NO] 326/1986 | LAAF: A Layered Accountability Architecture Framework for LLM Applications
[NO] 327/1986 | Product Structure Meets Track Layouts
[NO] 328/1986 | Automated 2D and 3D Segmentation of AMD and DME Lesions in OCT
[YES] 329/1986 | An Empirical Evaluation of Using Large Language Models for Automated Model-Based Test Generation
[NO] 330/1986 | Localization Delocalization Transition in Diffusion with Adaptive Resetting
[NO] 331/1986 | Active sensing to characterize the heterogeneity of plant stress
[NO] 332/1986 | Active Diffusion-Based Inference for Ill-Posed Inverse Problems under Incomplete Priors
[NO] 333/1986 | Learning Transverse Momentum Distributions from Raw Scattering Events via Conditional Diffusion
[NO] 334/1986 | Coupled stochastic variational principles for multiscale surface gravity waves -- Part I: theoretical framework
[NO] 335/1986 | THz-induced phonomagnetism in diamagnetic quantum paraelectric KTaO$_3$
[NO] 336/1986 | Global well-posedness for the 2D stochastic hypoviscous Navier-Stokes equations
[NO] 337/1986 | Radio Imaging and Resource Allocation in Frugal Multistatic D-MIMO ISAC Systems
[NO] 338/1986 | ITL: Interpretable Document Alignment with Structured Reference Frameworks
[NO] 339/1986 | Direct or Mediated? Task-Dependent Audio Information Routing in Large Audio Language Models
[NO] 340/1986 | Intrinsic anomalous Hall response in the bilayer kagome ferromagnet Co$_3$Sn
[NO] 341/1986 | Toric vector bundles and the number of zeros of vertical systems
[NO] 342/1986 | Field-driven attosecond deflection of electron beams at the position of planar foils
[NO] 343/1986 | A Multi-Modal AI Framework for Real-Time Queue Prediction, Management and Optimisation in Intelligent Border Control Systems
[NO] 344/1986 | Metamorphism: A mathematical challenge for antivirus technology
[NO] 345/1986 | Generalised Cone Conjecture, II: Generic Sakai surfaces
[NO] 346/1986 | Testing holographic computation of entanglement pseudo-entropy in dS\textsubscript{3}/ICFT\textsubscript{2}
[NO] 347/1986 | A note on shifting distributions via Poisson races
[NO] 348/1986 | DSA: Evidence-Aware LLM-Agent Orchestration for Multi-Market Stock Research
[NO] 349/1986 | Mean-covariance turnpikes in Wasserstein distributionally robust linear-quadratic control
[NO] 350/1986 | Rigidity on the two-torus and Sarnak's conjecture
[NO] 351/1986 | Squeezing More from Limited Data with Recursive Transformers
[NO] 352/1986 | Linear response for random systems with a cusp
[NO] 353/1986 | ClusterAttention: A training-free speedup of bidirectional attention
[NO] 354/1986 | WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution
[NO] 355/1986 | Distinguishing Quantum Capacitance Signatures of a Topological Majorana Wire from a Normal Wire Segment
[NO] 356/1986 | Proof of the AGT Conjecture at Generic $β$
[NO] 357/1986 | Do User-Authored Permission Policies Improve Protection Against AI Agent Overreach?
[NO] 358/1986 | Towards the Global Torelli Theorem
[NO] 359/1986 | RedEvoAgent: Automatic Red-Teaming Agent with Experience-Driven Skill Evolution
[NO] 360/1986 | Free Novikov-Zinbiel algebra
[NO] 361/1986 | Disjoint and nearly disjoint sums of matrix multiplication tensors and their centroids
[NO] 362/1986 | Scalar curvature on Kähler blow-ups and systolic inequalities
[NO] 363/1986 | misi: a Metric Inverted Sample Index
[NO] 364/1986 | Algorithms for Robbins' Problem using Markov Decision Processes
[NO] 365/1986 | Retrieval Heads Meet Vision: Uncovering How VLMs Locate and Extract Visual Information
[NO] 366/1986 | Consolidating RLVR Capabilities Across Domains: A Deep Dive into Fusion Paradigms
[NO] 367/1986 | The Erdos--Gallai bound for consecutive even cycle lengths
[NO] 368/1986 | Sharp quadratic $χ$-binding functions for powers of bipartite graphs
[NO] 369/1986 | CorporateBench: Large-Scale Q&A Benchmarking with Temporal Knowledge Bases
[NO] 370/1986 | Beyond Harassment: Exploring the Harm Experienced by People with Disabilities in Social Virtual Reality
[NO] 371/1986 | Token-Level Advertising
[NO] 372/1986 | How well can Diffusion Models learn Lagrangian-Tracer Statistics in Non-reciprocal Turbulence?
[NO] 373/1986 | Puro-2B: Poor Lab's Qwen2-1.5B Trained on RTX 5090 within $5090
[NO] 374/1986 | Successive Capacity Growth: Task-Complexity-Driven Width and Depth Expansion for Vision Transformer Encoders in JEPA World Models
[NO] 375/1986 | Nonparametric multiscale modeling of boundary lubrication: hexadecane in highly pressurized gold asperity contacts
[NO] 376/1986 | Pair-Level Essay-Scale Republication and Reuse from Fragmented Historical Text Reuse: A Workflow Study on Eighteenth-Century Books and Newspapers
[NO] 377/1986 | Ultra-Low-Loss Silicon Nitride on Sapphire for Broad-Transparency Nonlinear and Quantum Photonics
[NO] 378/1986 | IDSD: Iterative Deep-Learning-Based Signal Decomposition
[NO] 379/1986 | R2M-Bench: Evaluating Revisit Memory via Relative Consistency in Interactive Video World Models
[NO] 380/1986 | On Consecutive Non-primitive Elements over Finite Fields
[NO] 381/1986 | Numerical Godeaux Surfaces with many disjoint $(-2)$-curves and Applications
[NO] 382/1986 | Grain Boundary Phase Transitions Enable Diffusionless Climb of Disconnections
[NO] 383/1986 | Local Laws and Edge Universality for Noncentral Sample Covariance Matrices
[NO] 384/1986 | The Spherical Hadwiger Theorem
[NO] 385/1986 | Optimal cloning of mixed states
[NO] 386/1986 | The Matrix Pythagorean Equation over $\mathrm{GL}_2(\mathbb{Z})$
[NO] 387/1986 | A Multilevel Interacting Particle System Method for the estimation of Failure Probabilities
[NO] 388/1986 | Revisiting the enigmatic sixth star cluster in the Fornax dwarf spheroidal galaxy
[NO] 389/1986 | Asymptotic consensus and flocking under decaying persistent excitation on rooted digraphs
[NO] 390/1986 | Strategy-Proof and Minimally Wasteful Random Assignment
[NO] 391/1986 | Exceptional covers of the projective line with genus-one Galois closure: arithmetic forms over finite fields
[NO] 392/1986 | Conservative deterministic Markov models in mathematical biology: uniqueness of steady states, reversibility and computational methods
[NO] 393/1986 | Assessing Company Contributions to Societal Resilience: Extending the Societal Capacity Assessment Framework to Agentic AI
[NO] 394/1986 | HALO: A Heterogeneity-Aware Language-Aligned IMU Foundation Model for Open-Set Human Activity Recognition
[NO] 395/1986 | On the weak Lefschetz property of Artinian Gorenstein algebras of codimension three in arbitrary characteristic
[NO] 396/1986 | Towards the exploration of astrophysical datacubes through volumetric rendering within CARTA
[NO] 397/1986 | From Security Events to Conflict States: A Three-layer Cyber Defense Scenario Model for Enhanced Cyber Situational Awareness
[NO] 398/1986 | Strong Converse Exponent of Quantum State Merging
[NO] 399/1986 | Uniqueness of positively curved ancient Ricci flows on surfaces with boundary
[NO] 400/1986 | Nonlinear Model Predictive Control for Guidance Law with Target Input Estimation
[NO] 401/1986 | Occupation-Driven Josephson Diode in a Symmetric Junction
[NO] 402/1986 | A spatio-temporal block aggregation model for latent log Gaussian outcomes: application on modelling wastewater virus concentration in Wales
[NO] 403/1986 | PACE: A Unified Condense-and-Extract Paradigm for Fast VLM Inference
[NO] 404/1986 | Helly and Radon theorems for convex intersections containing $k$-flats
[NO] 405/1986 | Exploring $Z/γ$-mediated heavy FCNCs at the FCC-ee
[NO] 406/1986 | On Eigenvalue Bounds for Bounded Genus Graphs and Minor-Free Graphs
[NO] 407/1986 | STAR : Sentence Translation Alignment Rate for Document-to-Document Machine Translation
[YES] 408/1986 | AgentDV: Closed-Loop Agentic AI for Hardware Design Verification
[NO] 409/1986 | Safety Does Not Compose: Non-Decaying Loop State for Autonomous LLM Agents
[NO] 410/1986 | Graph-based causal variance decompositions: When "variance explained" means causation
[NO] 411/1986 | Catastrophic tidal disruption of heterogeneous rubble piles: a tale of two regimes
[NO] 412/1986 | TwinKV: A Composable Repair Pass for KV Cache Eviction via Pairwise Key Redundancy
[NO] 413/1986 | Cone Extended Rayleigh Quotients for Directed Graph Learning: Minimax Spectral Certificates, Sensitivity, and Adaptive Control
[NO] 414/1986 | Modeling Spatially Obfuscated Street-Crime Data using Log-Gaussian Cox Processes on Metric Graphs
[NO] 415/1986 | Real-Time Reconstruction of Markov Sources over MPR Channels
[NO] 416/1986 | DocTalkBN: A Novel Dataset of Expert Telemedicine Conversations in Bengali
[NO] 417/1986 | An isoperimetric characterization of a new ADM-like mass for $C^0$-asymptotically flat manifolds
[NO] 418/1986 | The universal measure of nonstochastic objects
[NO] 419/1986 | Beyond-EUV spectrum of highly-charged gadolinium
[NO] 420/1986 | Soliton Solutions to the Curvature Flow on the 2-dimensional De Sitter Space and Applications
[NO] 421/1986 | Pass the Bucket: Efficient, Robust, Local Load Balancing for Teams of Heterogeneous Robots
[NO] 422/1986 | On the spherical design properties of a $P$- and $Q$-polynomial association scheme
[NO] 423/1986 | Source models of ultrahigh-energy cosmic rays
[NO] 424/1986 | HURACAN: A comparison of stellar and interstellar proper motions inside L1688
[NO] 425/1986 | Classification of facial exposedness of completely positive cones over symmetric cones
[NO] 426/1986 | Interface Conditions for Wave Propagation Through a Time-varying Metasurface
[NO] 427/1986 | Modular periodicity of the Euler up/down numbers at odd prime powers
[NO] 428/1986 | Self-starting Dynamics in All-fibre All-Normal-Dispersion Thulium Mamyshev oscillator
[NO] 429/1986 | Research Design Tracking and Assessment for the Social Sciences
