[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | MRFO Based Virtual Inertia Controller for Frequency Stabilization of Islanded Micro-Grid
[IEEE] 2026-6-8 | An Efficient Preprocessing based Transfer Learning Approach for Multi-Plant Disease Recognition
[IEEE] 2026-6-8 | Feasibility of Single-camera Markerless Motion Analysis During the Long Jump Take-off Phase
[IEEE] 2026-6-8 | Efficient Top-r Reliable Community Detection in Temporal Networks
[IEEE] 2026-6-8 | Hybrid MCTS++: An Adaptive Optimizer for Enhanced Game-Playing Performance
[IEEE] 2026-6-8 | Vision-Driven Architecture for Translating, Segmenting and Interpreting Radar-based Satellite Imagery
[IEEE] 2026-6-8 | Extreme Learning Machine Software Defect Prediction Hybrid Model
[IEEE] 2026-6-8 | GlucoBuddy: Development of Optical Sensor Integrated Device for Non-Invasive Continuous Glucose Monitoring in Diabetes Management
[IEEE] 2026-6-8 | Smart Healthcare: Real-Time Patient Monitoring and Emergency Response Systems for Smart Cities
[IEEE] 2026-6-8 | Cyber Attacks on Real-Time Internet of Things: A Comparative Analysis of Algorithms using Data-Driven Prognostic Algorithms
[IEEE] 2026-6-8 | 2026 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[IEEE] 2026-6-8 | The Impact of Impurities on Water Trees in XLPE Model Cable Insulation Systems
[IEEE] 2026-6-8 | Learning-Assisted Radiation Pattern Optimization for Reconfigurable Antenna Arrays in Dynamic Propagation Environments
[IEEE] 2026-6-8 | GE-DFNet: An Ensemble CNN for a Multi- Modal Framework for Robust Deepfake Detection in Images and Videos
[IEEE] 2026-6-8 | A Rigorous Mathematical Comparison of Retrieval-Augmented Generation and Fine-Tuning for Domain-Specific Language Model Customization
[IEEE] 2026-6-8 | Energy-Aware Deep Neural Networks for Resource-Constrained Devices
[IEEE] 2026-6-8 | Optimal and Energy-Efficient Demultiplexer in QCA Nanotechnology
[IEEE] 2026-6-8 | AI-Powered Colour Image Retrieval using Hybrid Descriptors
[IEEE] 2026-6-8 | Scalable and secure cloud architectures for IoT-enabled healthcare systems
[IEEE] 2026-6-8 | Enhanced Alpha-Beta Pruning and Evaluation Function Optimization for Pac-Man AI Agents
[IEEE] 2026-6-8 | Fault Detection in Healthcare: Patient Bed Exit Alert System using IoT
[IEEE] 2026-6-8 | IRASET 2026 Cover Page
[IEEE] 2026-6-8 | Lesion-aware Transformer-based Deep Hybrid Model (LTDHM) for Explainable Diabetic Retinopathy Detection
[IEEE] 2026-6-8 | Explainable Multimodal LLMs for Intelligent Human–Machine Interaction
[IEEE] 2026-6-8 | Agentic AI Security in 6G Networks: A Survey of Emerging Attack Vectors, Vulnerabilities, and Defenses
[IEEE] 2026-6-8 | Automated Federated Learning: Evaluating Optuna for Global Aggregator Tuning
[IEEE] 2026-6-8 | Dynamic Simulation and DC-link Voltage Regulation of a Grid-Connected Alkaline Water Electrolyzer for Hydrogen Production
[IEEE] 2026-6-8 | The Impact of Artificial Intelligence and Digital Evolution on Employees’ Performance in the Public Sector: The Mediating Role of Organizational Communication
[IEEE] 2026-6-8 | Life Cycle Assessment of the Remanufacturing Process for a 15 kW Inverter in Mild-Hybrid Cars
[IEEE] 2026-6-8 | The
                    <i>Ice Dart</i>
                    : Landing on Steep Ice Using Spiny Feet, Dissipative Landing Gear and Reverse Thrust
[IEEE] 2026-6-8 | A Compressive Neural Telemetry With Address-Event-
                    <i>μ</i>
                    -Packet Encoding and Duty-Cycling IR-UWB Transmitter
[IEEE] 2026-6-8 | An End-to-End Neural Network for Multi-TTI MU-MIMO I2V Joint Scheduling and Beamforming with Guaranteed Data Integrity
[IEEE] 2026-6-8 | Investigating Wire Encapsulating Additive Manufacturing for Mechatronic Integrated Devices
[IEEE] 2026-6-8 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp1-3693142.mp4
[IEEE] 2026-6-8 | Comparative Study of Imprint Extraction Methods with Vision Transformer–Based Feature Fusion for Pill Image Recognition
[IEEE] 2026-6-8 | Remote Control of a Robotic Arm Based on Human Arm Motion Using Flex Sensors and MPU6050
[IEEE] 2026-6-8 | Dual-Stream Deep Learning for Non-Invasive Anemia Detection from Conjunctival Images
[IEEE] 2026-6-8 | The Role of Edge AI in Ultra-Reliable Wireless Networks
[IEEE] 2026-6-8 | Toward Trustworthy AI in Mental Health: A Hybrid Explainable Ensemble Model for Depression Screening
[IEEE] 2026-6-8 | Event-Trace Cohesion Metrics for Live Co-Authoring Streams
[IEEE] 2026-6-8 | Recirculation Strategies in Convection Dryers for Enhanced Drying of Water-Based Battery Electrodes
[IEEE] 2026-6-8 | A Novel Explainable Perception AI Approach to Enhance Communication Efficiency and Response Time in Smart City Autonomous Vehicles
[IEEE] 2026-6-8 | Autoencoders versus ML Classifiers for IoT Intrusion Detection: A critical Analysis
[IEEE] 2026-6-8 | Shifting Audits Left: A Framework for Enhancing AI Auditability from an Internal Auditing Lens
[IEEE] 2026-6-8 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp5-3693142.mp4
[IEEE] 2026-6-8 | Compressing for Compression with the XOR Cache
[IEEE] 2026-6-8 | Guest Editorial
[IEEE] 2026-6-8 | Fire Danger and Intensity Response to Vegetation Properties and Weather Conditions in Eastern Asia Using Multi-Layer Perceptron_supp1-3700818.docx
[ACM] 2026-6-8 | What Makes an Explanation Good: A Systematic Review Examining Recommender System Explanations from User Perspective
[IEEE] 2026-6-8 | LLM-Driven Collaborative Agents for Wireless Network Management
[IEEE] 2026-6-8 | Comprehensive Deep Learning Framework for Indoor Localization with BLE RSSI in Dynamic Environments
[IEEE] 2026-6-8 | Performance Analysis of Fluid Antenna–Assisted Over-the-Air Federated Learning Under Spatially Correlated Fading
[IEEE] 2026-6-8 | Corrections to “Following to Talk: Effects of Mobile Robot Guidance on Dialogue Motivation in a Field Trial”
[IEEE] 2026-6-8 | CONDEN-FI: Consistency and Diversity Learning-Based Multi-View Unsupervised Feature and Instance Co-Selection_supp1-3700726.pdf
[IEEE] 2026-6-8 | Strategizing At Speed: A Learned Model Predictive Game for Multi-Agent Drone Racing
共写入 1000 条记录，保存到 papers/paper2026-06-07.json。
论文获取成功，文件路径: papers/paper2026-06-07.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[NO] 2/1000 | Translating Multimodal UX Requirements into System Architecture: The Implementation of the UX-Tracking Framework
[NO] 3/1000 | The Impact of Haptics on User Presence in Virtual Reality
[NO] 4/1000 | ReadAR: Utilizing Mixed Reality for Physical Document Digitization
[NO] 5/1000 | Culturally Informed Colour Coding in Virtual Reality: Preserving ovaHimba Heritage
[NO] 6/1000 | Reconstructing Boolean Functions From MAGIC Logic-in-Memory Using Power Side-Channel Attacks
[NO] 7/1000 | Language Supervised Multi-Camera Multi-Object Tracking
[NO] 8/1000 | Intuitive Tele-Operated Robotic Catheter System with Wrist-based Controller
[NO] 9/1000 | Rotor Electromagnetic Structure Optimization for Improving the Efficiency of Permanent-Magnet Synchronous Motors in New Energy Vehicles
[NO] 10/1000 | Information Control in Networked Multi-User Discrete-Event Systems Using State Estimates
[NO] 11/1000 | Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education_supp1-3700935.pdf
[NO] 12/1000 | PCPSI: Efficient Unbalanced Private Set Intersection Using Homomorphic Encryption with Plaintext–Ciphertext Multiplication
[NO] 13/1000 | Adaptive Model-Free Predictive Current Control for SPMSM Drives Using Algebraic Estimator: Enhanced High-Frequency Disturbance Rejection
[NO] 14/1000 | LIME-Based Analysis of Adversarial Feature Manipulation in Cloud Intrusion Detection Systems
[NO] 15/1000 | An AI-Driven Optimization Framework for Sustainable E-Waste Management and Resource Utilization
[NO] 16/1000 | Deepfake Video Forensics Using ResNeXt–LSTM Visual Modeling and DSP-Enhanced Audio Spectrogram Analysis
[NO] 17/1000 | Investigating Genomic Insights and Smart Biomaterial–Based Biosensing Using Data Science Approaches for Advancing Precision Oncology Treatments
[NO] 18/1000 | IRASET 2026 TOC
[NO] 19/1000 | Deep Learning-Based Intelligent Intrusion Detection System For The Internet Of Medical Things
[NO] 20/1000 | A Study on Mechanical Behaviour of Ternary Blended Geopolymer Concrete
[NO] 21/1000 | RE-FIDS: Robust and Explainable Federated Learning-based Intrusion Detection System
[NO] 22/1000 | Explainable AI-Driven Intrusion Detection System Using Hybrid Deep Learning Models for Secure Network Infrastructure
[NO] 23/1000 | BrainArcNet: Attention-Enhanced InceptionResNetV2 with ArcFace for Accurate Brain Tumor Classification from MRI Scans
[NO] 24/1000 | Dynamic Data-Driven Framework for Forecasting Employment Trends in the AI Era
[NO] 25/1000 | Deep Learning-based Smart Traffic Signal Control
[NO] 26/1000 | Using Generative AI to Improve Cities, Energy, Farming, and Healthcare for the Environment
[NO] 27/1000 | An Efficient Tuberculosis Detection from Chest X-ray Images using Lightweight Deep Learning Models
[NO] 28/1000 | Literature Review on Neural Networks based Security in Multimedia with Application and Emerging Trend
[NO] 29/1000 | OkraSqueezeNet: A Lightweight CNN with Bayesian Optimization for Real-Time Ladies Finger Leaf Disease Detection
[NO] 30/1000 | BIM–AI Integration for Sustainable Urban Planning in Smart Cities: Framework, Challenges, and Future Trends
[NO] 31/1000 | An AI-Driven Cyber-Physical Control System for Real-Time Environmental Monitoring and Disaster Management
[NO] 32/1000 | Dual-Path Motion Encoding for Robust Violence Detection
[NO] 33/1000 | Cloud-based Intelligent Brain Tumor Detection and Segmentation Framework using Hybrid Deep Representation Learning Approach
[NO] 34/1000 | Optimized Microenvironments for Battery Cell Production: Space-Efficient Handling Systems and Economic Feasibility
[NO] 35/1000 | Classification of Edible and Poisonous Mushrooms Using Lightweight Deep Learning Models on Mobile Devices
[NO] 36/1000 | Intracavity Temperature Sensor Based on Phase-Shifted Fiber Bragg Grating in a Fiber Laser
[NO] 37/1000 | Rotor load decoupling method based on geometric modal projection
[NO] 38/1000 | CityPulse 360 – AI-Powered Real-Time Urban Happiness and Sentiment Analysis
[NO] 39/1000 | Time-Series Forecasting of Cloud Resource Utilization Using Hybrid LSTM Models
[NO] 40/1000 | A Radar-Based Contactless Stethoscope for Phonocardiogram Reconstruction
[NO] 41/1000 | IAC-TecMed Database for Infrared Thermography-Based Diabetic Foot Monitoring
[NO] 42/1000 | Non-Invasive Diagnosis of Circulating Blood or Cardiac Inflammatory Diseases Through Microwave Technology
[NO] 43/1000 | Evaluating Data Poisoning Resilience of Large Language Models for Cybersecurity Applications
[NO] 44/1000 | PSO-Based Optimization of a CMOS Switched-Capacitance Current-Starved Ring VCO in 0.18-μm Technology
[NO] 45/1000 | Follow the Sun and Catch the Wind: A Spatio-Temporal GNN-DRL Routing Framework for Carbon-Neutral Geo-Distributed Data Centers
[NO] 46/1000 | Comparative Evaluation of Prompting Strategies for LLM-Based Combinatorial Optimization
[NO] 47/1000 | Mitigating Misalignment of Excitation Sources in Low-Frequency Mammography
[NO] 48/1000 | Efficient Assessment Method for the Temperature Rise Limit of Degaussing Coil Systems Based on Sparse Simulation and Model Extrapolation
[NO] 49/1000 | Deep Learning-Based Prediction of Pulsed Electric Field and Biological Parameters from In Vitro Experiments
[NO] 50/1000 | A Machine Learning-Assisted Approach for High-Precision PV Module Characterization
[NO] 51/1000 | Performance Comparison of Radiative Transfer Simulation Tools Based on Land Surface Radiance in Beihang Green Garden
[NO] 52/1000 | IoT-Enabled EV Parking Station Powered by Renewable Energy
[NO] 53/1000 | GridInsu-Net: An Efficient Algorithm for Defect Detection of Transmission Line Insulators
[NO] 54/1000 | New approach to improve low-noise amplifier performances for 2.45 GHz wireless applications
[NO] 55/1000 | Energy-Efficient AI Models for Large-Scale Technical Data Collection in Cyber-Physical Systems
[NO] 56/1000 | Deep Hybrid Architecture for Cybersecurity Threat Detection in IIOT Networks: CNN–BiGRU Approach
[NO] 57/1000 | A Dual-Level Data-Driven Framework for Reducing Financial Fraud in Banking
[NO] 58/1000 | Reliability-Guided Frequency Compensation Network for Multi-Exposure Image Fusion
[NO] 59/1000 | Research on Construction and Virtual Commissioning of Intelligent Warehousing System Based on PQFactory Platform
[NO] 60/1000 | Inchiscope: A Modular Triple-Balloon Soft Robotic Endoscope for Navigating the Small Bowel
[NO] 61/1000 | Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach
[NO] 62/1000 | Hybrid Consistency Policy: Decoupling Multi-Modal Diversity and Real-Time Efficiency in Robotic Manipulation
[NO] 63/1000 | H-VSJ: A Hybrid Stiff-Compliant Variable Stiffness Joint With Decoupling Position and Stiffness Modulation
[NO] 64/1000 | A Review of Vision-Based Vehicle Detection for UAV-Based Traffic Monitoring: Experimental Insights and Future Directions
[NO] 65/1000 | Real-Time Detection of Subsurface Defects in CFRP Using Line-laser Scanning Thermography and CSDNet
[NO] 66/1000 | Pointing Calibration Study for the HADAR Experiment
[NO] 67/1000 | Robust Beamforming Design for STAR-RIS Assisted MISO Secure Communication System
[NO] 68/1000 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp3-3688715.mp4
[NO] 69/1000 | Surrogate-Assisted Framework for Log-Periodic Feedlines based Filter Optimization
[NO] 70/1000 | Hybrid Bit and Semantic Communications for UAV-Enabled Wireless Power Transfer Networks: A Decision-Assisted Deep Reinforcement Learning Approach
[NO] 71/1000 | FDSCBAM-YOLO: Integrating Frequency-Domain Attention with Depthwise Separable Convolution for Data-Scarce SAR Vehicle Detection
[NO] 72/1000 | When Does Artificial Intelligence Matter for Knowledge Management? Empirical Insights from Indonesian Organizations
[NO] 73/1000 | Artificial Intelligence Techniques for Dynamic Analysis Predictions of Regular Building Structures in Morocco
[NO] 74/1000 | A Deep Learning Approach for Metal and Plastic Waste Segregation
[NO] 75/1000 | Quaternary Reversible Circuit Optimization for Scalable Multiplexer and Demultiplexer
[NO] 76/1000 | Evaluating the Importance of Marine Ecological Protection: A Case Study of the Dalian Sea Area, Liaoning Province
[NO] 77/1000 | Multi-Scale Object Detection for Autonomous Driving Based on Multimodal Feature Fusion
[NO] 78/1000 | Emotionally Adaptive Conversational AI for Personalized Learning
[NO] 79/1000 | Investigating the Synergy between Industry 4.0 Technologies, Lean Tools, and Lean Wastes
[NO] 80/1000 | Harnessing Large Language Models for Next-Generation Artificial Intelligence Applications
[NO] 81/1000 | Interface and Transport-Layer Engineering for CdS / BaZrS
                    <sub>3</sub>
                    / CuSCN Solar Cells: Device Simulation, Band Alignment and Defect Effects
[NO] 82/1000 | A Unified Deep Learning-Based Architecture for Real-Time Monitoring and Classification of Fungal and Viral Crop Infections in Precision Agriculture
[NO] 83/1000 | Subgroup and Longitudinal Measurement Invariance of the Computational Thinking Test Short (CTt-S)
[NO] 84/1000 | Project SmartAvatar: A Human-Avatar Interface
[NO] 85/1000 | Detection of Arbitrary Polarization States Based on Spoof Surface Plasmon Polaritons
[NO] 86/1000 | Unfolded Coprime Padded L-Shaped Array Design From Fourth-Order Difference Co-Array Concept
[NO] 87/1000 | Construction of Digital Terrain Maps from Multi-view Satellite Imagery using Neural Volume Rendering
[NO] 88/1000 | A High-Throughput Custom Accelerator Architecture for Transformer Models on Edge Devices
[NO] 89/1000 | Stability Study of Advance Mining Roadways in Fault Zones Under Mining Disturbance
[NO] 90/1000 | Beyond Three Doors: A Comprehensive Analysis of Generalized Monty Hall Problem
[NO] 91/1000 | Robust Variational Bayesian Inference for Full-Duplex Computational Microwave Imaging
[NO] 92/1000 | Cost-Constrained Real-Time Optimization of Multi-Chip Interconnection Architecture for Power Load Forecasting
[NO] 93/1000 | Koopman Neural Operator for Multi-Task Modeling in Optical Fiber Communications with NTK Analysis
[NO] 94/1000 | Geometry Optimization of Non-Ideal Through-Glass Vias (TGVs) for Enhanced Electrical and Mechanical Performance
[NO] 95/1000 | Parameter Efficient Emotional Transfer for Fine-Grained Emotional Audio-Driven Talking Portrait Generation_supp1-3699022.mp4
[NO] 96/1000 | Improving Lightweight Convolutional Neural Networks Performance for Colorectal Cancer Diagnosis via Knowledge Distillation
[NO] 97/1000 | Optimizing Cloud Resource Allocation with Predictive Big Data Models
[NO] 98/1000 | The Capacity of the Weighted Read Channel
[NO] 99/1000 | A Novel Deep Learning Framework with Feature Engineering for Stroke Risk Prediction
[NO] 100/1000 | A Comparative Analysis of Multi-Head Self-Attention and Axial Attention in Transformer Architectures
[NO] 101/1000 | Finite-Time LQR Control With Redundant Inputs for Continuous-Time Systems
[NO] 102/1000 | Target-centered Micro-motion Tracking and Measurement with Commodity WiFi
[NO] 103/1000 | Rate Optimization in Hybrid Multi-RIS Assisted NOMA Systems Based on WMMSE Algorithm
[NO] 104/1000 | Systematic Evaluation of Interpolation Strategies for Soil Moisture Retrieval Using Sentinel-1/2 Data: A Case Study in Shandian River Basin
[NO] 105/1000 | Microwave Hyperthermia Treatment Planning Via Combination of Focused Patterns and Low-Dimensional Global Optimization
[NO] 106/1000 | Transient Synchronization Stability Analysis of a Grid-connected VSC Based on Black-box Model
[NO] 107/1000 | Breast Cancer Classification in Ultrasound Images Using DenseNet169 and Advanced Transfer Learning
[NO] 108/1000 | Real-Time Vision-based Vehicle Speed Estimation using YOLOv8 and Enhanced Deep SORT
[NO] 109/1000 | An Effectiveness Evaluation Method for Spaceborne Calibration Network Based on the Optimal Theory
[NO] 110/1000 | Multi-Modal Remote Sensing Image Change Detection Based on DSAT and Decision-Level Fusion
[NO] 111/1000 | A Two-Stage Modular Speech-to-Language Recognition Framework for Low-Resource Tibetan
[NO] 112/1000 | EV-ProveBox: A Dynamic, Renewable, and Provenance-Aware S-Box Framework for Secure Healthcare IoT Encryption
[NO] 113/1000 | Moroccan License Plate Detection for Intelligent Transportation Systems Using YOLOv8 and YOLOv11
[NO] 114/1000 | Integrating AI Technologies in Higher Education in the Arab Region: A Systematic Synthesis and Implementation Roadmap
[NO] 115/1000 | Data Replication and Protection Mechanism for Secure Distributed Cloud Databases
[NO] 116/1000 | Ocular Disease Classification and Diabetic Retinopathy Detection using Convolutional Neural Networks
[NO] 117/1000 | An analysis study of the use of Artificial Intelligence (AI) to improve the management of colic in horses: Survival Prediction, Decision Support, and Automated Monitoring
[NO] 118/1000 | The Impact of AI Usage on Digital Leadership: Analyzing Direct and Indirect Effects through Technological Self-Efficacy
[NO] 119/1000 | Cost-Sensitive Machine Learning for Cloud Network Intrusion Detection
[NO] 120/1000 | TGN-IDS: Detecting Lateral Movement with Temporal Graph Neural Networks
[NO] 121/1000 | CAP-FL: A Context-Aware Personalized Federated Learning Framework for Next-Word Prediction
[NO] 122/1000 | Performance Analysis and Optimization of Eulerian Video Magnification for Vital Signs Estimation in Resource-Constrained Embedded Systems
[NO] 123/1000 | Interference-Induced Acoustic Transparency in Hybrid Resonator System for Selective and HighSensitivity Gas Detection
[NO] 124/1000 | An Intelligent Vehicle Target Detection Method Based on LiDAR
[NO] 125/1000 | Analytical Modeling of Microstrip Antenna using Green House Analysis
[NO] 126/1000 | Saturated fault-tolerant control for uncertain switched systems with actuator faults*
[NO] 127/1000 | Artificial Immune System–Based Anomaly Detection for IoT Network Security
[NO] 128/1000 | Multi-Sensor Information Fusion for Indoor Positioning Based on UWB and IMU with Deep Learning Optimization
[NO] 129/1000 | Comparative Study of Surrogate Models for Aeroelastic Wind Turbine Blade
[NO] 130/1000 | High-Gain 24 GHz Microstrip Patch Antenna Array Using a Corporate Wilkinson Power Divider
[NO] 131/1000 | Impregnation Process Parameters Tuning by Computational Fluid Dynamics Simulations
[NO] 132/1000 | Design of Circularly Polarized Antenna Arrays on Different Substrates for Rectenna Integration
[NO] 133/1000 | 2026 IEEE MTT-S International Microwave Biomedical Conference (IMBioC)
[NO] 134/1000 | Multi-Objective Optimization for Privacy-Preserving Federated Threat Intelligence: A Pareto-Based Approach
[NO] 135/1000 | Finite-Time Distributed Time-Varying Optimization of High-Order Agents With Unknown Gradient Derivative
[NO] 136/1000 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp2-3699247.mp4
[NO] 137/1000 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp4-3699247.mp4
[NO] 138/1000 | Graph Processing with Contrastive Learning for Social Recommendation in IoT Interaction Networks
[NO] 139/1000 | Upper Limb Movement Assistance through Model-Based Path Planning and Control of Hybrid FES-Exoskeleton Systems_supp1-3700177.mp4
[NO] 140/1000 | A Heterogeneous System Architecture for Monocular Depth Estimation and Parallel Multi-Task Vision on Edge Devices
[NO] 141/1000 | Edge Computing-based IoT System for Real-Time Environmental Monitoring and Decision Making
[NO] 142/1000 | Non-conventional hydrodynamic pad bearing bi-objective design optimization
[NO] 143/1000 | Small Models, Big Insights: Compact Vision– Language Intelligence for Biomedical Imaging
[NO] 144/1000 | Microbial Electrolysis Cells for Sustainable Biohydrogen Production and Wastewater Valorization
[NO] 145/1000 | Smart Mining Helmet for Health Monitoring and Safety Assistance
[NO] 146/1000 | Real-Time Food Products Nutrition Analysis Using Deep Learning
[NO] 147/1000 | An Optimized Deep Learning-based Lesion Segmentation Model for Early Gastric Cancer Diagnosis Using Pre-processed Gastroscopic Images
[NO] 148/1000 | An Ultra-High-Resolution Detection Framework for Micro-Scale PCB Surface Defects
[NO] 149/1000 | Constraint-Aware Hybrid Metaheuristic Optimization for Joint IDS Placement and Key-Refresh Scheduling in Resource-Constrained IoT Edge Networks
[NO] 150/1000 | Adaptive Transformer-Based Neural Network for Robust Stereo Image Pair Rectification
[NO] 151/1000 | Design of A FCRD9T SRAM cell for Low-Power Wireless Communications
[NO] 152/1000 | Securing Identities Without Cryptography: A Survey of Alternative Authentication Mechanisms
[NO] 153/1000 | Sarcasm detection enhancement through a perspectivist features approach
[YES] 154/1000 | Scalable Floating-Point Satisfiability via Staged Optimization
[YES] 155/1000 | Solvable Tuple Patterns and Their Applications to Program Verification
[NO] 156/1000 | Investigating Quality of Experience and Performance in AR-Based Skill Training for Gaelic Football
[NO] 157/1000 | A Sneak Peek into AI-Generated 3D Immersive Memories
[NO] 158/1000 | From Talking Heads to Moving Bodies: Understanding Video-Mediated Dance Instruction
[NO] 159/1000 | Towards Pluriversal Computing
[NO] 160/1000 | Diagrams Are Structures: Reframing Accessibility for Data Structure Diagrams
[NO] 161/1000 | "Aha Workshop": A Low-Barrier Intervention for Embedding Accessibility in Computing Education
[NO] 162/1000 | The Design and Fabrication of a Compact Band-Stop Filter Based on Bulk Acoustic Resonator
[YES] 163/1000 | Bridging Coverage and Confidence: Reliable Static False Alarm Elimination via Input-Agnosticity
[NO] 164/1000 | SAQR-QC: A Logic for Scalable but Approximate Quantitative Reasoning about Quantum Circuits
[NO] 165/1000 | Editorial Message
[NO] 166/1000 | A numerical study of thermoelectric coupling in a photovoltaic-thermal system with a new heat exchanger compared to a photovoltaic module
[NO] 167/1000 | Adaptive Optimization of Circular Economy Strategies Under Uncertainty
[NO] 168/1000 | Multi Level Functional Connectivity Fusion Classification Framework for Brain Disease Diagnosis
[NO] 169/1000 | Advancing FCEVs/FCHEVs: Overcoming Challenges for Scalable Zero-Emission Transport
[NO] 170/1000 | Table of Contents
[NO] 171/1000 | A Context-Aware Heuristic for Meal Planning: Aggregation-Driven Filtering and Dynamic Weighted Sampling
[NO] 172/1000 | Extractive Summarization using TextRank with FastText Word Embedding and Cosine Similarity for News Summarization
[NO] 173/1000 | Buckling Detection of Truss Members in Steel Bridges using Photogrammetric Principle with Computer Vision Technique
[NO] 174/1000 | QUBO: A New Framework for Traffic Control in Metropolitan Cities Using Quantum Optimization Technique
[NO] 175/1000 | Research on Adaptive Topology Optimization for Power Communication Networks Based on an Improved Genetic Algorithm
[NO] 176/1000 | RZSL-PSR: Noise-Disentangled Retinex Zero-Shot Framework for Lunar PSR Image Enhancement
[NO] 177/1000 | Vision Transformer-Based Deepfake Detection: A Comprehensive Approach for Identifying Manipulated Video Content
[NO] 178/1000 | LLM-Assisted Carbon-Aware Coordinated EV Charging for Decarbonization
[NO] 179/1000 | LS-Interpret: A Multi-Algorithm Gradient Boosting Framework with Three-Tier SHAP Explainability for Geospatial Landslide Susceptibility Prediction
[NO] 180/1000 | Improved Yolov8 for Monitoring of Coconut Trees Before and After the Typhoon
[NO] 181/1000 | From Black-Box to Explainable Clinical Support: Benchmarking ConvNeXt and Swin Transformer on the Class-Imbalanced OCTDL Dataset
[NO] 182/1000 | Monkeypox Diagnosis Using Transfer Learning via Skin Lesion Images
[NO] 183/1000 | Metaheuristic Optimization for Pavement Deformation Prediction: A Comparative Study of PSO, FA and AFSA
[YES] 184/1000 | RHLMA: A Role-Hierarchical LLM Multi-Agent Framework for Airborne Software Requirement Review
[NO] 185/1000 | Analysis of Digital Twin Ecosystem for the Renal System: Improving Patient Outcomes in Chronic Renal Disease and Dialysis Need Prediction
[NO] 186/1000 | EEG-based Machine and Deep Learning Approaches for Alzheimer’s and Frontotemporal Dementia: A Systematic Review of the OpenNeuro ds004504 Dataset
[NO] 187/1000 | Multi-Path Parallel Quantum Convolutional Neural Network
[NO] 188/1000 | Design of an Intelligent Information System for Spaceborne Remote Sensing Data Processing
[NO] 189/1000 | Preliminary assessment of how land cover changes can affect temperature in urban areas
[NO] 190/1000 | Design of a retributive optimal cooperative energy trading and its blockchain-based implementation
[NO] 191/1000 | Real-Time Tea Leaf Disease Detection Using Attention-Driven YOLO Framework for Precision Plantation Management
[NO] 192/1000 | Random Forest based Predictive Vehicle Breakdown Management System for Intelligent Roadside Assistance
[NO] 193/1000 | Bridging Knowledge and Reasoning: The Role of Large Language Models in AI Evolution
[NO] 194/1000 | Bridge Structural Health Monitoring Using Vision Transformers and Graph Neural Networks
[NO] 195/1000 | Finite Element Analysis and Design Optimization of an Electric Vehicle Chassis
[NO] 196/1000 | Context-Aware Pervasive Computing Framework for Intelligent Smart Space Environments
[NO] 197/1000 | From Static Surveys to Adaptive Questionnaires: A Systematic Review of Generative AI–Driven Personalization in Education
[NO] 198/1000 | Unveiling the Drivers of E-Grocery Usage Behaviour in Urban Areas
[NO] 199/1000 | Emergence of artificial intelligence in electroencephalogram analysis
[NO] 200/1000 | Lightweight Machine Learning for Intrusion Detection in Zero-Trust Systems
[NO] 201/1000 | Multi-Modal Perception for Intelligent Robotic Systems
[NO] 202/1000 | Offline Photo-Shield Automatic System for Finding and Redacting Privacy-Sensitive Information in Images
[NO] 203/1000 | Rethinking AI Ethics in Education: From Restrictive Policies to Learning-Oriented Design
[NO] 204/1000 | Secure Edge–Fog Architecture for Social IoT and Opportunistic Network Applications
[NO] 205/1000 | Enhancing EEG Data Quality with Explainable AI-Based Artifact Detection Models
[NO] 206/1000 | Autonomous Multi-Agent Cyber Defense for Mitigating AI-Generated Threats
[NO] 207/1000 | Hybrid Wind-Solar Grid Integrated Energy System Simulation with MPPT Control In Matlab/Simulink
[NO] 208/1000 | Variational Enhancement of Coded Fringes via Bi-directional Coded Content Similarity for Structured-light 3D Measurement
[NO] 209/1000 | ACT-Net: Adaptive Compensation Transformer Network for Real-Time Detection in Remote Sensing Multimodal Imagery
[NO] 210/1000 | Distributed Fixed-Time Control With Adaptive Barrier Function in AC Microgrid Under Dynamic Event-Triggered Mechanism
[NO] 211/1000 | IEEE Foundation
[NO] 212/1000 | Hierarchical Multi-Terminal DC System for Large-Scale Renewable Integration: Topology and Coordinated Control
[NO] 213/1000 | Passivity-Based Pinning Synchronization Control of Switched Directed Networks With Improved Switching Strategy
[NO] 214/1000 | Icarus: High-Altitude Platform Station Navigation with LEO Satellites
