[2025-12-06 09:09:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-05
正在获取论文...
[IEEE] 2025-12-5 | Energy Harvesting in Solar-Powered UAV Communication With Rate Splitting Multiple Access
[NO] 32/1000 | Optimizing Symbiotic Performance of the Cooperative NOMA-SR using Particle Swarm Optimization
[NO] 33/1000 | No-Code Application Programming Interface Testing Platform – Atlas
[NO] 34/1000 | Water Quality Assessment Model Based on Projection Pursuit and Multi-source Data Fusion
[NO] 35/1000 | Experimental Demonstration of Improved Deconvoluted Corre-Lation Based Longitudinal Power Monitoring
[NO] 36/1000 | Autonomous Transmitter-Optical-Power Levelling of ONUs for Energy-Efficient PON Systems
[NO] 37/1000 | High Parallelism Optical Dot-Product Processor Based on FSR-Free Micro-Ring Resonators
[NO] 38/1000 | Reliability Assessment of DC Solid-State Circuit Breaker with Snubber Circuit Based on Part Stress Analysis Using LSTM
[NO] 39/1000 | Efficient Phase Noise Compensation Technique for FMCW LiDAR Sensors with Simplified Complexity
[NO] 40/1000 | Attention-based multimodal feature fusion visual question answering
[NO] 41/1000 | Quantum-Enhanced Zero-Knowledge Proofs for zk Rollup Security in Web3 Ecosystem
[NO] 42/1000 | A Practical Identification of Parameters for a DC Motor by Recurrent Neural Networks
[NO] 43/1000 | Robust Adaptive Kalman Filtering with Dynamic Learning for UAV Altitude Estimation
[NO] 44/1000 | Two Port Dual Band Half Mode Substrate Integrated Waveguide (HMSIW) MIMO Antenna for Sub-6GHz and WLAN Applications
[NO] 45/1000 | Digital Twins Beyond C-Band Using GNPy
[NO] 46/1000 | FPVcar: An Affordable Robotic Platform to Support Computer Vision Education, from Hardware Design to User-Friendly Programming
[NO] 47/1000 | Two incipient fault detection methods: comparison and further analysis
[NO] 48/1000 | A Study on Non-invasive Blood Glucose Monitoring using Terahertz Spectroscopy
[NO] 49/1000 | Optimal Symbol Rate for Discrete Nonlinear Frequency Division Multiplexing Transmissions
[NO] 50/1000 | Nonlinear Mitigation for Coherent Optical DAC Transmitter
[NO] 51/1000 | Efficient Uncooled High-Power $1.31 \ \mu\text{m}$ DFB Laser Diode for Co-Packaged Optics
[NO] 52/1000 | Remaining Useful Life Prediction of Rolling Bearings Based on Full-Band Feature Feedback Adaptive Fusion
[NO] 53/1000 | Why Dark Nuns Split Audiences: A Sentiment Analysis of Hype vs Disappoinment Using BERT NLP
[NO] 54/1000 | Diagnosis-Aware Active Learning Based on Uncertainty Metrics
[NO] 55/1000 | Proactive Sensing of Environmental Events Through Optical Data Networks: a Path to Intelligent Resilience
[NO] 56/1000 | Data Lake Validation Strategies: Ensuring Quality in Data Warehousing Pipelines
[NO] 57/1000 | Enhanced SOH Estimation for Electric Vehicle Power Batteries Considering Climate Variations and Driving Habits
[NO] 58/1000 | Attention Enhancement and Multi-Norm Constraints Based Adversarial Attack for Motor Fault Diagnosis Model
[NO] 59/1000 | QoT Impairments Induced by Statistical Filtering Variations with a Realistic Equalizer
[NO] 60/1000 | Grade Prediction Using Transfer Learning Methods on Meningioma Brain Tumor Images
[NO] 61/1000 | A Comprehensive Review of COVID-19 Detection Methods: Cough Sounds, Clinical Symptoms, Chest X-Rays, and CT Imaging
[NO] 62/1000 | Predictive Modelling of Type 2 Diabetes via Glucose-Insulin Interactions Using Machine Learning Techniques
[NO] 63/1000 | Vision-Guided Radar System for Wireless Reading and Identification of 3D-Printed Microfluidic Sensors
[NO] 64/1000 | An On-Chip Dual-Tone Source for Photonic-Based Terahertz Transmitters
[NO] 65/1000 | Performance Analysis of Different Classification Algorithms in Land Use and Land Cover using Landsat-8 Satellite Imagery
[NO] 66/1000 | Smart Cane for the Visually Impaired: Enhancing Navigation, Safety, and Emergency Response
[NO] 67/1000 | Optical Access Networks - An Operator View from Past to Future System-Technologies and Applications
[NO] 68/1000 | Compact Slotted Cavity-Back Antenna with Wideband Circular Polarization for UHF RFID Readers
[NO] 69/1000 | LLMs for Embodied Robotics: A comparative analysis on augmentation methods between an embedded AI computer and consumer-grade hardware for Autonomous Navigation
[NO] 70/1000 | A Hybrid Genetic Algorithm for Multi-Satellite Mission Planning Problem
[NO] 71/1000 | Unifying Generative Self-Supervised Paradigms with Diffusion Models
[NO] 72/1000 | Biometric-Based Recovery Mechanism for Blockchain-Based Wallet
[NO] 73/1000 | You Are Out of My Focus: A Defocus-Blur Backdoor Attack against Deep Learning Models
[NO] 74/1000 | MCTG: A Multimodal Self-Supervised Contrastive Learning Framework Based on CTG
[NO] 75/1000 | Saccaidance: Saccade-Aware Pattern Embedding for Gaze Guidance on High-Speed Displays
[NO] 76/1000 | Enhancing Immersive Virtual Reality Experiences with Multiple Tasks Prediction Using Pre-Trained Large Foundation Models
[NO] 77/1000 | The Impact of Sensory Levels on Presence and Cybersickness in Virtual Reality
[NO] 78/1000 | Surveying Accessibility Features in VR Applications for Meta Quest 3
[NO] 79/1000 | Rapid Electromagnetic Analysis of Finite Periodic Structures with Partial Modifications
[NO] 80/1000 | AFT: Appearance-Based Feature Tracking for Markerless and Training-Free Shape Reconstruction of Soft Robots
[NO] 81/1000 | Multiple Access Enabled Integrated Sensing and Communication With Imperfect SIC: Non-orthogonal vs. Rate Splitting
[NO] 82/1000 | Prescribed Performance Control of Ammunition Loading Manipulator Arm Considering Actuator Saturation and Nonlinear Friction
[NO] 83/1000 | A Generalized Multidimensional Chinese Remainder Theorem (MD-CRT) for Multiple Integer Vectors
[NO] 84/1000 | Multi-Scale Weather Forecasting using Deep Learning Architectures on Real-Time Chennai Climate Data
[NO] 85/1000 | SAGA: Synthetic Audit Log Generation for APT Campaigns
[NO] 86/1000 | Characteristics Estimation and Design of SPMSM using Analytic Method-based Transfer Learning
[NO] 87/1000 | Physics-Informed Matrix Factorization Operator
[NO] 88/1000 | A Dual-Path Recurrent Framework Integrating Optical Flow Guidance and Spatiotemporal-Aware Learning for Sea Surface Temperature Prediction
[YES] 89/1000 | Comparing Methods for the Cross-Level Verification of SystemC Peripherals with Symbolic Execution
[NO] 90/1000 | Elevation and vegetation cover dominate inter-basin water use efficiency patterns in China
[NO] 91/1000 | A Systematic Study of the Adiabaticity Parameter in Optical Waveguides
[NO] 92/1000 | W-MSTC: A Window Based Multi-Scale Temporal Cross Attention Method for Few-Shot Modulation Recognition
[NO] 93/1000 | CRTSE: Clustering and Reinforcement Learning Based Task Scheduling Algorithm for Edge Computing
[NO] 94/1000 | A Hybrid Multiobjective Memetic Algorithm for Energy-Efficient Scheduling of Distributed Heterogeneous Flow Shop With Economic Benefit Problem
[NO] 95/1000 | TranSQL
                    <sup>+</sup>
                    : Serving Large Language Models with SQL on Low-Resource Hardware
[NO] 96/1000 | DyVarMap: An Interpretable, Dynamics-Aware Framework for Missense Variant Classification
[NO] 97/1000 | Kalman Smoother-Based Method for Fault Initiation Time Traceability and Localization in Trains
[NO] 98/1000 | Integrated Security Control of ICPS Based on GCRA-RF under Progressive Stealthy FDI Attacks
[NO] 99/1000 | SAR Image Classification Using Edge-Preserving Filters
[NO] 100/1000 | An Intelligent Product Recommendation System using Machine Learning and Hybrid Filtering Approaches
[NO] 101/1000 | Non-Invasive Bioactive Bio patch for Astronauts Gut Health Monitoring
[NO] 102/1000 | Transformative AI Technologies in High-Voltage Systems: A Review of Advances in Predictive Maintenance, Fault Detection, and Grid Optimization
[NO] 103/1000 | Precedent Aware Legal Reasoning System for Turkish Jurisdiction with RAG Supported LLMs
[NO] 104/1000 | A Multimodal CNN Approach to Static Object Recognition Using RGB and Depth Data
[NO] 105/1000 | Pneumonia Detection using Fast AI ResNet50 Model
[NO] 106/1000 | Assessment of Photovoltaic Module Degradation Through Neural Network Classification
[YES] 107/1000 | Research on Differentiated Training of Data for Intelligent Safety-critical Software
[NO] 108/1000 | Layered Multiband Network Architecture with Spatially Parallel Bypass for Selective and Cost-Efficient SDM Deployment
[NO] 109/1000 | Chipless RFID IR-UWB Reader for Ultra-Fast Readings
[NO] 110/1000 | H-infinity Fault-tolerant Control for Fully Actuated Systems with Its Application
[NO] 111/1000 | A Comprehensive Literature Review on Cotton Leaf Disease Classification Using Artificial Intelligence Techniques
[NO] 112/1000 | Comparative Bandwidth Response of GaInAs and GaInAsSb Uni-Traveling Carrier Photodiodes (UTC-PDs)
[NO] 113/1000 | Low-carbon urban travel solutions integrated with IoT sensor networks and intelligent traffic management systems
[NO] 114/1000 | ECA-CNN-Driven RUL Prediction for Lithium-Ion Batteries: A Charging Data Deep Learning Approach
[NO] 115/1000 | Generative AI in Education and its Future Possibilities
[NO] 116/1000 | 3D Silicon Nitride Waveguide Interposers for High-Density Scale-up Chiplet Interconnects
[NO] 117/1000 | Design and Development of a Beamforming Antenna Array System for Wi-Fi 7 Applications
[NO] 118/1000 | Arabic Script as Flexible Chipless RFID Tags for Enhanced Product Advertisements
[NO] 119/1000 | Building Trust and Improve Security of Vehicle User using Modern and Effective Solutions for Accessing Services in Smart Environment
[NO] 120/1000 | Waste-to-Coin: A Blockchain-Based Ecosystem for Exchanging Waste Products for Digital Tokens
[NO] 121/1000 | Nanosecond Electro-Optic Switching with Time Synchronisation for Fronthaul TSN Applications
[NO] 122/1000 | Quality Relevance-Aware Multi-Head Attention for Transformers in Industrial Time-Series Prediction
[NO] 123/1000 | AI Powered IoT System for Real-Time Plant Disease Detection Using YOLOv5
[NO] 124/1000 | Analysis of Pulse Shapers in Split Hopkinson Pressure Bar Systems and a Novel Latent Space Based Spectral Evaluation Framework
[NO] 125/1000 | Linear Matrix Computation via a Silicon Photonic Feedforward Balanced Network Chip
[NO] 126/1000 | Programmable Lens Systems with Liquid Crystals Elastomers for High Capacity and Wide Steering Angle Wireless Optical Link
[NO] 127/1000 | Performance Comparison of Backscatter Receivers
[NO] 128/1000 | Disambiguating Investment Entities in Enterprise Graphs: A Hybrid Approach with Graph Neural Networks and Embedding Models
[NO] 129/1000 | Exploring the Synergy of Augmented Reality and Smart Tourism in the Digital Era: Integrating IoT, 5G, and Big Data for Enhanced Travel Experiences
[NO] 130/1000 | A Computational Model for Stress Intervention using Affective Brain-Computer Interfaces
[NO] 131/1000 | Robust Load Forecasting for EV Charging Stations under FDIA via Fuzzy Logic Control Transformer Networks
[NO] 132/1000 | ViT-driven Visual Extraction in R2GenCMN for medical report generation
[NO] 133/1000 | ETL Process Optimization and Data Warehouse Construction for the Main Structural Quality Testing Data of Prefabricated Concrete Buildings Based on AAS
[NO] 134/1000 | DiffuseNet: A Hybrid cGAN and Diffusion Model Framework for Enhanced SAR Image Colorization
[NO] 135/1000 | Transfer-Learning-Driven Neural Network Equalization for Ultra-High-Capacity $254.7-\text{Tb} / \mathrm{s}$ Over $200-\text{km}$ SSMF
[NO] 136/1000 | Power Consumption Analysis of QKD Networks Under Different Protocols and Detector Configurations
[NO] 137/1000 | Adjustable Robust Optimization Technique for P2MP Filterless Optical Networks Under Parameter Uncertainty
[NO] 138/1000 | Net 400-Gb/s/lane O-band IM-DD Transmission Using 182-GBd PAM-6 with KP4+SFEC over 20-km SSMF
[NO] 139/1000 | Post-Quantum Cryptography for Securing Next-Generation Communication Networks
[NO] 140/1000 | Reliability Analysis based on Fault Tree Analysis for SSCB Snubber Circuit Employing Inverse Current Injection Method
[NO] 141/1000 | Mid-Span Optically Powered Remote Sensor Module Using Residual Raman Pump Light
[NO] 142/1000 | Evaluation of Various Sequential Constructive Approaches for Optimizing Vehicle Routing Problem with Time Windows
[NO] 143/1000 | Collaborative Optimization for Green Carbon Reduction in New Power Systems: Multi-Entity Interaction Across Research, Standards, and Industry
[NO] 144/1000 | A Blockchain Integrated Machine Learning Framework for Cryptographic Algorithm Identification
[NO] 145/1000 | Research on the Construction of Dynamic Matching Matrix and Its Adaptation to Educational Scenarios from the Perspective of Cognitive Symbiosisc
[NO] 146/1000 | Construction and Secondary Optimization of a Voltage Quality Control Knowledge Graph Based on Large Language Models
[NO] 147/1000 | GDPR Constraints on AI-Generated Music: Privacy Protection Challenges in Training Data
[NO] 148/1000 | Gradient Shaping Beyond Clipping: A Functional Perspective on Update Magnitude Control
[NO] 149/1000 | Construction and Practice of an AIoT Practical Course Based on Agile Teaching Methodology
[NO] 150/1000 | An Evaluation of Open Source Data Anonymisation Tools for Medical Data
[NO] 151/1000 | SynSpeech: A Dataset and Benchmark for Fake Speech Detection
[NO] 152/1000 | DS-IB Net: Ultra-Lightweight Weakly-Supervised Video Anomaly Detection through Synergistic Dual Streams and Information Bottleneck
[NO] 153/1000 | CSSA-Fusion: Channel Selective and Spatial Alignment Infrared-Visible Image Fusion
[NO] 154/1000 | Mitigating Hallucinations in Large Vision-Language Models via Dual Contrastive Decoding
[NO] 155/1000 | Multi-contrastive Regularization for Single Image Portrait Relighting
[NO] 156/1000 | Freehand Sketch-Based 3D Reconstruction with Contour Constraints via Elastic Metrics
[NO] 157/1000 | Vibrotactile Feedback to Make Real Walking in Virtual Reality More Accessible for People With and Without Mobility Impairments
[NO] 158/1000 | Multi-User VR Assembly and Manufacture Design: Multimodal Object Modeling and High-Fidelity Gesture Interaction with WebGL Integration
[NO] 159/1000 | Echoing Verses: A Generative AR System for Cultural Tourism based on Locative Narrative
[NO] 160/1000 | Five-day research-in-the-wild observation of notifications on smartglasses: A double edged sword
[NO] 161/1000 | Brook-2PL: Tolerating High Contention Workloads with A Deadlock-Free Two-Phase Locking Protocol
[NO] 162/1000 | Semantics in Robotics: Environmental Data Can’t Yield Conventions of Human Behaviour
[NO] 163/1000 | Loss of Consciousness Early Warning Modelling with EEG Signals
[NO] 164/1000 | Spatiotemporal Source Trajectory Tracking using Multiplexed Optomechanical Fiber-Optic FPI Sensors_supp1-3640121.pdf
[NO] 165/1000 | 3D-Printed Sensor on a Multicore Fiber for Triple-Parameter Sensing
[NO] 166/1000 | Efficient and Scalable Point Cloud Generation With Sparse Point-Voxel Diffusion Models_supp1-3636409.mp4
[NO] 167/1000 | IEEE Transactions on Industrial Electronics Information for Authors
[NO] 168/1000 | APWiMob 2025 Cover Page
[NO] 169/1000 | Three-Dimensional Coordinate Positioning Approach Based on Hypersonic Vehicle-Borne SAR with Spiral Trajectory
[NO] 170/1000 | Active Circulator GaN Front-Ends With Integrated Tunable Cancellers for Multifunction Phased Arrays
[NO] 171/1000 | A Stable Locality-Aware Task Scheduling Mechanism for Mobile Edge Computing With Workflow Task Offloading
[NO] 172/1000 | Reliable Federated Multi-View Learning for Heterogeneous Information Fusion in Mobile Edge Computing
[NO] 173/1000 | Non-contact Sleep Apnea-Hypopnea Syndrome Detection Using Variational Mode Decomposition-based Respiratory Signals and Deep Neural Networks
[NO] 174/1000 | TVG-SLAM: Robust Gaussian Splatting SLAM with Tri-view Geometric Constraints
[NO] 175/1000 | COMET: A Dual Swashplate Autonomous Coaxial Bi-copter AAV with High-Maneuverability and Long-Endurance
[NO] 176/1000 | Higher-Order Dynamic Modeling and Robust Optimization of Fully Decoupled MEMS Gyroscope with Fabrication Errors
[NO] 177/1000 | Establishing Reality-Virtuality Interconnections in Urban Digital Twins for Superior Intelligent Road Inspection and Simulation
[NO] 178/1000 | EPM-LTD: Exact Penalty Method for Anchor-Level Constrained Optimization in Long-Tailed Object Detection
[NO] 179/1000 | Research on warhead parameter optimization method based on improved genetic algorithm
[NO] 180/1000 | Computational Structural Bioinformatics Workshop (CSBW): Editorial
[NO] 181/1000 | Fixed-Time Active Fault-Tolerant Tracking Control of an Unmanned Aerial Vehicle with Sensor Faults and Stochastic Disturbances
[NO] 182/1000 | Bidirectional transfer-based fault diagnosis network for planetary gearboxes
[NO] 183/1000 | A Topology-Driven CNN Framework for Stock Price Prediction Using News Sentiment and Market Dynamics
[NO] 184/1000 | Multiplicative Watermarking for Replay Attack Detection in Distributed DC Microgrids
[NO] 185/1000 | Broadband Athermal Silicon Nitride Microring Resonators with Improved Stability
[NO] 186/1000 | OCR AND NER Based Generic Medicine Recommendation System
[NO] 187/1000 | Logical Numerical Modeling of Battery Energy Storage Systems for Modern Power Grid Integrations
[NO] 188/1000 | DMT vs PAM: An Experimental Comparison Over VCSEL-MMF Links for Intra-Datacenter Connections
[NO] 189/1000 | A Web-Based Image Segmentation Tool for Educational Purposes Using Java
[NO] 190/1000 | The Impact of Digitalization on Operational Efficiency in Ports: A Case Study of Borusan Port
[NO] 191/1000 | AI-Driven Computational Materials Science for Advanced Energy Materials Development
[NO] 192/1000 | In-Field Demonstration of Multi-Tech Sensing on Terrestrial Optical Data Network using State Of Polarization and Phase Monitoring
[NO] 193/1000 | Fault warning model of wind turbine pitch system based on BiGRU and multi-attention mechanism
[NO] 194/1000 | Yellowfin Tuna Meat Grading Using Computer Vision and k-Nearest Neighbors Algorithm
[NO] 195/1000 | End-to-End AI for Distributed Fiber Optics Sensing: Eliminating Intermediate Processing via Raw Data Learning
[NO] 196/1000 | Real-World Anomaly Detection in Surveillance Videos A Review
[NO] 197/1000 | Application of Genetic Algorithm Optimized Feature Mode Decomposition in Brake Disc Dynamic Balance Vibration Detection
[NO] 198/1000 | Multi-Agent Adversarial Training for Text-to-Image GANs
[NO] 199/1000 | MIMO for Joint Compensation of Mode Coupling, Frequency Offset and Carrier Phase Noise for Optical Carrier-Asynchronous SDM System via Frequency-Domain Pilot Tones
[NO] 200/1000 | Metaheuristic-Based Unknown Interference Suppression for Advanced Antenna Systems
[NO] 201/1000 | Charging Pile Fault Detection Based on WOA-Optimized Bidirectional LSTM
[NO] 202/1000 | A Topology-Loss Aware Framework for Addressing Oversegmentation in Brain Tumor Segmentation
[NO] 203/1000 | A Decision Tree Based System for Real Time Fall Detection in Geriatric Population
[NO] 204/1000 | Integrated Multi-Band Photonic Filter Based on MRR–SSG for Tunable Frequency Hopping
[NO] 205/1000 | Impact of Non-Uniform Fibre's Zero-Dispersion Wavelength on Four-Wave Mixing in 10-Km IMDD LWDM Systems
[NO] 206/1000 | Blockchain and Federated Learning(BFL) for Robust IoT Security: NONU
[NO] 207/1000 | RFID-Based Physical Unclonable Functions (PUFs) Enabled by Laser-Induced Graphene (LIG)
[NO] 208/1000 | Functional Reliability Analysis of Self-Healing Passive UHF RFID Tag Under Mechanical Damage: Cutting and Stretching Effects
[NO] 209/1000 | Neural Adaptive Observer Design For Takagi-Sugeno Fuzzy System
[NO] 210/1000 | Analysis of the thermal runaway propagation and dynamic threshold of lithium-ion batteries under different cooling conditions
[NO] 211/1000 | Optimizing Hyperparameters in Machine Learning for Enhanced Fake News Detection on Social Media
[NO] 212/1000 | $150-\text{GHz}$ Bandwidth, −30 dB CMRR Balanced Photodetector for High-Baud Rate PSK Signal Detection
[NO] 213/1000 | Application of Optimization Algorithms for Various Scenarios in Gasoline and Diesel Engines
[NO] 214/1000 | New Tools for Tracking Small Invertebrates Using Harmonic Radar
[NO] 215/1000 | A Fault Diagnosis Method for Multi-UAVs Based on Belief Rule Base with Wavelet Transformation
[NO] 216/1000 | Review of Artificial Intelligence Applications in Performance Prediction of Advanced Energy Materials
[NO] 217/1000 | Submarine Optical Fibers: A Window Into Climate Change
[NO] 218/1000 | Impact of Inter-Core Crosstalk on Coherent Optical Time-Domain Reflectometry in Repeatered Multicore Fibre Systems
[NO] 219/1000 | System Identification for Resonant Converters Through Correlation Analysis Scheme
[NO] 220/1000 | Next-Generation E-Voting Security using Blockchain Technology
[NO] 221/1000 | Temporal Deep Learning for Disease Onset Forecasting from Longitudinal Health Data
[NO] 222/1000 | Edge Authentication Using a Cryptographic Accumulator
[NO] 223/1000 | Reorienting OOP Curriculum: From Knowledge-Centric Projects to Agentic AI-Driven Problem Solving
[NO] 224/1000 | Multi-Task Learning with Adaptive Fusion for Point-of-Interest Recommendation
[NO] 225/1000 | Hint-Guided Video Frame Interpolation for Video Compression
[NO] 226/1000 | SAFE-AKT: Kazakh Image-Text Retrieval via Semantic-Agnostic Feature Enhancement and Adaptive Knowledge Transfer
[NO] 227/1000 | InstructTrack: Language-Guided Multi-Object Tracking with Semantic-Aware Association
[NO] 228/1000 | Dual-Branch Feature Modeling and Multi-Directional Motion Perception for Video Compression
[NO] 229/1000 | Hybrid Mamba-Transformer Model for Lightweight Image Super-Resolution
[NO] 230/1000 | Distortion-Aware Network for Zero-Reference Retinal Image Enhancement
[NO] 231/1000 | Joint Optimization for Image Compression and Deblurring via Blur-Aware Guidance
[NO] 232/1000 | Design of Public Physical Education Curriculum Management System Based on Blockchain Technology
[NO] 233/1000 | Towards Generative and Expressive 3D Facial Animations
[NO] 234/1000 | Animated Transitions for Abstract and Concrete Immersive Visualizations: A Design Space and Experiment
[NO] 235/1000 | The Effect of Avatar Transparency on Collaboration in Shared Virtual Spaces
[NO] 236/1000 | SpatialMouse: A Hybrid Pointing Device for Seamless Interaction Across 2D and 3D Spaces
[NO] 237/1000 | See It and Hear It: Multimodal Guidance in MR-Based Neurosurgical Simulation for Skill Retention
[NO] 238/1000 | Understanding and Reducing the Risk of Extreme Photovoltaic Degradation_supp1-3627676.docx
[NO] 239/1000 | RABIT: Efficient Range Queries with Bitmap Indexing
[NO] 240/1000 | A Study of Deadzone Structure for Multi-Dimensional Haptic Force Perception
[NO] 241/1000 | Towards On-Device Personalization: Cloud-device Collaborative Data Augmentation for Efficient On-device Language Model
[NO] 242/1000 | Tutorial: Mixed-Criticality Computing with the Quest RTOS and Quest-V Partitioning Hypervisor
[NO] 243/1000 | Joint Preamble and DSP Design for Burst-Mode Coherent PONs with Enhanced Wavelength Drift Tolerance
[NO] 244/1000 | Field Trial of High-Sensitivity Forward-Transmission Sensing for Real-World Event Detection over Live Urban Fiber Networks
[NO] 245/1000 | The interaction of market power and dynamic capabilities in shaping digital transformations success
[NO] 246/1000 | Speeding up the Iron Losses Calculation using Clustering Technics
[NO] 247/1000 | Magnetic Properties and Magnetocaloric Performance in a Dy-Pt-In Multiphase Alloy
[NO] 248/1000 | TFZ: Topology-Preserving Compression of 2D Symmetric and Asymmetric Second-Order Tensor Fields
[NO] 249/1000 | Lean Healthcare 4.0: Integrating AI, Lean Principles, and Simulation for Laboratory Process Improvement
[NO] 250/1000 | Position Leakage by Charging Power: Privacy Attacks and Efficient Protection in WRSNs
[NO] 251/1000 | Distributed Leaderless Attitude Consensus of Multi-Spacecraft Systems With Full-State Constraints Under Switching Directed Graphs
[NO] 252/1000 | LPATR-Net: Learnable Piecewise Affine Transformation Regression Assisted Data-Driven Dehazing Framework
[NO] 253/1000 | Multilevel Plug-and-Play Image Restoration
[NO] 254/1000 | Photonic Reservoir-Based Reinforcement Learning for Autonomous Mobile Robots Using Subcarrier Intermodulation Distortion
[NO] 255/1000 | Bit Error Rate (BER) Performance of BPSK, QPSK, and 16-QAM in a PMCW Radar Environment
[NO] 256/1000 | IoT Based Deep Learning Framework for Continuous Healthcare Monitoring of Vital Signs
[NO] 257/1000 | SMF-Coupled Compact Ground Terminal with Advanced Filtering Towards Daylight C-Band Satellite QKD
[NO] 258/1000 | Outage Analysis of IRS-Assisted Friendly Jamming for Physical Layer Security
[NO] 259/1000 | A Multi-Die Solution for Recovering from Double-Event Upsets in FPGA-Based Space Applications
[NO] 260/1000 | Performance Analysis of Solar Panels: Effects of Panel Tilt, Surface Cleanliness, and Weather Conditions
[NO] 261/1000 | Apple Leaf Disease Recognition Using Intelligent Techniques
[NO] 262/1000 | SVM-LSTM Model for Real-Time Detection of Punching Errors and Classification Using Kinectv2 and BNO055 Sensor
[NO] 263/1000 | Research on Bearing Condition Monitoring of Offshore Wind Turbine Units
[NO] 264/1000 | Smart UHF-RFID Collar Enhances Sustainability in Precision Livestock Management
[NO] 265/1000 | C-Band 350Gb/s 8.52-km Optical Interconnect Enabled by Anti-Resonant Hollow-Core Fiber and PS-PAM16
[NO] 266/1000 | LoRA-MAEJSCC: Masked Autoencoders for Semantic Communications using Low-Rank Adaptation
[NO] 267/1000 | Performance-Based Selection Methodology for Web Communication Protocols
[NO] 268/1000 | Ultra-Compact Leaky ReLU Nonlinear Function on IMOS
[NO] 269/1000 | Detecting Impersonation in Social Media: An NLP and Machine Learning Perspective
[NO] 270/1000 | Spam Message Classification Using Machine Learning and Deep Learning Approaches
[NO] 271/1000 | Modeling and Simulation of Photovoltaic Maximum Power Point Tracking Based on Improved Salp Swarm Algorithm Coupled with PEMEC
[NO] 272/1000 | AI-Assisted Professional Development for English Teachers: Improving Pedagogical Strategies in Adult Education
[NO] 273/1000 | Optimal scheduling of hybrid wind-photovoltaic-electricity-hydrogen energy storage microgrid considering safety and health management of energy storage devices
[NO] 274/1000 | Forging Keystrokes: Practical GAN-based Presentation Attacks on Typing Biometrics
[NO] 275/1000 | An open-circuit fault localization method for MMC based on the noise-corrected 3σ criterion
[NO] 276/1000 | A Retrieval-Augmented Generation Model for Faith-Aligned QA in Bhagvat Gita
[NO] 277/1000 | AI-Powered Moodle Modules for Advanced E-Learning
[NO] 278/1000 | Auto Power Supply Control from 4 Different Sources using Microcontroller
[NO] 279/1000 | Life prediction of sodium-ion battery based on a double exponential equation
[NO] 280/1000 | Deep Learning for Suspicious Activity Detection in Surveillance Videos
[NO] 281/1000 | Co-Existence of Quantum-Key Distribution and Classical Transmission in Space-Division Multiplexed Fiber-Optic Systems: Modelling and Validation Over Field-Deployed Multi-Core Fibers
[NO] 282/1000 | RFID Coupler Design for Encoding RFID Tags Without Retraction Inside Printers
[NO] 283/1000 | Qiskit-Enabled Simulation of Quantum Key Distribution over Starlink Satellite Networks
[NO] 284/1000 | Early Detection of Heart Disease Risk Factors Using Machine Learning: A Predictive Approach
[NO] 285/1000 | Long-Haul 2000-Km Single-Mode Fibre Transmission with Net Bitrate of 105.6 Tb/S in S+C+L Band Using Low-Noise Forward-Pumped Distributed Raman Amplification
[NO] 286/1000 | Anti-Reflection Coated SSMF to Hollow-Core Fiber Splicing with Low-Loss and Low Back-Reflection
[NO] 287/1000 | Efficient Dynamic Range Optimization for Coherent PONs via Burst-Mode Digital Signal Processing with Adaptive Power Rebalancing, and Guard Band Management
[NO] 288/1000 | Failure prediction of water quality parameters in wastewater treatment processes
[NO] 289/1000 | Optical Chiplet with 0.75-pJ/bit Transmitter Using Membrane III-V Electro-Absorption Modulators on Si and Differential CMOS Driver
[NO] 290/1000 | Demonstration of a Mid-IR FSO Link Achieving Complex Data Modulation and a Tuneable Wavelength Covering ∼4-5 μm Based on a 1.55-μm-Pumped OPO
[NO] 291/1000 | Indonesian Folklore Storytelling in Japanese Language with Text-to-Speech
[NO] 292/1000 | Bridging Perception and Communication with Intelligence: An Overview of AI in 6G ISAC Systems
[NO] 293/1000 | A Novel Technique for Privacy Preservation of Vehicle users using Blockchain during accessing Smart Applications
[NO] 294/1000 | FIFO-less Bidirectional Core-Pumped 4-core MC-EDFA Featuring with Multicore Isolator / Pump Combiner Hybrids
[NO] 295/1000 | Designing an AI Assisted Telemedicine Portal for Rural India
[NO] 296/1000 | Effective Fault Diagnosis Method for Induction Motors via Knowledge-Enhanced Graph Convolution Networks
[NO] 297/1000 | 13.56 MHz NFC HF Full Passive and Analog Tag with a Chaotic Duffing Resonator to Achieve Secured Authentication
[NO] 298/1000 | Intrusion Detection in the Modern Threat Landscape: A Review of Evolving Techniques
[NO] 299/1000 | Long-Haul SDM Transmission over 12-Coupled-Core Fiber with Semi-Real-Time $24\times 24$ MIMO Processing on FPGA
[NO] 300/1000 | Recent Advances in Machine Learning for Reconfigurable Intelligent Surfaces: Methods, Applications, and Open Challenges
[NO] 301/1000 | Lightweight Deep Learning Model for Low-Light Human Activity Recognition: ARID v1.5 Dataset
[NO] 302/1000 | High-gain Suspended Silicon Nitride Waveguide Amplifiers En-abled by Double-sided $\text{Er}^{3+}:\mathrm{A}1_{2}\mathrm{O}_{3}$ Coating
[NO] 303/1000 | Performance of PM Holmium Doped Fiber Amplifiers with Hybrid Pumping at 1150nm and 1860nm
