[2026-04-11 22:33:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | High-Precision Fluorescent Temperature Probe Based on FIR Method for Human Body Temperature Measurement
[IEEE] 2026-4-10 | Design Of Multi-stage Multi-section Microstrip line based 8-way Wilkinson Power Divider for Wideband Linear Antenna Array Applications
[IEEE] 2026-4-10 | Transformer-Enhanced Joint Information Extraction Framework for Bladder Cancer Medical Dialogue Analysis
[IEEE] 2026-4-10 | Distributed Output Formation Optimal Tracking of Heterogeneous Linear Multiagent Systems via Distributed Time-Varying Optimization
[IEEE] 2026-4-10 | Enhanced Deadbeat Predictive Current Control of PMSM Drives With Incremental Extended State Observer and Inductance Self-Correcting
[ACM] 2026-4-10 | Type Inference for Functional and Imperative Dynamic Languages
[ACM] 2026-4-10 | Phaedrus: Predicting Dynamic Application Behavior with Lightweight Generative Models and LLMs
[IEEE] 2026-4-10 | Advanced Parametric Estimation Methods for Permanent Magnet BLDC Motor under Uncertainties: Quantification of EV dynamics
[IEEE] 2026-4-10 | Low Harmonic MSK/GMSK Backscatter Based on Active Transistor Load
[IEEE] 2026-4-10 | AI Anomaly Detection of 6G Massive Internet of Things From the Perspective of Complex Networks
[IEEE] 2026-4-10 | Scribble-guided Hierarchical Prompt for SAM-Based Weakly Supervised Salient Object Detection
[IEEE] 2026-4-10 | Origami-Inspired 3-DoF Robotic Joint Design with Pneumatic Actuators_supp1-3682523.mp4
[IEEE] 2026-4-10 | IMAS2026 CFP
[IEEE] 2026-4-10 | A Unidirectional Modular Magnetic-Coupled Converter (MMCC) With Reduced Switch Capacity for None-Regenerative Motor Drive
[IEEE] 2026-4-10 | Simultaneous Magnetic Actuation and Compound Localization of an Ultrasound Capsule Endoscope in Endoluminal Environment
[IEEE] 2026-4-10 | Statistical Beamforming Design for the Downlink MISO-NOMA System
[IEEE] 2026-4-10 | AOZ-InsDet: A Real-Time Insulator Detection Framework Using Adaptive Optical Zoom for UAV Power Transmission Line Inspection
[IEEE] 2026-4-10 | Decentralized LLM Deployment in Mobile Edge Computing Networks_supp1-3682257.pdf
[IEEE] 2026-4-10 | Contrastive Imitation Learning-Based Scheduling Towards Deterministic Coordination of Parallel Flows in TSN-Enabled IIoT
[IEEE] 2026-4-10 | Demagnetization-Induced Harmonic Currents in PMSM Drives: Analysis and Online Neural Network-Based Suppression
[IEEE] 2026-4-10 | Soft Magnetic Material Core Characterizations and Modeling Under Cryogenic and High Temperature
[IEEE] 2026-4-10 | Hardware Trojan Design and Detection in Pre-Charge Half Buffer Asynchronous Circuits
[ACM] 2026-4-10 | Reframing Paths as Logic: Semantic Segmentation for Vulnerability Detection
[IEEE] 2026-4-10 | A Hybrid Distorted Coordinate System and Bilayer TSP Optimization for Toolpath Planning in Wire-Arc Additive Manufacturing
[IEEE] 2026-4-10 | Optimizing the “Bench Dragon” Movement via the Equidistant Spiral Model
[IEEE] 2026-4-10 | Visual Scene Relationship Modeling Algorithm Based on Graph Attention Network
[IEEE] 2026-4-10 | An Interactive Multiple-Model Approach for Accurate and Interpretable Trajectory Prediction in Autonomous Docking
[IEEE] 2026-4-10 | HyTC-TaNet: A Hybrid Deep Learning Model Capturing Multi-day Temporal Dependencies for Daily Mean Air Temperature Estimation with Spatial Applicability Analysis
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | Wideband Circularly Polarized Small-size Triple-patch LTCC Antenna Array for Terahertz Applications
[IEEE] 2026-4-10 | Internet of Drones System for Real-Time Wireless Water Quality Sensing, 2-D Mapping, 3-D Depth Profiling, and Intelligent Sampling_supp1-3680895.pdf
[IEEE] 2026-4-10 | IEEE Moving
[IEEE] 2026-4-10 | Robust Deadbeat Load Torque Observer-Based Direct Torque and Flux Control for Enhanced Speed and Torque Dynamics in SPMSM Drives
[IEEE] 2026-4-10 | Exploring Spatial Stratified Heterogeneity Patterns in Spatial Data: Balancing Heterogeneity with Stratification Complexity_supp1-3680542.pdf
[IEEE] 2026-4-10 | IMS2026 Joint RFSA/RFTT Plenary Session and IMS Welcome Reception
[IEEE] 2026-4-10 | A Comparative Study of Small and Large Language Models for Low-Resource Poultry Disease Knowledge Extraction
[IEEE] 2026-4-10 | Joint Sensing, Communication, and Computation for Vertical Federated Edge Learning in Edge Perception Networks_supp1-3674960.pdf
[IEEE] 2026-4-10 | Robust Skew-t Kalman Filter for USBL Tightly-Integrated Positioning System under Measurement Uncertainties
[IEEE] 2026-4-10 | PromptGuard: Soft Prompt-Guided Unsafe Content Moderation for Text-to-Image Models_supp1-3678787.pdf
[ACM] 2026-4-10 | Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models
[ACM] 2026-4-10 | Handling Exceptions and Effects with Automatic Resource Analysis
[IEEE] 2026-4-10 | IoT-Driven Access Control and Usage Tracking for High Voltage Circuit Breakers with i-Button
[IEEE] 2026-4-10 | Quantum Truncated Differential Meet-In-The-Middle Attack and Its Applications in Lightweight SPN Ciphers
[IEEE] 2026-4-10 | A Bidding Trading Based Virtual Machine Scheduling Approach in Artificial Intelligence Data Centers
[IEEE] 2026-4-10 | Research on Detection of Tiny Irregular Defects on Industrial Surfaces Under Complex Background Interference
[ACM] 2026-4-11 | Solid Waste Detection with YOLOv9 Using Preprocessing Techniques and Experimental Evaluation, Improving Generalization to Real-World Data via a Data-Centric Preprocessing Pipeline
[ACM] 2026-4-11 | Implications of Self-Reported Attitudes Towards UML in Bachelor and Master Software Engineering Courses
[IEEE] 2026-4-10 | Trust Me, I’m AI: A User-Centric Review of Human-Machine Interaction and Teaming with Explainable AI
[IEEE] 2026-4-10 | Deep Learning-Driven Time-Varying Fading Channel Estimation for Pinching Antenna Systems
[IEEE] 2026-4-10 | TunnelEye: An Explainable Framework for Real-Time Detection of Malicious DoH Traffic in High-Speed Backbone Networks
[IEEE] 2026-4-10 | On Safe Sliding Mode Control Design for Nonlinear Uncertain Systems
[ACM] 2026-4-10 | Fully-Automatic Type Inference for Borrows with Lifetimes
[ACM] 2026-4-10 | Fail Faster: Staging and Fast Randomness for High-Performance PBT
[ACM] 2026-4-10 | SymGPT: Auditing Smart Contracts via Combining Symbolic Execution with Large Language Models
[IEEE] 2026-4-10 | An Improved Unevenly Distributed Winding Design to Optimize Winding Factor Families for Fractional Slot Concentrated Windings: The Fraternal Twin Machine Concept
[IEEE] 2026-4-10 | Robust Bearing Fault Diagnosis via Bio-Inspired Spectral Enhancement and Multi-Modal Contrastive Graph Attention_supp1-3680626.pdf
[IEEE] 2026-4-10 | LAMC2026 CFP
[IEEE] 2026-4-10 | Building a Sustainable Future Through Technology: Highlights of Two MTT-S Inter-Society Technology Panels at EuMW 2025 [MTT-S Society News]
[IEEE] 2026-4-10 | Research on Model-based Requirement Acquisition Method for Civil Aircraft Structural Strength Assessment
[IEEE] 2026-4-10 | Research on a Coordinated Control Method of New Energy Grid and Energy Storage Based on Data-Driven Information Gap Decision Theory
[IEEE] 2026-4-10 | Does the Optimization of Business Environment Promote the Development of Suburban Railway?——An Empirical Analysis Based on the Two-Way Fixed Effects Model
[IEEE] 2026-4-10 | Blockchain-Based Multi-Level Data Secure Audit with Hierarchical Key Derivation
[IEEE] 2026-4-10 | Optimal Selection of Transportation Schemes in Open-Pit Coal Mines Based on Target Cost Decision-Making
[ACM] 2026-4-11 | Make it PAWssible: a Client-Specific Dedicated Progressive Web Application for Whelps Animal Shelter
[ACM] 2026-4-10 | Hybrid Game Control Envelope Synthesis
[ACM] 2026-4-10 | LARTS: Language Abstractions for Real-Time and Secure Systems
[IEEE] 2026-4-10 | Extended Multiobject Tracking With Nonparametric Bayesian Learning of Object Classes and Model Parameters
[IEEE] 2026-4-10 | Standards and Interoperability Profiles for 6G Wearable Health Monitoring: A Reference Architecture for Intelligent Sports Applications
[IEEE] 2026-4-10 | Sharpness-aware Fine-Tuning for OOD Detection_supp1-3679195.pdf
[IEEE] 2026-4-10 | Revisiting Patch-Based Anomaly Detection via Anti-Aliasing Segmentation and Distribution-Aware Memory Refinement
[IEEE] 2026-4-10 | IEEE App
[IEEE] 2026-4-10 | Beamformer Fusion Using Deep Learning for 3D Ultrasound Imaging with Sparse Arrays
[IEEE] 2026-4-10 | IEEE Dataport
[IEEE] 2026-4-10 | IEEE Conversation
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | A Cross-Hierarchical Difference Feature Fusion Network Based on Multiscale Encoder–Decoder for Coastal Wetlands Hyperspectral Change Detection
[IEEE] 2026-4-10 | Stochastic Drift Modeling for NDIR Gas Sensors: Separating Environmental Effects and Instrumental Drift
[IEEE] 2026-4-10 | An Inverse Capacitance Differential Equation Based Six-Axis Force/Torque Sensor for the High-Accuracy Decoupling of Complex Multi-axis Loads
[IEEE] 2026-4-10 | Over two thousand years of the oracle problem. Insights from Ancient Delphi for the future of blockchain oracles
[IEEE] 2026-4-10 | Accelerated Multiphysics Uncertainty Quantification of RF Components for Heterogeneous Integration Using the Preconditioner-Reuse-Based FEM Solver
[IEEE] 2026-4-10 | IEEE Standard for Speech Recognition and Interaction System for Smart Home--Collection Requirements of Corpus and Noise for Laboratory-Level Testing
[IEEE] 2026-4-10 | Parametric Study on Heat Transfer Enhancement of Microchannels with Curved Fins Mimicking Shark Skin Structure
[ACM] 2026-4-10 | RAT-CAT-SAT: Model Checking Memory Consistency Models
[ACM] 2026-4-10 | TopoGeoNet: A Heterogeneous Model for End-to-End Congestion Prediction and Optimization in FPGA Placement
[ACM] 2026-4-10 | Mechanically Translating Iterative Dataflow Analysis to Algebraic Program Analysis
[IEEE] 2026-4-10 | JMW 75th Anniversay CFP
[IEEE] 2026-4-10 | IEEE Connects
[IEEE] 2026-4-10 | Z-IDS: Zero-Day Intrusion Detection in IoV using Generative Adversarial Networks
[IEEE] 2026-4-10 | Aligning Gamification with Learner Motivation: Insights from VR-Based Learning Tasks
[IEEE] 2026-4-10 | Fracture healing evaluation of tibia treated with external fixator based on vibrational transmissibility: experimental assessment
[IEEE] 2026-4-10 | Modeling, Characterization, and Compensation of Detection Errors for Differential Frequency Modulation Whole-Angle Hemispherical Resonator Gyroscope
[IEEE] 2026-4-10 | Credible Uncertainty Quantification under Noise and System Model Mismatch
[IEEE] 2026-4-10 | Adaptive Virtual Impedance Control for Series Active Compensator to Improve PV Power Injection in Distribution Networks
[IEEE] 2026-4-10 | A Compact Low-Power Cryo-CMOS Readout With Active Quenching for Superconducting Nanowire Single-Photon Detectors
[IEEE] 2026-4-10 | Accurate Servo Parameter Identification via Dual Super-Twisting Parallel Observation Network With Cogging Torque Compensation
[IEEE] 2026-4-10 | Improved Physics-Driven Neural Network for Solving Inverse Scattering Problems
[IEEE] 2026-4-10 | Mobile Distributed MIMO (MD-MIMO) for NextG: Mobility Meets Cooperation in Distributed Arrays
[IEEE] 2026-4-10 | Fine-Grained IoT Device Fingerprinting Using Active Probing
[IEEE] 2026-4-10 | Unidirectional Saturation in Closed-Loop Self-Oscillating Fluxgate Current Sensors: Analysis, Recovery Method, and Circuit Design
[IEEE] 2026-4-10 | Table of Contents
[IEEE] 2026-4-10 | RWW 2027 Call for Papers WISnet
[IEEE] 2026-4-10 | Microwave Heating Optimisation Study Based on a PSO-BP Leader Prediction System
[IEEE] 2026-4-10 | The Influence of Impulse on the De-Icing Effect of Catenary and the Mechanism of Ice Fracture
[IEEE] 2026-4-10 | Models and Solutions for Vehicle Routing Problem with Simultaneous Divisible Deliveries and Pickups
[IEEE] 2026-4-10 | Machine Learning in Macroeconomic Forecasting: Applications and Policy Insights for China's Economic Challenges
[IEEE] 2026-4-10 | Evaluating Brain-Inspired SLAM in Real-World Settings
[ACM] 2026-4-10 | Metamorphic Testing for Infrastructure-as-Code Engines
[ACM] 2026-4-10 | Designing GPU Data Structures for Efficient Memory Oversubscription
[ACM] 2026-4-10 | Decompiling for Constant-Time Analysis
[ACM] 2026-4-10 | RandSet: Randomized Corpus Reduction for Fuzzing Seed Scheduling
[ACM] 2026-4-10 | Speak Now: Safe Actor Programming with Multiparty Session Types
[IEEE] 2026-4-10 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-4-10 | AICCE: AI Driven Compliance Checker Engine
[IEEE] 2026-4-10 | Micro and Transport Layer Security Benchmarking of Post-Quantum versus Classical Cryptography
[IEEE] 2026-4-10 | IMS2026 Project Connect—Making Waves by Connecting Minds
[IEEE] 2026-4-10 | IMS Workshop Program
[IEEE] 2026-4-10 | Fast-Converging Volterra Equalizer Using Mini-Batch Gradient Descent-based Adam Optimization
[IEEE] 2026-4-10 | A Learnable SIM Paradigm: Fundamentals, Training Techniques, and Applications
[IEEE] 2026-4-10 | State and Contact Force Estimation for Self-Balancing Electric Bicycles_supp1-3682440.mp4
[IEEE] 2026-4-10 | Graph-based Reinforcement Learning for Robot Decision Making in Collaborative Robotics_supp1-3682530.mp4
[IEEE] 2026-4-10 | Multicast With Multi-Waveguide PASS via Position and Beam Co-Design
[IEEE] 2026-4-10 | The Microsoft-Northwestern-WITNESS Benchmark for Deepfake Detection
[ACM] 2026-4-11 | Simulating Phishing Attacks via Social Media: Assessing Student Vulnerabilities to Hidden Malicious Links Using Zphisher
[ACM] 2026-4-11 | LLM-based Formality Ranking of Candidate Translations
[IEEE] 2026-4-10 | The Random Forest Methods are Used to Co-Optimize Solar and Wind Power Generation
[IEEE] 2026-4-10 | Tunnel Emergency Evacuation Sign Layout and Luminance Threshold Calculation Under Different Evacuation Types Conditions
[ACM] 2026-4-11 | Proceedings of the 2025 7th World Symposium on Software Engineering
[IEEE] 2026-4-10 | A Comprehensive Study of Exploiting GPT Models with Parts-of-Speech Enhanced Adversarial Techniques
[IEEE] 2026-4-10 | Automated Repair of Alloy Specifications in the Era of Large Language Models
[IEEE] 2026-4-10 | On the Tail Transition of First Arrival Position Channels: From Cauchy to Exponential Decay
[IEEE] 2026-4-10 | A 32-Channel Neural-Recording Chip Achieving 117dB Intrinsic-CMRR and 100dB PSRR by CM-Tracking-Dynamic-Power-Rail and CM-Canceling-in-Idle-Phase Techniques
[IEEE] 2026-4-10 | MILE: Multi-Expert Ensemble with Instance Selection for Multi-Class Imbalanced Learning_supp1-3682346.pdf
[IEEE] 2026-4-10 | EvoSampling: A Granular Ball-Based Evolutionary Hybrid Sampling With Knowledge Transfer for Imbalanced Learning [Research Frontier]_supp1-3657694.pdf
[IEEE] 2026-4-10 | Duration-Adaptive Time-Frequency Perception Network for Overlapping Sound Event Detection
[ACM] 2026-4-10 | PLEX: Normalization for Refinement Types
[IEEE] 2026-4-10 | Design of a Wideband Circularly Polarized Phased Array Antenna Based on Sequential Rotation for LEO Satellites Communication
[IEEE] 2026-4-10 | Electromagnetic Compatibility Layout Optimization Simulation of Cable Interconnection System
[IEEE] 2026-4-10 | A Deep Reinforcement Learning Method for Control Optimization in Reservoir Operation
[IEEE] 2026-4-10 | Adaptive Nonsingular Fast Terminal Sliding Mode Control of Permanent Magnet Linear Synchronous Motor
[IEEE] 2026-4-10 | Research on Digital Detection and Analysis System for Electrical Faults Based on Online Status
[IEEE] 2026-4-10 | Research on Ship Heading and Speed Control Based on Self-Coupling PID
[IEEE] 2026-4-10 | Research on Equipment Fault Diagnosis Technology Based on Intelligent Analysis of Vibration Signals
[IEEE] 2026-4-10 | Frequency-Spatial Coupled Inference Network for Underwater Image Super-Resolution
[IEEE] 2026-4-10 | Design and Optimization of a Dual Stator U-Type Hybrid Excitation Machine with DC Bias Current
[IEEE] 2026-4-10 | An Efficient Runtime Verification Toolkit for Self-Adaptive Systems Addressing Runtime System Model Changes
[IEEE] 2026-4-10 | IMS2026 MTT-S Historical Exhibit
[IEEE] 2026-4-10 | VectorGlide: Realizing Continuum Drive Paradigm via Integrated Contact Kino-Dynamic MPC for Wheeled Quadruped Robots_supp1-3682609.mp4
[IEEE] 2026-4-10 | Model-Free Reinforcement Learning for Optimal Control of Switched Systems
[IEEE] 2026-4-10 | Enhancing Surface Insulation Performance of Epoxy Resin by Composite Treatment of APPJ and Coating Film
[IEEE] 2026-4-10 | Symmetric T-Shape Attenuator [enigmas, etc]
[IEEE] 2026-4-10 | French Ham Radio Academic Symposium in Bordeaux, France [Young Professionals]
[IEEE] 2026-4-10 | RFTT2026: The Inaugural RF Technology and Techniques Symposium
[IEEE] 2026-4-10 | RFSA2026: The Inaugural RF Systems and Applications Symposium
[ACM] 2026-4-10 | Streaming Hierarchical Clustering Based on Point-Set Kernel
[ACM] 2026-4-10 | Loops2Roofs: Diffusion-based 3D Roof Generation using a Loop Representation
[IEEE] 2026-4-10 | Semantic Segmentation and Multimodal Fusion for Defect Detection in Hot-Rolled Steel Strips
[IEEE] 2026-4-10 | Applied Mathematical Modeling for Financial Forecasting: A Machine Learning Approach to Stock Prediction and Optimization
[IEEE] 2026-4-10 | Research on DAT-UPFT-SFT Algorithm for Validation of Declaration Materials in Fixed Domains
[IEEE] 2026-4-10 | Surface Defect Detection Algorithm of Crane Steel Structure Based on Improved YOLOv8
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Front Cover
[ACM] 2026-4-11 | From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation
[ACM] 2026-4-11 | Bakr: A 3D-Interactive App for Homemade Pastry Baking Step-by-Step Guides and Techniq
[IEEE] 2026-4-10 | Model-based Deep Learning for Joint RIS Phase Shift Compression and WMMSE Beamforming
[IEEE] 2026-4-10 | Descriptor:
                    <i>A Lightweight Movie Genre Classification Dataset (MovieLite)</i>
[IEEE] 2026-4-10 | Human–Machine Fitness While Driving: Evaluating Human Acceptance of Autonomous Driving Styles Through EEG Signal Analysis
[IEEE] 2026-4-10 | Continuous-Time Distributed Seeking for Variational Generalized Nash Equilibrium of Online Game
[IEEE] 2026-4-10 | RWW 2027 Call for Papers SHaRC
[IEEE] 2026-4-10 | Ombuds Officer [MTT-S Ombuds Officer]
[IEEE] 2026-4-10 | Temperature Sensing via NV Center Photoluminescence Spectrum Powered by Deep Learning
[IEEE] 2026-4-10 | IMS2026 Startup Pavilion: Showcasing Innovation and Revolutionizing RF
[IEEE] 2026-4-10 | HESO Based Motor-Level Traction Torque Balancing Strategy for Dual PMSMs in Distributed Rear-Wheel-Drive EV Under Single-Wheel Slip
共写入 700 条记录，保存到 papers/paper2026-04-10.json。
论文获取成功，文件路径: papers/paper2026-04-10.json
正在筛选、翻译并发送邮件...
[NO] 1/700 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[NO] 2/700 | IMS2026 General Co-Chairs’ Welcome
[NO] 3/700 | Identification and Analysis of Thermal-Magnetic Coupling Noise in SERF Comagnetometer
[NO] 4/700 | Game-Theoretic Market Mechanism for Dynamic Wireless Resource Allocation
[NO] 5/700 | Time-Variant Reliability Analysis of Satellite Solar Panel Deployment Mechanism under Multiple Failure Modes Using SILK Model
[NO] 6/700 | The Contribution of Service-Learning to the Holistic Development of Engineering Students in Private Higher Education
[NO] 7/700 | Discrete Prompt Tuning via Recursive Utilization of Black-box Multimodal Large Language Model for Personalized Visual Emotion Recognition
[NO] 8/700 | Spray deposition for Board Level Shielding assessed through MSRC measurements
[NO] 9/700 | MultiHuman: Leverage Multimodal Prompts for Controllable Multi-Person Image Synthesizing
[YES] 10/700 | Harnessing LLMs for Cyber-Resilience A Systematic Survey in Threat Mitigation and Future Trajectories
[NO] 11/700 | IEEE Feedback
[NO] 12/700 | Design, Control, and Evaluation of a Modular Variable Configuration Rehabilitation Robot for Early Physical Therapy_supp1-3669328.mp4
[NO] 13/700 | IT General
[NO] 14/700 | SCGT: Towards Scalable and Comprehensive Graph Transformer
[NO] 15/700 | High-Fidelity and Efficient Torque Estimation for Quasi-Direct Drive Actuators with an Incremental Recurrent Cascade Broad Learning System
[NO] 16/700 | A Novel Electromagnetic Energy Harvester With Electrical Frequency up-Converter
[NO] 17/700 | Dual-Branch CNN with Enhanced Bidirectional Multiscale Sparse Cross-Attention for Remote Sensing Scene Classification
[YES] 18/700 | From Raw Pointers to Memory Safety: A Modular Demand-Driven Typestate Analysis for Rust
[YES] 19/700 | LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer
[NO] 20/700 | An Analytical Approach to Punjabi Dialect Identification using Feature Selection and Ensemble Models
[YES] 21/700 | InspectCoder: Dynamic Analysis-Driven Self Repair through Interactive LLM-Debugger Collaboration
[YES] 22/700 | Hunting CUDA Bugs at Scale with cuFuzz
[NO] 23/700 | From AI Winter to Forever Spring—AI Is Here to Stay
[NO] 24/700 | A Compartment Model for Simulating the Dynamic Transmission of COVID-19 with a Case Study of Western Australia
[NO] 25/700 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[YES] 26/700 | Beacon: Detecting Broken Access Control Vulnerabilities in DBMSs via System Catalog Consistency Validation
[YES] 27/700 | When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure
[NO] 28/700 | Hermes: Making Path-Sensitive Pointer Analysis Scalable for Sparse Value-Flow Analysis
[NO] 29/700 | Lunar Communication and Navigation Systems: A Comprehensive Survey, Research Challenges, and an Architectural Roadmap
[NO] 30/700 | RWW 2027 Call for Papers SiRF
[NO] 31/700 | SleepingEdge: Real-Time Sleep-Stage–Driven Epileptic Seizure Detection Using HMM and Hybrid OptiNet-SVM
[NO] 32/700 | A Trapezoidal-Current Pulsed Power Converter Based on Modified Pulse-Forming Lines in SHINE Injector
[NO] 33/700 | Fast Decision Making in Human–Machine Interaction Through Estimation of Human Reaching Intent
[NO] 34/700 | Evaluation of the Improved 10 mA and 10 V Reference and Transfer Standard for the High DC Current Test and Calibration Infrastructure at CERN
[NO] 35/700 | Simultaneous Localization and Imaging Using Combined Range-Doppler Domain Information for Vehicle-Mounted UWB Radar in Urban Environments
[NO] 36/700 | Spoilt by choice? Understanding the effects of customization and variety increases on service performance: the role of service modularity
[NO] 37/700 | Discrete Phase-Compensated Multiple SOGIs with PI and FLL for Signal Extraction under Distorted and DC-Offset Grid
[NO] 38/700 | Learning graphons from data: Random walks, transfer operators, and spectral clustering
[NO] 39/700 | Toward Standardized Edge-Enhanced Collaborative Computing for 6G Healthcare Networks
[NO] 40/700 | Bayesian Model Calibration for Deep-Learning-Based Indirect Test of Analog Circuits
[NO] 41/700 | DAFF-Net: Dynamic Attention-Guided Feature Fusion for Single-View 3D Reconstruction
[NO] 42/700 | Rank-Based Optimized Sequential Sampling Approaches for Reliability Prediction Under Hybrid Degradation Process
[NO] 43/700 | Modeling and Design of Electromagnetic Motion Systems
[NO] 44/700 | Fault Diagnosis of Elevator Traction System based on Digital Twin
[NO] 45/700 | Remaining Vital [MicroBusiness]
[NO] 46/700 | Micro-Action Recognition in Lecture Scenarios for Educational Training: A Dual-Case Benchmark Study
[NO] 47/700 | Using Item Personality-Based Profiling in Music Recommender Systems
[NO] 48/700 | Stakeholder Value Criteria for Technical Debt Acquisition Decisions: An Empirical Analysis
[NO] 49/700 | SIRA: Scaled-Integer Range Analysis for Optimizing FPGA Dataflow Neural Network Accelerators
[NO] 50/700 | Effectively Propositional Higher-Order Functional Programming
[NO] 51/700 | Real-Time Validation of Stewart Platform U-Joint Kinematics through a Digital Shadow
[NO] 52/700 | “United in Science” [From the Guest editor's Desk]
[NO] 53/700 | Idling Control of PEMFC Based on Quantitative Model-free Adaptive Iterative Learning Approach
[NO] 54/700 | Koopman-Based Online Identification With Sim2Real Transfer for Hydrodynamic Modeling of Turtle Inspired Robot_supp1-3682620.mp4
[NO] 55/700 | Mathematical Modeling and Simulation of AI-Driven Sports Rehabilitation for Drug Addiction Treatment
[NO] 56/700 | TKCFN: Textual Knowledge Guided Contextual Feature Fusion Network for UHR Satellite Images
[NO] 57/700 | CoCaTS: a Cooperative Caching-enabled Transmission Scheme in Ultra-dense LEO Satellite Networks
[NO] 58/700 | RRFuzzer: A Fuzzing Framework for Proprietary Industrial Control System Protocols using a Combination Strategy
[NO] 59/700 | IEEE CS Jobs Board
[NO] 60/700 | Masthead
[NO] 61/700 | N-Stage Phase-Interleaved Fourth-Order LCLC Resonant Converter for High-Voltage DC Applications
[NO] 62/700 | Journal of Lightwave Technology Publication Information
[NO] 63/700 | Journal of Lightwave Technology Publication Information
[NO] 64/700 | Open-Source Toolkits for Experiments in Virtual Reality: a Scoping Review
[NO] 65/700 | Spectral data fusion based on mRMR algorithm to assess the DP of insulating paper at different water contents
[YES] 66/700 | OBsmith: LLM-Powered JavaScript Obfuscator Testing
[NO] 67/700 | Dual-Hypergraph Based Symmetrical Self-Representation Learning for Cross-Domain Facial Expression Recognition
[NO] 68/700 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry
[NO] 69/700 | Boosting the Signal From the Lower Recording Structure in Three-Dimensional Magnetic Recording
[NO] 70/700 | Power transformer health index analysis software with monitoring of operational electrical parameters
[NO] 71/700 | Performance Evaluation of Cell-Free Massive MIMO Systems based on mixed Indoor/Outdoor Measurements
[NO] 72/700 | Blank Page
[NO] 73/700 | Fast and Accurate Lithium-ion Battery Impedance Measurement Using Multi-rate Quadrature Demodulation with Band-pass Filtering
[NO] 74/700 | Mechanisms under Shifts: Interpretable Clustering with Self-Improving Heterogeneous Causal Graphs
[NO] 75/700 | Cloud-Assisted Heterogeneous Privacy-Preserving Collaborative Graph Learning
[NO] 76/700 | Performance Analysis of Coherent-State Quantum Optical Wireless Communication over Turbulent Channels with Pointing Errors
[NO] 77/700 | Temporal Characterization of Fade Events in mmWave Channels
[NO] 78/700 | GAC-Net: Global-Local Adaptive Context Network for Infrared Small Target Detection
[NO] 79/700 | Singular Value Fine-tuning for Few-Shot Class-Incremental Learning
[NO] 80/700 | SAR Aspect Angle Domain Adaptation Based on Directional Scattering Centers for Non-Cooperative Target Recognition
[NO] 81/700 | The -Score Test: A Model-Free Weighting Framework for Robust Parametric Detection_supp1-3682439.pdf
[NO] 82/700 | Edge Network Sensing of Cable Insulation Aging Using High Frequency Power Flow Analysis of PLC Signals
[NO] 83/700 | Dual-Stage Optimized SSTDR for High Accuracy Online Cable Fault Localization
[NO] 84/700 | PersonalAI: A Systematic Comparison of Knowledge Graph Storage and Retrieval Approaches for Personalized LLM agents
[NO] 85/700 | IEEE CS Social Media
[NO] 86/700 | Eel-Inspired Electrohydraulic Soft Swimmer with Programmable Undulatory Gaits
[YES] 87/700 | CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System
[NO] 88/700 | Design of Leakage Protection System Based on Industrial Internet of Things
[NO] 89/700 | Analysis of the Effectiveness of K-Nearest Neighbor Algorithm in Predicting the Congestion Level of Delivery Routes
[NO] 90/700 | Combining Graph Neural Networks with Metalearning for Cross-Domain Graph Representation Learning
[NO] 91/700 | Target characterization for maritime surveillance using HF surface wave radar
[NO] 92/700 | Hybrid Variable Selection Algorithm Based on Mutual Information and Random Forest
[NO] 93/700 | Quantifying Synergistic Evolution Between Digital Finance and Industrial Structure Transformation and Upgrading: A Composite System Modeling Approach
[NO] 94/700 | Single-View 3D Reconstruction Via Shifted Window Attention
[NO] 95/700 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[YES] 96/700 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[YES] 97/700 | Corrigendum: A data-centric chip design agent framework for Verilog code generation
[NO] 98/700 | MuscleGolfAR: Embodied versus Detached Visualization for Motions and Inferred Muscle Activations in Augmented Reality_supp1-3680749.mp4
