[2026-02-04 09:31:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[IEEE] 2026-2-3 | ICARCE 2025 Cover Page
[IEEE] 2026-2-3 | Convolutional Block Attention Module for Enhanced Batik Image Synthesis
[IEEE] 2026-2-3 | Designing for Anonymity in Social Networking Platform for Student Mental Health and Well-Being
[IEEE] 2026-2-3 | Robust Control Framework for a Grid-Connected PV/FC Hybrid System
[IEEE] 2026-2-3 | CNN-Powered AoA Prediction via PyTorch for Uniform Linear Arrays
[IEEE] 2026-2-3 | A Novel Energy Management Strategy to Facilitate the Integration of Renewable Energy Hubs into Local Energy Markets
[IEEE] 2026-2-3 | An IoT-Enabled Real-Time Soil Irrigation System for Smart Agriculture
[IEEE] 2026-2-3 | Technical Program Committee
[IEEE] 2026-2-3 | Channel Correlation Analysis of Distributed Access Links for Reliable Industrial Wireless Connectivity
[IEEE] 2026-2-3 | A Highly Sensitive Substrate Integrated Waveguide Rotation Sensor With Embedded Reference Band for Calibration
[IEEE] 2026-2-3 | Directionally Regularized Two-Stage Calibration for Cross-Shaped MGT Sensor Arrays with Physics-Inspired Error Modeling
[IEEE] 2026-2-3 | Study of a Five-Blade Vertical Axis Turbine for Energy Generation Using Autodesk CFD
[IEEE] 2026-2-3 | Evaluation of the Influence of Vehicular U-Turns on the Number of Vehicle Conflicts at a T-Type Intersection without Signal Lights, with and without a U-Shaped Lane, with Signal Lights, with and without a U-Shaped Lane Using Vissim 9.0 and SSAM
[IEEE] 2026-2-3 | Preliminary Assessment and Seismic Vulnerability Study of a 16th-Century Adobe Heritage Building
[IEEE] 2026-2-3 | Emerging Trends in AI-Driven Autonomous Unmanned Aerial Vehicle System for Wildfire Surveillance: A Comprehensive Survey
[IEEE] 2026-2-3 | Searching to Modulate for Cold-Start Recommendation
[IEEE] 2026-2-3 | Photonic Lens Based on a Quasi-Periodic Metamaterial with Sixfold Repetition for Advanced Optical Manipulation
[IEEE] 2026-2-3 | LLM-Empowered Cooperative Content Caching in Vehicular Fog Caching-Assisted Platoon Networks
[IEEE] 2026-2-3 | Shock-Proofing the Grid: Readiness of Indian Electricity Markets for Futures-Based Hedging Instruments
[IEEE] 2026-2-3 | Numerical Analysis of SPR SPCE Sensor with Graphene Applied in the Detection of Markers in Power Transformer Oil
[IEEE] 2026-2-3 | Sorghum Leaf Disease Detection Using Vision Transformer
[IEEE] 2026-2-3 | Dynamic Line Rating Computation and Limit Exchange Methodologies
[IEEE] 2026-2-3 | Proceedings
[IEEE] 2026-2-3 | Impact of High Temperature on Wind Turbine Performance in India and Need for Climate-Resilient Design
[IEEE] 2026-2-3 | IEEE Security and Privacy
[IEEE] 2026-2-3 | A Low-Power Successive Approximation Algorithm for ECG Signals
[IEEE] 2026-2-3 | Adaptive Differentiator Estimator
[IEEE] 2026-2-3 | Design of Orthogonal Phase of Arrival Positioning Scheme Based on 5G PRS and Optimization of TOA Performance
[IEEE] 2026-2-3 | SkeletonHR: Robust Heart Rate Detection under movement conditions using a commodity mmWave radar sensor
[IEEE] 2026-2-3 | Compact 12-Element Circular MIMO Antenna Array with Passive Geometric Isolation for Triple-Band 5G
[IEEE] 2026-2-3 | A 40 GHz Low-Power Variable-Gain Low Noise Amplifier in $28-\text{nm}$ CMOS Process
[IEEE] 2026-2-3 | Real Time Digital Simulator (RTDS) Hardware in the Loop (HIL) Testing of Battery Energy Storage System (BESS) Controller
[IEEE] 2026-2-3 | Self Replication Mode for Network Intrusion Detection of Imperative Node Evaluator
[IEEE] 2026-2-3 | Fusion-Based Movie Recommender System Combining Genre Similarity, LightFM, and Neural Networks
[IEEE] 2026-2-3 | CNN and K-NN Methods for Image-Response Recognition in Surface Plasmon Resonance Sensors
[IEEE] 2026-2-3 | Smith Chart-Based Graphical Design of a Two-Section Transmission Line Matching Circuits
[IEEE] 2026-2-3 | Towards Smarter Healthcare: A Multimodal Sensor Fusion Approach for Heart Disease Prediction with Artificial Intelligence
[IEEE] 2026-2-3 | Table of Contents
[IEEE] 2026-2-3 | Individual Action Detection using Yolov9 and Deep Neural Network
[IEEE] 2026-2-3 | A Phased Array of Miniaturized Radiators for 6G
[IEEE] 2026-2-3 | A Switching-Function-Based Average Value Model for Efficient EMT-type Simulation of Solid-State Transformer with Interleaved DAB Modules
[IEEE] 2026-2-3 | A Quad-core 32-bit RISC-V CPU Implementation with Design Verification on 130 nm CMOS Process
[IEEE] 2026-2-3 | Designing of an Improved Robust Degn-Harrison 2D Chaotic Map for Image Encryption Application
[IEEE] 2026-2-3 | Passive Adaptive Foot-Ankle for Quadruped Robots: Design and Analysis
[IEEE] 2026-2-3 | Hybrid ANN-FLC Based Fault Detection in PV Systems
[IEEE] 2026-2-3 | Design of Ground Fault Detector for Current Disturbances on Distribution System
[IEEE] 2026-2-3 | Broadband Measurement of Dielectric Properties of 3D-Printed Plastics
[IEEE] 2026-2-3 | Federated Learning-Driven Cyber-Physical Security Framework for AI- Powered Smart Grids in Renewable-Integrated Urban Infrastructures
[IEEE] 2026-2-3 | Enhancing M2M 5G Communications through SVR-Based Angle of Arrival Estimation
[IEEE] 2026-2-3 | Coverage Analysis for FR3 Spectrum Based on Throughput Performance
[IEEE] 2026-2-3 | Enhancing Geo-Transferability in Building Function Classification through Similar Place Knowledge Retrieval_supp1-3659015.docx
[IEEE] 2026-2-3 | Utilizing Large Language Models for Alzheimer's and Bipolar Disorder Prediction
[IEEE] 2026-2-3 | Table of Contents
[IEEE] 2026-2-3 | Dynamic Adaptive Aggregation and Feature Pyramid Network Enhanced GraphSAGE for Advanced Persistent Threat Detection in Next-Generation Communication Networks
[IEEE] 2026-2-3 | Hysup-V: Quality-Aware 3D Vietnamese Sign Language Reconstruction With Anchor-Guided Kinematic Fusion
[IEEE] 2026-2-3 | 2025 4th International Conference on Automation, Robotics and Computer Engineering (ICARCE)
[ACM] 2026-2-3 | Assessing Online Shoppers' Preferences on E-Commerce Platforms in the Philippines: Utilizing Cluster Analysis for Optimized Marketing Strategies
[ACM] 2026-2-3 | The Impact of Instagram Reels of Brands on Millennials and Gen Z’s Intent to Purchase: Analyzing Content, Relevance, Attractiveness, and Reliability
[ACM] 2026-2-3 | No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis
[ACM] 2026-2-3 | Probabilistic Runtime Verification, Evaluation, and Risk Assessment of Visual Deep Learning Systems
[IEEE] 2026-2-3 | TBGA: Tripartite and Bipartite Graph Attention for Multi-modal Video Question Answering
[IEEE] 2026-2-3 | A Delay Compensation for Adaptive Bandwidth Hysteresis Current Control
[IEEE] 2026-2-3 | Improving ocean color atmospheric correction near clouds with neural network
[IEEE] 2026-2-3 | A Transmission Line-Based Approach for Material Identification
[IEEE] 2026-2-3 | Learning Multi-view Anomaly Detection with Efficient Adaptive Selection
[IEEE] 2026-2-3 | IF Estimation in Multi-Component Signals via Hough-Viterbi Algorithm with HGA-ADTFD
[IEEE] 2026-2-3 | Maximizing Edge Throughput in Collaborative Multi-Task Inference With Shareable Model Structures_supp1-3658130.pdf
[IEEE] 2026-2-3 | A novel subtraction-based algorithm for finding
                    <i>d</i>
                    -MCs for all possible
                    <i>d</i>
[IEEE] 2026-2-3 | Ensemble Workload Prediction with Fluctuation Division Control in the Computing Power Network
[IEEE] 2026-2-3 | Accelerating Belief Propagation with Task-Based Hardware Parallelism
[IEEE] 2026-2-3 | Digital Twin Modeling Method Based on the Dynamic Characteristics of Mobile Robots
[IEEE] 2026-2-3 | Digital Twin-Enhanced Multimodal Learning for Robust Fault Detection in Photovoltaic Energy Systems
[IEEE] 2026-2-3 | Energy Valley Optimizer Approach for Controlling Switched Nonlinear Systems
[IEEE] 2026-2-3 | 1-bit DAC for Image Enhancement of Q-band Direct Digital RF Transmitter
[IEEE] 2026-2-3 | Testing Data Pipeline Limits for Stock Market Forecasting with Machine Learning Integration
[IEEE] 2026-2-3 | A Parallel UE/gNB Emulator for Large-Scale Validation of 5G Core Networks
[IEEE] 2026-2-3 | A Hierarchical Autonomous Parking Method Based on Complexity-Adaptive Hybrid-Action Constrained Reinforcement Learning
[IEEE] 2026-2-3 | Optimizing Transaction Classification through Hybrid Feature Engineering and Advanced Machine Learning Algorithms
[IEEE] 2026-2-3 | STA 2025 Conference Program
[IEEE] 2026-2-3 | Computer Vision in Agriculture: Cacao Bean Sorting Using Deep Learning
[IEEE] 2026-2-3 | Optimization of Photovoltaic-Based Distributed Generation, Battery Energy Storage Systems, and Controllable Loads in Smart Grids Using Manta-Ray Foraging Optimization Algorithm
[IEEE] 2026-2-3 | GAM Antenna Arrays for B5G Systems
[IEEE] 2026-2-3 | IEEE Computer Society Call for Papers
[IEEE] 2026-2-3 | Extended Input Range Multi-inverter System Based On Novel Supercapacitor Assisted Ultra Low Frequency Switching Converter Technique
[IEEE] 2026-2-3 | Robust Fault-Tolerant Control of Four-Phase Interleaved DC-DC Converter Under Switch Fault for Fuel Cell Application
[IEEE] 2026-2-3 | Projection-Based Fusion of 2D LiDAR and Camera Data for Real-Time: Architecture and Experimental Evaluation : *Note: Sub-titles are not captured in Xplore and should not be used
[IEEE] 2026-2-3 | A Detection Strategy for False Data Injection Attack in Automatic Generation Control System
[IEEE] 2026-2-3 | Efficient Object Detection in Remote Sensing Images Based on Feature Weaving and Redundancy Suppression
[IEEE] 2026-2-3 | Learning to Optimize RIS-RSMA for Multi-Robot Communication with Max-Min Fairness
[IEEE] 2026-2-3 | Region-Level Vision-Language Model for Detecting Distraction Behavior and Mobility Attributes of Vulnerable Road Users
[IEEE] 2026-2-3 | One Size Doesn't Fit All: Age-Aware Gamification Mechanics for Multimedia Learning Environments
[IEEE] 2026-2-3 | Hierarchical Synergistic Fusion Network for Multi-sensor Fault Diagnosis of Harmonic Drives with Small Samples
[IEEE] 2026-2-3 | Hybrid Centrality and Temporal Dynamics Framework for Identifying Influential Nodes and Predicting Links in Complex Networks
[IEEE] 2026-2-3 | Table of Contents
[IEEE] 2026-2-3 | A Wideband Bi-Directional Variable-Gain Amplifier with Low Phase Variation for Phased Array System
[IEEE] 2026-2-3 | Cybersecure Line Differential Relay Based on Transient Signatures and Decision Tree Classification
[IEEE] 2026-2-3 | Adaptive Spatial Filtering and Linear Discriminant Learning for Robust Motor Imagery EEG Classification
[IEEE] 2026-2-3 | Characterization of HW-SW configurations in FPGA-based adaptive AI Imaging Systems
[IEEE] 2026-2-3 | A Case Study With Concurrency and Data-Tensor Parallelism Scenarios in vLLM
[IEEE] 2026-2-3 | A Framework for Real-Time Semantic Duplicate Detection in Q&amp;A Platforms using a Serverless Autonomous Agent
[IEEE] 2026-2-3 | Effective Graph Resistance Based Vulnerability Assessment Framework for Cyber Resilient CPPS
[IEEE] 2026-2-3 | Comparative Analysis of Flywheel and Battery Energy Storage Systems for Smoothing Photovoltaic Power Output
[IEEE] 2026-2-3 | Efficient Wide Area Data Compression - A Ramanujan's Sum-Based Approach
[IEEE] 2026-2-3 | Explainable Brain Tumor Segmentation With Attention-Guided Variational Autoencoder
[IEEE] 2026-2-3 | Author Index
[IEEE] 2026-2-3 | Healthcare Seeking Behavior of Tuberculosis Using Logistic Regression Model
[IEEE] 2026-2-3 | LlamaIDS: Real-Time Detection Model of Zero-Day Intrusions Using Large Language Models
[IEEE] 2026-2-3 | A Hybrid Machine Learning Framework for Improving Delayed Graduation Prediction Accuracy in Employed Postgraduate Students
[IEEE] 2026-2-3 | Design and Performance of Grid-Forming Controls for Power Electronic Transformer with Photovoltaic Integration on Low-Voltage DC Link
[IEEE] 2026-2-3 | Robust Multimodel Ho Control Design for Nonlinear Systems: Disturbance Rejection
[IEEE] 2026-2-3 | A Comparative Performance Analysis of Deep Learning-Based Motorcycle Tracking Models at Urban Intersections: A Vietnamese Case Study
[IEEE] 2026-2-3 | New PSO based algorithm for ARX Laguerre model parameters optimization
[IEEE] 2026-2-3 | Analyzing the Impact of DMSO Treatment on Biofilms: A Textural Description and Unsupervised Approach
[IEEE] 2026-2-3 | Controller design based on passivity for a power factor correction regulator three-phase AC-DC converter
[IEEE] 2026-2-3 | Strategic Edge Cloud Placement via Clustering of Telecommunication Infrastructure
[IEEE] 2026-2-3 | Cyclo-AMC: Automatic Modulation Classification on Versal utilising Cyclostationary Features
[IEEE] 2026-2-3 | Group-Aware DDQN with Markovian Reward Adjustment for Vehicular Spectrum Access Under Intermittent Jamming
[IEEE] 2026-2-3 | Intelligent Control with Artificial Neural Network and Double-Integral SMC for Nonlinear Pathophysiological Model
[IEEE] 2026-2-3 | Towards a Smart University through the Development of an AI-Integrated Examination Management ecoSystem (SEMS)
[IEEE] 2026-2-3 | Dynamic MPPT Strategy for PV Systems via NARX Neural Network Prediction and Robust Super-Twisting Sliding Mode Control
[IEEE] 2026-2-3 | Optimizing Power System Stabilizers: A State-Space Approach Enhanced by Genetic Algorithm
[IEEE] 2026-2-3 | IF4FD: Multiscale Information Fusion for Zero-Shot Industrial Fault Diagnosis
[IEEE] 2026-2-3 | 3GPP PDU Set Framework: Release 19 Updates
[IEEE] 2026-2-3 | Design and Simulation of SSSR and CSRR Loaded Array Antenna for 6G Applications
[IEEE] 2026-2-3 | Edge-Enabled High-Resolution State Estimation for Distribution Networks Based on Micro-PMU Data
[IEEE] 2026-2-3 | Advancing Engineering Education in the Age of AI Through Innovative Methods
[IEEE] 2026-2-3 | A realistic stochastic model considering the multipath effects based on C/N0 for GNSS positioning in harsh environments
[IEEE] 2026-2-3 | Backflash Mitigation via Scheduling in FSO Systems With Quantum Key Distribution
[IEEE] 2026-2-3 | ISSCC: Integrated Service for Full-process Delivery in Secure Cloud Computing
[IEEE] 2026-2-3 | Impact of Receiver Coil Displacement and Orientation on the Efficiency of Resonant WPT Systems
[IEEE] 2026-2-3 | Study and Evaluation of Hybrid System for the Isolated Jannah Island in Saudi Arabia
[IEEE] 2026-2-3 | Design and Evaluation of a Multi-View Multispectral Photometric Stereo Instrument for Online Surface Defect Detection of Hot Continuous Casting Slabs
[IEEE] 2026-2-3 | Explainable Transfer Learning for Rare Genetic Disorders: Leveraging Limited Data in Resource-Constrained Healthcare
[IEEE] 2026-2-3 | Adaptive Obfuscation for Reusing RGB Datasets for Privacy-Preserving Human Pose Estimation
[IEEE] 2026-2-3 | Subscriber-Level Churn Prediction from CDR/OCS Data: A Comprehensive Machine Learning Approach with Feature Engineering Analysis for Telecommunications Marketing
[IEEE] 2026-2-3 | A Phase Adaptive Approach to Self-Data-Driven Online Remaining Useful Life Prediction
[IEEE] 2026-2-3 | TFD-Video: Threshold-Aware Federated Deepfake Detection for Video Forensics
[IEEE] 2026-2-3 | A Streaming Big Data Pipeline for Real-Time Vehicle Re-Identification in Chaotic Urban Traffic
[IEEE] 2026-2-3 | A Robot-Led Intervention for Emotion Regulation: from Expression to Reappraisal_supp2-3657604.pdf
[IEEE] 2026-2-3 | BioDeepHash: Generating Consistent Templates for Secure Biometric Recognition
[IEEE] 2026-2-3 | A Battery-Powered Current-Driven JK Hybrid Boost Converter with Reconfigurable 28–110 V Output and Reduced Voltage–Ampere Metrics for Portable Electrical Stimulators
[IEEE] 2026-2-3 | Distributed Diffusion Policy for Cooperative Resource Orchestration in IIoT Edge Networks
[IEEE] 2026-2-3 | Multi-Satellite Cooperative Communications for 6G: Fundamentals, System Design, and Applications
[IEEE] 2026-2-3 | Development of a Ground-Based Atmospheric Detector Based on Hyperspectral Technology
[IEEE] 2026-2-3 | Entity Linking in Real-World News Streams: An End-to-End Deep Learning Approach for Disambiguating Named Entities Across Heterogeneous Sources
[IEEE] 2026-2-3 | Effect of Contact Force on Reflective Photoplethysmography and Peripheral Oxygen Saturation Prediction *
[IEEE] 2026-2-3 | Hybrid Machine Learning-Based Optimization of SVC Firing Angles: A CatBoost-LightGBM Approach for Enhanced Grid Stability
[IEEE] 2026-2-3 | Adaptive Electric Vehicle EMS with Secure V2G Energy Transactions using Blockchain
[ACM] 2026-2-3 | Fact-checking flagging in the age of AI
[ACM] 2026-2-3 | A Study on the Assessment of an E-Commerce Platform for Artisans and Small Businesses
[IEEE] 2026-2-3 | 10 kW High-Power Undersea Wireless Power Transfer System for Autonomous Underwater Vehicles
[IEEE] 2026-2-3 | 10000-Cycle/10-μs Short Circuit Operation in 650-V E-Mode p-GaN Gate HEMT With Schottky Source Extension
[IEEE] 2026-2-3 | Electrical Conductivity Measurement of Additively Manufactured Components
[IEEE] 2026-2-3 | BTC-Net V2: Spatial-Priority Hierarchical Reconstruction for Hyperspectral Image Compression
[IEEE] 2026-2-3 | A Fault Diagnosis Method for Rolling Bearings Based on Adaptive Wavelet Transform and SE Attention-Enhanced MobileNetV3
[IEEE] 2026-2-3 | Mixed-Timescale Service Caching, Computing, and Communication Optimization for Low-Latency High-Reliability Edge-Cloud Networks_supp1-3587713.pdf
[IEEE] 2026-2-3 | Adaptive Virtual Admittance Based Current Harmonic Suppression Strategy for Totem-pole Bridgeless PFC Converter
[IEEE] 2026-2-3 | Continual Learning for Automotive Radar Semantic Segmentation
[IEEE] 2026-2-3 | Multimodal Deep Learning for Cryptocurrency Trend Prediction via Candlestick Charts and Technical Indicators
[IEEE] 2026-2-3 | Deep Learning-Based Recognition of Selected Filipino Sign Language Phrases
[IEEE] 2026-2-3 | TaK-Fuzz: Transaction-aware Knowledge Smart Contract Fuzzing with Retrieval-Augmented Generation and Language Models
[IEEE] 2026-2-3 | EtherFineChain: A Blockchain-Based Framework for Secure Traffic Violation Logging and Cryptocurrency Penalty Enforcement Using Ethereum Smart Contracts
[IEEE] 2026-2-3 | AI-Driven Hybrid Deep Learning Framework for Short-Term Renewable Energy Forecasting under Extreme Weather Events
[IEEE] 2026-2-3 | Microwave Characterization CPW Lines Using Copper Ink Based Printed Electronics
[IEEE] 2026-2-3 | Practical Implementation of a Hybrid ANN-SMC for Photovoltaic MPPT Control
[IEEE] 2026-2-3 | Journal Track Paper Abstract
[IEEE] 2026-2-3 | Scalable Leader-Follower Formation for Nonholonomic Robots: Applications in Autonomous Navigation and Environmental Sensing
[IEEE] 2026-2-3 | Coconut Maturity Level Classification using Image Preprocessing and Deep Transfer Learning
[IEEE] 2026-2-3 | Diagram Annotation and Classification for Visually Impaired People in Higher Education
[IEEE] 2026-2-3 | On the Investigation of Hybrid Excited PM Machines with Emphasis on the Air Gap Flux Density
[IEEE] 2026-2-3 | DeeprankCDM: A Deep learning Based Rank Aggregation Method for Ranking Mutations in Cancer Driver Gene based on Pathogenicity
[IEEE] 2026-2-3 | Study on Thermal Environment Response Characteristics of Micro-Initiator
[IEEE] 2026-2-3 | Developing a RAG-Based LLaMA Chatbot for Restaurant Customer Service
[IEEE] 2026-2-3 | Assessing Methods to Categorize Questions According to Cognitive Level based on Blooms Taxonomy: Constraints and Future Direction
[IEEE] 2026-2-3 | Data-Driven Energy-Efficient Residential HVAC Control via PSO-Tuned PID Optimization
[IEEE] 2026-2-3 | Towards a Digital Twin of Medium-Voltage Circuit Breakers Using Quantum Algorithms and Deep Learning
[IEEE] 2026-2-3 | Performance Comparison of 1st and 2nd Order Sliding Mode MPPT Controllers in Photovoltaic Systems
[IEEE] 2026-2-3 | Comparative Analysis of Linear Quadratic Regulator, Linear and Robust Model Predictive Control on a Two-Wheeled Inverted Pendulum
[IEEE] 2026-2-3 | Tea Leaf Diseases Detection using YOLOv8-CBAM by enhancing Channel and Spatial Features
[IEEE] 2026-2-3 | Detecting “Nine-Dash Line” Images in Digital Content via Faster R-CNN and DINOv2-Based Knowledge Distillation
[IEEE] 2026-2-3 | Ultra-Low Frequency Micro-Thrust Drifting Compensation Using Pre-and Post-Measurement Signals Based on DWT and Seg-Mamba
[IEEE] 2026-2-3 | Deep Learning Model for Invasive Ductal Carcinoma Detection in Histopathology Images
[IEEE] 2026-2-3 | Local Coordination of Distributed PV-BESS for Grid Voltage Regulation
[IEEE] 2026-2-3 | Optimizing Fully Fuzzy Linear Systems Using the Average Uniform Algorithm: A Fuzzy Data Modeling Approach
[IEEE] 2026-2-3 | Enhanced Wireless Readout near Gain–Loss Detuned Non-Hermitian Exceptional Points
[IEEE] 2026-2-3 | Beyond Speculation: Measuring the Growing Presence of Large Language Model-Generated Texts in Multilingual Disinformation
[IEEE] 2026-2-3 | Fringe Effect-Induced Artifact Suppression via Reconstruction Discrepancy-Based Measurement Correction in Dual-Plane ERT
[IEEE] 2026-2-3 | AI-Powered Neurofeedback Systems for Bipolar Disorder
[IEEE] 2026-2-3 | Improving On-Time Delivery in a Metalworking SME Using Demand-Driven MRP and Simulation-Based Validation
[IEEE] 2026-2-3 | A Critical Look at Ethics of Facebook on Litigation &amp; Misinformation
[IEEE] 2026-2-3 | Simultaneous Power and Data Transmission Using a Single Hybrid Optical Cable Towards B5G Systems
[IEEE] 2026-2-3 | Playing with Attention: Design and Implementation of an Interactive Prototype for Children with Attention Deficit
[IEEE] 2026-2-3 | Integrated Climate and Water Analysis: Forecasting Floods and Droughts with Machine Learning
[IEEE] 2026-2-3 | User Admission Based on Deep Reinforcement Learning in Mobile Networks with Network Slicing and Different Numerologies
[IEEE] 2026-2-3 | Photonic Spatial Switching Techniques Using Semiconductor Optical Amplifiers
[IEEE] 2026-2-3 | Deep Learning-Based Detection of Cracks in Concrete Pavement Using Simulated UWB Horn Antenna GPR Signals
[IEEE] 2026-2-3 | Assessment of the Implementation of an Intelligent Irrigation System in Bogotá
[IEEE] 2026-2-3 | Extending Visual Dialog Beyond English: An Analysis of Monolingual and Multilingual Models
[IEEE] 2026-2-3 | Joint Power Control and Beam Steering for NGSO-to-GSO Interference Mitigation in Ku Band
[IEEE] 2026-2-3 | A Perspective on Non-Invasive Blood Pressure Monitoring: Bridging Emerging Principles, Enabling Technologies and Extended Applications
[IEEE] 2026-2-3 | Toward Dolphin-Inspired Frictional Drag Reduction: A Novel Actuator Device for Boundary Layer Modulation_supp1-3617982.mp4
[IEEE] 2026-2-3 | Dual Visual Prompting with Context-Modulated Diffusion Prompts
[IEEE] 2026-2-3 | Quantum Computing–Driven Digital Twin Architecture for Optimized Load Distribution in IoT Networks
[IEEE] 2026-2-3 | A Multi-Modal Deep Learning Framework For IVF Outcome Prediction Using Clinical, Demographic and Embryo Imaging Data
[IEEE] 2026-2-3 | SPECK Algorithm Implementation in VLSI: A Verilog-Based Approach for Efficient Simulation, Synthesis and Cryptographic Enhancement
[IEEE] 2026-2-3 | Frequency-Reconfigurable Cylindrical Dielectric Resonator Antenna Using PIN Diode
[IEEE] 2026-2-3 | PrivProt: A Privacy-Aware Application Layer Protocol for Mobile Environments
[IEEE] 2026-2-3 | Improving puncture accuracy based on the estimation and compensation of the rotation of the flexible needle tip
[IEEE] 2026-2-3 | Optimizing Saudi Arabia's Power Grid: The Role of AC/DC Hybrid OHTL Systems and BESS Integration for Energy Efficiency and Net-Zero Targets Using GNDO
[IEEE] 2026-2-3 | Model to Increase Process Flow Efficiency Through the Use of TPM, SW, SLP Tools in a Furniture Company
[IEEE] 2026-2-3 | SE-Net: Symmetry-Enhanced Deep Learning for Advanced Stroke-Lesion Segmentation Using Multi-level Brain-Symmetry Priors
[IEEE] 2026-2-3 | Research on Oil and Gas Pipeline Defect and Stress Concentration Identification Method Based on Metal Magnetism
[IEEE] 2026-2-3 | Co-attention Autoencoder for Reinforcement Learning in High-Dimensional Environments
[IEEE] 2026-2-3 | Time-Delay Induced Dynamics and Stability of CAV Platoons: A Numerical Framework Using Nonlinear DDEs
[IEEE] 2026-2-3 | Third-Order Super Twisting SMC for Dynamic Response Improvement of IPMSM Drive Systems
[IEEE] 2026-2-3 | Sub-6GHz Band Frequency Synthesizer with Automatic Frequency Calibration Technique
[IEEE] 2026-2-3 | Improving the Performance of the Lightweight Detector Through Effective Collaboration with Visibility Enhancement Technique
[IEEE] 2026-2-3 | Dual Active Bridge Switching Modes for Interfacing Supercapacitors
[IEEE] 2026-2-3 | Order Picker Path Optimization Using Traveling Salesman Problem Heuristics: A Comprehensive Analysis for Modern Warehouse Operations
[IEEE] 2026-2-3 | Multimodal Urban Traffic Monitoring Using Artificial Vision and Crowdsourced Data
[IEEE] 2026-2-3 | Top-$k$ Feature Selection in Sparse Learning via Accelerated Coordinate Descent Method
[IEEE] 2026-2-3 | 2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)
[IEEE] 2026-2-3 | 2025 Seventh International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN)
[IEEE] 2026-2-3 | An Interpretable Diagnosis Method for Wind Turbine Gearbox Based on Causal-Aware Neural Network
[IEEE] 2026-2-3 | An IoT-Enabled Framework for Real-Time Smart Metering with Dynamic Tariff Pricing
[IEEE] 2026-2-3 | Weighted Sum-Rate Maximization for RIS-BD Assisted Multi-User Symbiotic Radio System Based on Parasitic Mode
[IEEE] 2026-2-3 | IEEE Security and Privacy Subscription
[IEEE] 2026-2-3 | Microstrip Quadrature Coupler with Virtual Grounding for 2-4 GHz Applications
[IEEE] 2026-2-3 | Analysis of the Evolution and Characteristics of the Collective Interest and Benefit Companies (BIC) in Ecuador, Year 2020-2024
[IEEE] 2026-2-3 | 2025 International Conference on Field Programmable Technology (ICFPT)
[IEEE] 2026-2-3 | Impact of Energy Storage Systems into the Electrical Grid Decarbonization
[IEEE] 2026-2-3 | Emotion Detection and Classification of Different Saudi Dialects
[IEEE] 2026-2-3 | Comparative Evaluation of Deep Learning Methods for Wood Surface Defect Detection: A Comprehensive Study of Semantic Segmentation Approaches
[IEEE] 2026-2-3 | Messages
[IEEE] 2026-2-3 | DS-Evidence-Theory-Based Order Spectrum Sparse Representation Classification for Drivetrain Fault Diagnosis Under Variable Working Conditions
[IEEE] 2026-2-3 | Optimizing Wind Farm Development With Geospatial Analysis in Eastern Saudi Arabia
[IEEE] 2026-2-3 | A Hybrid Symmetrical Optimum-Pattern Search tunned PI Based Three-Phase SRF PLL Synchronization System Under Grid Irregularities
共写入 1918 条记录，保存到 papers/paper2026-02-03.json。
论文获取成功，文件路径: papers/paper2026-02-03.json
正在筛选、翻译并发送邮件...
[NO] 1/1918 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[NO] 2/1918 | A third law of thermodynamics is an unnecessary complexity
[NO] 3/1918 | Estimating measures of information processing during cognitive tasks using functional magnetic resonance imaging
[NO] 4/1918 | The Necessity of a Unified Framework for LLM-Based Agent Evaluation
[YES] 5/1918 | Merging Beyond: Streaming LLM Updates via Activation-Guided Rotations
[NO] 6/1918 | SQUIDPOL: Seoul National University QUadruple Imaging Device for POLarimetry
[NO] 7/1918 | Distribution-Aware End-to-End Embedding for Streaming Numerical Features in Click-Through Rate Prediction
[NO] 8/1918 | The long-run returns to breastfeeding
[NO] 9/1918 | FARTrack: Fast Autoregressive Visual Tracking with High Performance
[NO] 10/1918 | VIRAL: Visual In-Context Reasoning via Analogy in Diffusion Transformers
[NO] 11/1918 | Depth Completion in Unseen Field Robotics Environments Using Extremely Sparse Depth Measurements
[NO] 12/1918 | WebSplatter: Enabling Cross-Device Efficient Gaussian Splatting in Web Browsers via WebGPU
[NO] 13/1918 | Quantum Trajectory Separation and Attosecond Mapping in Liquid High-Harmonic Generation
[NO] 14/1918 | Permutation groups and symmetric Hecke algebras
[NO] 15/1918 | Causal structures of turbulent skin-friction drag in wall-bounded turbulent flows
[NO] 16/1918 | BinaryDemoire: Moiré-Aware Binarization for Image Demoiréing
[NO] 17/1918 | Probe-then-Commit Multi-Objective Bandits: Theoretical Benefits of Limited Multi-Arm Feedback
[NO] 18/1918 | Quantitative sensitivity analysis for Fokker-Planck equation with respect to the Wasserstein distance
[NO] 19/1918 | Refined invariants for Abelian surfaces: between polynomiality and modularity
