[2026-07-15 22:58:11] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[IEEE] 2026-7-15 | PCOSDetect: A Clinically Interpretable Multi-Institutional Machine Learning Framework for Early PCOS Diagnosis
[IEEE] 2026-7-15 | Face Recognition Based Interest Identification Using LSTM Approach for Enterprise Communication Platform Video Grade
[IEEE] 2026-7-15 | Distributed Deep Reinforcement Learning for Hybrid Beamforming in Cooperative UAV-ISAC Networks
[IEEE] 2026-7-15 | Graph Neural Network Based Federated Wideband Spectrum Sensing with Sub-Nyquist Sampling
[IEEE] 2026-7-15 | SpotNet-v2: A Hybrid Framework for Individual Leopard Identification using Deep Quadruplet Networks and SIFT Verification
[IEEE] 2026-7-15 | DoA Estimation Based on Deep Learning-MUSIC Hybrid Algorithm with Fluid Antenna for Closely Spaced Signals
[IEEE] 2026-7-14 | Robust Cubature Kalman Filter Based on Variational Bayesian and Sage-Husa Estimator for UWB/INS Tightly Coupled Integration
[IEEE] 2026-7-14 | Towards Universal Quantum Tamper Detection
[IEEE] 2026-7-14 | Distributed Topological Data Analysis of Tetrahedral Meshes with Apache Spark
[IEEE] 2026-7-14 | Efficient Spatio-Temporal Processing for Multichannel Radar Forward-Looking Imaging
[IEEE] 2026-7-14 | Latent4D: Extreme Compression of 4D Gaussian Splatting via Variational Autoencoders
[IEEE] 2026-7-15 | Prioritized Min-Max Fair Cyclic Physician Scheduling for Eye Outpatient Clinics Using the Weighted Direct Progressive-Filling Algorithm with Warm Start
[IEEE] 2026-7-15 | MvtText: A Multistage Latent Diffusion Framework for Text-Driven Human Motion Generation
[IEEE] 2026-7-15 | Retraction Notice: GUI Testing Android Application
[IEEE] 2026-7-15 | Free-Structure based Efficient NIR-II FMT: A Solution for Human Hepatocellular Carcinoma Detection_supp1-3712729.docx
[ACM] 2026-7-14 | Contextualising CS1 Programming Education in Africa: A Pan-African Experience
[ACM] 2026-7-14 | <i>Rank-ICL:</i>
                    Ranking-based In-context Learning for Search Result Explanation
[ACM] 2026-7-14 | Path Guiding in Disney's “Zootopia 2”
[ACM] 2026-7-14 | Disney’s “Zootopia 2” Crowds: Bringing the Desert Festival to Life
[ACM] 2026-7-14 | Simulating Superpowers: From Flailing to Flying in a Controller-Free CAVE
[IEEE] 2026-7-14 | Performance Analysis of Cooperative Service Caching in Integrated Ground-Air-Space Networks
[IEEE] 2026-7-14 | Geometric Look-Angle Shaping Strategy for Enclosed Inspection
[IEEE] 2026-7-14 | Identifying Magsplit Cogging Torque through Frequency Analysis
[IEEE] 2026-7-14 | Comparative Analysis of Machine Learning Models for Cyber Risk Management to Enhance the Sustainability and Security of Digital Transformation
[IEEE] 2026-7-14 | Acoustic Attacks against MEMS Gyroscope on UAVs
[IEEE] 2026-7-14 | A Topology-Aware Spatiotemporal Handover Framework for Continuous Multi-UAV Tracking
[IEEE] 2026-7-14 | Smart Technologies and Solid Waste Management Strategies for Sustainable Cities: A Concise Review
[IEEE] 2026-7-14 | Safe Ergodic Exploration for Fixed-Wing UAVs
[IEEE] 2026-7-14 | Robust Optimization and Learning-Based Hide-and-Seek for Resilient Network Design
[IEEE] 2026-7-14 | On True State-of-Charge and Its Impact on Electrode-Level Parameter Identification in Li-ion Batteries
[IEEE] 2026-7-14 | Age-Aware Edge-Blind Federated Learning via Over-the-Air Aggregation
[IEEE] 2026-7-14 | Optimized energy management and energy replenishment in electric agriculture
[IEEE] 2026-7-14 | Multi-Agentic AI for Conflict-Aware rApp Policy Orchestration in Open RAN
[IEEE] 2026-7-14 | Characterizing ISCI in Multi-carrier ISAC Systems over Doubly Dispersive Channel: Joint Sensing and Communication Performance Analysis
[IEEE] 2026-7-14 | Energy Harvesting and Reflection Control in Self-Sustainable RIS: A Dynamic Activation Design
[IEEE] 2026-7-14 | Quantifying the Privacy-Utility Trade-off in Human-Centred Ethical IoT
[IEEE] 2026-7-14 | Bayesian Network-based Casual Structure Learning for Root Cause Analysis of IoT Network Anomalies
[IEEE] 2026-7-14 | Investigation of Magnetic-Domain Dynamics for Integrated Spintronic-Photonic Devices
[IEEE] 2026-7-14 | Game-Theoretic Over-the-Air Computation for Socially Coupled Crowdsensing Systems
[IEEE] 2026-7-14 | PHY-aware TCP BBR in Wi-Fi Networks
[IEEE] 2026-7-14 | An Intelligent Approach to Building a Scalable Geospatial Data Platform with Continuous Delivery and Dynamic Scaling
[IEEE] 2026-7-14 | Low-Overhead Phase-Based Ranging for Sub-GHz Wireless Systems Using Fractional-N PLL
[IEEE] 2026-7-14 | Analyzing the Impact of Adversarial Attacks on C-V2X-Enabled Road Safety: An Age of Information Perspective
[IEEE] 2026-7-14 | Renewable Energy Integration in Urban Environmental System
[IEEE] 2026-7-14 | Deep Learning-Based Joint Uplink-Downlink Channel Estimation for Upper Mid-Band Massive MIMO Systems
[IEEE] 2026-7-14 | Bandwidth-Efficient Semantic Communication with Training-free Feature Channel Importance Evaluation
[IEEE] 2026-7-14 | A Fully Homomorphic Encryption Library Over Integers with Homomorphic Division
[IEEE] 2026-7-14 | Adaptive Video Streaming in Heterogeneous Wireless Networks with Mixture of Experts
[IEEE] 2026-7-14 | Physical Magnetization Analysis of Silicon Steel Sheet Under Biaxial Mechanical Stress
[IEEE] 2026-7-14 | SDN-Blockchain Based Security Routing for UAV Communication via Reinforcement Learning
[IEEE] 2026-7-14 | Fast Prediction of Air-Gap Magnetic Flux Density and Electromagnetic Torque in Surface-Mounted Permanent Magnet Synchronous Motors
[IEEE] 2026-7-14 | Joint Compression and Resource Allocation for Semantic Communication Based Image Transmission
[IEEE] 2026-7-14 | Multi-Tiered Shuffling with User Stratification for QoS-Stable DDoS Defense in Online Services
[IEEE] 2026-7-14 | Multi-Modal Generative Learning Aided Task Scheduling for Satellite Networks
[IEEE] 2026-7-14 | Towards Objective Dysgraphia Detection: A Multi-Branch Deep Learning Approach for Online Handwriting Analysis
[IEEE] 2026-7-14 | Intelligent Model for Protecting the Components of the Information Infrastructure of a Higher Education Institution Based on Modern Cybersecurity Approaches
[IEEE] 2026-7-14 | ACE-HVD: A Multi-Agent Collaboration Approach for Interpretable Hate Video Detection
[IEEE] 2026-7-14 | EdgeEvoFilter: Energy-Quality-Aware Reconfigurable Approximate Gaussian Filtering for Edge AI
[IEEE] 2026-7-14 | Movable Antenna Position Optimization for Energy Efficient Secure Communications
[IEEE] 2026-7-14 | Non-Cooperative Interference Cancellation with Auxiliary Antennas: Analysis and Experiments
[IEEE] 2026-7-14 | Joint Trajectory Optimization and Resource Allocation for Multi-UAV-Enabled Integrated Sensing, Communication and Computation Systems
[IEEE] 2026-7-14 | Enhancing Heatmap Generation for WiFi-Based Human Pose Estimation via Trajectory-Guided Joint-Aware Temporal Weighting
[IEEE] 2026-7-14 | Simulation of Distributed Quantum Computing based on Teleportation
[IEEE] 2026-7-14 | Influence of Interparticle Electrical Insulators on the Magnetic Permeability of NiFeMo-Based Soft Magnetic Composites
[IEEE] 2026-7-14 | Delay-Guaranteed Multi-Satellite Communication System
[IEEE] 2026-7-14 | Optimizing the Sensitivity of Fiber Optic Sensors to Measure Deformations in Composite Materials
[IEEE] 2026-7-14 | Low Frequency Li-Ion Battery Impedance Measurements Using Broadband Excitations With Optimized Current Profiles
[IEEE] 2026-7-14 | Sequence-Aware Voltage Control of an MMC–TAB PV–ESS STATCOM Using PSO-Tuned MPRC
[IEEE] 2026-7-14 | Machine-Learning-Based Fault Classification of PMSM-drive Current Sensors
[IEEE] 2026-7-14 | Wireless and Optical Cooperative Control for virtualized CU live migration with Near RT RIC
[IEEE] 2026-7-14 | Obstacle Detection for Fixed-Wing UAVs Using a Digital Twin and Deep Learning
[IEEE] 2026-7-14 | Physics-Informed Wireless Imaging with Implicit Neural Representation in RIS-Aided ISAC System
[IEEE] 2026-7-14 | Ambiguity Elimination via Successive Estimation in ISAC Systems with Reference Signals
[IEEE] 2026-7-14 | Digital Hysteretic Burst Mode Light Load Control With Phase Shedding For Input-Series Output-Parallel Dual Active Bridge Converter
[IEEE] 2026-7-14 | Enhancing Lung Nodule Malignancy Prediction Through Multi-Architecture Ensemble Learning
[IEEE] 2026-7-14 | AI-Driven Slice-Aware Digital Twin Virtualization in O-RAN for IoV with eMBB and URLLC Traffic
[IEEE] 2026-7-14 | Four-Phase Wireless Power Transfer Systems
[IEEE] 2026-7-14 | Federated Power Plant Controls for Outage Resiliency in Distribution Grids with EVs
[IEEE] 2026-7-14 | Rotation of Uniaxial Magnetic Anisotropy Induced by Interface Roughness in Polycrystalline Co/Ru/Co Multilayers
[IEEE] 2026-7-14 | Unimodal and Multimodal MRI-Based Cognitive Impairment Detection: Cross-Cohort Transfer and Calibration Analysis on OASIS and ADNI
[IEEE] 2026-7-14 | Persistent Simultaneous Localization and Mapping (SLAM)
[IEEE] 2026-7-14 | Comparing Machine Learning and Deep Learning for Intrusion Detection in MQTT-Based Campus IoT Networks
[IEEE] 2026-7-14 | Investigation of Post-Demagnetization Back-EMF in Modular Multi-Three-Phase Permanent Magnet Synchronous Machines
[IEEE] 2026-7-14 | Distributed Quadratic-Shape Formation Control_supp1-3702186.mp4
[IEEE] 2026-7-14 | MSFCR: MultiScale Fusion Method With Color Retention for Reference-Free Low-Light Enhancement in Underground Environments_supp1-3706700.docx
[IEEE] 2026-7-14 | Soft Actor Critic-Based Adaptive Routing for QoS-Driven Post-Disaster Networks
[IEEE] 2026-7-14 | A Novel Open- and Short-Circuit Fault-Tolerant SRM Drive: Development of a Redundant H-Bridge-Based MMC and a New VF-FCS-MPC
[IEEE] 2026-7-14 | A Unified Wireless Charger, On-Board Charger, and Auxiliary Power Module for Electric Vehicle Charging Systems
[IEEE] 2026-7-14 | Field Trials of Reconfigurable Intelligent Surfaces for Coverage Enhancement in Urban Transportation Infrastructures
[IEEE] 2026-7-14 | AI-Based Decision Making Tools for Enhancing Ethical Leadership and Stakeholder Engagement: Evidence From ESG Workforce and Social Metrics
[IEEE] 2026-7-14 | Development of a Hybrid Deep Learning Model for Detection and Stable Tracking of Multiple Objects in Dense Occlusion
[IEEE] 2026-7-14 | Quantitative Laser-Free Magnetic Force Microscopy Using a Vortex Calibration Sample
[IEEE] 2026-7-14 | Numerology-Aware Quantum Teleportation Scheduling Considering Data-Qubit Fidelity Decay
[IEEE] 2026-7-14 | Byzantine Resilient Federated Multi-Task Representation Learning
[IEEE] 2026-7-14 | Magnetic Pattern Classification Based on Three-Dimensional Field Sensing and Convolutional Neural Networks
[IEEE] 2026-7-14 | Thriving Through Turmoil: Mastering Crisis Adaptation in Supply Chains_supp1-3712114.pdf
[IEEE] 2026-7-14 | Learning Topology-Aware Representations via Test-Time Adaptation for Anomaly Segmentation_supp1-3710196.pdf
[IEEE] 2026-7-14 | Behavioral Uncertainty-Aware Attention Allocation via VLMs for Interactive Autonomous Driving
[IEEE] 2026-7-14 | ICC 2026 - IEEE International Conference on Communications
[ACM] 2026-7-15 | OnomatoBridge: Onomatopoeia Translation and Rendering Pipeline in Manga
[ACM] 2026-7-15 | Multi Layered RBD Simulation
[ACM] 2026-7-15 | Confidence vs. Competence: Misalignment in Judgment and Performance for Agentic Software Repair
[ACM] 2026-7-15 | LVT: A Learned Video Transcoding Framework
[IEEE] 2026-7-15 | Retraction Notice: Machine Learning for Signal Processing in Communication Systems
[IEEE] 2026-7-15 | Joint Communication and Sensing Beamforming for Secure Transmission in 6G SAGINs
[IEEE] 2026-7-15 | Water-Quality Digital Twins: A Review of Architectures, State-Space Assimilation, and Alerting
[IEEE] 2026-7-15 | AI-Blockchain Powered Secure Healthcare Data Management System with Federated Learning and Patient-Owned Records
[IEEE] 2026-7-15 | Retraction Notice: Enhancement Of Fault Diagnosis In Mechanical Systems Using Deep Learning Techniques
[IEEE] 2026-7-15 | Retraction Notice: Analysis of The Hevc Transform Unit and Early Partition Termination
[IEEE] 2026-7-15 | Toward 5G Wearables: An Additively Manufactured, Thermoelectric Powered mmID and Integrated Microfluidic pH Sensor
[IEEE] 2026-7-15 | Reconfigurable Pinching-Antenna Assisted Full-Duplex Wireless-Powered Networks under Self-Interference
[IEEE] 2026-7-15 | Advancing Responsible AI in 6G: Toward Trustworthy and Sustainable Predictive Handover
[IEEE] 2026-7-15 | Redefining Lensing with Adaptive Metastructures: An Ultrawideband Reconfigurable 3D-Printed Metalens for Future Wireless Front-Ends
[IEEE] 2026-7-15 | Ku-Band Doherty Power Amplifier with Differential Power Combiner in an Advanced GaN-on-Si HEMT Technology for 6G FR3 Applications
[IEEE] 2026-7-15 | A Cross-Layer Overlay Architecture for Open RAN-Enabled Integration of Mesh Networks with 5G Private Cores in IIoT
[IEEE] 2026-7-15 | Synthesis of Junction-Less Duplexers
[IEEE] 2026-7-15 | A Framework on Human-Autonomy Unified Control and Strategies for eVTOL
[IEEE] 2026-7-15 | Front Matter
[IEEE] 2026-7-15 | Spectral Downconversion of High-CCT LED Sources via Commercial Optical Filters: Photometric Efficiency and Colorimetric Compliance Trade-offs
[IEEE] 2026-7-15 | Advancements in Infant Cry Recognition: A Deep Learning Approach for Improved Classification and Analysis
[IEEE] 2026-7-15 | CorneaNet: A Deep Learning Framework for Explainable and Early Detection of Keratoconus from Multimodal Corneal Tomography
[IEEE] 2026-7-15 | A 220 to 260 GHz Ultra-Compact, Calibration-Free 5-bit Phase Shifter with 1.8° RMS Phase Error in 9HP SiGe Process
[IEEE] 2026-7-15 | Physics-Aware Joint Optimization for Embodied Agents via LLM-Based Decision Correction
[IEEE] 2026-7-15 | SynthML: Controller Synthesis of UML Activities
[IEEE] 2026-7-15 | Adaptive Tunnel Lighting Following the Color of Outdoor Natural Light
[IEEE] 2026-7-15 | Comparative Analysis Of The Application Of LED Lighting In Agriculture In The European Union
[IEEE] 2026-7-15 | FPGA-based DC Motor Speed Control System Design
[IEEE] 2026-7-15 | Semantic-Aware Rate-Splitting Multiple Access for Meaning-Aware Multiuser 6G Communication
[IEEE] 2026-7-15 | A Comparative Analysis of Different Preprocessing Techniques for Detection of Depression from Textual Data
[IEEE] 2026-7-15 | Crop Classification in Heterogeneous Village Landscapes Using High-Resolution Imagery
[IEEE] 2026-7-15 | Secure Rate-Splitting and RIS Beamforming with Untrusted Energy Harvesting Receivers
[IEEE] 2026-7-15 | Machine Learning for Advanced Islanding Detection in Distribution Systems
[IEEE] 2026-7-15 | Nightfall-EX Advanced: An Offline TinyML-Based Portable ECG Monitoring and Emergency Alert System
[IEEE] 2026-7-15 | A Compact 125-150-GHz Power Amplifier in 90-nm SiGe 9HP+ BiCMOS with 34-dB Gain for Phased-Array Transmitters
[IEEE] 2026-7-15 | MCM-Leak: Exploiting Mid-Circuit Measurement Control for Covert Quantum Information Leakage
[IEEE] 2026-7-15 | Intent-Aware Federated GNN-MAPPO for URLLC V2X Resource Allocation
[IEEE] 2026-7-15 | CTFANet: Deep Learning for Massive MIMO CSI Prediction using Empirical Data
[IEEE] 2026-7-15 | IoT based Hybrid Renewable Power Genration System
[IEEE] 2026-7-15 | Vision-Conditioned Structured Trajectory Planning via Flow Matching and Route-First Decoding
[IEEE] 2026-7-15 | A 40-GHz Series-Resonance VCO with Windmill-Coupled F-Type Inductive Network Achieving –132.36 dBc Hz PN at a 10-MHz Offset
[IEEE] 2026-7-15 | Building-Integrated Thermal Mass as Support Infrastructure for Sustainable Data Centre Cooling
[IEEE] 2026-7-15 | Noise Reducing Radio Communication using Adaptive Filter and Artifical Intellegence
[IEEE] 2026-7-15 | Implementation of Billing Mechanism for an EV Wireless Charging Station
[IEEE] 2026-7-15 | Communication-Efficient Hierarchical Federated Learning via Graph-Based Edge Server Clustering
[ACM] 2026-7-15 | Agentic Query Reformulation for Contextualized Hyper-Personalized Product Search
[ACM] 2026-7-15 | A Graph-Enhanced MLLM for Hierarchical Multimodal Emotion Understanding and Support in Conversations
[ACM] 2026-7-15 | One Pass, Any Order: Position-Invariant Listwise Reranking for LLM-Based Recommendation
[IEEE] 2026-7-15 | 2025 9th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)
[IEEE] 2026-7-15 | Distributed Multi-UAV Collaborative Computing in Dynamic MEC Networks
[IEEE] 2026-7-15 | Robust Beam Codebooks for mmWave/THz Systems: Toward a Stochastic RL Approach
[IEEE] 2026-7-15 | Evaluating Deep Neural Networks for Robust and Accurate Image Segmentation
[IEEE] 2026-7-15 | A Segment-Refined Digital Predistortion with Residual-Driven Structural Enhancement for RF Power Amplifiers
[IEEE] 2026-7-15 | Development of an IoT-Integrated Solar Powered Fish Feeding Mechanism for Sustainable Aquaculture in an Agriculture Farms
[IEEE] 2026-7-15 | Breaker Page
[IEEE] 2026-7-15 | Retraction Notice: A Study on Regression Models for Diabetes using WEKA
[IEEE] 2026-7-15 | Beyond Transportation: Autonomous Vehicles as A Human-City Interface for Future Mobility
[ACM] 2026-7-15 | Seeing the Whole Through the Parts: Discovering Objects through Semantic Part Mining in Weak Supervision
[ACM] 2026-7-15 | CSyMR: Benchmarking Compositional Music Information Retrieval in Symbolic Music Reasoning
共写入 1810 条记录，保存到 papers/paper2026-07-14.json。
论文获取成功，文件路径: papers/paper2026-07-14.json
正在筛选、翻译并发送邮件...
[NO] 1/1810 | Unknotting number, ribbon concordance, and singular instantons
[NO] 2/1810 | Emergence of drifted diffusion in quantum walks with subspace restart
[NO] 3/1810 | Online Control via Counterfactual Tracking
[NO] 4/1810 | Audio-Native Speech Recognition with a Frozen Discrete-Diffusion Language Model
[NO] 5/1810 | Model-Independent Indication for a Localized Anomaly in the Late-Time Expansion History
[NO] 6/1810 | The Spectrum Is Not Enough: When Context Helps Time-Series Forecasting
[NO] 7/1810 | Shared Bidding Algorithms and Competition: Evidence from Electricity Markets
[NO] 8/1810 | Ranks of Elliptic Curves Twisted by Quadratic Forms
[NO] 9/1810 | A Noise-Aware Quantum Algorithm for Credit Valuation Adjustments on Real Quantum Hardware
[NO] 10/1810 | Controllable Generation of Diverse Dermatological Imagery for Fair and Efficient Malignancy Classification
[NO] 11/1810 | Single-Shot High-Energy Muon and Particle Radiography with a Multi-GeV Laser-Wakefield-Accelerator-Driven Source
[NO] 12/1810 | The log log jam in Gaussian state tomography
[NO] 13/1810 | FormalAnalyticGeo: A Neural-Symbolic Based Framework for Multimodal Analytic Geometry Problem Generation
[NO] 14/1810 | Even smaller universal posets
[NO] 15/1810 | Ambient geometry via min-max widths of embedded circles
[NO] 16/1810 | Causality and realizability of local operations in quantum field theory
[NO] 17/1810 | Maximal Classicalization of Finite-Group Quantum Reference-Frame Noise
[NO] 18/1810 | Nonreciprocal Quantum Mpemba Effect
[NO] 19/1810 | Generalized symmetry in the vanishing of Ext
[NO] 20/1810 | Robustness of Deep Learning Models for PV Power Forecasting under NWP Forecast Errors: A Spatiotemporal and Physically Interpretable Analysis
[NO] 21/1810 | Ancilla-Depth Phase Diagrams for Quantum Reference-Frame Comparison
[NO] 22/1810 | A Separable Banach Space with a Schauder Basis Which Is Not a Lipschitz Retract of Its Bidual
[NO] 23/1810 | Efficient Sequential Calibration with $O(T^{2/3-ε})$ Error Bound
[NO] 24/1810 | Thermal conductivity of dense $npΛ$ matter in neutron star cores
[NO] 25/1810 | Magnetic Contributions to Phase Stability in the Co-Ni Binary: A First-Principles CALPHAD Study
[NO] 26/1810 | Statistical Non-linear Reconstruction Loss for Image Anomaly Detection
[NO] 27/1810 | Proceedings of HLPP 2026: 19th International Symposium on High-Level Parallel Programming and Applications
[NO] 28/1810 | Open-KNEAD: Knowledge-grounded Nutrition Estimation via Agentic Decomposition
[NO] 29/1810 | Rank-1 Identity Consensus Predicts Gallery Enrollment in 1:N Face Matching More Accurately than Score Thresholding
[NO] 30/1810 | A 32-channel event-based bio-signal analog front-end with adaptive delta and pulse frequency encoding
[NO] 31/1810 | Analysis of a multispecies cross-diffusion Keller-Segel system with volume filling
[NO] 32/1810 | MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations
[NO] 33/1810 | Searching for Stellar Activity Cycles using Flares II: The TESS CVZ
[NO] 34/1810 | Inhibited Self-Attention: Sharpening Focus in Vision Transformers
[NO] 35/1810 | From Manifold Identification to Newton Acceleration on Intersections: Sparse Stiefel Optimization
[NO] 36/1810 | Superstatistical Analysis of PDFs and autocorrelation functions for air pollution concentrations in the UK
[YES] 37/1810 | MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox
[NO] 38/1810 | Graph-space well-posedness for diffusion equations with degenerate instantaneous diffusion
[NO] 39/1810 | End-to-End Quantum Key Distribution Across Hybrid Fiber and Free-Space Links with All-Optical Encoding Conversion
[NO] 40/1810 | Southern massive stars at high angular resolution: WR 25 is a massive hierarchical triple system
[NO] 41/1810 | Contrast-Free ICA and Causal Inference via Wasserstein Distances to the Gaussian
[NO] 42/1810 | Knowledgeless Language Models: Suppressing Parametric Recall for Evidence-Grounded Language Modeling
[NO] 43/1810 | EP-FXT Observations of Abell 1795: X-ray Properties and Structure out to $R_{200}$
[NO] 44/1810 | Supernova Neutrinos and the Origin of Biomolecular Homochirality
[NO] 45/1810 | Dispersion-Guided Physics-Aware Deep Inverse Operator for Surface Wave Mode Separation
[NO] 46/1810 | Spatial-Frequency Cued Generative Fixed-Filter Active Noise Control Based on Deep Learning in Reverberant Environments
[NO] 47/1810 | Enhanced wavefront sensing for the Roman Coronagraph Instrument: Gaussian probes and compact model validation
[NO] 48/1810 | A Least Squares Weak Galerkin Finite Element Method for Fokker-Planck Type Equations
[NO] 49/1810 | A Variational Surrogate Approach to Finite-Horizon Quantum Control via Hardware-Efficient Ansatz
[NO] 50/1810 | On interacting non-Abelian antisymmetric tensor field models
[NO] 51/1810 | Silent Alarm: A J-Space Protocol for Comparing Danger Recognition Across Models and Quantization Levels
[NO] 52/1810 | Learning-enabled Acceleration of Scenario-based Model Predictive Control
[NO] 53/1810 | EvoGraph-R1: Self-Evolving Multimodal Knowledge Hypergraphs for Agentic Retrieval
[NO] 54/1810 | Constraint-Aware Aggregation for Federated Reinforcement Learning in Microgrid Energy Coordination
[NO] 55/1810 | Scalable Multi-BD Access for OFDM-Based Symbiotic Backscatter Communications
[NO] 56/1810 | A nonlocal elliptic problem on a Heisenberg group
[NO] 57/1810 | Epistemic Stance Flexibility Probing: Measuring Prompt-Conditioned Register Shift in Large Language Models
[NO] 58/1810 | Homogenization of the Navier-Stokes-Cahn-Hilliard system in the small-hole regime
[NO] 59/1810 | An internal shock model calibrated with real gamma-ray burst light curves using a genetic algorithm
[NO] 60/1810 | Learning-based Probabilistic Load Forecasting with Post-hoc and In-model Uncertainty
[NO] 61/1810 | Ascent and descent of bounded linear operators
[YES] 62/1810 | Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities
[NO] 63/1810 | Auditable and Transparent Fully Authenticated Disk Encryption via USB Storage Interposition
[NO] 64/1810 | Superimposed Transmission for Cooperative Cellular and Cell-Free Massive MIMO Systems
[NO] 65/1810 | Symbiotic binaries in the Gaia data. II. Symbiotic candidates from general variability classification in DR3
[NO] 66/1810 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[NO] 67/1810 | ngVLTI: Cost and Feasibility of a Four-Telescope VLTI Expansion for Milliarcsecond-Scale Imaging
[NO] 68/1810 | Symbiotic binaries in the Gaia data. I. Known symbiotics in DR3 and FPR
[NO] 69/1810 | From Critic to Confidence: PPO for Language-Based Quantitative Prediction with Confidence Estimation
[NO] 70/1810 | The subsonic limit of the 3D Zakharov system
[NO] 71/1810 | MambaPSA: A Mamba-based Replacement for C2PSA in YOLO26
[NO] 72/1810 | Maximizing All-Paths Phylogenetic Diversity: Parameterized Approaches for Networks
[NO] 73/1810 | Physically Aware Radiomics Without Interpolation: Disentangling Voxel Geometry and Signal Modification in CT and MRI
[NO] 74/1810 | Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning
[NO] 75/1810 | ReDiTT: Retrieval Augmented Conditional Diffusion Transformers for Asynchronous Time Series
[NO] 76/1810 | Measurement-induced phase transition in space
[NO] 77/1810 | PM-Bench: Evaluating Prospective Memory in LLM Agents
[NO] 78/1810 | SeamGen: Artist-Aligned UV Seam Generation via Graph Flow Matching
[NO] 79/1810 | Coloring $(P_6,C_4)$-free graphs with $Δ- 1$ colors
[NO] 80/1810 | Lost in Visual Translation: A VLM-Assisted Perceptual-Semantic Coherence Framework for EEG-to-Image Reconstruction
[NO] 81/1810 | Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements
[NO] 82/1810 | Cover numbers by graph families bounded by certain graph parameters
[NO] 83/1810 | Reduction of relative multisymplectic manifolds
[NO] 84/1810 | Forecasting Inflation with Microdata: An Adaptive Machine Learning Approach
[NO] 85/1810 | Skills That Don't Exist: A Large-Scale Study of Hallucinated Skill Recommendation in LLM Agents
[NO] 86/1810 | Gradient Flow Dynamics and Implicit Bias of Diagonal Linear Networks under Infinitesimal Initialization
[NO] 87/1810 | Peak-Decomposition-Free Inverse Metrology of Hyperspectral Moiré Photoluminescence
[NO] 88/1810 | DM-KG: A Novel Method for Boosting Spatial Cognition of Vision-Language Models in Street View Imagery
[NO] 89/1810 | Selective avoidance of multiple line-of-sight obstacles at 130~m using locally bending space-time wave packets
[NO] 90/1810 | Solvent Mixing Effect on Free-Energy Barrier and Stability for Molecular Recognition Driven by the Translational Motion of Solvent Molecules
[NO] 91/1810 | Adaptive Cross-Modal Fusion with Sparse Attention for Pedestrian Crossing Intention Prediction
[NO] 92/1810 | Asymptotic forms of the Ursell edge waves on a gently sloping beach
[NO] 93/1810 | SlimPer: Make Personalization Model Slim and Smart
[NO] 94/1810 | Auditing Data Leakage in Whole-Slide Image Multimodal Benchmarks
[NO] 95/1810 | Quantum Port-Hamiltonian Neural Networks: Learning Conservative and Dissipative Dynamics via Measurement-Induced Nonlinearity
[NO] 96/1810 | DiffRadar: Differentiable Physics-Aware Radar SLAM with Gaussian Fields
[NO] 97/1810 | Understanding Structured Health Data through Interaction-Aware Mixture-of-Experts
[NO] 98/1810 | When Directional Accuracy Lies: A Base-Rate-Honest Benchmark for LoRA-Adapted TimesFM on Equity Forecasting
[NO] 99/1810 | The Center of the Temperley-Lieb Algebra
[NO] 100/1810 | Gradient-Free Topology Adaptation for Power Flow Surrogates via In-Context Whitening
[NO] 101/1810 | A new dual-population constrained multi-objective evolutionary optimization algorithm with repair constraint handling for structural optimization
[NO] 102/1810 | Speculate with Memory: Lossless Acceleration for LLM Agents
[NO] 103/1810 | The GEST-Engine: From Event Graphs to Synthetic Video. A Full Technical Report
[NO] 104/1810 | Proof Theory and Dependent Type Theory: Distinct Foundations for Designing Proof Assistants
[NO] 105/1810 | Evidence-Grounded Verified Agentic Reasoning: A Path Toward Eliminating LLM Hallucination in Empirical Inference via Tool-Attested Kernel Proofs
[NO] 106/1810 | Switched-Feed Pinching-Antenna Systems for Wideband Terahertz Communications
[NO] 107/1810 | Off-shell equivalence in quantum field theory and gravity
[NO] 108/1810 | A Learning-Rate-Gated Failure of GRPO in a Small Language and Vision-Language Model Web Agent: A Controlled Null and Its Mechanism
[NO] 109/1810 | Instance-Enriched Semantic Maps for Visual Language Navigation
[NO] 110/1810 | Learning Forced Multibody Dynamics on Lie Groups
[YES] 111/1810 | PVDetector: Detecting Prompt Injection Attacks on Purpose-Specific LLM Agents through Policy-Violation Concept Analysis
[NO] 112/1810 | Streamlining stereo differentiable rendering for marker-free real-time tracking of surgical robots
[NO] 113/1810 | Unraveling the Generation Mechanism of a Mid-Latitude Plasma Blob and the Evidence of Its Rare Interaction with a MSTID Phase Front
[NO] 114/1810 | Improving Autonomous Nano-drones Performance via Automated End-to-End Optimization and Deployment of DNNs
