[2026-07-14 22:56:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[IEEE] 2026-7-14 | Latent4D: Extreme Compression of 4D Gaussian Splatting via Variational Autoencoders
[IEEE] 2026-7-14 | A POF–PDMS Matrix Wearable for Multi-Angle Joint Tracking in eHealth Systems
[IEEE] 2026-7-14 | Joint Resource Allocation and Active/Passive Beamforming Optimizations Over Integrated Sensing and Symbiotic Radio Networks Using RIS-MIMO
[IEEE] 2026-7-14 | Efficient Spatio-Temporal Processing for Multichannel Radar Forward-Looking Imaging
[IEEE] 2026-7-14 | Accurate PMU Frequency and ROCOF Tracking via IpQPFT: A Novel Interpolated QPFT Framework
[IEEE] 2026-7-14 | Data-Driven Power Consumption Models for Wi-Fi Access Points
[IEEE] 2026-7-14 | An Augmented GNSS-DAS Architecture for Continuous and Robust Positioning
[IEEE] 2026-7-14 | Distributed Uplink Anti-Jamming in LEO Mega-Constellations via Game-Theoretic Beamforming
[IEEE] 2026-7-14 | Collaborative Hierarchical Decision-making Framework for Multi-AUV Search and Hunt
[IEEE] 2026-7-14 | Ordered Outage and Capacity Metrics for LEO Satellite Mega-Constellations
[IEEE] 2026-7-14 | InKubeator: Pre-warming In-Memory KV Caches from Disk for Elastic LLM Serving
[IEEE] 2026-7-14 | Game-Theoretic Security Orchestration for Cross-RIC Policy Conflicts in O-RAN
[IEEE] 2026-7-14 | Dual-Offset Chirp-Based Random Access Preamble Design and Detection for AFDM-Enabled LEO Satellite Communication Systems
[IEEE] 2026-7-14 | Learning-Based Geometric Leader–Follower Control for Cooperative Rigid-Payload Transport with Aerial Manipulators
[IEEE] 2026-7-14 | Analytical Review of Linear Reluctance Motors
[IEEE] 2026-7-14 | Beyond Clustering: A Hybrid Framework for Target Generation in Sparse IPv6 Networks
[IEEE] 2026-7-14 | HMS-RWKV: A Hybrid Multi-Scale Model with Spatial-Temporal Adaptive Fusion for Efficient WiFi Sensing
[IEEE] 2026-7-14 | Estimating Streaming Services Computational Reliability in Extreme Edge Computing
[IEEE] 2026-7-14 | An Interpretable Safety Dial for Risk-Aware Shortest-Path Routing on Urban Road Networks
[IEEE] 2026-7-14 | ICEEE 2026 Cover Page
[IEEE] 2026-7-14 | Development of a 1D/3D Simulation Workflow for Electric Drive Unit Thermal Behaviour
[IEEE] 2026-7-14 | Probabilistic Attainable Moment Sets for Uncertainty-Aware Design Optimization
[IEEE] 2026-7-14 | Conservative Cost-Aware SAC-Lagrangian for Safe UAV Autonomous Navigation
[ACM] 2026-7-13 | DOTA: Intelligent Debugging with
                    <u>D</u>
                    elta
                    <u>o</u>
                    f
                    <u>T</u>
                    houghts
                    <u>A</u>
                    gents
[ACM] 2026-7-13 | They Call Her ‘Miss’ and Him ‘Professor’: Lived Experiences of Women Teaching Support Staff in IT/SE Education
[ACM] 2026-7-13 | Fairness-First Design Thinking for Software Architecture
[ACM] 2026-7-13 | Leveling Up: Experiences and Evidence-driven Upgrades to a Game Coding Camp for Autistic High School Students
[IEEE] 2026-7-13 | Fusion-Based Remaining Useful Life Prediction of SGCMG Considering Measured and Hidden Parameters
[IEEE] 2026-7-13 | BlackSeaCom 2026 List Reviewer Page
[IEEE] 2026-7-13 | BlackSeaCom 2026 Copyright Page
[IEEE] 2026-7-13 | Measurement-Bandwidth Engineering for Shot-Noise-Limited SWIR Hyperspectral Line-Scan Instrumentation
[IEEE] 2026-7-13 | Table of Contents
[IEEE] 2026-7-13 | BAW Filter Realized by Excellent Quality Factor Resonator for RF Communication
[IEEE] 2026-7-13 | Potential risk mining of battery systems for electric vehicles: Multi-level screening and statistical analysis of safety features
[IEEE] 2026-7-13 | Practical Loss Estimation of Power Inductors Under Non-sinusoidal Excitation Based on Sinusoidal Measurements
[IEEE] 2026-7-13 | HSMTrack: Heterogeneous-State Motion Tracking for Vision-Sensor Pipelines
[IEEE] 2026-7-13 | FlowM-mmWImager: Flow Matching Generative Model for Near-Field mmWave Imaging
[IEEE] 2026-7-13 | Design and Quantitative Evaluation of an Embedded EEG Instrumentation Platform for Real-Time SSVEP Decoding
[IEEE] 2026-7-13 | High-Performance Transmission-Based Measurement of Thickness and Group Refractive Index for Transparent Samples Using a Dual-Probe Spectral Interferometer
[IEEE] 2026-7-13 | Persistent-Excitation Enhanced Dual MPC for Reciprocal Learning and Control in Uncertain Environments
[IEEE] 2026-7-13 | The 2026 Microwave Theory and Technology Society Graduate Student Fellowship Awards [Education News]
[IEEE] 2026-7-13 | Masthead
[IEEE] 2026-7-13 | Temperature-Self-Compensating Fiber-Optic Ammonia Sensor in Water Based on a Hybrid Cascade Structure
[IEEE] 2026-7-13 | Differential Electrodes Piezoelectric MEMS Hydrophone based on Beam-Island Structure with High Sensitivity and Stability
[IEEE] 2026-7-13 | Through-the-Wall Radar Building Layout Reconstruction with Size-Adaptive Block Sparse Constraint
[IEEE] 2026-7-13 | Formal verification of PKMv3 Protocol using ProVerif
[IEEE] 2026-7-13 | Technical Feasibility of an Efficient Deep Learning-Based Super-Resolution Method for 3D MR Angiography_supp1-3712275.mp4
[IEEE] 2026-7-13 | AI-Driven Data Leakage Detection in Multi-Cloud Environments Using Observability and Machine Learning
[IEEE] 2026-7-13 | A Multimodal MRI-PET Deep Learning Framework Using Vision Transformers and Deformable U-Nets for Early Alzheimer’s Diagnosis
[IEEE] 2026-7-13 | Fluctuating-Nakagami Channel Modeling and Reliability Analysis of RIS-Assisted V2V Communication at 5.9 GHz
[IEEE] 2026-7-13 | Comparative Analysis of Temporal Attention and Bidirectional LSTM Architectures for Radar Modulation Classification
[IEEE] 2026-7-13 | E2DCE-Net: Enhanced and Efficient Deep Curve Estimation Network for Real-Time Low-Light Image Enhancement
[IEEE] 2026-7-13 | DDoS Attack Detection in 5G Control Plane Using Machine Learning
[IEEE] 2026-7-13 | Cost-Effective Smart Agriculture Framework for Smallholder Farmers in Sub-Saharan Africa
[IEEE] 2026-7-13 | Design and Analysis of a High Gain Single Switch Step Up DC-DC Converter for Standalone EV’s Charging System
[ACM] 2026-7-13 | Humour as Resistance: Visceralizing the Environmental and Social Impact of AI through Humour-based Creative Practices
[ACM] 2026-7-13 | VR as a Creative Medium for Immersive Storytelling: An Autobiographic Design Exploration
[ACM] 2026-7-13 | Playable Archives: Balancing Historical Accuracy and Player Freedom via RAG-Enhanced AI Game Mechanics
[ACM] 2026-7-13 | The Role of Human Agency in Human-AI Co-Creativity
[ACM] 2026-7-14 | Path Guiding in Disney's “Zootopia 2”
[ACM] 2026-7-14 | Disney’s “Zootopia 2” Crowds: Bringing the Desert Festival to Life
[ACM] 2026-7-14 | Simulating Superpowers: From Flailing to Flying in a Controller-Free CAVE
[ACM] 2026-7-14 | Contextualising CS1 Programming Education in Africa: A Pan-African Experience
[ACM] 2026-7-14 | <i>Rank-ICL:</i>
                    Ranking-based In-context Learning for Search Result Explanation
[IEEE] 2026-7-14 | Distributed Quadratic-Shape Formation Control_supp1-3702186.mp4
[IEEE] 2026-7-14 | A Collaborative Mechanism for Edge-Offloading and Intelligent Intrusion Detection Services
[IEEE] 2026-7-14 | SDN-Blockchain Based Security Routing for UAV Communication via Reinforcement Learning
[IEEE] 2026-7-13 | SAGINGeo: A Space-Aerial-Ground Integrated Framework for VGI Geolocalization in Multi-Disaster Scenarios
[IEEE] 2026-7-14 | High-Efficiency Cladding-Pumped Weakly Coupled Four-Core EDFA with Optimized Pump Localization via Deeply Center-Depressed Cladding
[IEEE] 2026-7-13 | FreDFT: Frequency Domain Fusion Transformer for Visible-Infrared Object Detection
[IEEE] 2026-7-14 | Analyzing the Impact of Adversarial Attacks on C-V2X-Enabled Road Safety: An Age of Information Perspective
[IEEE] 2026-7-14 | Ambiguity Elimination via Successive Estimation in ISAC Systems with Reference Signals
[IEEE] 2026-7-14 | Robust Optimization and Learning-Based Hide-and-Seek for Resilient Network Design
[IEEE] 2026-7-14 | Bayesian Network-based Casual Structure Learning for Root Cause Analysis of IoT Network Anomalies
[IEEE] 2026-7-14 | Movable Antenna Position Optimization for Energy Efficient Secure Communications
[IEEE] 2026-7-14 | Joint Trajectory Optimization and Resource Allocation for Multi-UAV-Enabled Integrated Sensing, Communication and Computation Systems
[IEEE] 2026-7-13 | Sliding-Mode Tracking Control for Offshore Cranes Based on Time-Delay Estimator
[IEEE] 2026-7-14 | MSFCR: MultiScale Fusion Method With Color Retention for Reference-Free Low-Light Enhancement in Underground Environments_supp1-3706700.docx
[IEEE] 2026-7-14 | Structure-Aware Statistical Fusion for Acoustic Localization of Partial Discharge in Oil-Immersed Transformers under Structure-Induced Non-Line-of-Sight Conditions
[IEEE] 2026-7-14 | AI-Driven Slice-Aware Digital Twin Virtualization in O-RAN for IoV with eMBB and URLLC Traffic
[IEEE] 2026-7-14 | Soft Actor Critic-Based Adaptive Routing for QoS-Driven Post-Disaster Networks
[IEEE] 2026-7-14 | Wideband Dual-Beam RIS for SNR Enhancement: Design and Experimental Demonstration
[IEEE] 2026-7-14 | Delay-Guaranteed Multi-Satellite Communication System
[IEEE] 2026-7-14 | Energy Harvesting and Reflection Control in Self-Sustainable RIS: A Dynamic Activation Design
[IEEE] 2026-7-14 | Adaptive Video Streaming in Heterogeneous Wireless Networks with Mixture of Experts
[IEEE] 2026-7-14 | Deep Learning-Based Joint Uplink-Downlink Channel Estimation for Upper Mid-Band Massive MIMO Systems
[IEEE] 2026-7-14 | Game-Theoretic Over-the-Air Computation for Socially Coupled Crowdsensing Systems
[IEEE] 2026-7-14 | Performance Analysis of Cooperative Service Caching in Integrated Ground-Air-Space Networks
[IEEE] 2026-7-14 | Wireless and Optical Cooperative Control for virtualized CU live migration with Near RT RIC
[IEEE] 2026-7-14 | Non-Cooperative Interference Cancellation with Auxiliary Antennas: Analysis and Experiments
[IEEE] 2026-7-14 | Byzantine Resilient Federated Multi-Task Representation Learning
[IEEE] 2026-7-14 | Numerology-Aware Quantum Teleportation Scheduling Considering Data-Qubit Fidelity Decay
[IEEE] 2026-7-14 | Acoustic Attacks against MEMS Gyroscope on UAVs
[IEEE] 2026-7-14 | gPooling: An Elastic GPU Resource Management Framework for On-Demand Virtualization in Shared Accelerator Clusters
[IEEE] 2026-7-14 | Renewable Energy Integration in Urban Environmental System
[IEEE] 2026-7-14 | Physical Magnetization Analysis of Silicon Steel Sheet Under Biaxial Mechanical Stress
[IEEE] 2026-7-14 | Magnetic Pattern Classification Based on Three-Dimensional Field Sensing and Convolutional Neural Networks
[IEEE] 2026-7-14 | Enhancing Lung Nodule Malignancy Prediction Through Multi-Architecture Ensemble Learning
[IEEE] 2026-7-14 | Enhancing Heatmap Generation for WiFi-Based Human Pose Estimation via Trajectory-Guided Joint-Aware Temporal Weighting
[IEEE] 2026-7-14 | Simulation of Distributed Quantum Computing based on Teleportation
[IEEE] 2026-7-14 | Unimodal and Multimodal MRI-Based Cognitive Impairment Detection: Cross-Cohort Transfer and Calibration Analysis on OASIS and ADNI
[IEEE] 2026-7-14 | Rotation of Uniaxial Magnetic Anisotropy Induced by Interface Roughness in Polycrystalline Co/Ru/Co Multilayers
[IEEE] 2026-7-14 | Identifying Magsplit Cogging Torque through Frequency Analysis
[IEEE] 2026-7-14 | Digital Hysteretic Burst Mode Light Load Control With Phase Shedding For Input-Series Output-Parallel Dual Active Bridge Converter
[IEEE] 2026-7-14 | Optimized energy management and energy replenishment in electric agriculture
[IEEE] 2026-7-14 | Age-Aware Edge-Blind Federated Learning via Over-the-Air Aggregation
[IEEE] 2026-7-14 | Intelligent Model for Protecting the Components of the Information Infrastructure of a Higher Education Institution Based on Modern Cybersecurity Approaches
[IEEE] 2026-7-14 | Influence of Interparticle Electrical Insulators on the Magnetic Permeability of NiFeMo-Based Soft Magnetic Composites
[IEEE] 2026-7-14 | Quantifying the Privacy-Utility Trade-off in Human-Centred Ethical IoT
[IEEE] 2026-7-14 | Fast Prediction of Air-Gap Magnetic Flux Density and Electromagnetic Torque in Surface-Mounted Permanent Magnet Synchronous Motors
[IEEE] 2026-7-14 | Multi-Agentic AI for Conflict-Aware rApp Policy Orchestration in Open RAN
[IEEE] 2026-7-14 | Quantitative Laser-Free Magnetic Force Microscopy Using a Vortex Calibration Sample
[IEEE] 2026-7-14 | Towards Objective Dysgraphia Detection: A Multi-Branch Deep Learning Approach for Online Handwriting Analysis
[IEEE] 2026-7-14 | Physics-Informed Wireless Imaging with Implicit Neural Representation in RIS-Aided ISAC System
[IEEE] 2026-7-14 | Investigation of Magnetic-Domain Dynamics for Integrated Spintronic-Photonic Devices
[IEEE] 2026-7-14 | Comparing Machine Learning and Deep Learning for Intrusion Detection in MQTT-Based Campus IoT Networks
[IEEE] 2026-7-14 | Smart Technologies and Solid Waste Management Strategies for Sustainable Cities: A Concise Review
[IEEE] 2026-7-14 | Persistent Simultaneous Localization and Mapping (SLAM)
[IEEE] 2026-7-14 | PHY-aware TCP BBR in Wi-Fi Networks
[IEEE] 2026-7-14 | Investigation of Post-Demagnetization Back-EMF in Modular Multi-Three-Phase Permanent Magnet Synchronous Machines
[IEEE] 2026-7-14 | Multi-Tiered Shuffling with User Stratification for QoS-Stable DDoS Defense in Online Services
[IEEE] 2026-7-14 | A Novel Open- and Short-Circuit Fault-Tolerant SRM Drive: Development of a Redundant H-Bridge-Based MMC and a New VF-FCS-MPC
[IEEE] 2026-7-14 | Sequence-Aware Voltage Control of an MMC–TAB PV–ESS STATCOM Using PSO-Tuned MPRC
[IEEE] 2026-7-14 | Four-Phase Wireless Power Transfer Systems
[IEEE] 2026-7-14 | AI-Based Decision Making Tools for Enhancing Ethical Leadership and Stakeholder Engagement: Evidence From ESG Workforce and Social Metrics
[IEEE] 2026-7-14 | Bandwidth-Efficient Semantic Communication with Training-free Feature Channel Importance Evaluation
[IEEE] 2026-7-14 | On True State-of-Charge and Its Impact on Electrode-Level Parameter Identification in Li-ion Batteries
[IEEE] 2026-7-14 | Safe Ergodic Exploration for Fixed-Wing UAVs
[IEEE] 2026-7-14 | A Topology-Aware Spatiotemporal Handover Framework for Continuous Multi-UAV Tracking
[IEEE] 2026-7-14 | Thriving Through Turmoil: Mastering Crisis Adaptation in Supply Chains_supp1-3712114.pdf
[IEEE] 2026-7-14 | Bias-Tunable Two-Terminal Optoelectronic Device for Integrated Photodetection and Synaptic Functionality
[IEEE] 2026-7-14 | Obstacle Detection for Fixed-Wing UAVs Using a Digital Twin and Deep Learning
[IEEE] 2026-7-14 | Low-Overhead Phase-Based Ranging for Sub-GHz Wireless Systems Using Fractional-N PLL
[IEEE] 2026-7-14 | Multi-Modal Generative Learning Aided Task Scheduling for Satellite Networks
[IEEE] 2026-7-14 | Characterizing ISCI in Multi-carrier ISAC Systems over Doubly Dispersive Channel: Joint Sensing and Communication Performance Analysis
[IEEE] 2026-7-14 | Learning Topology-Aware Representations via Test-Time Adaptation for Anomaly Segmentation_supp1-3710196.pdf
[IEEE] 2026-7-14 | Behavioral Uncertainty-Aware Attention Allocation via VLMs for Interactive Autonomous Driving
[IEEE] 2026-7-14 | A Unified Wireless Charger, On-Board Charger, and Auxiliary Power Module for Electric Vehicle Charging Systems
[IEEE] 2026-7-14 | An Intelligent Approach to Building a Scalable Geospatial Data Platform with Continuous Delivery and Dynamic Scaling
[IEEE] 2026-7-14 | Comparative Analysis of Machine Learning Models for Cyber Risk Management to Enhance the Sustainability and Security of Digital Transformation
[IEEE] 2026-7-14 | Geometric Look-Angle Shaping Strategy for Enclosed Inspection
[IEEE] 2026-7-14 | EdgeEvoFilter: Energy-Quality-Aware Reconfigurable Approximate Gaussian Filtering for Edge AI
[IEEE] 2026-7-14 | Development of a Hybrid Deep Learning Model for Detection and Stable Tracking of Multiple Objects in Dense Occlusion
[IEEE] 2026-7-14 | Joint Compression and Resource Allocation for Semantic Communication Based Image Transmission
[IEEE] 2026-7-14 | Optimizing the Sensitivity of Fiber Optic Sensors to Measure Deformations in Composite Materials
[IEEE] 2026-7-14 | A Fully Homomorphic Encryption Library Over Integers with Homomorphic Division
[IEEE] 2026-7-14 | Low Frequency Li-Ion Battery Impedance Measurements Using Broadband Excitations With Optimized Current Profiles
[IEEE] 2026-7-14 | Federated Power Plant Controls for Outage Resiliency in Distribution Grids with EVs
[IEEE] 2026-7-14 | Machine-Learning-Based Fault Classification of PMSM-drive Current Sensors
[IEEE] 2026-7-14 | ICC 2026 - IEEE International Conference on Communications
[IEEE] 2026-7-14 | ACE-HVD: A Multi-Agent Collaboration Approach for Interpretable Hate Video Detection
[IEEE] 2026-7-14 | Field Trials of Reconfigurable Intelligent Surfaces for Coverage Enhancement in Urban Transportation Infrastructures
[IEEE] 2026-7-13 | Secure Split Offloading and Trajectory Design for UAV-Assisted Multi-Exit Collaborative DNN Inference_supp1-3708394.pdf
[IEEE] 2026-7-13 | Performance Analysis of an Anomaly Detection Method based on Distributed Spatial Filtering
[IEEE] 2026-7-13 | Multiple UAV-based FSO Systems with Relay Selection over Málaga and IGGG Turbulence Channels
[IEEE] 2026-7-13 | Degradation Trajectory Retrieval and Diffusion-Based Fault Generation
[IEEE] 2026-7-13 | PU-GANomaly: Generative Adversarial Networks for Anomaly Detection in Positive and Unlabeled Time Series Data
[IEEE] 2026-7-13 | Steady-state Non-contact Intraocular Pressure Measurement Based on Displacement Gradient
[IEEE] 2026-7-13 | Fourier-Calibrated Dynamic Prompts for Universal Hyperspectral Image Restoration
[IEEE] 2026-7-13 | Towards Efficient Semi-Asynchronous Federated Learning: A Multi-Factor Grouping and Dual-level Selection Scheme Under Heterogeneous Environments
[IEEE] 2026-7-13 | High-Precision Discrete-Time Modeling and Control Performance Evaluation of Induction Motors under Low Switching-to-fundamental Frequency Ratios
[IEEE] 2026-7-13 | Fast Three-Dimension Multilayer Fourier Basis Expansion Inversion Accelerated by Multilevel Green's Function Interpolation Method
[IEEE] 2026-7-13 | How Changes in Muscle Activity and Range of Motion Represent User Perceptions of Back-support Exoskeleton Performance
[ACM] 2026-7-13 | Ecosystem-Centric Capstone: Lessons from Simulating a Tech Company in Software Engineering Education
[ACM] 2026-7-13 | An Empirical Study of Anonymous, Unmoderated, and Online Peer-to-Peer Programming Tutoring Conversations
[IEEE] 2026-7-13 | Hypergraph Neural Network Based Framework for Breast and Ovarian Cancer Detection Using Medical Images
[IEEE] 2026-7-13 | A Trustworthy AI Framework for Explainable, Bias Mitigation and Attack Resilient Loan Prediction
[IEEE] 2026-7-13 | Multi-Ring Circular Slotted Patch Antenna Design for Wireless Power Transfer Applications
[IEEE] 2026-7-13 | Reversible Cryptographic Processing Architecture Using XOR–Shift–Adder Transform Pipeline
[IEEE] 2026-7-13 | Development of Non-Invasive Based Diabetes Mellitus Sensing via In-Vitro and In-Vivo Using Infrared Technology
[IEEE] 2026-7-13 | Smart Assistive EEG Signal Device for Brain-Computer Interface Applications
[IEEE] 2026-7-13 | Theta Modulation Based Bandwidth Optimization Method For Medical Image Transmission
[IEEE] 2026-7-13 | Architecture of Semantic Multiprotocol Translator
[IEEE] 2026-7-13 | Vision Transformer-Based Architecture for Multi-Class Classification and Risk Stratification of Myocardial Infarction from Cardiac ECG Images
[IEEE] 2026-7-13 | Localized Work-Function Engineering for Current Balancing in Stacked Nanosheet FETs
[IEEE] 2026-7-13 | Conditional GAN Augmented BiLSTM Based Intrusion Detection for Securing In-Vehicle CAN Networks
[IEEE] 2026-7-13 | Implementation of a Dual-ESP32 Smart Helmet System for Two-Wheeler Safety and Automated Accident Response
[ACM] 2026-7-14 | Breathing Life into Illustrations - Building a look for Stylized Compositing
[ACM] 2026-7-14 | Boosting ZNS SSD Write Performance with Zora
[ACM] 2026-7-14 | A Comprehensive Analysis of DOMREP-II with Respect to SCA-NFA
[ACM] 2026-7-13 | Reframe: Rethinking Versioning as a Creative Practice in Coding
[ACM] 2026-7-14 | Prior-Data Fitted Networks as Tabular Foundation Models for Ranking in Low-Data Settings
[ACM] 2026-7-14 | DeepResearchGym: A Free, Transparent, and Reproducible Sandbox for Deep Research
[ACM] 2026-7-14 | Exposure-Based Reinforcement Learning to Rank
[ACM] 2026-7-13 | Two-Player Alternate Uses Test: A Controlled Testbed for Interactive Human-AI and Human-Human Co-Creation
[ACM] 2026-7-13 | Reimagining Facilitation of Creative Verbal Conversations with Generative AI
[ACM] 2026-7-13 | Bodies that Measure and are Measured
[ACM] 2026-7-13 | From Retrieval to Responsibility: Designing Creative MRAG with Control and Governance
[IEEE] 2026-7-14 | Triarchy-Based for DDoS-Resilient IoT Networks
[IEEE] 2026-7-14 | Phase-Based Bit Commitment Protocol
[IEEE] 2026-7-14 | CT-Based Vertebroplasty Trajectory Planning via Deep Learning-Based Anatomical Landmark Localization
[IEEE] 2026-7-14 | Self-Evolving AI Agents with Dual Memory for Automated Software Testing and Bug Localization
[IEEE] 2026-7-14 | A Multi-agent Proximal Policy Optimization-Driven Resource Allocation in Cognitive Smart Cities
[IEEE] 2026-7-14 | Emergent Cooperation in Quantum Multi-Agent Reinforcement Learning Using Communication
[IEEE] 2026-7-14 | Staleness-Control Semi-Asynchronous Satellite Federated Learning via Flexible Aggregation
[IEEE] 2026-7-14 | Mitigation of instability in the DC heavy rail system using auxiliary circuit with dominant-pole relocation based on eigenvalue analysis
[IEEE] 2026-7-14 | A Dynamic Cluster Formation System of Bio-Nanomachines: Emergent System Phases and Parallel Target Exploration
[IEEE] 2026-7-14 | Queue-Aware Age of Information Optimization Framework for Large-Scale Digital Twin Networks
[IEEE] 2026-7-14 | Energy-Aware and Risk-Averse Multi-Agent Edge AI for Reliable Multi-Interface Wireless Networks
[IEEE] 2026-7-14 | SwinCE-DM: A Big Data-Driven Diffusion-Transformer Framework for Robust Channel Estimation in LEO Satellite Communications
[IEEE] 2026-7-14 | Demonstration of General Bandwidth Synthesis Method With Three-Subband X-band Airborne Stepped-Frequency SAR Data
[IEEE] 2026-7-14 | A 3-D Connectivity CMOS Ising Machine With 12-Way Toroidal Hexagonal Close-Packed Supply-and-Bulk Injection Locking Oscillators for Combinatorial Optimization
[IEEE] 2026-7-14 | Priority Assignment of Packets in Sensor Nodes for Goal-Oriented Semantic Communications
[IEEE] 2026-7-14 | Advancing Wireless Differentially Private Distributed Learning for 6G Applications: A Digital Transmission Design and Analysis
[IEEE] 2026-7-14 | Communication Bottleneck Analysis for Distributed MoE Training
[IEEE] 2026-7-14 | Privacy-Preserving Federated Active Learning for Data Completion in Sparse Crowdsensing
[IEEE] 2026-7-14 | Intelligent Cross-Layer Management for Robust and Energy-Efficient IoE Communications
[IEEE] 2026-7-14 | Series Inductor-Coupled Transformer (SICT) for Area-Efficient Matching Networks in mmWave CMOS RF ICs
[IEEE] 2026-7-14 | Semantic Knowledge Base Based Dual-mode Video Semantic Communication
[IEEE] 2026-7-14 | Learning When to Learn: Distortion-Aware GNN Precoding for Multi-Carrier Large Antenna Systems with Adaptive Precoder Selection
[IEEE] 2026-7-14 | Federated Learning with Hybrid Clustering for Radio Link Failure Detection in 5G Networks
[IEEE] 2026-7-14 | OAM Shift Keying in LDPC-Coded Free-Space Optical Communication via Vision Mamba
[IEEE] 2026-7-14 | Efficient Split Federated Learning for Foundation Model Fine-Tuning in UAV Networks
[IEEE] 2026-7-14 | Policy-Guided MCTS for near Maximum-Likelihood Decoding of Short Codes
[IEEE] 2026-7-14 | Design of Coupled Underwater Acoustic Array for Deep Sub-wavelength DOA Sensing_supp1-3710219.docx
[IEEE] 2026-7-14 | FaceCaption-15M: Benchmarking and Enhancing Facial Vision-Language Models
[IEEE] 2026-7-14 | Enhancing Hypernetwork Integration with VAE for Data Augmentation of Small Tabular Datasets
[IEEE] 2026-7-14 | Efficient Shaping Modulation using Circular Symmetric Hexagonal Constellation and Nonbinary Polar Coding
[IEEE] 2026-7-14 | Error-Aware Super-Resolution Channel Estimation for RIS-Aided Multi-User mmWave Systems
[IEEE] 2026-7-14 | Deterministic Multicast Using Temporal Graph-based Routing and Scheduling in Non-terrestrial Networks
[IEEE] 2026-7-14 | Neural-NPV Control: Learning Parameter-Dependent Controllers and Lyapunov Functions
[IEEE] 2026-7-14 | The Evolution of Cybersecurity
[IEEE] 2026-7-14 | End-to-End NOMA with Perfect and Quantized CSI Over Rayleigh Fading Channels
[IEEE] 2026-7-14 | KANC: An Interpretable Network Performance Prediction Model based on KAN and GNN
[IEEE] 2026-7-14 | Constructing Knowledge Map for MIMO-OFDM Clustered Channel Estimation
[IEEE] 2026-7-13 | Comparative Performance of Machine Learning Regressors and LSTM for Wind Power Forecasting: A Diagnostic Framework
[IEEE] 2026-7-14 | Differentiating tree crops and planted forests patterns in China using flowering phenology from satellite time series
[IEEE] 2026-7-14 | α
                    <sup>3</sup>
                    -Bench: A Unified Benchmark of Safety, Robustness, and Efficiency for LLM-Based UAV Agents over 6G Networks
[IEEE] 2026-7-14 | EABA: Edge-Assisted Batch Authentication for Vehicular Cooperative Perception
[IEEE] 2026-7-14 | Cyber Deception for Mission Surveillance via Hypergame-Theoretic Deep Reinforcement Learning_supp2-3699507.jpg
[IEEE] 2026-7-14 | MAPE-Based Device Activity Detection for Massive Grant-Free Access with Low-Resolution ADCs
[IEEE] 2026-7-14 | Adaptive Shared Autonomy with Haptic Feedback for Multi-DoF Robot Swarm Control_supp1-3712459.mp4
[IEEE] 2026-7-14 | Reliability Analysis of Airfield Lighting Systems with Interleave Circuitry – A Review
[IEEE] 2026-7-14 | Bimanual Functional Grasp Synthesis With Human Contact Imitation and Interhand Coordination_supp1-3704686.mp4
[IEEE] 2026-7-14 | Secrecy Rate Maximization in NOMA-UAV Enabled ISCC Networks
[IEEE] 2026-7-14 | USRP-based mmWave SDR Testbed for UAV-to-UAV Experiments
[IEEE] 2026-7-14 | Movable Antenna-Enabled Region-Oriented Wireless Sensing
[IEEE] 2026-7-14 | Graph Neural Network-Based Beamforming and User Association for Mixed Near- and Far-Field RIS-Aided mmWave Systems
[IEEE] 2026-7-14 | BIPPO: Budget-Aware Independent PPO for Energy-Efficient Federated Learning Services
[IEEE] 2026-7-14 | DL-Aided Super-Resolution Beam Alignment for Low-Overhead mmWave Massive MIMO
[IEEE] 2026-7-14 | Validation of Evapotranspiration Interpolation Using the New Landsat Provisional Actual Evapotranspiration Product and Directional Coupling Analysis in Irrigated and Rainfed Agricultural Systems_supp1-3712411.pdf
[IEEE] 2026-7-14 | Table of Contents
[IEEE] 2026-7-14 | IEEE Transactions on Components, Packaging and Manufacturing Technology Information for Authors
[IEEE] 2026-7-14 | Discontinuous PWM with Intermediate-Level Clamping for Improved Switching Efficiency and Operational Reliability in Cascaded H-Bridge Converters
[IEEE] 2026-7-14 | Robust Generative-Augmented DRL for Multi-Beam Jamming of Drone Swarms
[IEEE] 2026-7-13 | Knowledge-Free Online Parameter Control in Accuracy-Based Classifier Systems
[IEEE] 2026-7-14 | Intelligent Recovery Monitoring for Lower Limb Therapy
[IEEE] 2026-7-14 | An Integrated Multi-modal AI Framework for Secure Smart Door Locks
[IEEE] 2026-7-14 | MEC Caching for Spatial Audio with Immersive Soundfield Reconstruction
[IEEE] 2026-7-14 | Comparison of Two Electromagnetic Analytical Models for the Optimal Design of Yokeless Rotor Halbach-Array Electric Motor
[IEEE] 2026-7-14 | Environment-Aware Finite Set Model Predictive Control for Lifetime Extension of SiC MOSFETBased Inverters
[IEEE] 2026-7-14 | Effect of Praseodymium Addition on Magnetostriction of Fe-Al Alloys
[IEEE] 2026-7-14 | Digital Learning Tools in Language Education: The Effectiveness of Quizlet for Vocabulary Teaching in Higher Education
[IEEE] 2026-7-14 | Quantum-Based Broadband Integrated Sensing and Communication with Rydberg Atomic Receiver
[IEEE] 2026-7-14 | Development of a Fuzzy Logic Rule-Based Energy Management System for a dual-motor Battery Electric Vehicle
