[2026-08-07 22:34:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[IEEE] 2026-8-6 | High-Performance Implementation of Crystals-Dilithium using DSP-Free NTTs on FPGA
[IEEE] 2026-8-6 | On the Optimal Number of Participating Clients in NOMA-Based Federated Learning Under Imperfect SIC
[IEEE] 2026-8-6 | A Hybrid Attention Network with Cumulative Source Aggregation for Single Image Super-Resolution
[IEEE] 2026-8-6 | Coverage Enhancement in Disaster Communication Networks via Active RIS-Assisted UAV Deployment
[IEEE] 2026-8-6 | An Analytical Modeling Framework for Ferroelectric-Gate GaN HEMTs With MFIS Gate-Stack
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | Beyond the Time-Frequency Resolution Limit: Sub-cycle Sparse Reconstruction and Temporal Knowledge Fusion for PQDs Analysis
[ACM] 2026-8-6 | DMind Benchmark: Toward a Holistic Assessment of LLM Capabilities across the Web3 Domain
[IEEE] 2026-8-7 | Warpage Deformation Prediction and Optimization in Fused Deposition Modeling Using a Hybrid FFNN and PSO Approach
[IEEE] 2026-8-7 | A Dual-Path Optical Clip for Bubble-Aware Continuous Monitoring in Surgical Drainage Tubing
[IEEE] 2026-8-7 | Digital Empowerment: An Innovative Approach to the Protection and Inheritance of Xibe Cultural Heritage
[IEEE] 2026-8-7 | Annotation Quality Reward: A Closed-Loop Reinforcement Learning Architecture for Autonomous Coffee Plantation Inspection and Synthetic Dataset Generation
[IEEE] 2026-8-7 | Research on the Impact of Art Therapy Interventions on Negative Psychological States and Game Performance in eSports Audiences
[IEEE] 2026-8-7 | An Urban Dashboard Supporting Situation Awareness for City Branding
[IEEE] 2026-8-7 | Evaluation of Economic and Green Logistics Performance of African Countries Through Fuzzy Linear Regression and MCDM Approaches
[IEEE] 2026-8-7 | A Study on the Reconstruction Design of Narrative Space in Historical and Cultural Blocks: A Case Study of the Renovation of Liulichang Street in Beijing
[IEEE] 2026-8-7 | FGDWI: An Online Feasibility-Gated Dynamic Waypoint Insertion Policy for Value-Aware ASV Navigation in Forecast Flows
[IEEE] 2026-8-7 | Comparative Study of Denoising Methods for 3D Scanning Point Cloud Data of Artificial Dental Crowns
[IEEE] 2026-8-6 | Wearable Multimodal Physiological Sensor-Based Recognition of Pilots’ Mental Workload Using fNIRS, ECG, and Eye-movement Signals
[IEEE] 2026-8-6 | Hybrid Periodic Time-Varying Attitude Control using Mixed Combination of Actuators
[IEEE] 2026-8-6 | Optimal Design of Axial Flux Synchronous Machines with Coreless PCB Stator and Surface-mounted or Halbach Array PM Rotors Considering Performance and Cost Objectives
[IEEE] 2026-8-6 | Integrated Sensing and Communications: A Research Roadmap
[IEEE] 2026-8-6 | From Trace to Line: An Empirical Study of What Drives LLM-Based OSS Vulnerability Localization
[IEEE] 2026-8-6 | Startup Strategy-Based Integral Backstepping Sliding Mode Control for MMC-UPQC With PV
[IEEE] 2026-8-7 | Partially View-Aligned Multi-View Clustering based on Progressive Global Consensus Learning_supp1-3720618.pdf
[IEEE] 2026-8-6 | Negative Corona Poling of PZT/PZT Sol-Gel Composite Films Under High Humidity for On-Site Fabrication
[IEEE] 2026-8-7 | Integrating Large Language Models and Ontologies for Legal Text Impact Extraction and Classification: an Application to Regulatory Impact Assessment
[IEEE] 2026-8-7 | Innovative Practices of Ai-Based Planning Methods in Agricultural Tourism Planning: A Case Study of Kaoshan Market Planning Practices in Pinggu District, Beijing
[IEEE] 2026-8-7 | System-Level Risk Modeling for Critical Infrastructure in Data-Limited Regions
[IEEE] 2026-8-6 | IEEE Standard for Low-Voltage DC (3200 V and below) Power Circuit Breakers Used in Enclosures
[IEEE] 2026-8-7 | Trustworthy and Temporally Robust Web Attack Detection for Autonomous Edge Network Security
[IEEE] 2026-8-7 | DIBNet: Discrepancy-Invariant Boundary-Guided Network for Remote Sensing Change Detection
[IEEE] 2026-8-7 | Spatiotemporal Aggregation Parking Data Outsourcing Query Privacy-preserving Scheme in the Blockchain-enhanced Electric Vehicles
[IEEE] 2026-8-7 | ArborDorp: An Area Efficient CKKS Accelerator
[IEEE] 2026-8-6 | Deep Spectral-Spatial Ensemble Learning for Imbalanced Small-Sample Hyperspectral Image Classification
[IEEE] 2026-8-6 | Urban Traffic Modeling Using Graph-Based Algo Rithm and Queuing Theory
[IEEE] 2026-8-6 | Global Communications Newsletter
[IEEE] 2026-8-7 | A Reinforcement Learning-Based Cooperative Adaptive Cruise Control Under False Data Injection Attacks
[IEEE] 2026-8-6 | Robust Optimal Agile Flight of Quadrotors: An Internal Model-Based Nonlinear Model Predictive Optimization Approach
[IEEE] 2026-8-7 | Efficient Distributed Mini-batch GNN Training with Decentralized Batch Processing
[IEEE] 2026-8-7 | Object-Centric LiDAR-to-Radar Distillation for 3D Object Detection
[IEEE] 2026-8-7 | Enhancing SWOT Geoid Resolution in Regions Characterized by Complex Oceanic Dynamics via the mrCOSTS Method
[IEEE] 2026-8-7 | Hybrid Voltage Regulation Framework Using Deep Q-Network Reinforcement Learning for DC–DC Buck Converters Supplying Constant Power Loads
[IEEE] 2026-8-6 | A Waveguide-Based Graphene Film Characterization Methodology for Microwave Patch Antenna Design
[IEEE] 2026-8-6 | FNP-Miner: Fuzzy three-way nonoverlapping sequential pattern mining
[IEEE] 2026-8-6 | Fine-Grained Teeth-Grinding Recognition via Millimeter-Wave Radar Spectrogram Learning
[IEEE] 2026-8-7 | Tensor Network Methods for Advection–Diffusion–Reaction Systems Using Quantum-Inspired Representations
[IEEE] 2026-8-7 | Research on cattle body condition scoring technology based on EfficientNetB4-Star-EMA model
[IEEE] 2026-8-7 | Automatic Timetable Generation System
[IEEE] 2026-8-7 | A Deep Spatio-Temporal Model for Decoding Simultaneous and Continuous Hand Movements from Surface Electromyography
[IEEE] 2026-8-7 | Synthetic Media Detection
[IEEE] 2026-8-7 | 5 Questions: Stephan Schlamminger: Why One of Physics'Most Elusive Numbers Remains so Difficult to Measure
[IEEE] 2026-8-6 | Guest Editorial Special Issue on Advanced Computational Methods and Multiphysics Simulation for Complex Electromagnetic Media
[IEEE] 2026-8-6 | Fault Analysis of Motor Bearings Based on Magnetostriction
[IEEE] 2026-8-7 | Generative Design System for Traditional Pattern in Cultural Heritage Application: Case Study of Nanyue Kingdom
[IEEE] 2026-8-7 | Flexible Piezoresistive Pressure Sensor based on Axially Stiffness-graded Microcone Arrays
[IEEE] 2026-8-7 | Energy Signatures and Production Process Information
[IEEE] 2026-8-7 | Shaping a “Third Space” Like Home: A Study of Japan House London and Its Traditional Craft Exhibitions
[IEEE] 2026-8-7 | Intergenerational Community Spaces as Social Infrastructure for Reducing Loneliness and Digital Exclusion in Ageing Smart Cities
[IEEE] 2026-8-7 | An Empirical Study on Power Grid Enterprises' Enhancement of Power Supply Guarantee Capacity for Major Projects in the Free Trade Port Driven by Intelligent Data Analysis
[IEEE] 2026-8-7 | Effect Evaluation and Ethical Challenges of Intelligent Advertising Delivery in the Context of Data
[IEEE] 2026-8-7 | Youth Perspectives on AI Ethics: An Exploratory Study within the VERFISUM Project
[IEEE] 2026-8-7 | A Novel Continuum Marine Robot for Accessing Complex Underwater Environments
[IEEE] 2026-8-7 | Tensile Interlocking Mechanical Metamaterials Enabled by Grayscale DLP Printing
[IEEE] 2026-8-7 | LowLightEye: an Android Mobile Framework for Robust Object Detection in Dim Environments
[IEEE] 2026-8-7 | Application of an Improved Q-learning Algorithm Integrating Self-Tuning and Dynamic Exploration in University Course Agents
[IEEE] 2026-8-7 | Few-Shot SAR Target Recognition with Low-Rank Adapted Vision Transformers
[IEEE] 2026-8-7 | A Lightweight RK4-Based Wheel Odometry Integration for OpenVINS
[IEEE] 2026-8-7 | Risk-Constrained Hierarchical Reinforcement Learning for Safe Decision-Making and Control in Autonomous Driving
[IEEE] 2026-8-7 | Research on Ecological Sustainability Optimization of Street Park Green Spaces in Longtang Community Based on POI Data and Smart Design
[IEEE] 2026-8-7 | An End-to-End Network for Enhanced Underwater Acoustic Target Recognition
[IEEE] 2026-8-7 | Deep VGG-16 Ensemble for Pneumonia Detection in Chest X-ray Images
[IEEE] 2026-8-7 | Performance-Constrained Adaptive Neural Network Control for Trajectory Tracking of Underactuated Hovercraft Under Arbitrary Initial Conditions
[IEEE] 2026-8-7 | Gender Sensing and Personalized Fragrance Diffusion Design of Intelligent Ceramic Fragrance
[IEEE] 2026-8-7 | Standard Conformant Prompting (SCP): A Reproducible Framework for Compiler-Ready PLC Code Generation with Large Language Models : From Post-Hoc Verification to Standard-Driven Code Synthesis in Industrial Automation
[IEEE] 2026-8-7 | Toward Auditable Multi-Agent AI: a Deterministic Framework for End-to-End Execution Traceability
[IEEE] 2026-8-7 | Fabrication of High-Quality Nanogap Electrodes via Structurally Optimized Atomic Layer Lithography
[IEEE] 2026-8-7 | Design and Implementation of a Digital Pressure Sensor Evaluation System
[IEEE] 2026-8-7 | GroupTrack: A Feature-aware Enhanced Group Tracking Method
[IEEE] 2026-8-7 | An Explainable Model for ROP Disease Diagnosis from Multi-Centered Infant Fundus Images
[IEEE] 2026-8-7 | Research on Concrete Strength Prediction and Durability Assessment Algorithm Based on Deep Feature Extraction
[IEEE] 2026-8-7 | Visual Analysis of Ecological Design Research in China Based on VOSviewer
[IEEE] 2026-8-7 | Distributed Global Fixed-Time Cooperative Dynamic Avoidance Control for Multiple Surface Vessels
[IEEE] 2026-8-7 | Study on Meeting Space Design Based on Aesthetic Density
[IEEE] 2026-8-7 | A Study of Real-Time Synchronisation of Cross-Dimensional Interactions
[IEEE] 2026-8-7 | Elderly Rehabilitation Training System Based on Artificial Intelligence and Virtual Reality Technology
[IEEE] 2026-8-7 | Design Optimization of AIGC Sports Shoe Outsole Pattern Based on Low-Rank Adaptation of Large Models
[IEEE] 2026-8-7 | AI and ML in Marketing: Enhancing Consumer Engagement and Personalization
[IEEE] 2026-8-7 | TRI-FusionNet: AI-Generated Video Detection Based on Temporal Alignment
[IEEE] 2026-8-7 | Lightweight Spiking Neural Networks (SNN) for Energy-Efficient IoT Anomaly Detection
[IEEE] 2026-8-7 | An Explainable Deep Learning Approach for Multi-Region Bone Fracture Detection in X-Ray Images
[IEEE] 2026-8-7 | Generating Synthetic Datasets for the Financial Industry: A CT-GAN Based Approach
[IEEE] 2026-8-7 | Art Intervention in Rural Idle Spaces: A Research on Spatial Design-With Xinlian Village in Meizhou City as an Instance
[IEEE] 2026-8-7 | Trust-Based Adaptive LQR Control for Autonomous Multi-Tenant Network Management
[IEEE] 2026-8-7 | Visual Reconstruction of Red Cultural IP Based on Generative AI: A Case of the Long March Red Army IP Design
[IEEE] 2026-8-7 | Delay-Oriented Computation Offloading Strategy for SAGIN-enabled Vehicular Networks
[IEEE] 2026-8-7 | Deep Learning-Driven Application of Sustainable Materials in Fashionable Furniture Design
[IEEE] 2026-8-7 | Sequence-to-Sequence Modeling of Hysteresis in Magnetorheological Elastomers Using Bidirectional LSTM Networks
[ACM] 2026-8-6 | Enhancing Performance and User Engagement in Everyday Stress Monitoring: A Context-Aware Active Reinforcement Learning Approach
[IEEE] 2026-8-6 | Doubly Constrained Fair Clustering for General $p$-Norms
[IEEE] 2026-8-6 | IEEE Transactions on Education Information for Authors
[IEEE] 2026-8-6 | A Hierarchical Geospatial-Temporal Fusion Transformer Framework for Interpretable Mobile Network Payload Forecasting
[IEEE] 2026-8-6 | Reliable RDMA over Lossy Fabrics via Data-Control Partitioning_supp1-3720532.pdf
[IEEE] 2026-8-6 | The Road to Sustainable Smart Cities: Modeling Residents’ Acceptance and Expectations of Smart, Connected, and Fully Autonomous Vehicles Employing SEM, NCA, and Machine Learning_supp1-3720604.pdf
[ACM] 2026-8-6 | SCALE: Style-Causal Disentanglement with Adaptive Lifelong Expert for Online Latent-domain Anomaly Detection
[ACM] 2026-8-6 | AnyPPG: An ECG-Guided PPG Foundation Model Trained on Over 100,000 Hours of Recordings for Holistic Health Profiling
[ACM] 2026-8-6 | Rejectors in the Wild: Deployment Barriers for LLM Rejectors
[ACM] 2026-8-7 | RuleTwin: Physics-Constrained Rule Induction for Anomaly Detection in Industrial Multivariate Time Serie
[ACM] 2026-8-6 | Breaking Bad Molecules: Are MLLMs Ready for Structure-Level Molecular Detoxification?
[ACM] 2026-8-7 | Unifying Behavior Modeling and Semantic Generation for Generative Recommendation
[ACM] 2026-8-6 | Hierarchical Mixture of Experts with Two-Stage Optimization
[ACM] 2026-8-6 | Towards Next Graph Token Prediction: Discrete Graph Tokenization for Structural Reasoning in Large Language Models
[ACM] 2026-8-7 | AgentsKG: A Hierarchical Multi-Agent Framework for Open-Domain Knowledge Graph Construction
[ACM] 2026-8-7 | HRKT: Hierarchical Recurrent Knowledge Tracing for Efficient Transformer-Based Long-Sequence Modeling
[ACM] 2026-8-6 | AutoDavis: Automatic and Dynamic Evaluation Protocol of Large Vision-Language Models on Visual Question-Answering
[ACM] 2026-8-7 | GPR: Towards a Generative Pre-trained One-Model Paradigm for Large-Scale Advertising Recommendation
[ACM] 2026-8-6 | Graph Neural Multilevel Preconditioners for Iterative Solvers
[ACM] 2026-8-6 | Beyond Language Processing: LLMs Rules-Injected Instruction Tuning for Traffic Prediction
[ACM] 2026-8-6 | FORGE: Forming Semantic Identifiers for Generative Retrieval in Industrial Datasets
[ACM] 2026-8-6 | scTranslation: A Comprehensive Benchmark for Single-Cell Multi-Omics Modality Translation
[ACM] 2026-8-6 | Discriminative Anchor Learning with Distribution Alignment for Multi-modal Remote Sensing Clustering
[ACM] 2026-8-7 | RiskBound: Risk-Aware Boundary-Guided Portfolio Optimization via Action Space Reshaping
[ACM] 2026-8-7 | Optimus: A Generic Operator-Level PyTorch Model Transformation Framework
[ACM] 2026-8-7 | From Structure to Function: Preference Alignment for Function-aware Protein Inverse Folding
[ACM] 2026-8-6 | NiWo: An Augmentation Framework to Enhance ML Performance and Interpretability for Tabular Data with Class Imbalance
[ACM] 2026-8-7 | PROBE: VLM-Guided Discrete Structural Reconfiguration for Customized and Efficient Video Retrieval
[ACM] 2026-8-6 | Natural Language-Powered Functional Protein Sequence and Structure Co-Design with Multi-Modal Knowledge Fusion
[ACM] 2026-8-7 | Towards Quantum Program Bug Datasets and Benchmarking
[ACM] 2026-8-6 | MMID: Multi-turn Multimodal Interactive Dialogue Benchmark
[ACM] 2026-8-6 | TuneAgent: Agentic Operating System Kernel Tuning with Reinforcement Learning
[ACM] 2026-8-6 | AlphaEval: A Comprehensive and Efficient Evaluation Framework for Formula Alpha Mining
[ACM] 2026-8-6 | Offline Long-Term Causal Effect Estimation with Short-Term Experimental Data for Recommendation Systems
[ACM] 2026-8-6 | LaCONIC: A Label-Aware and Graph-Guided Multi-Omics Collaborative Learning Model for Cancer Survival Prediction
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | On the Consistency and Performance of the Iterative Bayesian Update_supp1-3718449.pdf
[IEEE] 2026-8-6 | A New Dual-Engine Error Recovery Scheme for High-Reliability HBM
[IEEE] 2026-8-6 | DeepCNN-Swin Transformer-Based Gait Cycle Event Prediction for Adaptive Push-Off Control Across Variable Walking Speeds
[IEEE] 2026-8-6 | Toward Low-Latency Privacy-Preserving Federated Learning in Fluid Antenna Systems with Homomorphic Encryption
[IEEE] 2026-8-6 | Towards Group-level Cybercriminal Profiling - Cultural Dimensions and Participation Roles in Dark Web Communities
[IEEE] 2026-8-6 | Advancing Wildfire Forecasting with Machine Learning
[IEEE] 2026-8-6 | Value-Aware Packet Dropping with Dynamic Threshold Control Based on Queue Congestion Using Programmable Data Planes
[IEEE] 2026-8-6 | Improving Memory Efficiency of NIST Post-Quantum Cryptography for Microcontrollers
[ACM] 2026-8-6 | FedTT: A Federated Spatio-Temporal Learning Framework for Cross-City Traffic Knowledge Transfer
[ACM] 2026-8-6 | A Geometric Information Bottleneck for Activation Steering
[ACM] 2026-8-6 | AutoSchema: Self-Prompted Schema Induction and Evidence-Grounded Extraction for Materials Science Literature
[IEEE] 2026-8-6 | LEEV: Load-Aware and Energy-Efficient VNF Deployment in NFV-Enabled Networks
[IEEE] 2026-8-6 | Robust PRACH Preamble Detection Using GATv2-Based Graph Learning for 5G/6G Networks
[IEEE] 2026-8-6 | BIoMT-VFL: Ensuring Blockchain-based Security and Privacy in Internet of Medical Things through Vertical Federated Learning
[IEEE] 2026-8-6 | A Comparative Analysis of Quantum Genetic Algorithms and Deep Reinforcement Learning for Resource Allocation Optimization
[IEEE] 2026-8-6 | Analyzing Supply and Demand Signals for Cybercrime Services in Technical-Support Scams
[IEEE] 2026-8-6 | Toward Event-Driven Per-UE xApps in Open RAN Near-RT RIC
[ACM] 2026-8-6 | PeroMAS: A Multi-agent System of Perovskite Material Discovery
[IEEE] 2026-8-7 | Underwater Source Localization Using Transfer and Contrastive Learning
[IEEE] 2026-8-7 | Study on the Formal Characteristics of Ming-Style Rohan Bed Based on AIGC Technology
[IEEE] 2026-8-7 | Constrained Trajectory Planning for Wheeled Ground Robots in Unstructured Environments Modeled by B-Spline Approximation
[IEEE] 2026-8-7 | Capturing Fragment Dependencies in Real Marine Organism Mass Spectrometry with Boosted Effective Receptive Field
[IEEE] 2026-8-7 | HostelHub: Architectural Design of a Modular Web Framework for Academic Hostel Administration
[IEEE] 2026-8-7 | Robust Time-Synchronized NMPC for 3-D AUV Trajectory Tracking with Optimal LOS Guidance
共写入 1898 条记录，保存到 papers/paper2026-08-06.json。
论文获取成功，文件路径: papers/paper2026-08-06.json
正在筛选、翻译并发送邮件...
[NO] 1/1898 | Periods of E-operators
[NO] 2/1898 | Hybrid Machine Learning Framework for Herd-Level Cattle Growth Pattern and Weight Gain Forecasting in Grazing-Based Production Systems
[NO] 3/1898 | Convergent Evolution in Neural Representation Space: Emergent Order in Deep Belief Networks
[NO] 4/1898 | Clinical Communication Processing with Models Trained on LLM-Generated Synthetic Data: A Structured Survey and Novel Application Case Studies
[NO] 5/1898 | Convergent Evolution in Algorithmic Space
[NO] 6/1898 | Geometry-Only CSL/DP Ratios and the Nonuniqueness of Decoherence Kernels
[NO] 7/1898 | The Institutional Window: Occupation- and Jurisdiction-Specific Calibration of Liability Signaling for Preserved Human Fallback Capability
[NO] 8/1898 | M$^3$Prune: Hierarchical Collaborative Pruning for Efficient Multi-Modal Multi-Agent Retrieval-Augmented Generation
[NO] 9/1898 | Stability of Ranking-dependent Pair-wise Comparison Patterns in the Analytic Hierarchy Process
[NO] 10/1898 | Certifying Collective Reasoning in Multi-Agent Systems via Koopman Spectral Analysis
[NO] 11/1898 | Erdős--Ko--Rado and Hilton--Milner Theorems in the Partition Lattice
[NO] 12/1898 | Exponential Speedup of Entanglement Generation by Quantum Mpemba Effects
[NO] 13/1898 | Chernoff-Stein-Type Exponent in Testing Between Two Outlier Distributions
[NO] 14/1898 | Harnessing thermo-optic dynamics for frequency-agile soliton microcombs
[NO] 15/1898 | Floating Radiance Networks
[YES] 16/1898 | Escaping the Self-Repair Trap: Improving Test Oracle Generation via Dual-Context Awareness
[NO] 17/1898 | Phase-resolved QPO Analysis of GX 339-4: Improved Technique and Consistent Behaviors between QPOs and Broadband Noise
[NO] 18/1898 | Reduced Basis Method for Simulating Thermal Transients in Electric Machines
[NO] 19/1898 | Robust-WAM: Bridging Generative Pretraining and Semantic Foresight in World-Action Models
[NO] 20/1898 | Tool Demo: Topology analysis with GPML for detection of cyberattacks in Water Distribution Networks
[NO] 21/1898 | Chaos in large genus surfaces
[NO] 22/1898 | Correlated topological-polarization surface states in the narrow-gap insulator FeSb2
[NO] 23/1898 | Personalized Deep Research Query Refinement with Graph-Scaffolded Evidence Grounding
[NO] 24/1898 | Descoped and Upscoped FCC-ee Running Scenarios in the SMEFT
[NO] 25/1898 | A sharp fixed-size spectral bound for $kK_3$-free graphs
[NO] 26/1898 | NestyNet. I. Physics Functions Are Hard to Fit with Neural Networks: A Framework for Accurate Surrogates and Analytic Derivatives
[NO] 27/1898 | Multiple Distance Ramsey Bounds For Graphs in Euclidean Spaces
[NO] 28/1898 | A broadband outburst of the compact steep-spectrum quasar 3C 138 in 2024-2026
[NO] 29/1898 | MameLoshnLM: Yiddish Language Model and Evaluation Benchmark
[NO] 30/1898 | A neural operator view on U-Nets for inverse imaging problems
[NO] 31/1898 | Ruffled Feathers: Merger-driven galaxy size growth and structural transformation in EAGLE
[NO] 32/1898 | Controllable Clothing: Precise Labels and Generation for Virtual Try-On with Latent Diffusion Models
[NO] 33/1898 | ViSR-KGC: Visual Subgraph Reasoning with Vision-Language Models for Multimodal Knowledge Graph Completion
[NO] 34/1898 | A Unified Analytical Framework for LYSO-SiPM Scintillation Pulse Dynamics
[YES] 35/1898 | Agent-Based Test Assertion Generation via Diverse Perspective Aggregation
[YES] 36/1898 | Noise-aware Verification and Synthesis of Quantum Programs
[NO] 37/1898 | XEWorld: Can Action-Conditioned World Models Generalize to Unseen Robot Embodiments?
[NO] 38/1898 | KVAE: Family of Tokenizers for Multimodal Generative Models
[NO] 39/1898 | Interaction size and dissent tolerance in majority-rule dynamics with collective reversal
[NO] 40/1898 | Fuzzy network jump models for soft dynamic clustering of graph-structured data
[NO] 41/1898 | GROM: Gradient-Free Rapid One-Shot Machine Unlearning
[NO] 42/1898 | Evidence-Driven Dynamic Visual Selector for Efficient Long Video Understanding
[NO] 43/1898 | Robust logarithmic lower bound on shared-resource cost for $f$-routing
[NO] 44/1898 | Accelerating nanodrug development in continuous flow systems using informed prediction models based on low-cost surrogate nanoparticles
[NO] 45/1898 | Beyond Relevance: Bayesian Evidence Acquisition for Agentic Whole-Slide Image Reasoning
[NO] 46/1898 | GRAVITY+: reducing non-common-path aberrations for sub-10 μas astrometric accuracy
[NO] 47/1898 | Finite Quantum Histories: Holonomy Spectra, Minimal Clocks, and Exact Clock-Change Covariance
[NO] 48/1898 | Subliminal Learning is Non-Semantic Distillation
[NO] 49/1898 | Sparse Mutual Information Graph Averaging for Improving Random Indexing Embeddings
[NO] 50/1898 | PhyLatent: Learning Dynamics-Relevant Representations for JEPA World Models
[NO] 51/1898 | Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots
[YES] 52/1898 | RA-CAD: Learning Post-Execution Critique for State-Aware Text-to-CAD Generation
[NO] 53/1898 | G$^2$ARD-GS: Geometry-Guided Anchor-Regularized Gaussian Splatting Distillation
[NO] 54/1898 | SEAM: Global consistency beyond local accuracy in scientific machine learning
[NO] 55/1898 | Mixed local and nonlocal weighted singular quasilinear elliptic problem and its associated Sobolev-type inequality
[NO] 56/1898 | Wireless Linear Computation Broadcast
[NO] 57/1898 | Grounded Well-Condition Anomaly Detection on the Volve Field: Constructed Labels, a Baseline, and a Dual-Head Model
[NO] 58/1898 | A geometric approach to the (generalized) Noether theorem for Hamiltonian systems on (non)-uniform q-contact manifolds
[NO] 59/1898 | Periodic Solutions to the Steady Viscous Burgers Equation: A Constructive Example
[NO] 60/1898 | Risk in a Data-Rich Model
[NO] 61/1898 | Consistency Has a Computable Blind Spot: A Commutation Theory of Label-Free Reliability for Vision-Language Figure Reading
[NO] 62/1898 | When Does Consensus Mean Correctness? Measuring the Agreement-Accuracy Coupling with Semantics-Preserving Re-Rendering
[NO] 63/1898 | SafeDivertor: Faithful Divertor Heat Flux Reconstruction from Macroscopic Plasma State Signals via Time-Frequency Prior Exploitation
[NO] 64/1898 | F$^2$Agent: Financial Fusion of Agentic Intelligence for Multimodal Trading
[NO] 65/1898 | Vorch-Streamer: Extending Human Audio-Visual Generation to Real-Time Long-Form Streaming
[NO] 66/1898 | On the Numerical Terao Conjecture
[NO] 67/1898 | Studying People to Study AI: Expert Perspectives on the Epistemic Fit and Barriers of Human Research in AI Safety & Ethics
[NO] 68/1898 | Refining Over Resampling: Test-Time Self-Correction for LLM Reasoning
[NO] 69/1898 | Charged Penrose Extraction in RN--AdS Black Holes with Dark Energy: Ergosphere Geometry and Rigorous Efficiency Bounds
[NO] 70/1898 | Transcutaneous Spinal Cord Stimulation Disrupts Conscious Ankle Proprioception and Produces a More Constrained Locomotor Pattern in Unimpaired Adults
[NO] 71/1898 | TruthLens: Object Hallucination Detection via Self-Evaluating Truthfulness Scores in LVLMs
[NO] 72/1898 | Structured Dimension-Matched Joint Variational Transdimensional Inference
[NO] 73/1898 | Compact balanced threefolds and LCK manifolds with constant holomorphic sectional curvature
[NO] 74/1898 | An Ordered-Reliability-Bits Chase Decoding Algorithm for BCH Codes
[NO] 75/1898 | On the Asymptotic Normality and Unimodality of Genus Distributions of Wheels
[NO] 76/1898 | Detecting Safety Training Modification in Language Models via Activation Analysis
[NO] 77/1898 | A Multi-Layer System for Ultra-High-Resolution Static 360-Degree Telepresence
[NO] 78/1898 | CoordRefer: Coordinate-Aware 3D Visual Grounding from Multiview Images
[NO] 79/1898 | SDDmiP.jl: A Software Package with a Provably Convergent Benders Algorithm for Multi-Stage Stochastic Mixed-Integer Programming
[NO] 80/1898 | Lorenz Links that are not Horseshoe and Rossler Links
[NO] 81/1898 | A Self-Explainable Deep Architecture for Security Applications
[NO] 82/1898 | omni-macos: On-Device Omni-Modal Search on Apple Silicon
[NO] 83/1898 | Splitting methods for Intermediate Long Wave and perturbed Benjamin--Ono models
[NO] 84/1898 | A Unified Framework for Iterate Convergence of Bregman Proximal Methods
[NO] 85/1898 | Quantum information loss
[NO] 86/1898 | Iwasawa invariants and exceptional pairs of certain abelian fields
[NO] 87/1898 | EG-VAE: A Unified Framework for Electric Guitar Tone Transfer and Removal
[NO] 88/1898 | AffectDF: The Most Comprehensive Benchmark for Speech Deepfake Detection against Emotionally Expressive Attacks
[NO] 89/1898 | The TASSIE Program. II: Three Close-In Companions Orbiting Sun-Like Stars
[NO] 90/1898 | Morphology of frozen labyrinths from irreversible threshold dynamics
[NO] 91/1898 | Hyperbolicity and Ergodicity in Randomly Perturbed Billiard Systems
[NO] 92/1898 | BioKD: Selective Physiology-to-Video Knowledge Distillation via Reliability Gate for Emotion Recognition
[YES] 93/1898 | ProDVI: Programmatic Dynamics Priors for Value Network Initialization
[NO] 94/1898 | OneEmo: A Unified Multimodal Reasoning Model for Emotion Perception, Understanding, and Interaction
[NO] 95/1898 | Adaptive-WAM: Quality-Guided Early-Exit Planning from Intermediate Video-Diffusion Features
[NO] 96/1898 | TensorCast: The Missing Tensor Management Layer in Large Language Model Infrastructure
[NO] 97/1898 | TLNM: Externally Validated Tooth Detection, Numbering and Segmentation from Smartphone Photographs Using Mask R-CNN
[NO] 98/1898 | The Illusion of Visual Tool-Use: A Causal Audit of Thinking with Images
[NO] 99/1898 | An "inside-out" approach to modeling supermassive black hole binary inspiral
[NO] 100/1898 | Almost sure path localisation for the derivative martingale of branching Brownian motion
[NO] 101/1898 | On uniform eventowns
[NO] 102/1898 | Fundamental limits of parameter estimation with heralded optical non-Gaussian states generated from Gaussian resources
[NO] 103/1898 | Global vs. Product Observables in Bipartite Quantum Systems: The Sharp Bound
[NO] 104/1898 | EmoWorld: A Decoupled Affective Field for Controllable Emotional Video Generation
[NO] 105/1898 | Neural CRC Prediction for 5G NR URLLC
[NO] 106/1898 | Unconventional Scaling of Electric Hall Effect in Magnetic Weyl Semimetals
[NO] 107/1898 | Beyond Marginal Validity: Finite-Sample Guarantees for Localized Conformal Prediction
[NO] 108/1898 | Beyond Electrons: Radiative Thermal Computing and Neural Networks at the Near-Field Limit
[NO] 109/1898 | Fractional Dehn twist coefficients and rank bounds for categorified link invariants
[NO] 110/1898 | EnvACE: Internalizing Environment Dynamics via World Rehearsal for Agentic Reinforcement Learning
[NO] 111/1898 | Quantum fluctuation relations in first-detection processes
[NO] 112/1898 | Inverse ambiguous maps on infinite groups
