[2026-09-02 23:53:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[ACM] 2026-9-1 | Gameplay Rating and Winning Strategy Evaluation in PlayerUnknown's Battlegrounds
[ACM] 2026-9-1 | Research on Color Design of Children's Dynamic Illustration Based on HSV Color Space and K-Means Clustering
[ACM] 2026-9-1 | Highway Intelligent Inspection Based on YOLOv5 Improved by CBAM Attention Mechanism
[ACM] 2026-9-1 | Research on Computer Network Security Protection Strategies and Technologies for Local Area Networks
[ACM] 2026-9-1 | Multimodal Transformer and Knowledge Graph Fusion for Intelligent Recommendation of Red Cultural Resources in Ideological Education
[ACM] 2026-9-1 | AI assists in the parametric design and optimization of indoor spaces
[ACM] 2026-9-1 | The Impact of Creative Writing on Psychological Education in Yunnan Borderland Institutions: A Survey-Based Machine Learning Analysis Using the RealMLP-TD Algorithm
[IEEE] 2026-9-2 | A Defensive Mirroring Framework for Explainable Detection of AI-Enabled Spear Phishing
[IEEE] 2026-9-2 | Frequency-Stable Antenna Using Substrates with Complementary Temperature Coefficients of Dielectric Constant
[IEEE] 2026-9-2 | Hybrid Dynamic Differential Evolution for Phaseless EMI Source Localization
[IEEE] 2026-9-2 | An Efficient FLOD-FDTD Method for the Drude-Lorentz Model
[IEEE] 2026-9-2 | Automated Orchestration of O-RAN Near-RT RIC with Integrated Remote xApp Management
[IEEE] 2026-9-2 | Design of a Ka Band Circularly Polarized Film Antenna Based on a Polarization Conversion Metasurface
[IEEE] 2026-9-2 | LLMs for Network Engineering Automation: State of the Art and Research Directions
[IEEE] 2026-9-2 | Robustness Analysis of Backstepping Control for Magnetic Levitation Systems
[IEEE] 2026-9-2 | Cavity-Backed Wideband Circularly Polarized Cross-Dipole Antenna for Ku-Band CubeSat Applications
[IEEE] 2026-9-2 | A Magnetic-Saturation-Aware MTPA Current Allocation Strategy for DC-Biased Sinusoidal-Excited SRM Drives
[IEEE] 2026-9-2 | Multi-Beam Beamforming of Array Antennas Based on Artificial Neural Network
[IEEE] 2026-9-2 | Provisional Region-of-Interest Video Compression Using On-Sensor Artificial Intelligence Metadata and Global Motion Compensation Residuals
[IEEE] 2026-9-2 | Phaseless Equivalent Dipole Source Reconstruction Based on SVD-Assisted Memetic Dynamic Differential Evolution
[IEEE] 2026-9-2 | A Pythagorean Fuzzy Approach to Stochastic Navigation of Autonomous UAVs for Border Surveillance
[IEEE] 2026-9-2 | Smart Predictive Maintenance for Industrial Equipment: A Focused Review of IoT and AI-Based Fault Data Analysis Techniques
[IEEE] 2026-9-2 | Design of Self-Adaptive Energy-Selective Surface with Broadband Bandpass and Shielding Response
[IEEE] 2026-9-2 | EchoSpace: Semantic-Aware 3D Gaussian Splatting with Intelligent Agent Interaction for Accessible Virtual Reality
[IEEE] 2026-9-2 | Design and Implementation of a Dual-Mode Intelligent Companion Health Monitoring System Based on STM32
[IEEE] 2026-9-2 | Metal-Strip-Loaded Phased Array With Low Mutual Coupling and Wide-Angle Scanning
[IEEE] 2026-9-2 | Design of a Compact Triple-Mode Dual-Band Dielectric Waveguide Bandpass Filter
[IEEE] 2026-9-2 | A Simulation-Based Framework to Design a Fixed-Wing UAV for Inspecting Large Industrial Zones
[IEEE] 2026-9-2 | Carbon Chat: A Virtual Reality Game for Creating Awareness of the Environment Impact of LLMs
[IEEE] 2026-9-2 | Parameter-Efficient Fine-Tuning of a Vision–Language Model for Rock Type Classification from Thin-Section Images
[IEEE] 2026-9-2 | Enhancement of Dynamic Output Performance for Grid-Forming Photovoltaic and Energy Storage Systems through Buffer Function and Damping Dynamic Adaptation
[IEEE] 2026-9-2 | Hyperspectral and Multispectral Image Fusion based on a Parametric Model and Sparse Unmixing to Address Spectral Variability
[IEEE] 2026-9-2 | A Miniaturized Stacked Log-Periodic Dipole Array Antenna for Broadband P/L-Band Applications
[IEEE] 2026-9-2 | Hybrid Sector-Aware and Explainable AI Credit Risk Modeling for Governance-Aligned and Robust Decision Support in Banking
[IEEE] 2026-9-2 | Enhancement of Localization Accuracy for Double Simultaneous Leaks via an Equivalent Pipeline Model
[IEEE] 2026-9-2 | Virtual Orchard Simulation Environment for Development and Testing of Autonomous Fruit-Harvesting Robots
[IEEE] 2026-9-2 | High-Shielding-Effectiveness Energy Selective Surface Based on Spatially Coupled Resonators
[IEEE] 2026-9-2 | Evaluating and Reducing the Force Ratio in Multi-agent Shepherding Tasks
共写入 2000 条记录，保存到 papers/paper2026-09-01.json。
论文获取成功，文件路径: papers/paper2026-09-01.json
正在筛选、翻译并发送邮件...
[NO] 1/2000 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[NO] 2/2000 | Reanalysis of exclusive charmonium production at the $B$ factories
[NO] 3/2000 | Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity
[NO] 4/2000 | ExpArt-KG: Artwork Image Description Generation through Iterative Exploration of Knowledge Graphs
[NO] 5/2000 | Global well-posedness of radially symmetric strong solutions to two-dimensional compressible liquid crystal flows with large data and vacuum
[NO] 6/2000 | Entropy on regular sets and periodic-orbit growth for singular flows
[NO] 7/2000 | DSG: Dynamic 3D Scene Graph Construction for Embodied Agents in Changing Indoor Environments
[NO] 8/2000 | Cross-View Vision-Aided Proactive BS Selection and Beam Prediction for mmWave V2I Communications
[NO] 9/2000 | A Version Space Approach for Digital Circuit Analysis
[NO] 10/2000 | Investigating Assistant Bias in LLM User Simulators Using a Role Vector
[NO] 11/2000 | Photon Gas Thermodynamics with $κ$-generalized statistics at Planck-Scale
[NO] 12/2000 | Universal Beta Incidence Angles: Cauchy Rigidity and Infinite Arrangements
[NO] 13/2000 | Behavior of the SRB Entropy Functional in Families of Hyperbolic Attractors and Expanding Maps
[NO] 14/2000 | Socrates went Nuclear: Comparing Interaction Strategies for AI systems in a Learning Context using Brain Sensing
[NO] 15/2000 | A Mathematical Framework for Legacy, Governance, and Decision Integrity in Enterprise AI
[NO] 16/2000 | Graph Coloring with Color Preferences
[NO] 17/2000 | Aligned but Flattened: Analyzing the Trade-off between Cultural Alignment and Diversity in LLMs
[NO] 18/2000 | Mudskippers use tail thrusting to help crutching to move on mud of various wetness
[NO] 19/2000 | Importance and methods to control, vary, and characterize mud strength for studying locomotion
[NO] 20/2000 | Manifold-Aware General Coded Computing for Straggler-Resilient Distributed Computing
[NO] 21/2000 | Same Semantics, Different Outcome: On the Modality Robustness of Multimodal LLMs under Knowledge Conflict
[YES] 22/2000 | Skill Following: Evaluating Actual Skill Use in Retrieval-Enabled LLM Agents
[NO] 23/2000 | Spectral element lattice Boltzmann method for non-ideal gases with partial wetting boundary condition
[NO] 24/2000 | Are We There Yet? Assessing Computer-Use Agents for Blind Users' Accessible Interaction with Desktop Applications
[NO] 25/2000 | A distributed-delay Wilson-Cowan model of sleep-related rhythms in the corticothalamic system
[NO] 26/2000 | D-Scrambled Cantor Sets
[NO] 27/2000 | Uniqueness of Finite-Time Varifold Limits for the Möbius-Invariant Willmore Flow
[NO] 28/2000 | Femtoscopy as a New Probe of the Nuclear Equation of State
[NO] 29/2000 | CacheBridge: Efficient Cross-Model KV Cache Transfer
[NO] 30/2000 | The Type-I Seesaw as a Relativistic Fermionic Proximity Effect: Spectral Moments, EFT Consistency, and Sterile-Sector Reconstruction
[NO] 31/2000 | Denoising Diffusion Generative Models Secretly Calculate Attentions
[NO] 32/2000 | Sharp Mixed Spectral Barron Regularity of Coulombic Many-Electron Wave Functions
[NO] 33/2000 | Independent Tuning of Surface Acoustic-Waves and Spin-Waves via Buffer-Layer Engineering in Co2FeGe Heusler Thin Films
[NO] 34/2000 | LLM Inference on IMC-NoC Architecture with Balanced Dataflow and Fine-Grained Parallelism
[NO] 35/2000 | Spatio-temporal coherent molding and retrieval of pulsed signals in optical waveguides
[NO] 36/2000 | Probabilistic Model Checking of Autoregressive Neural Sequence Models
[NO] 37/2000 | Metastable defects in III-Nitrides
[NO] 38/2000 | Dense Process Supervision for Search Agents via Fact Utility Estimation
[NO] 39/2000 | TWIX: a Two-Stage Approach for End-To-End Named Entity Recognition and Relation Extraction
[NO] 40/2000 | A Frequency-Aware Dynamic Knowledge Distillation Framework: An Effective Tool for Bridging Low- and High-Frequency Seismic Information
[NO] 41/2000 | Temporally constraining source imaging estimates in an underdetermined neural system with eigenmodes of cortical geometry
[NO] 42/2000 | Connectivity-Aware Graph Extension for Decentralized Multi-Robot Exploration
[NO] 43/2000 | TEIDAN: A Multilingual Multiparty Dialogue Corpus
[NO] 44/2000 | Advanced Pixel Diffusion Model with Guided Sparse Global Refinement
[NO] 45/2000 | Carroll Limit of $\mathcal{O}(F^2)$ $\text{D}_p$-branes from Kaluza--Klein-like Null reduction in the Polyakov Formulation
[NO] 46/2000 | MADS: A Multiview Acoustic Descriptor Set Beyond Standard Spectral Summaries
[NO] 47/2000 | Instella-MoE Technical Report
[NO] 48/2000 | When Features Become Instances: Inverted Contrastive Learning for Unsupervised Feature Selection
[NO] 49/2000 | Deep Skew-t Mixture Models
[NO] 50/2000 | Agent-Enhanced Heterogeneous Graph RAG for Academic Question Answering
[NO] 51/2000 | Improved bounds in Birch's theorem for forms in many variables
[NO] 52/2000 | S^3martCirc: Self-supervised Smart Circuit Discovery
[NO] 53/2000 | Ontology-based Target Sound Extraction
[NO] 54/2000 | One Print, Many Moves: Monolithic Origami-inspired Folding Actuator for Composable Soft Multi-DoF Systems
[NO] 55/2000 | Two-photon quantum Rabi models - Spectral degeneracy and symmetries
[NO] 56/2000 | Text Capability Loss in Vision-Language Adaptation: An Attention-Sink Diagnosis
[NO] 57/2000 | The Price of Remembering: A Calibrated Energy Law for Computation
[NO] 58/2000 | Scaling of boundary-layer disturbances exposed to free-stream turbulence
[NO] 59/2000 | Addressing the low-wind effect with the Lyot-based low-order wavefront sensor on SCExAO
[NO] 60/2000 | Modalities in non-classical variations of $\mathsf{S4}$
[NO] 61/2000 | Finite permutation groups that act with fixity 4
[NO] 62/2000 | Agentic Empirical Asset Pricing: Methodological Foundations
[NO] 63/2000 | MaskCode: Mask Transformer for Feedback-Assisted Coding With Linear Block Codes
[NO] 64/2000 | EarthLD: Towards Unified Open-World Landslide Understanding via Vision-Language Guided Diffusion Models
[NO] 65/2000 | PhantomCall: Evading ML Malware Detectors via Function Call Graph Perturbation
[NO] 66/2000 | Direct laser-written optomechanical double membranes in an optical microcavity
[NO] 67/2000 | Design and Physical Constraints of Synthetic-Frequency Photonic Switching Fabrics
[NO] 68/2000 | Quantifying Sky Map Resolution Requirements for Beam Chromaticity Correction in Sky-Averaged 21 cm Experiments
[NO] 69/2000 | Unbalanced spectral Turán problem for color-critical graphs with prescribed large maximum degree
[NO] 70/2000 | ClinTraceBench: Source-Verifiable Longitudinal Clinical Reasoning over EHR-Derived Dialogues
[YES] 71/2000 | Reliable LLM-Generated Programs for High-Energy Physics Experiments through Graph-Grounded Software Knowledge
[YES] 72/2000 | Fine-Tuning Large Language Models to Classify Pull Request-Issue Alignments: Going Beyond Prompting
[NO] 73/2000 | The real-rootedness of the toric $g$-contribution polynomials
[NO] 74/2000 | The thermal emission for knot A of radio galaxy M87 by Chandra
[NO] 75/2000 | Trap Dynamics and Conductivity Changes in AlGaN/GaN Heterostructures Under Ultrasonic Loading
[NO] 76/2000 | A threshold phenomenon for embeddings of Euclidean snowflakes and impossibility of dimension reduction
[NO] 77/2000 | JENGA: Exploiting Counter-Based RowHammer Countermeasures to Break Real-Time Predictability
[NO] 78/2000 | Text-guided flow matching enables sample-efficient crystal structure generation
[NO] 79/2000 | OTFS Channel Estimation Utilizing Sparse Bayesian Generative Modelling
[NO] 80/2000 | Asymptotically Optimal List Size of Random Linear Codes
[NO] 81/2000 | Space Generative AI with Solar Energy Harvesting
[NO] 82/2000 | Dyn-3D: Unveiling and Resolving Ego-Motion Ambiguity in Vision-Language Models
[NO] 83/2000 | ARISE-RL: Agentic Rubric-Grounded Iterative Self-Evolution with Reinforcement Learning
[NO] 84/2000 | Active Visual Semantics: A large-scale MEG and eye-tracking dataset for understanding visual intelligence in action
[NO] 85/2000 | Archival transients detected with the MeerLICHT telescope I: Supernovae
[NO] 86/2000 | HiveTraceGuard-Pro: A Compact Generative Guardrail for Prompt Injection, Jailbreaks, and Adversarial Obfuscation
[NO] 87/2000 | From Truncation to Commitment: Persistent Context in Uniform Discrete Diffusion
[NO] 88/2000 | Data-Driven Persona-Conditioned Agents for A/B Test Simulation
[YES] 89/2000 | AKRASIA: Stealthy Backdoor Attack on Reasoning-based Code LLMs
[NO] 90/2000 | Phrase-Localized Language-Contrastive Guidance: Training-Free Localized Accent Control for Code-Switching Text-to-Speech
[NO] 91/2000 | Revisiting candidates for non-pulsating stars located in the Cepheid instability strip in the Large Magellanic Cloud
[NO] 92/2000 | Inspicio: Open-Vocabulary, LLM-Based Sense Retrieval for Historical Languages
[NO] 93/2000 | The Missing MeV Window for Identifying Galactic PeVatrons: the need for a dedicated MeV Observatory
[NO] 94/2000 | On the Human and Computer Alignment of Attribute-Based Music Matches
[NO] 95/2000 | Near-extremal asymptotics and strong cosmic censorship for black holes immersed in a Chaplygin-like dark fluid
[NO] 96/2000 | ReFlowSET: Representation-Aligned Latent Flow Matching for SAR-to-EO Image Translation
[NO] 97/2000 | The injective envelope of simple modules over Leavitt path algebras I: simple left ideals
[NO] 98/2000 | Robust CZ gate against flux line memory
[NO] 99/2000 | Exact Payload-Decoupling Conditions for Pilot-Only BEM Channel Estimation With Application to OTFS
[NO] 100/2000 | The Morse Index, Nullity and Jacobi Fields of Constant-Curvature 2-Spheres in Complex Projective Spaces
[NO] 101/2000 | VIBE-Bench: Evaluating Personalized Large Language Models When Profiles Don't Mean Preferences
[NO] 102/2000 | Electric Dipole Moments in the CP-violating Generational Three-Higgs-Doublet Model
[NO] 103/2000 | SwapRec: Warming Up Cold Items Through Training-Time Swaps
[NO] 104/2000 | Pricing the DeFi Tail: Do Protocols or Depositors Price Operational Risk?
[NO] 105/2000 | In-Context Neurofeedback: Can LLMs Control Their Internal Representations through Privileged Access?
[NO] 106/2000 | FTU-Seek: Foundation Model-Guided Hard-Negative Learning for Sparse Functional Tissue Unit Segmentation
[NO] 107/2000 | Flavor-Violating Higgs and Top Decays in the Type 1B Flavorful Two-Higgs-Doublet Model with a Twist
[NO] 108/2000 | A unification of Euler-Maclaurin and Euler-Boole summation formulas
[NO] 109/2000 | Context-Aware Intelligent Vehicles
[NO] 110/2000 | Operationalizing open-ended biological discovery across single-cell representations
[NO] 111/2000 | Robust dimension-free estimation of simple random tensors: optimal guarantees under heavy tails and adversarial contamination
[NO] 112/2000 | Diagnosing Latent Energy Decomposition in Machine-Learning Interatomic Potentials via Interacting Quantum Atoms
[NO] 113/2000 | From Saliency to Discriminability: Rank-Preserving Visual Token Pruning for VLM Rerankers
[NO] 114/2000 | Perturbations and stability of black holes with static scalar hair in general GLPV theories
[NO] 115/2000 | SciTrue: Reliable Scientific Claim Validation with Frontier and Open Language Models at the NTCIR SciClaimEval Task
[NO] 116/2000 | Characterizing High-dimensional Dynamics by Combinatorial-Topological Methods on a Latent Space
[NO] 117/2000 | Kinematic Relationship Between Solar Extreme Ultraviolet Waves and Type II Metric Radio Bursts
[NO] 118/2000 | Further analysis and extension of the higher-order Newton method of Ahmadi, Chaudhry, and Zhang
[NO] 119/2000 | Solaris: Towards Interfaces That Are Generated, Not Coded
[NO] 120/2000 | Deterministic Leave-One-Cluster-Out Cross-Validation for Multilevel Bayesian Structural Equation Models
[NO] 121/2000 | An exact and fast solution of the inverse Regularized Optimal Transport problem
[NO] 122/2000 | Slow stellar halo rotation as a signature of disc flips and GES-like mergers
[NO] 123/2000 | Optimal Gradient-Norm Minimization in Non-Euclidean Hölder-Smooth Convex Optimization
[NO] 124/2000 | Dual-polarized, mid-infrared nonreciprocal absorption
[NO] 125/2000 | The Complexity of Approximating the Value in Revealing POMDPs with Long-Run Average Objectives
[YES] 126/2000 | Adaptive Critical Token-Aware Retrieval for Repository-Level Code Generation
[NO] 127/2000 | Higgsino Above the Sea of Fog
[NO] 128/2000 | Lp Brunn-Minkowski inequality for the eigenvalue of generalized Monge-Ampère equation
[NO] 129/2000 | Optimizing Byzantine Node Placement in Decentralized Federated Learning
[NO] 130/2000 | Science Of Nuclear Fusion: Insights and Ideas
[NO] 131/2000 | Supercritical mean--field limit for magnetized Hamiltonian dynamic
[NO] 132/2000 | Directional Response Optimization through Linear Recombination of Time-Delay Interferometry Channels in Space-based Gravitational Wave Detection
[NO] 133/2000 | Dynamical regimes of QAOA gradient response
[NO] 134/2000 | Joint PAPR and OOBE Reduction for AFDM via Chirp Parameter Tuning
[NO] 135/2000 | Are You Thinking What I am Thinking? : Examining Conceptual Separation in Neural Architectures
[NO] 136/2000 | Accelerating the Improved Arrow--Hurwicz Iteration via the Anderson Algorithm for Steady-State Navier--Stokes Equations
[NO] 137/2000 | On smallest synchronizing terms over constant alphabets
[NO] 138/2000 | Don't You Know, Pump it Up! Investigating Cryptocurrency Manipulation in Telegram-Driven Activity
[NO] 139/2000 | Benchmarking Vision-Language Models for Automated Pathology Diagnosis and Report Generation
[NO] 140/2000 | A counterexample to the localization problem for AB rings
[NO] 141/2000 | Neutrino masses and mixing angles in the Plan B Model
[NO] 142/2000 | Spectral Bounds for Kernel Quadrature
[NO] 143/2000 | Where the Verifier Fails: A Category-Level Audit of Reward Signals in RLVR
[NO] 144/2000 | CHARM: Character Hallucination for Multicultural Role Play Benchmark
[NO] 145/2000 | Singular Rotational Self-Similar Tori for Odd $σ_k$-Curvature Flows
[NO] 146/2000 | Integrating Traffic Noise Emission Modelling into Variable Speed Limit Control
[NO] 147/2000 | Multiphase Reactive Transport in a Heterogeneous Flow Field: Channel Formation in Hydrocarbon-Bearing Carbonate Rock
[NO] 148/2000 | Total positivity in coordinate algebras
[NO] 149/2000 | Reliability Challenges in Diffusion Vision-Language Models
[NO] 150/2000 | MIDR: Enrichment-Augmented Indexing for Multimodal Document Retrieval
[NO] 151/2000 | Why Is Cubic-Phase Airy Beamforming Sufficient for Blockage Recovery?
[NO] 152/2000 | Inversion-symmetric topological insulators in cut-and-project binary chains
[NO] 153/2000 | GazeRefine: Expert Gaze as a Test-Time Prompt for Training-Free Medical Image Segmentation
[NO] 154/2000 | CMRVision: A Foundation Model for Cardiac MR Image Analysis
[NO] 155/2000 | Deformation theory and the controlling $L_{\infty}$-structure of extended Rota-Baxter algebras
[NO] 156/2000 | Thickness-Dependent Orbital-to-Spin Torque Signatures in Cr/Gd/Co Thin Films
[NO] 157/2000 | Emerging Personas and Tools for Hybrid Quantum-HPC Systems
[NO] 158/2000 | Explore Before Committing: Hypothesis-Guided Search for Deep Research Agents
[NO] 159/2000 | TriSLA: A Preventive and Closed-Loop SLA-Aware Architecture for Multidomain Decision-Making with Explainable Artificial Intelligence in 5G Networks
[NO] 160/2000 | Optimal Inflow Control for Transport Equations with Uncertain Velocities and Demand
[NO] 161/2000 | Soft Posterior Speaker Injection for Multi-Talker Speech Recognition
[NO] 162/2000 | HiLRP: Toward One Trustworthy Explanation for Vision Transformer: Conservation-Valid Attribution via Attention Primitives
[NO] 163/2000 | EmbodiedSkills: A Unified Framework for Orchestrating, Training, and Deploying VLA Agents
[NO] 164/2000 | TimeSteer: Inference-Time Speech Scheduling in Joint Audio-Visual Diffusion Models
[NO] 165/2000 | From Base Rollouts to RL Reasoning: A Budgeted Search Perspective
[NO] 166/2000 | What Does an Agentic Software Engineering Benchmark Measure? Profiling Task Demands and Agent Behaviour Beyond What Category Labels Reveal
[NO] 167/2000 | Solving In-Table Prediction Problems by Deep Neural Networks with Performance Evaluation Using Synthetic Data
[NO] 168/2000 | On the Non-Negativity of Longitudinal Velocity Autocorrelations in Homogeneous Isotropic Turbulence: Kinematic Constraints, Convexity, and Spectral Broadening
[NO] 169/2000 | From Language to Behavior: Scaling Sequence Transformers for Industrial Recommendation Ranking with Rec-Native Designs
[NO] 170/2000 | Geometry-Controlled Magnetic and Electronic Landscapes in Anisotropic van der Waals Materials
[NO] 171/2000 | A Unified Uncertainty-Aware Back-End for Speaker Verification: Scoring, Normalization, and Calibration
[NO] 172/2000 | Robust thermodynamics constrain disorder and pairing in far-overdoped Tl$_2$Ba$_2$CuO$_6$
[NO] 173/2000 | The Physical Conditions of Low-Mass Galaxies at z=3.5-7.0 from JWST Spectroscopy: The Behaviour of Spectral Line Ratios with Burstiness
[NO] 174/2000 | Rough differential equations on manifolds via natural bundles
[NO] 175/2000 | The lower mean curvature bound in Gromov's mean-of-the-mean-curvature conjecture
[NO] 176/2000 | PersuaRL: Reinforcement Learning-Driven Multi-Expert Selection for Persuasive Dialogue Generation in Insurance
[YES] 177/2000 | Athena: Vulnerability-Affected Library Identification via Knowledge Graph Completion
[NO] 178/2000 | Polynomiality for algebras of invariants associated with some Inönü-Wigner contractions in type A
[NO] 179/2000 | Jailbreaking Text-to-Image Models Through Cracks: Navigating Heterogeneous Safety Filters via Multi-Agent Debate
[NO] 180/2000 | Nonparametric inference for density-dependent McKean--Vlasov diffusions
[NO] 181/2000 | The cosmic multipoles: a consistency test for the Szekeres cosmological model
[NO] 182/2000 | Constraints on Buchdahl-Inspired Gravity from Future Pulsar Timing near Sgr A*
[NO] 183/2000 | The fraction of clumpy star-forming galaxies in nearby galaxies from CLAUDS and HSC-SSP
[NO] 184/2000 | Subword Segmental BabyLMs: Learning to Tokenise for Sample-Efficient Pretraining
[NO] 185/2000 | Constraining the Planetary Obliquity Distribution of Warm Jupiters
[NO] 186/2000 | Understanding the superconducting proximity effect in semiconductors through quantum oscillations
[NO] 187/2000 | Fermionic Dark Matter Absorption and the High-Energy Event in LUX-ZEPLIN
[NO] 188/2000 | TeV Higgsino Dark Matter from LZ Nuclear Recoil to Fermi-LAT Gamma Rays
[NO] 189/2000 | The Structure of Quantization Damage in LLMs: Why the Next Bit Should Be Spent Globally
[NO] 190/2000 | Families of relative periodic orbits in the planar three-body problem via consecutive alignments
[NO] 191/2000 | Higgsino Dark Matter Interpretation of the LUX-ZEPLIN 248 keV Nuclear-Recoil Event
[NO] 192/2000 | SG-AMP: Scene-Graph-Guided Active Perception and Semantics-Aware Motion Planning for Pepper Plants
[NO] 193/2000 | Pointwise Majorization for sub-Weibull and Mixed Tail Processes with Applications in Quadratic Chaos and Ergodic Diffusions
[NO] 194/2000 | Analytic discs and compactness of the $\bar\partial$-Neumann operator
[NO] 195/2000 | H3-World: Turning Language Understanding into World Control
[NO] 196/2000 | Erlang Loss Model with Energy Constrained Servers
[NO] 197/2000 | $L^\infty$ Variational Approximation of the Aubry Set
[NO] 198/2000 | Deformed Convolution, Cumulant Transforms, and Semigroup Generators in Hurwitz Series Rings
[NO] 199/2000 | SDARE-Bench: Evaluating Large Language Models on Conversational Stigma Detection and Response in Dyadic and Group Dialogue
[NO] 200/2000 | Homeomorphisms of surfaces in $4$-manifolds
[NO] 201/2000 | Trajectory Analysis of ECG Motif Dynamics in the Run-up to Sudden Cardiac Arrest
[NO] 202/2000 | Revisiting Cross-View Completion: Self-Supervised Pre-Training via Reconstruction Error Comparison
[NO] 203/2000 | Sierpiński--Knopp Wasserstein Distance for Persistence Diagrams and Applications to 2-Wasserstein Approximation
[NO] 204/2000 | Performance Characterization of SPEC CPU 2026 on AMD EPYC 9755 Processor
[NO] 205/2000 | EvoSCM: Scientific Belief Revision Through Causal Model Evolution and Experimentation
[NO] 206/2000 | Fabrication and characterization of lithium-diffused inverted coaxial point-contact HPGe detectors
[NO] 207/2000 | 144 real circles tangent to three conics
[NO] 208/2000 | When Guardrails Look Effective: Construct Validity Failures in LLM Agent Commerce Evaluation
[NO] 209/2000 | DualDiff3D: Dual Structure-Appearance Diffusion Priors for Reliability-Enhanced 3D Gaussian Splatting
[NO] 210/2000 | TempCloze: Can Video-LLMs Identify the Missing Middle?
[NO] 211/2000 | An Independent Border-Free Type-A Cover of Q221 and Improved Asymptotic Bounds for Queen Domination
[NO] 212/2000 | LatentPress: Context Compression Beyond Text and Vision
[NO] 213/2000 | The Data Problem in Software Vulnerability Analysis: Artifacts, Quality, and Consumption
[NO] 214/2000 | Parsing the Stream: A Live Trace Model for Long-Horizon Agents and Their Observers
[NO] 215/2000 | Polar nanoregions and reentrant-like ferroelectric behavior in SrTiO$_3$
[NO] 216/2000 | $A_1$ - Coulomb branches over finite fields and Selberg Character sums
[NO] 217/2000 | Bose--Einstein Condensation without an Initial Low-Energy Concentration Assumption
[NO] 218/2000 | Score-Based Generative Data Assimilation for Integrating Aggregated Surveillance Data into Agent-Based Models in Epidemic Tracking
[NO] 219/2000 | Efficiently Estimating Optimal Hyperparameter Scaling Laws through Power-Law Entropy Search
[NO] 220/2000 | CATeye: Coupled Attribute-Topology Invariance Learning for Voucher Abuse Detection
[NO] 221/2000 | Exact Virtual Channel Programming with Vanishing Excess Overhead
[NO] 222/2000 | Provably Safe Sim-to-Real Transfer
[NO] 223/2000 | EdiTikZ: Scientific Figure Editing from Revision Trajectories
[NO] 224/2000 | Energy deposited by black holes in the hot X-ray gas of elliptical galaxies, groups and clusters
[NO] 225/2000 | Contribution-Aware Bandwidth Allocation for Multimodal Split Learning
[NO] 226/2000 | Scalar wave scattering by black holes embedded in dark matter halos
[NO] 227/2000 | The quiescent states of V745 Sco and V3890 Sgr: VLT/X-shooter and Swift/XRT+UVOT observations
[NO] 228/2000 | IntroConformal: Conformal Factuality Guarantees for Large Vision-Language Models via Introspective Signals
[NO] 229/2000 | Accurate Reconstruction of Gas Turbine Blade Geometry Using 3D/2D Rigid Registration and CT View Optimization
[NO] 230/2000 | A Certificate-Producing Cascade for Equational Implication: The SAIR EQT2 Stage 2 Solver
[NO] 231/2000 | On the rigidity of sloped height functions in $d\ge 3$ and non-crossing surfaces
[NO] 232/2000 | SOVER: Formal Certification of Optimization Reformulations via LLM-Assisted SMT Verification
[NO] 233/2000 | StainPresetNet: Stain Preset Network for Fast Multi-to-Multi Stain Normalization
[NO] 234/2000 | Revisiting Face Recognition for Monozygotic Twins: The Celeb Twins Test Set
[NO] 235/2000 | Quantum antidipolar systems in two-dimensional geometries
[NO] 236/2000 | Overfitting Mitigation via Singular Value Decomposition in Minimum Bayes Risk Decoding
[NO] 237/2000 | Replicating TRACE: A Practitioner's Guide to Its Threshold and Particle Budget
[YES] 238/2000 | Hints Help But Do They Teach? Evaluating Skills Transfer in Code Generation
[NO] 239/2000 | The asymptotic Plateau problem for Hypersurfaces of constant $H_{k}$ curvature in hyperbolic space
[NO] 240/2000 | Galilean Kalb-Ramond Field
[NO] 241/2000 | New extremal Kähler metrics on projective bundles
[NO] 242/2000 | Subliminal Learning as Trait-Direction Drift: A Mechanism and Targeted Control under SFT Distillation
[NO] 243/2000 | Hardware Acceleration of Block-Diffusion LLM for Edge Devices
[NO] 244/2000 | World Model-Guided Reinforcement Learning via Counterfactual User Engagement Simulation
[NO] 245/2000 | Artificial Rosetta Stone: Constrained Maximum A Posteriori (MAP) Reconstruction of Symbolic Raga Sequences via Order-k Markov Models
[NO] 246/2000 | What Limits Robustness in Deep Image Watermarking: An Analysis of Mechanisms and Their Scaling Across Capacities
[NO] 247/2000 | Behavioral calibration of mobile-phone GPS data for population-representative analyses
[NO] 248/2000 | On Synthesis of Metric Interval Temporal Logics
[NO] 249/2000 | Euler obstructions and Verdier specializations
[NO] 250/2000 | Figures as Programs: Recursive Generation of Editable Scientific Figures
[NO] 251/2000 | SinkPruner: Sink-Free Visual Token Pruning for Multimodal Large Language Models
[NO] 252/2000 | Numerical study of the grain-growth-induced non-parabolic kinetics of a solid-state reaction
[NO] 253/2000 | EvoGS: Modeling Deformation Evolution for Dynamic Gaussian Splatting
